time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
107.8292,-1.967784,1.782578,-1.414638,37.57863,85.76988,306.3732
107.8432,-1.965969,1.782491,-1.416146,37.62532,85.86733,306.569
107.8524,-1.965287,1.781915,-1.417456,37.76104,86.20961,306.716
107.8665,-1.964779,1.780763,-1.419466,37.94276,86.57625,306.9791
107.8745,-1.963967,1.780235,-1.420529,38.02858,86.76073,307.1626
107.883,-1.963432,1.779294,-1.421428,38.10121,86.8868,307.3527
107.9003,-1.961473,1.777588,-1.422777,38.19971,86.93333,307.4702
107.9095,-1.960288,1.776324,-1.423075,38.33457,86.75517,307.3433
107.9173,-1.95937,1.775258,-1.423284,38.52794,86.61193,307.2241
107.9259,-1.958451,1.774084,-1.423437,38.78563,86.43941,307.1127
107.9345,-1.956278,1.772946,-1.423225,39.07217,86.2961,307.1053
107.9458,-1.954699,1.771613,-1.423487,39.42231,86.07393,307.2327
107.9568,-1.952702,1.769903,-1.423595,39.75552,85.88765,307.4948
107.968,-1.950751,1.768415,-1.423701,39.9829,85.74448,307.6693
107.9889,-1.950248,1.764531,-1.425582,40.24426,85.50262,307.8155
107.9969,-1.948132,1.763339,-1.425387,40.32796,85.4146,307.7729
108.0053,-1.947864,1.761775,-1.42583,40.43777,85.29301,307.7271
108.0132,-1.945774,1.760507,-1.425707,40.56633,85.16862,307.7279
108.0234,-1.943149,1.759177,-1.425351,40.63677,84.99264,307.709
108.0346,-1.939685,1.757669,-1.424901,40.77074,84.83068,307.7116
108.0456,-1.935496,1.756505,-1.424016,40.88663,84.71258,307.7539
108.0567,-1.931341,1.755294,-1.423207,41.02949,84.62365,307.8135
108.068,-1.926838,1.753857,-1.422313,41.17623,84.51891,307.8922
108.0789,-1.921627,1.752634,-1.421029,41.25861,84.3803,307.9791
108.09,-1.917324,1.751353,-1.420091,41.29091,84.18597,308.0066
108.1012,-1.912632,1.749744,-1.419167,41.3638,83.96432,308.0437
108.1122,-1.908019,1.748495,-1.418037,41.3764,83.73508,308.1475
108.1233,-1.904301,1.747197,-1.417277,41.35456,83.44843,308.2023
108.1344,-1.899338,1.746062,-1.41597,41.37563,83.1111,308.2365
108.1456,-1.893735,1.745598,-1.414158,41.58198,82.72362,308.2334
108.1566,-1.888909,1.744702,-1.412804,41.8613,82.40717,308.2446
108.1678,-1.88449,1.7441,-1.411574,42.2639,82.18691,308.2719
108.1789,-1.876896,1.743881,-1.409054,42.65612,82.01492,308.3734
108.2001,-1.866321,1.743128,-1.40621,43.03965,81.54443,308.6388
108.2084,-1.861844,1.743101,-1.405019,43.01279,81.35109,308.7419
108.216,-1.857353,1.743153,-1.403885,42.89736,81.22189,308.7604
108.2241,-1.853155,1.743392,-1.402827,42.74322,81.14254,308.7221
108.2344,-1.848471,1.743485,-1.401809,42.59732,81.12136,308.5438
108.2555,-1.836563,1.744434,-1.398724,42.64791,81.02705,307.8452
108.2635,-1.832534,1.745025,-1.397727,42.77195,80.98207,307.5987
108.2716,-1.828084,1.745713,-1.396581,42.93987,80.9214,307.5494
108.2889,-1.818706,1.747409,-1.394423,43.25761,80.68945,307.7639
108.2971,-1.814344,1.748345,-1.393402,43.34907,80.53533,307.8511
108.3053,-1.808633,1.749356,-1.392058,43.34298,80.37154,307.9179
108.3134,-1.804137,1.750463,-1.391199,43.19511,80.25784,308.0482
108.3232,-1.797675,1.751885,-1.389856,42.84346,80.20645,308.2328
108.3343,-1.790401,1.753537,-1.388475,42.51112,80.25789,308.3396
108.3455,-1.783786,1.754923,-1.387608,42.14817,80.77593,308.2882
108.3665,-1.772186,1.757094,-1.386348,41.7367,81.62859,308.2939
108.3747,-1.766726,1.757809,-1.385622,41.60046,82.07348,308.3893
108.3827,-1.762302,1.758307,-1.3851,41.47277,82.36317,308.4898
108.3909,-1.757471,1.75894,-1.384343,41.33489,82.63257,308.5562
108.401,-1.749768,1.759606,-1.382846,41.13993,82.91507,308.5529
108.412,-1.743168,1.75976,-1.38148,40.9088,83.10641,308.4927
108.4232,-1.736131,1.759825,-1.379905,40.70148,83.24088,308.3498
108.4443,-1.725325,1.759734,-1.377398,40.50915,83.41887,307.8075
108.4525,-1.72571,1.758581,-1.378531,40.45583,83.4198,307.4301
