time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
107.8292,-2.239112,2.103374,-1.632265,347.0164,269.339,33.6748
107.8432,-2.236171,2.103004,-1.632775,346.8624,269.3423,33.6919
107.8524,-2.236171,2.103004,-1.632775,346.8624,269.3423,33.6919
107.8665,-2.230502,2.10212,-1.634176,346.9141,269.0597,33.62221
107.8745,-2.230502,2.10212,-1.634176,346.9141,269.0597,33.62221
107.883,-2.226942,2.102339,-1.633946,347.0471,268.972,33.59211
107.9003,-2.220109,2.101908,-1.634295,347.4673,268.9972,33.41635
107.9095,-2.217035,2.101639,-1.634725,347.5349,268.9602,33.39674
107.9173,-2.217035,2.101639,-1.634725,347.5349,268.9602,33.39674
107.9259,-2.213957,2.10137,-1.635156,347.6025,268.9232,33.37708
107.9345,-2.207376,2.099691,-1.635845,347.1088,268.5255,33.20081
107.9458,-2.203195,2.099084,-1.636301,346.9483,268.2529,33.23184
107.9568,-2.198781,2.098225,-1.636468,346.8925,268.0776,33.23291
107.968,-2.194089,2.097634,-1.636275,347.0734,268.307,33.14609
107.9889,-2.185568,2.095407,-1.635739,348.0408,269.0222,32.85624
107.9969,-2.185568,2.095407,-1.635739,348.0408,269.0222,32.85624
108.0053,-2.180949,2.094289,-1.635617,348.3058,269.1127,32.78542
108.0132,-2.175127,2.093568,-1.635499,348.5626,269.1924,32.62042
108.0234,-2.169563,2.092133,-1.634912,348.5314,269.2827,32.47733
108.0346,-2.164298,2.09103,-1.634753,348.7761,269.3149,32.48529
108.0456,-2.159064,2.090343,-1.634206,349.0052,269.3305,32.43119
108.0567,-2.153984,2.089337,-1.633947,349.2002,269.4042,32.35379
108.068,-2.148882,2.088328,-1.633685,349.3963,269.4778,32.27635
108.0789,-2.140259,2.087357,-1.631512,348.2912,269.5121,32.37231
108.09,-2.133924,2.086199,-1.630424,347.9241,269.6335,32.24309
108.1012,-2.127651,2.085076,-1.629339,347.7855,269.8138,32.11356
108.1122,-2.122026,2.084165,-1.628473,348.1223,269.9604,31.98011
108.1233,-2.115593,2.082989,-1.626303,348.3372,270.318,31.97758
108.1344,-2.109473,2.082787,-1.624623,348.7994,270.86,32.11977
108.1456,-2.102855,2.08344,-1.623668,349.3569,271.3544,32.45776
108.1566,-2.096234,2.083936,-1.622733,349.6827,271.5323,32.74284
108.1678,-2.089021,2.085534,-1.622934,348.9336,270.828,33.13145
108.1789,-2.082596,2.086135,-1.622157,348.5067,270.63,33.31133
108.2001,-2.070064,2.086234,-1.61968,345.4803,269.3275,33.75498
108.2084,-2.070064,2.086234,-1.61968,345.4803,269.3275,33.75498
108.216,-2.064365,2.086443,-1.618533,345.2466,269.446,33.79621
108.2241,-2.058253,2.085689,-1.616623,346.5014,269.9236,33.78415
108.2344,-2.052389,2.086478,-1.615011,347.8744,269.7729,33.81203
