time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
107.8292,-1.953878,1.131787,-1.579708,307.6905,52.81892,14.58318
107.8432,-1.936899,1.131717,-1.5794,306.5404,51.38412,16.05104
107.8524,-1.936899,1.131717,-1.5794,306.5404,51.38412,16.05104
107.8665,-1.902153,1.133704,-1.577788,303.2007,47.14284,20.45217
107.8745,-1.902153,1.133704,-1.577788,303.2007,47.14284,20.45217
107.883,-1.884813,1.134861,-1.577145,301.7968,45.38375,22.35238
107.9003,-1.85129,1.135603,-1.575908,299.901,43.10698,24.85939
107.9095,-1.835845,1.13506,-1.57577,299.8671,42.90367,25.11488
107.9173,-1.835845,1.13506,-1.57577,299.8671,42.90367,25.11488
107.9259,-1.820217,1.13404,-1.575714,300.2105,43.66544,24.46589
107.9345,-1.806002,1.132494,-1.575491,301.3878,44.42816,23.90942
107.9458,-1.791657,1.131802,-1.573734,303.0375,44.76345,23.94084
107.9568,-1.779702,1.132052,-1.572288,304.1328,45.24788,24.57802
107.968,-1.769644,1.133409,-1.57263,304.3213,45.00329,25.27532
107.9889,-1.755905,1.139845,-1.571873,296.2497,48.29978,22.84456
107.9969,-1.755905,1.139845,-1.571873,296.2497,48.29978,22.84456
108.0053,-1.748298,1.13888,-1.570525,296.0174,47.29136,23.84018
108.0132,-1.741195,1.136798,-1.569841,297.5352,47.29856,23.78051
108.0234,-1.73517,1.135059,-1.569879,298.1074,48.02055,23.1666
108.0346,-1.730961,1.133222,-1.569802,298.6766,48.53613,23.00476
108.0456,-1.728957,1.132223,-1.570273,298.5266,48.18892,23.95179
108.0567,-1.727091,1.130384,-1.570607,297.4778,48.50636,24.35977
108.068,-1.724486,1.127598,-1.570848,297.7914,49.66985,23.84981
108.0789,-1.723578,1.123742,-1.571412,299.37,51.4299,22.70284
108.09,-1.725203,1.121099,-1.572295,300.1513,52.42194,22.31118
108.1012,-1.725331,1.118922,-1.572307,299.6783,52.10515,22.16435
108.1122,-1.722738,1.115934,-1.573557,301.0547,50.74863,23.25084
108.1233,-1.716887,1.113935,-1.574321,302.5487,55.94896,17.27468
108.1344,-1.714817,1.109373,-1.575241,303.9869,61.812,11.50037
108.1456,-1.712799,1.106904,-1.574861,305.7055,61.56723,11.46804
108.1566,-1.711466,1.104939,-1.574931,306.6444,59.8944,13.35886
108.1678,-1.710385,1.101714,-1.573932,308.2905,61.67807,11.20707
108.1789,-1.712631,1.107689,-1.57156,310.4163,55.63659,17.30911
108.2001,-1.712729,1.103796,-1.574192,304.3592,56.62318,15.3755
108.2084,-1.712729,1.103796,-1.574192,304.3592,56.62318,15.3755
108.216,-1.713845,1.103654,-1.573903,307.5596,59.75753,12.94344
108.2241,-1.714373,1.10337,-1.573941,305.5304,57.81847,14.39887
108.2344,-1.713891,1.102421,-1.574528,306.2592,57.99089,14.40533
108.2555,-1.714384,1.101901,-1.57462,305.854,58.39284,14.11602
108.2635,-1.714384,1.101901,-1.57462,305.854,58.39284,14.11602
108.2716,-1.714262,1.101992,-1.574241,306.0133,58.44675,14.10198
108.2889,-1.714372,1.101948,-1.574021,306.1626,58.07202,14.47645
108.2971,-1.714372,1.101948,-1.574021,306.1626,58.07202,14.47645
108.3053,-1.714385,1.101995,-1.573602,306.1597,58.12415,14.46208
108.3134,-1.715134,1.102717,-1.57404,306.1124,58.17791,14.53772
108.3232,-1.715248,1.102875,-1.574079,305.9685,58.15966,14.51543
108.3343,-1.715529,1.103155,-1.573954,305.8429,58.44285,14.2897
108.3455,-1.715805,1.103257,-1.573523,305.8553,58.01906,14.70149
108.3665,-1.715633,1.103215,-1.573158,306.2673,57.41906,15.31515
108.3747,-1.715633,1.103215,-1.573158,306.2673,57.41906,15.31515
108.3827,-1.715631,1.103254,-1.573159,306.3024,57.4236,15.32081
108.3909,-1.715276,1.103197,-1.572927,306.5391,57.33971,15.37866
108.401,-1.715389,1.103174,-1.572702,306.8627,56.96452,15.73031
108.412,-1.71523,1.103129,-1.572281,307.0469,56.69698,16.07469
108.4232,-1.715296,1.103465,-1.571381,307.5105,56.00237,16.9659
108.4443,-1.715563,1.103669,-1.570686,307.5803,55.08464,18.1672
108.4525,-1.715563,1.103669,-1.570686,307.5803,55.08464,18.1672
108.4604,-1.715641,1.103825,-1.570412,307.6514,54.8464,18.45569
108.4685,-1.715597,1.103807,-1.570417,307.6626,54.75643,18.49206
108.4887,-1.715506,1.103846,-1.569942,307.8014,54.98701,18.41699
108.4969,-1.715506,1.103846,-1.569942,307.8014,54.98701,18.41699
108.505,-1.715451,1.103612,-1.569942,307.8738,54.78949,18.52805
108.5129,-1.715182,1.103606,-1.569777,308.0641,54.89272,18.4339
108.5231,-1.715068,1.103496,-1.56982,308.2037,55.23378,18.13186
108.5442,-1.715119,1.103666,-1.569819,308.0888,55.48247,17.92971
108.5523,-1.715119,1.103666,-1.569819,308.0888,55.48247,17.92971
108.5602,-1.715058,1.10345,-1.569873,308.0537,55.29478,18.02715
108.5682,-1.715111,1.103453,-1.569985,308.0866,55.50679,17.78851
108.5786,-1.715045,1.103298,-1.570132,307.9091,55.80463,17.37172
108.5897,-1.71477,1.10292,-1.57057,307.8373,56.27241,16.66498
108.6009,-1.714638,1.102803,-1.571115,307.5037,57.11936,15.69791
108.6218,-1.71431,1.102426,-1.57224,307.0439,57.84115,14.55802
108.6297,-1.71431,1.102426,-1.57224,307.0439,57.84115,14.55802
108.6376,-1.714502,1.10255,-1.572835,306.4935,58.54628,13.83713
108.6551,-1.714795,1.102772,-1.573556,305.8857,59.0878,13.1877
108.663,-1.714795,1.102772,-1.573556,305.8857,59.0878,13.1877
108.671,-1.714749,1.102808,-1.573491,305.5846,59.21712,13.0133
108.6788,-1.71454,1.10266,-1.573197,305.8425,59.29731,13.02801
108.6895,-1.714484,1.102584,-1.573068,306.0303,58.56124,13.61574
108.7107,-1.714299,1.102743,-1.573982,305.3643,59.89458,12.37385
108.7186,-1.714299,1.102743,-1.573982,305.3643,59.89458,12.37385
108.7264,-1.714486,1.10266,-1.575103,304.9613,60.1221,11.95765
108.7343,-1.714598,1.102748,-1.575804,304.5705,60.68882,11.30746
108.7452,-1.714591,1.102895,-1.576197,304.2095,61.45139,10.6904
108.7562,-1.714416,1.102697,-1.576362,303.9893,61.65073,10.52419
108.7673,-1.714061,1.102564,-1.57661,304.164,61.02496,10.95
108.7783,-1.713765,1.102572,-1.57662,304.0766,61.72643,10.45346
108.7995,-1.713653,1.102498,-1.576758,304.1207,61.44785,10.73947
108.8074,-1.713653,1.102498,-1.576758,304.1207,61.44785,10.73947
108.8152,-1.713592,1.102628,-1.577065,304.0434,61.63373,10.47919
108.8229,-1.713555,1.102602,-1.577174,303.9888,61.96113,10.24411
108.834,-1.713381,1.102598,-1.577346,303.9975,61.8639,10.24324
108.8449,-1.713248,1.102593,-1.577583,303.9246,62.28031,9.844461
108.8561,-1.713402,1.102625,-1.577757,303.7715,62.54248,9.622384
108.8671,-1.71325,1.102614,-1.57818,303.8467,62.43488,9.60142
108.8783,-1.713219,1.102786,-1.57857,303.5564,63.15191,8.899511
108.8893,-1.71312,1.102832,-1.578564,303.3783,63.46573,8.589714
108.9005,-1.713376,1.10286,-1.57883,303.3074,63.48932,8.535876
108.9214,-1.713316,1.102794,-1.578989,303.1495,63.85534,8.220515
108.9292,-1.713316,1.102794,-1.578989,303.1495,63.85534,8.220515
108.9377,-1.71321,1.102704,-1.579178,303.2272,63.53751,8.375856
108.9454,-1.712936,1.102755,-1.579246,303.2422,64.06054,7.810051
108.956,-1.712999,1.102627,-1.579528,303.4015,64.08787,7.685472
108.9769,-1.712649,1.102553,-1.579906,303.3509,64.51656,7.105713
108.9853,-1.712649,1.102553,-1.579906,303.3509,64.51656,7.105713
108.9929,-1.712474,1.102649,-1.580277,303.3879,64.68742,6.844206
109.0004,-1.712178,1.102854,-1.58074,303.3694,65.16541,6.237391
109.0112,-1.711706,1.103,-1.581308,303.4757,65.51604,5.721634
109.0222,-1.710636,1.103371,-1.581531,303.7164,65.9681,5.148234
109.0333,-1.709481,1.10363,-1.582418,304.5153,65.45113,5.313694
109.0443,-1.708614,1.104181,-1.583272,304.9061,66.68761,3.769453
109.0554,-1.708252,1.104792,-1.583982,305.2006,67.97466,2.016327
109.0665,-1.707373,1.10545,-1.583748,305.5589,69.29192,0.795007
109.0776,-1.706382,1.105813,-1.582775,306.9737,68.80618,1.247634
109.0888,-1.70428,1.105967,-1.582784,308.7681,68.03004,1.495386
109.0999,-1.702974,1.106901,-1.58307,310.5448,69.76182,359.8839
109.1109,-1.701257,1.10785,-1.583124,310.7731,70.62085,358.8962
109.122,-1.699448,1.108586,-1.583265,312.5856,70.70808,358.6318
109.1331,-1.697689,1.109318,-1.583508,313.9072,71.16307,357.9547
109.1442,-1.695295,1.110177,-1.582881,315.6609,71.93147,357.026
109.1552,-1.693175,1.110753,-1.582244,317.5576,71.97289,356.8262
109.1663,-1.690468,1.111567,-1.58138,320.0622,71.33212,356.8728
109.1775,-1.687809,1.112465,-1.580965,322.0643,71.92764,356.0433
109.1886,-1.684539,1.113309,-1.580227,324.1888,73.29503,354.8195
109.1997,-1.681362,1.113773,-1.579666,326.9181,73.1289,354.3621
109.2108,-1.677849,1.114539,-1.579512,329.7665,73.10539,353.64
109.222,-1.673621,1.115771,-1.5796,332.74,73.66709,352.4068
109.2331,-1.669621,1.118487,-1.58001,336.0608,73.64088,351.3207
109.2443,-1.666129,1.124092,-1.581741,337.3254,74.84969,350.0507
109.2554,-1.661703,1.12968,-1.582519,337.6161,75.88668,349.1364
109.2664,-1.656368,1.135468,-1.582936,339.3563,74.05505,349.5356
109.2774,-1.650433,1.139603,-1.582269,341.1828,72.70523,349.837
109.2886,-1.643334,1.145064,-1.581264,344.0221,69.64938,351.5517
109.2999,-1.636419,1.151402,-1.58077,345.6042,64.9695,352.8538
109.311,-1.627168,1.157594,-1.582789,345.3685,62.99734,352.6762
109.322,-1.612696,1.16415,-1.586296,344.1141,63.27396,354.2628
109.3331,-1.598586,1.169154,-1.590121,342.6028,65.0663,355.7515
109.3443,-1.580935,1.173923,-1.593514,341.9419,68.22646,357.5565
109.3554,-1.56314,1.176377,-1.594687,338.3471,68.25559,359.0905
109.3665,-1.545412,1.175402,-1.59427,337.4096,67.91284,359.3452
109.3775,-1.529165,1.173791,-1.593866,337.2294,65.85616,0.053004
109.3886,-1.513653,1.169541,-1.591625,338.1488,63.17098,359.4377
109.3999,-1.493492,1.171592,-1.589491,338.8774,60.02111,358.7888
109.4108,-1.473459,1.170523,-1.586914,337.3326,59.4168,357.3383
109.422,-1.45421,1.169266,-1.584733,335.2447,59.31119,356.1541
109.4331,-1.432662,1.167811,-1.580565,331.9907,60.52505,354.4079
109.4441,-1.411438,1.16603,-1.576027,330.0924,59.92768,353.893
109.4553,-1.389373,1.163794,-1.57077,328.2693,57.82647,354.7346
109.4668,-1.36666,1.160768,-1.566134,326.1118,56.21383,356.3153
109.4782,-1.344207,1.158276,-1.561249,324.1732,55.75153,356.9743
109.4898,-1.320655,1.155139,-1.55678,322.3137,55.62727,358.1533
109.5013,-1.297577,1.153005,-1.551918,320.017,55.3892,359.739
109.5129,-1.273816,1.150646,-1.545942,317.7039,54.54347,1.648901
109.5244,-1.250691,1.148291,-1.540505,315.7206,53.83481,3.3087
109.5358,-1.227599,1.146244,-1.533527,314.0168,53.06122,4.56712
109.5471,-1.204675,1.144315,-1.526826,312.2657,52.44463,5.372207
109.5588,-1.18232,1.142703,-1.519204,310.7273,51.59674,6.118088
109.5702,-1.15984,1.14088,-1.511781,309.341,50.51311,7.023427
109.5877,-1.13758,1.140149,-1.503809,308.3571,49.71778,7.332272
109.5951,-1.116321,1.141396,-1.495896,306.7647,49.09295,7.436068
109.6028,-1.095443,1.143406,-1.48847,304.1878,48.36492,7.914045
109.621,-1.055956,1.147872,-1.473108,298.9988,44.43277,11.06721
109.6285,-1.055956,1.147872,-1.473108,298.9988,44.43277,11.06721
109.636,-1.036854,1.149464,-1.465977,297.7884,42.85625,12.21207
109.6443,-1.018398,1.15059,-1.459036,297.3974,41.54481,13.40846
109.6654,-0.982177,1.153092,-1.445695,296.6661,39.35168,15.95164
109.6733,-0.982177,1.153092,-1.445695,296.6661,39.35168,15.95164
109.6808,-0.964896,1.153888,-1.439363,296.7501,40.06731,15.56009
109.6987,-0.933236,1.155794,-1.427397,297.5999,40.10667,16.42264
109.7062,-0.933236,1.155794,-1.427397,297.5999,40.10667,16.42264
109.714,-0.918655,1.156657,-1.421303,298.2189,40.20055,16.88078
109.7321,-0.892636,1.160702,-1.411303,298.5059,39.28885,18.17781
109.7397,-0.892636,1.160702,-1.411303,298.5059,39.28885,18.17781
109.7473,-0.882307,1.163955,-1.407301,297.0082,39.65236,17.62231
109.7554,-0.873549,1.167145,-1.403137,295.2572,38.71823,18.25517
109.7666,-0.865553,1.169422,-1.398334,294.2578,35.85831,20.71933
109.7878,-0.848809,1.171624,-1.388362,293.4675,31.79863,24.00241
109.796,-0.848809,1.171624,-1.388362,293.4675,31.79863,24.00241
109.8039,-0.840844,1.170174,-1.383537,294.3241,31.5787,23.76584
109.821,-0.825833,1.165083,-1.377155,295.3148,37.24397,17.59888
