time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.4355,-1.999498,2.592053,-1.627022,49.05579,89.53461,2.231794
118.4563,-1.995238,2.591194,-1.626715,49.06574,89.39075,2.229572
118.4695,-1.986718,2.589231,-1.62584,49.10091,89.15757,2.113018
118.4796,-1.98196,2.588042,-1.625159,49.10172,89.08377,2.065361
118.4909,-1.977552,2.58705,-1.624576,49.1692,89.03395,2.040485
118.5114,-1.97281,2.586057,-1.623776,49.23428,89.04478,2.090935
118.5199,-1.968132,2.58523,-1.623195,49.34137,89.07249,2.165482
118.5281,-1.963296,2.584409,-1.622605,49.43497,89.14256,2.252292
118.5447,-1.958165,2.583785,-1.621984,49.47198,89.20425,2.354298
118.5531,-1.953005,2.582939,-1.621267,49.46103,89.30013,2.515204
118.561,-1.947761,2.582219,-1.620378,49.43655,89.44199,2.73826
118.5779,-1.942127,2.581341,-1.619483,49.37506,89.62299,3.035782
118.5862,-1.936687,2.580671,-1.618762,49.33178,89.79398,3.318524
118.5941,-1.930635,2.57987,-1.617754,49.31189,90.01286,3.661918
118.6022,-1.924781,2.579138,-1.61694,49.27773,90.23464,4.020508
118.6132,-1.918715,2.578222,-1.615961,49.20472,90.43521,4.365727
118.6252,-1.912133,2.577116,-1.614694,49.12946,90.63486,4.70127
118.6354,-1.90591,2.575942,-1.613665,49.06976,90.85561,5.047552
118.6462,-1.899181,2.574662,-1.612325,49.0177,91.06268,5.3732
118.6575,-1.892622,2.573461,-1.611128,48.99558,91.22339,5.65505
118.6684,-1.885472,2.572097,-1.609619,48.94637,91.3634,5.898372
118.6796,-1.878329,2.57088,-1.608105,48.85474,91.46807,6.142172
118.6907,-1.870913,2.569748,-1.606616,48.70838,91.53413,6.351729
118.7019,-1.863288,2.568583,-1.605078,48.57749,91.62733,6.627122
118.7229,-1.855567,2.567391,-1.603594,48.4304,91.73982,6.897569
118.7315,-1.847823,2.566204,-1.601999,48.31696,91.83514,7.115709
118.7394,-1.84002,2.565307,-1.600485,48.26559,91.97642,7.366549
118.7476,-1.832041,2.564708,-1.598974,48.36702,92.1283,7.624427
118.7576,-1.824308,2.564218,-1.597606,48.53865,92.35258,7.859683
118.7785,-1.816732,2.563781,-1.596184,48.55372,92.52823,7.934556
118.7909,-1.801084,2.563874,-1.593133,48.34091,92.73826,7.981883
118.8018,-1.792863,2.564372,-1.591496,48.2818,92.79018,8.030131
118.8129,-1.785154,2.5652,-1.590001,48.22916,92.8021,7.997546
118.8241,-1.77763,2.565856,-1.588507,48.26159,92.81623,7.892889
118.8351,-1.770316,2.566522,-1.586952,48.43775,92.88909,7.853906
118.8462,-1.763264,2.567308,-1.585646,48.6876,92.97449,7.870152
118.8574,-1.756616,2.568152,-1.584528,48.92845,93.11639,7.927065
118.8685,-1.74995,2.569158,-1.583318,49.18588,93.35748,8.047185
118.8795,-1.743441,2.57036,-1.582124,49.44667,93.6347,8.169211
118.8907,-1.736685,2.571579,-1.580995,49.64665,93.85786,8.257874
118.9018,-1.729938,2.572865,-1.579892,49.70978,93.96978,8.268256
118.923,-1.722023,2.573432,-1.57814,49.72543,94.03101,8.311583
118.9314,-1.715,2.574497,-1.577233,49.66732,94.0487,8.346692
118.9431,-1.707786,2.575706,-1.576509,49.61689,94.06742,8.386436
118.9513,-1.700792,2.576933,-1.575814,49.59368,94.12119,8.450033
