time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.4355,-2.286658,1.102769,-1.675603,306.6129,137.8745,341.1547
118.4563,-2.286684,1.102209,-1.675989,306.6571,137.6913,341.506
118.4695,-2.287258,1.101883,-1.67619,306.6927,137.3242,341.9108
118.4796,-2.286852,1.101815,-1.676181,306.5452,137.1555,342.1201
118.4909,-2.287676,1.101744,-1.676323,306.6678,136.926,342.4063
118.5114,-2.288945,1.101433,-1.677064,306.6732,137.189,342.2672
118.5199,-2.288945,1.101433,-1.677064,306.6732,137.189,342.2672
118.5281,-2.289667,1.10127,-1.677282,306.6244,137.0408,342.4459
118.5447,-2.291042,1.100881,-1.677703,306.6211,136.8011,342.7859
118.5531,-2.291042,1.100881,-1.677703,306.6211,136.8011,342.7859
118.561,-2.291857,1.10066,-1.677942,306.5707,136.6394,342.9803
118.5779,-2.293432,1.100086,-1.678658,306.5555,136.5167,343.211
118.5862,-2.293432,1.100086,-1.678658,306.5555,136.5167,343.211
118.5941,-2.293963,1.099771,-1.679012,306.6041,136.5325,343.3175
118.6022,-2.294607,1.099538,-1.679256,306.6611,136.3297,343.5894
118.6132,-2.295388,1.099268,-1.679564,306.6485,136.2859,343.6909
118.6252,-2.296063,1.099086,-1.67976,306.6671,136.1725,343.9015
118.6354,-2.296873,1.09878,-1.680043,306.6321,135.999,344.1233
118.6462,-2.297553,1.098539,-1.680288,306.6471,136.0295,344.205
118.6575,-2.298168,1.098155,-1.680431,306.563,135.7303,344.6049
118.6684,-2.298743,1.097754,-1.680686,306.562,135.6086,344.9018
118.6796,-2.299269,1.097422,-1.680972,306.5259,135.5569,345.1589
118.6907,-2.299844,1.097197,-1.681088,306.4922,135.3247,345.5391
118.7019,-2.300489,1.096963,-1.681263,306.4368,135.0273,345.9455
118.7229,-2.301612,1.096645,-1.681511,306.3594,134.5622,346.67
118.7315,-2.301612,1.096645,-1.681511,306.3594,134.5622,346.67
118.7394,-2.302042,1.096499,-1.681763,306.4116,134.4641,346.9376
118.7476,-2.301897,1.096579,-1.681831,306.7523,134.4975,347.255
118.7576,-2.301153,1.0968,-1.681295,307.1835,133.5611,348.6109
118.7785,-2.29905,1.09798,-1.680187,308.7304,130.8251,351.8973
118.7909,-2.297004,1.099405,-1.679723,310.4205,129.0491,354.1908
118.8018,-2.294433,1.101151,-1.679598,312.7629,127.1929,356.4411
118.8129,-2.291251,1.103087,-1.680216,315.5872,126.3583,357.9078
118.8241,-2.287397,1.105291,-1.681231,318.9169,125.522,359.3071
118.8351,-2.282771,1.10776,-1.682942,322.8115,124.3287,0.95002
118.8462,-2.277645,1.110232,-1.684678,326.7625,123.6854,2.327737
118.8574,-2.269576,1.112818,-1.687555,332.9156,123.097,4.577294
118.8685,-2.260363,1.115451,-1.691463,339.5862,122.8876,6.978978
118.8795,-2.251894,1.119041,-1.694868,345.0277,123.1311,8.580071
118.8907,-2.241853,1.127205,-1.697288,349.6745,123.751,10.30211
118.9018,-2.156897,1.162033,-1.663096,351.1088,122.8888,11.68804
118.923,-2.128031,1.180142,-1.665202,355.1514,124.2795,13.32477
118.9314,-2.128031,1.180142,-1.665202,355.1514,124.2795,13.32477
118.9431,-2.083164,1.192292,-1.668062,349.8638,124.3012,7.677654
118.9513,-2.083164,1.192292,-1.668062,349.8638,124.3012,7.677654
118.9596,-2.058278,1.193294,-1.668326,352.4174,124.4503,3.782339
118.9683,-2.03347,1.196169,-1.669269,350.3476,122.5505,1.809987
118.9896,-1.9782,1.196619,-1.673379,343.8991,120.8481,357.1391
118.998,-1.9782,1.196619,-1.673379,343.8991,120.8481,357.1391
119.0057,-1.941284,1.209358,-1.686409,342.8097,121.1316,354.7972
119.0227,-1.884171,1.202538,-1.69559,338.768,121.3233,350.5861
119.0311,-1.884171,1.202538,-1.69559,338.768,121.3233,350.5861
119.039,-1.850862,1.18327,-1.696487,336.8057,121.2234,348.9067
119.0471,-1.822169,1.177243,-1.699716,334.4168,120.7347,347.6685
119.0573,-1.79247,1.173601,-1.70532,331.9723,120.2267,346.6444
119.0782,-1.732858,1.166313,-1.71733,326.1804,119.8956,344.4381
119.0868,-1.732858,1.166313,-1.71733,326.1804,119.8956,344.4381
119.0987,-1.672704,1.160056,-1.728995,320.3763,119.4208,343.5237
119.1069,-1.672704,1.160056,-1.728995,320.3763,119.4208,343.5237
119.1151,-1.64296,1.156278,-1.735942,317.817,119.4906,342.9237
119.1239,-1.614295,1.153854,-1.742818,315.636,121.0735,341.3909
119.145,-1.556627,1.149477,-1.754252,311.9498,123.29,338.4133
119.1534,-1.556627,1.149477,-1.754252,311.9498,123.29,338.4133
119.1612,-1.528147,1.147909,-1.759434,310.5954,124.1862,337.0678
119.1694,-1.500676,1.14774,-1.764699,309.7666,124.523,336.2951
119.1793,-1.475047,1.149912,-1.768338,308.0314,124.4784,335.7996
119.1908,-1.450646,1.1536,-1.771793,305.1347,123.9282,335.88
119.2015,-1.428091,1.157108,-1.77623,302.4717,125.0993,334.5048
119.2128,-1.406495,1.160831,-1.779966,300.4165,127.4821,332.0811
119.2239,-1.385198,1.16284,-1.783263,298.8075,129.2055,330.2672
119.235,-1.365421,1.16507,-1.78595,297.7343,130.2437,329.4718
119.246,-1.34689,1.166215,-1.788078,297.1883,130.9297,329.2574
119.2579,-1.328596,1.166528,-1.791451,297.7466,133.3524,327.3702
119.2684,-1.310412,1.166895,-1.794361,298.3923,136.1822,324.8995
119.2793,-1.293784,1.166397,-1.798021,300.2927,139.1836,322.1424
119.2905,-1.278491,1.166564,-1.800032,302.0277,141.0498,320.2337
119.3115,-1.252843,1.169426,-1.802887,302.2397,140.9681,319.4225
119.3199,-1.252843,1.169426,-1.802887,302.2397,140.9681,319.4225
119.3277,-1.240167,1.170718,-1.803713,300.8937,140.2215,319.7684
119.3357,-1.229308,1.171989,-1.804687,299.148,138.5191,320.8604
119.3459,-1.219444,1.171646,-1.806555,297.9882,137.6326,321.0379
119.357,-1.209453,1.170676,-1.808013,297.5904,137.1678,320.8553
119.3782,-1.190221,1.164428,-1.810806,298.567,134.3299,322.9998
119.3865,-1.190221,1.164428,-1.810806,298.567,134.3299,322.9998
119.3942,-1.181507,1.158365,-1.811548,300.5383,132.0848,325.0648
119.4026,-1.173232,1.153537,-1.812887,302.5436,131.0402,325.7863
119.4144,-1.166548,1.146201,-1.813182,305.6409,130.0403,326.2867
119.4239,-1.161784,1.139446,-1.813345,308.321,129.0745,326.7334
119.4347,-1.158558,1.13298,-1.813403,310.5389,127.7357,327.652
119.4458,-1.157337,1.128174,-1.811786,310.9493,125.6346,329.9688
119.4667,-1.156011,1.119081,-1.812584,309.1135,119.3048,337.2773
119.4752,-1.156011,1.119081,-1.812584,309.1135,119.3048,337.2773
119.4829,-1.156905,1.111421,-1.816049,310.2172,119.2055,338.7986
119.4999,-1.163201,1.119282,-1.812635,317.5173,121.5208,337.1697
119.508,-1.163201,1.119282,-1.812635,317.5173,121.5208,337.1697
119.516,-1.175244,1.112091,-1.804008,296.756,109.9404,340.4842
119.5333,-1.157074,1.10167,-1.8019,311.7404,112.8612,341.6912
119.5445,-1.169846,1.08759,-1.799159,305.6645,112.7136,345.5135
119.5523,-1.169846,1.08759,-1.799159,305.6645,112.7136,345.5135
119.5595,-1.166883,1.093312,-1.804104,306.2889,124.8058,335.8466
119.5708,-1.160375,1.095406,-1.804116,308.7798,117.1606,342.2886
119.5787,-1.160819,1.091051,-1.804504,308.0066,118.1353,341.3371
119.5897,-1.161114,1.099166,-1.810143,308.8708,120.8828,338.1985
119.6007,-1.16138,1.097278,-1.809994,308.9336,121.673,337.461
119.6118,-1.15247,1.100949,-1.806375,308.2713,120.7658,338.7617
119.623,-1.151678,1.099175,-1.804949,307.8999,118.1211,341.1722
119.6343,-1.155307,1.101799,-1.805049,307.6723,118.9141,340.5744
119.645,-1.154086,1.108603,-1.808677,308.2043,119.6951,339.7624
119.6562,-1.153035,1.108189,-1.807835,308.2442,119.6245,339.8122
119.6674,-1.152319,1.107618,-1.807669,308.3035,119.3731,340.0177
119.6786,-1.152009,1.106699,-1.809023,308.2231,119.7998,339.6161
119.6899,-1.154696,1.110323,-1.809809,308.0201,119.4194,339.9579
119.7011,-1.156975,1.1127,-1.810697,308.0475,119.6615,339.5758
119.7125,-1.158713,1.115487,-1.811471,308.0392,120.1768,339.0062
119.7245,-1.16052,1.11643,-1.811458,308.0571,120.7355,338.2861
119.7348,-1.160382,1.116637,-1.811678,307.9752,121.5128,337.5377
119.7556,-1.160304,1.117548,-1.811442,308.6292,121.0527,338.3471
119.7644,-1.160304,1.117548,-1.811442,308.6292,121.0527,338.3471
119.7721,-1.159889,1.117519,-1.811102,308.3775,120.6508,338.9458
119.7805,-1.159814,1.117594,-1.810992,308.4764,120.6462,339.0154
119.7999,-1.159847,1.117129,-1.810964,308.5466,120.6311,338.9279
119.8082,-1.159847,1.117129,-1.810964,308.5466,120.6311,338.9279
119.8165,-1.160634,1.116537,-1.812009,308.6705,121.0438,338.4106
119.8334,-1.160359,1.116137,-1.811867,308.7415,121.0737,338.2802
119.842,-1.160359,1.116137,-1.811867,308.7415,121.0737,338.2802
119.8497,-1.160198,1.116194,-1.811983,308.6577,120.9353,338.3936
119.8666,-1.159978,1.116138,-1.81223,308.6867,121.1855,338.2515
119.8785,-1.15972,1.115813,-1.812097,308.6538,120.6115,338.8484
119.8868,-1.15969,1.115723,-1.811855,308.6534,120.8596,338.735
119.8945,-1.15969,1.115723,-1.811855,308.6534,120.8596,338.735
119.9025,-1.159582,1.115487,-1.812011,308.6157,120.7676,338.8213
119.9125,-1.159309,1.115562,-1.811878,308.601,120.9264,338.7798
119.9333,-1.15921,1.115955,-1.810729,308.3279,120.1529,339.6681
