time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
123.3213,-2.095487,2.189198,-1.088264,326.6212,168.9276,11.22482
123.3349,-2.092402,2.187833,-1.098209,326.8215,168.7158,11.43616
123.3435,-2.089736,2.185906,-1.10773,327.0915,168.6352,11.28315
123.3548,-2.086821,2.184408,-1.116856,327.2455,168.4786,11.11746
123.3659,-2.083649,2.182405,-1.127061,327.2047,168.2501,10.90718
123.3769,-2.080656,2.180644,-1.135904,327.1265,167.8915,11.16024
123.3882,-2.076864,2.178613,-1.14582,326.8815,167.3984,11.81705
123.4081,-2.070146,2.175041,-1.162504,326.5608,166.3242,13.22592
123.4142,-2.068201,2.174018,-1.167391,326.5144,166.0052,13.55674
123.4214,-2.065337,2.172518,-1.174146,326.5422,165.5031,13.95069
123.4325,-2.06125,2.170168,-1.183262,326.755,164.9058,14.21159
123.4435,-2.057817,2.168193,-1.192655,327.0071,164.7245,13.69935
123.4547,-2.054296,2.166126,-1.202964,327.199,164.6097,13.16672
123.4657,-2.051103,2.164367,-1.212397,327.4327,164.7316,12.76843
123.4769,-2.047141,2.161954,-1.222774,327.6853,164.6489,13.08698
123.4966,-2.039639,2.158863,-1.239721,328.1039,163.8676,13.92451
123.5019,-2.037694,2.158185,-1.243892,328.1929,163.6237,14.0225
123.5101,-2.034163,2.157146,-1.251299,328.2756,163.1275,14.08077
123.5214,-2.029972,2.156075,-1.259759,328.2473,162.5625,14.08291
123.5324,-2.026109,2.155539,-1.268334,328.1236,162.2331,14.05423
123.5435,-2.022104,2.155159,-1.277842,327.9369,162.084,14.09597
123.5636,-2.015708,2.1551,-1.293348,327.7023,161.9089,14.73781
123.5687,-2.013773,2.155098,-1.298027,327.6753,161.8256,14.9495
123.5767,-2.011155,2.155208,-1.304319,327.7431,161.7056,15.26522
123.5878,-2.007448,2.155418,-1.312693,328.0254,161.4248,15.72882
123.5991,-2.003486,2.155854,-1.32188,328.323,161.1436,16.00364
123.6101,-2.000018,2.156639,-1.33004,328.6983,160.9279,15.7194
123.6214,-1.996997,2.157969,-1.337864,328.9925,160.8389,15.03646
123.6323,-1.99358,2.159438,-1.346188,329.0682,160.7685,14.64546
123.6434,-1.990713,2.161023,-1.353533,328.9184,160.7066,14.50094
123.6545,-1.987659,2.162503,-1.360576,328.6393,160.528,14.67986
123.6658,-1.984073,2.163815,-1.368317,328.389,160.207,15.00564
123.6768,-1.980464,2.164865,-1.375137,328.0779,159.7113,15.54902
123.6966,-1.973818,2.166212,-1.387594,327.8686,158.7528,15.95166
123.7057,-1.970456,2.166748,-1.393789,327.8818,158.3333,15.96216
123.7107,-1.968775,2.166847,-1.39703,327.9379,158.1439,15.91711
123.7213,-1.965205,2.166884,-1.404273,328.1405,157.876,15.5356
123.736,-1.960607,2.166842,-1.414086,328.4629,157.6734,15.08779
123.7438,-1.958004,2.166511,-1.41935,328.6642,157.5339,15.00772
123.7544,-1.95445,2.166214,-1.426424,328.9521,157.295,15.05539
123.7657,-1.950534,2.165751,-1.433418,329.1569,156.9855,15.23069
123.7767,-1.946005,2.165097,-1.440944,329.2818,156.5301,15.37319
123.7879,-1.941931,2.164558,-1.447789,329.3957,156.1406,15.26823
123.8076,-1.93449,2.163645,-1.460663,329.7257,155.4188,15.12053
123.813,-1.932065,2.163169,-1.464414,329.8665,155.184,15.11181
123.8298,-1.92474,2.16126,-1.475036,330.4051,154.3757,15.10676
123.8346,-1.922306,2.160593,-1.478099,330.6062,154.0469,15.06059
123.8432,-1.918681,2.159921,-1.483914,330.8517,153.6171,14.99558
123.8544,-1.913208,2.158471,-1.49066,331.1919,152.9066,15.0105
123.8655,-1.907787,2.157076,-1.497959,331.3919,152.3052,15.06332
123.8765,-1.902539,2.155911,-1.504424,331.4108,151.718,15.19416
123.8877,-1.897374,2.1547,-1.510904,331.4087,151.116,15.25796
123.8988,-1.891821,2.153366,-1.518182,331.5,150.3885,15.35991
