time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.57446,-2.044188,2.160545,-0.978704,339.1983,319.1871,124.9427
46.58673,-2.044597,2.159818,-0.987265,339.3135,318.4891,124.8255
46.59745,-2.044965,2.158868,-0.996282,339.5403,317.7311,124.8291
46.6188,-2.046147,2.157655,-1.012369,340.5481,316.232,124.6952
46.63295,-2.046662,2.157208,-1.019933,340.796,316.2319,124.152
46.64108,-2.047251,2.156775,-1.027652,340.8662,316.4515,123.4883
46.65232,-2.04798,2.156578,-1.035141,340.9791,316.8234,122.7279
46.66343,-2.04821,2.156127,-1.042509,341.5425,316.2163,122.4608
46.67452,-2.048467,2.156448,-1.047105,342.2244,315.6073,121.9026
46.68579,-2.049294,2.156068,-1.054883,342.7611,315.7431,121.3676
46.69671,-2.050503,2.155783,-1.063605,343.0858,316.0338,121.1576
46.7078,-2.051814,2.155629,-1.072384,343.3283,315.6362,121.1174
46.71897,-2.053388,2.15589,-1.081856,343.4318,313.953,121.3057
46.72997,-2.055147,2.156495,-1.091032,343.307,311.6611,121.6205
46.74113,-2.056659,2.157169,-1.099198,342.9849,309.7777,121.4942
46.75224,-2.057837,2.15755,-1.107322,342.5213,308.4568,121.3916
46.76331,-2.058786,2.15787,-1.114368,341.5581,307.734,121.1455
46.77449,-2.059139,2.157612,-1.120619,340.659,307.6946,120.6212
46.78552,-2.059335,2.156817,-1.126353,340.2054,307.7894,120.0374
46.79662,-2.059583,2.155785,-1.131595,340.6255,307.6885,119.6357
46.80778,-2.060174,2.155155,-1.137,341.2657,307.2977,119.397
46.81881,-2.060427,2.154103,-1.141915,342.4536,307.1867,119.0642
46.83002,-2.060859,2.153671,-1.146968,343.2204,306.9109,119.0603
46.84107,-2.061144,2.153884,-1.152173,344.3086,306.3985,119.4641
46.85223,-2.061466,2.155423,-1.15741,345.7784,305.4663,120.1618
46.86324,-2.061549,2.156889,-1.16261,347.0923,304.421,120.8492
46.87437,-2.061256,2.159409,-1.167836,348.1536,303.3828,121.4389
46.88555,-2.060576,2.16135,-1.173202,348.9629,302.6833,121.9689
46.89653,-2.059087,2.163215,-1.178653,348.4695,302.3217,122.3487
46.90769,-2.057589,2.164035,-1.184149,346.9694,302.2065,122.531
46.91879,-2.055342,2.164711,-1.189994,344.9708,301.9475,122.7438
46.92985,-2.05326,2.165013,-1.195378,343.5551,301.1773,122.7562
46.94092,-2.051375,2.165388,-1.200755,342.3895,300.3193,122.9164
46.95205,-2.04951,2.165844,-1.20581,341.5001,299.6247,123.0795
46.9632,-2.047601,2.16626,-1.210797,341.0383,299.034,123.2362
46.97433,-2.045484,2.166483,-1.215466,341.42,298.6888,123.2855
46.98537,-2.043259,2.166777,-1.220213,341.8607,298.2366,123.4197
46.99656,-2.040614,2.166584,-1.223797,343.269,297.6955,123.5501
47.00755,-2.037769,2.16659,-1.227745,343.829,297.2025,123.6702
47.01867,-2.034868,2.166371,-1.231297,344.3196,296.8419,123.6591
47.02984,-2.031061,2.165874,-1.234105,344.2695,296.9605,123.4753
47.04093,-2.027596,2.16565,-1.237204,344.1418,297.1486,123.3022
47.05213,-2.024146,2.165259,-1.240315,343.8741,297.0545,123.2518
47.06313,-2.020629,2.164618,-1.243219,343.5375,296.8235,123.0841
47.07423,-2.017376,2.163696,-1.246402,343.531,296.7741,122.8162
47.08548,-2.014084,2.162726,-1.250159,344.0882,296.7436,122.7
47.09676,-2.01087,2.16136,-1.253961,344.8953,296.6372,122.5679
