time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.57446,-1.979628,1.132984,-1.387257,296.5038,159.6714,332.6833
46.58673,-1.977527,1.130808,-1.394381,298.9968,164.1647,328.1063
46.59745,-1.976384,1.128848,-1.395692,300.3048,166.6248,325.6239
46.6188,-1.984097,1.121396,-1.387509,303.6403,160.896,333.4202
46.63295,-1.983487,1.123192,-1.385714,304.5086,163.8846,330.8715
46.64108,-1.981798,1.129499,-1.383633,298.0999,159.2916,334.6126
46.65232,-1.976907,1.126801,-1.388077,297.6056,161.4905,333.025
46.66343,-1.977051,1.125782,-1.389313,303.4054,158.4165,336.0526
46.67452,-1.981885,1.125485,-1.38835,300.3276,161.7916,333.132
46.68579,-1.979882,1.121876,-1.389818,301.6448,160.4653,333.9857
46.69671,-1.983868,1.121902,-1.387203,301.4741,161.0092,333.6247
46.7078,-1.98412,1.121729,-1.387512,301.9509,161.2902,333.2629
46.71897,-1.985405,1.12169,-1.385524,301.5158,161.2928,333.1894
46.72997,-1.985409,1.121488,-1.385786,301.731,161.2502,333.2128
46.74113,-1.985996,1.121452,-1.385201,301.7357,161.3799,333.0716
46.75224,-1.986294,1.121351,-1.385304,301.7036,161.63,332.815
46.76331,-1.9861,1.121159,-1.385514,301.6953,161.5927,332.8091
46.77449,-1.986346,1.120882,-1.385896,301.7184,161.6781,332.7406
46.78552,-1.986383,1.12079,-1.385918,301.7101,161.7613,332.6829
46.79662,-1.986091,1.120664,-1.386045,301.6803,161.7063,332.7434
46.80778,-1.986266,1.120457,-1.386063,301.6588,161.8723,332.5674
46.81881,-1.986128,1.120597,-1.386311,301.6668,161.9603,332.4805
46.83002,-1.986072,1.120551,-1.386289,301.669,161.8429,332.6112
46.84107,-1.986284,1.120464,-1.386234,301.747,161.8764,332.5824
46.85223,-1.986346,1.120581,-1.386349,301.8438,161.9535,332.5204
46.86324,-1.986341,1.120513,-1.386437,301.9617,161.9584,332.5524
46.87437,-1.986144,1.120703,-1.386514,302.1148,161.9879,332.5019
46.88555,-1.986135,1.120746,-1.38665,302.2624,162.1061,332.4031
46.89653,-1.985958,1.120766,-1.386896,302.3846,162.1799,332.3413
46.90769,-1.985886,1.120818,-1.387037,302.5466,162.2863,332.2469
46.91879,-1.985928,1.120838,-1.387057,302.6911,162.4378,332.1105
46.92985,-1.985715,1.120828,-1.387277,302.7329,162.5504,332.0921
