time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.64865,-1.896473,1.785518,-1.163483,48.43964,116.6907,324.5994
69.66222,-1.904376,1.780927,-1.163609,49.79163,115.1247,324.0922
69.6713,-1.90958,1.777815,-1.163954,50.74567,114.027,323.6972
69.68003,-1.914507,1.774893,-1.164363,51.63522,112.9994,323.3397
69.68873,-1.919283,1.772092,-1.164951,52.49896,111.9907,322.9747
69.6991,-1.924764,1.768865,-1.165959,53.43641,110.9833,322.6093
69.71027,-1.930173,1.76598,-1.167519,54.41088,110.0674,322.304
69.72136,-1.935086,1.763525,-1.169513,55.25867,109.3031,322.1395
69.73256,-1.939596,1.761256,-1.171544,56.03093,108.5568,321.9794
69.75359,-1.946118,1.757812,-1.176887,57.23548,107.3324,321.8191
69.76168,-1.948031,1.756523,-1.179348,57.65468,106.887,321.7714
69.76962,-1.949609,1.755516,-1.182107,57.99387,106.5441,321.8044
69.78679,-1.950989,1.753684,-1.188775,58.41301,106.2236,322.2191
69.79462,-1.951225,1.753177,-1.192085,58.48506,106.2018,322.5124
69.80264,-1.951958,1.752575,-1.195041,58.6309,106.0957,322.7427
69.82072,-1.95013,1.752085,-1.203866,58.28037,106.6111,323.9662
69.82932,-1.949073,1.752064,-1.208282,58.06156,106.9782,324.572
69.84264,-1.946605,1.752176,-1.215228,57.69426,107.711,325.4177
69.85046,-1.945078,1.752294,-1.2194,57.50528,108.1762,325.9034
69.8583,-1.9437,1.752387,-1.22346,57.39536,108.5002,326.3181
69.87543,-1.939109,1.75276,-1.23285,57.05702,109.7566,327.4083
69.88326,-1.936943,1.752851,-1.237069,56.96676,110.3116,327.8722
69.89108,-1.934525,1.752898,-1.241565,56.91476,110.8678,328.3091
69.89876,-1.931736,1.752999,-1.245894,56.90517,111.3029,328.6255
69.91,-1.92829,1.753047,-1.25158,56.88232,111.9489,329.0798
69.9211,-1.923884,1.752897,-1.257372,56.9364,112.5538,329.5062
69.9321,-1.919188,1.752981,-1.263186,57.01132,113.1229,329.889
69.94328,-1.914476,1.752816,-1.270092,57.08583,113.6293,330.2087
69.95437,-1.908901,1.753024,-1.275711,57.14336,114.1201,330.4922
69.9753,-1.896871,1.754257,-1.286691,57.08567,114.82,330.8571
69.98326,-1.892187,1.754787,-1.291026,57.05296,115.0804,330.9986
69.99082,-1.886796,1.755709,-1.294736,57.02562,115.0352,330.8761
69.99858,-1.881091,1.756499,-1.298818,57.04972,115.1033,330.8386
70.00983,-1.873345,1.757562,-1.304629,57.06545,115.2205,330.7546
70.02077,-1.864513,1.75851,-1.310824,57.13372,115.3766,330.551
70.03196,-1.855455,1.759691,-1.316676,57.15267,115.645,330.4089
