time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.64865,-2.118433,1.841269,-1.642375,46.87159,123.4029,36.17893
69.66222,-2.108558,1.843282,-1.65593,46.16703,123.1742,36.40465
69.6713,-2.101746,1.844586,-1.66529,45.75202,123.0321,36.59981
69.68003,-2.095198,1.845773,-1.673964,45.35389,122.9398,36.77901
69.68873,-2.088562,1.846971,-1.682438,44.94587,122.8487,36.90938
69.6991,-2.080564,1.848085,-1.692088,44.48812,122.7284,37.06143
69.71027,-2.072211,1.850113,-1.702567,43.9188,122.5191,37.31772
69.72136,-2.063473,1.851617,-1.711984,43.33004,122.2645,37.57091
69.73256,-2.055617,1.853827,-1.721049,42.72316,121.9469,37.68037
69.75359,-2.039198,1.856516,-1.737246,41.58238,121.3946,37.79952
69.76168,-2.032844,1.857599,-1.743324,41.14425,121.1877,37.82851
69.76962,-2.026421,1.858476,-1.749029,40.7092,121.0316,37.85361
69.78679,-2.013145,1.859806,-1.760168,39.8623,120.7213,37.81232
69.79462,-2.007245,1.860447,-1.764798,39.50002,120.5603,37.74814
69.80264,-2.001422,1.861074,-1.769178,39.13847,120.3658,37.64973
69.82072,-1.988228,1.862705,-1.778646,38.32365,119.9319,37.27871
69.82932,-1.981997,1.863409,-1.782947,37.96928,119.766,37.09745
69.84264,-1.972937,1.864304,-1.788971,37.52239,119.5624,36.82706
69.85046,-1.967828,1.865041,-1.792502,37.27617,119.4559,36.57732
69.8583,-1.962716,1.865401,-1.795656,37.05275,119.411,36.35529
69.87543,-1.952089,1.866186,-1.802071,36.55807,119.4065,35.94235
69.88326,-1.947073,1.866487,-1.805062,36.31907,119.3714,35.76111
69.89108,-1.942277,1.867131,-1.808043,36.058,119.3034,35.53611
69.89876,-1.938121,1.867141,-1.8099,35.83294,119.2326,35.32586
69.91,-1.931397,1.867805,-1.813514,35.48244,119.0889,35.02392
69.9211,-1.924958,1.867781,-1.816569,35.17009,118.9056,34.75819
69.9321,-1.920162,1.86904,-1.819402,34.94205,118.6358,34.52705
69.94328,-1.915452,1.869327,-1.821672,34.94331,118.3167,34.31677
69.95437,-1.910764,1.867993,-1.823028,35.25157,117.8249,34.01723
69.9753,-1.902351,1.866452,-1.825418,35.76062,116.8841,33.37228
69.98326,-1.899081,1.865717,-1.826459,35.97361,116.5163,33.15485
69.99082,-1.897018,1.865093,-1.827141,36.29959,116.1007,32.95812
69.99858,-1.894723,1.864118,-1.827797,36.73613,115.6551,32.69812
70.00983,-1.891254,1.86279,-1.82857,37.32159,115.0235,32.26978
70.02077,-1.88813,1.860565,-1.829595,38.0794,114.3405,31.79579
70.03196,-1.885151,1.858891,-1.831074,38.64518,113.7504,31.41804
70.04316,-1.882044,1.856558,-1.832841,39.23076,113.2721,31.10423
70.05437,-1.878857,1.853908,-1.834969,39.75225,112.9009,30.80816
70.06541,-1.875894,1.851001,-1.836848,40.12257,112.5952,30.50508
70.07666,-1.872707,1.848263,-1.839429,40.37171,112.4155,30.24355
70.08763,-1.868591,1.844436,-1.841733,40.50821,112.2884,30.04221
70.09882,-1.865465,1.841986,-1.844578,40.61935,112.2599,29.96972
70.10984,-1.86282,1.840384,-1.847602,40.61687,112.4493,30.16979
70.12099,-1.860014,1.837366,-1.850073,40.69419,112.8188,30.56409
70.13189,-1.858053,1.835844,-1.853032,40.95601,113.1249,30.86035
70.1431,-1.854933,1.831318,-1.855436,41.59816,113.4324,31.05736
70.15423,-1.853974,1.829895,-1.858049,42.49929,113.6221,31.00255
70.16526,-1.853257,1.828606,-1.860176,43.41528,113.5851,30.72794
70.18632,-1.850755,1.825788,-1.864352,45.02567,113.3568,30.20844
70.19425,-1.849497,1.82459,-1.865909,45.57944,113.1057,30.00709
70.202,-1.848406,1.823033,-1.867596,45.93815,112.7912,29.9414
70.20953,-1.846894,1.821931,-1.868893,46.21698,112.2746,29.7406
70.22077,-1.844281,1.820233,-1.870885,46.48782,111.3011,29.41705
70.24176,-1.838638,1.816687,-1.87438,46.91291,109.3951,28.91692
70.24973,-1.836558,1.815328,-1.875966,47.0486,108.6724,28.78072
70.25745,-1.8347,1.814216,-1.877762,47.2218,108.009,28.60805
70.27522,-1.830503,1.811644,-1.882257,47.7508,106.6651,28.05177
70.28279,-1.827735,1.809324,-1.883667,48.04924,106.2932,28.00361
70.29043,-1.825594,1.807659,-1.886043,48.4077,105.8687,27.82475
70.30848,-1.820609,1.804021,-1.891382,49.20408,105.0181,27.56839
70.31586,-1.818301,1.802365,-1.894023,49.52933,104.7301,27.55779
70.3233,-1.816131,1.801004,-1.896676,49.84304,104.3968,27.57776
70.3315,-1.813474,1.799872,-1.900028,50.09528,104.0106,27.74731
70.34272,-1.809501,1.797713,-1.904268,50.40471,103.4001,27.83729
70.35365,-1.805183,1.796203,-1.908747,50.56366,102.8679,28.09021
70.36469,-1.801085,1.794409,-1.912993,50.71084,102.4402,28.36984
70.37579,-1.796602,1.794262,-1.91818,50.72184,102.3508,28.92781
70.38684,-1.792132,1.794418,-1.922566,50.89357,102.2591,29.55464
70.39793,-1.787369,1.79434,-1.927081,51.21717,101.8637,29.89943
70.40923,-1.7827,1.794367,-1.931068,51.84693,100.8078,29.49211
70.42027,-1.777825,1.79437,-1.934728,52.47025,99.44743,28.92638
70.43127,-1.77201,1.794558,-1.938088,52.98257,98.16657,28.85491
70.44239,-1.765698,1.794816,-1.941948,53.27363,97.17707,29.36304
70.45343,-1.758862,1.795843,-1.945205,53.3538,95.9941,29.94432
70.46454,-1.752176,1.796876,-1.948532,53.31427,94.65772,30.15588
70.47554,-1.743534,1.799185,-1.951178,52.64864,92.74081,29.99639
70.48662,-1.735513,1.801135,-1.953894,52.20829,91.28531,29.83793
70.49773,-1.72688,1.803915,-1.956972,51.54378,90.20382,29.75484
70.50884,-1.717718,1.806063,-1.960295,50.89391,89.8907,29.98903
70.52003,-1.70865,1.808583,-1.963994,50.29269,89.76539,30.30548
70.53095,-1.698636,1.810998,-1.968426,49.58636,90.54226,30.7697
70.54208,-1.688662,1.813987,-1.972608,48.77986,91.39022,31.15384
70.55326,-1.679479,1.817217,-1.97601,48.012,91.79275,31.34518
70.56439,-1.668768,1.820173,-1.979513,46.97027,92.49493,31.47777
70.57543,-1.658036,1.823551,-1.982688,45.98236,92.84393,31.55317
70.58656,-1.648385,1.826582,-1.986637,44.9764,93.23896,31.68033
70.59763,-1.63842,1.829264,-1.988967,43.93763,93.54881,31.7864
70.60886,-1.628997,1.832583,-1.992148,42.93618,93.85244,31.859
70.61987,-1.619112,1.835235,-1.993648,41.8874,94.16335,31.98862
70.63091,-1.609718,1.838088,-1.995246,40.9105,94.4473,32.09142
70.64207,-1.60065,1.840989,-1.996437,40.04308,94.60494,32.06555
70.65327,-1.59172,1.843819,-1.997281,39.14417,94.76467,32.0702
70.66434,-1.583302,1.846653,-1.997384,38.35289,94.77541,32.03884
70.67531,-1.575474,1.849331,-1.996767,37.65704,94.64037,31.979
70.68649,-1.568696,1.851865,-1.995557,37.03784,94.42052,31.92179
70.69749,-1.561108,1.854457,-1.99411,36.45702,94.09807,31.82841
70.70863,-1.554877,1.856515,-1.992197,35.89197,93.68237,31.73323
70.71984,-1.548158,1.858846,-1.990316,35.31469,93.28067,31.62315
70.73081,-1.54264,1.860796,-1.987644,34.78828,92.78436,31.40829
70.74211,-1.536861,1.862704,-1.984868,34.23869,92.36465,31.09589
70.75315,-1.531417,1.864512,-1.982471,33.69359,92.00743,30.81358
70.76425,-1.527187,1.865873,-1.979326,33.28281,91.77657,30.48885
70.77547,-1.522342,1.867455,-1.976409,32.8281,91.54058,30.18692
70.78677,-1.51791,1.86906,-1.973424,32.46583,91.38542,29.85217
70.79808,-1.51334,1.870315,-1.969997,32.06227,91.23238,29.57877
70.80968,-1.510584,1.871488,-1.966581,31.72251,91.2021,29.31999
70.82106,-1.507256,1.873097,-1.963184,31.33412,91.13921,29.0813
70.83244,-1.50491,1.874242,-1.959812,31.00552,91.19366,28.90724
70.84396,-1.50248,1.875153,-1.956337,30.68071,91.28677,28.72038
70.85577,-1.500826,1.875928,-1.952862,30.43046,91.44521,28.48537
70.86691,-1.499365,1.876284,-1.949136,30.29428,91.60362,28.15587
70.87854,-1.498228,1.876162,-1.945483,30.29229,91.69154,27.68958
70.88992,-1.49666,1.87646,-1.941883,30.43243,91.71291,27.09646
70.90153,-1.496198,1.875701,-1.937747,30.50507,91.56699,26.66207
70.91286,-1.495681,1.874872,-1.93349,30.53515,91.33958,26.3326
70.92433,-1.495508,1.873835,-1.929115,30.47579,91.13546,26.09893
70.93587,-1.495555,1.872756,-1.924756,30.42702,90.86748,25.98189
70.94704,-1.495931,1.871701,-1.920687,30.40002,90.67474,25.8951
70.95808,-1.496643,1.870591,-1.916822,30.41708,90.5622,25.77867
70.96921,-1.497162,1.869531,-1.913144,30.45993,90.48759,25.63269
70.98027,-1.498566,1.868407,-1.909536,30.65955,90.46277,25.53929
70.99141,-1.50005,1.867448,-1.905795,30.99705,90.41306,25.44794
71.00256,-1.501974,1.865729,-1.902205,31.41479,90.31693,25.30396
71.01373,-1.503904,1.864195,-1.898792,31.81575,90.19646,25.07358
71.02489,-1.506256,1.862409,-1.895386,32.29795,90.03853,24.83414
71.03595,-1.508951,1.86025,-1.892031,32.74543,89.87184,24.61225
71.04713,-1.511565,1.858168,-1.888747,33.15707,89.67915,24.43369
71.05826,-1.513933,1.856391,-1.885585,33.47585,89.46092,24.32239
71.0693,-1.516581,1.854322,-1.882505,33.74332,89.14162,24.20069
71.08044,-1.519242,1.852237,-1.879557,34.03429,88.73732,24.09356
71.09151,-1.522166,1.850193,-1.87675,34.36139,88.28634,24.03468
71.1027,-1.524855,1.848117,-1.874218,34.6951,87.86455,24.00416
71.11377,-1.528052,1.845733,-1.871824,35.09618,87.39388,23.99879
71.12486,-1.531085,1.843523,-1.869631,35.48961,86.99057,23.97642
71.13599,-1.534461,1.841425,-1.868174,35.8998,86.71279,24.01456
71.1472,-1.538159,1.839174,-1.867146,36.38856,86.56436,24.09689
71.15827,-1.541992,1.83693,-1.865896,36.91639,86.46629,24.17537
71.16935,-1.546006,1.834788,-1.865254,37.56316,86.49596,24.23473
71.18047,-1.549847,1.832235,-1.864977,38.26583,86.55814,24.18475
71.19163,-1.553986,1.829718,-1.865392,39.07552,86.68861,24.05709
71.20277,-1.558063,1.827128,-1.86544,39.83977,86.72139,24.03407
71.21407,-1.562196,1.824441,-1.865799,40.6469,86.7505,24.15484
71.22517,-1.566192,1.821932,-1.865948,41.39949,86.77631,24.24235
71.23626,-1.570413,1.819187,-1.866454,42.23468,86.77889,24.3488
71.24745,-1.574525,1.816301,-1.866672,43.05936,86.72929,24.49874
71.25873,-1.57889,1.813743,-1.867038,43.91405,86.59188,24.69784
71.2697,-1.582956,1.811369,-1.867349,44.74627,86.42735,24.87654
71.28567,-1.589441,1.808081,-1.867474,46.15899,85.65073,24.96551
71.29316,-1.592618,1.80644,-1.867489,46.82288,85.29521,24.92826
71.30064,-1.595429,1.80527,-1.867417,47.4736,84.68494,24.66027
71.31909,-1.60151,1.802629,-1.867576,48.83147,83.27393,23.74904
71.32668,-1.603741,1.801765,-1.867791,49.29013,82.8318,23.4975
71.3345,-1.606301,1.800767,-1.867968,49.77249,82.42558,23.31243
71.35261,-1.609867,1.799222,-1.869307,50.42145,82.37677,23.17724
71.36033,-1.611062,1.798564,-1.870223,50.6671,82.59847,23.24984
71.36848,-1.611864,1.797996,-1.871201,50.85893,82.94921,23.36856
71.38595,-1.612994,1.797186,-1.874019,51.14071,83.9034,23.69644
71.39381,-1.612831,1.797171,-1.8753,51.17456,84.35747,23.7248
71.40166,-1.612588,1.797097,-1.876536,51.07757,84.90588,23.89494
71.41941,-1.612895,1.797272,-1.877719,50.67682,86.03835,24.40059
71.42736,-1.612194,1.797255,-1.878694,50.50547,86.52974,24.62049
71.4352,-1.611889,1.797451,-1.880293,50.36452,86.91993,24.72827
71.44296,-1.610707,1.797858,-1.881142,50.07329,87.37936,24.9302
71.45381,-1.609569,1.798193,-1.882293,49.78355,87.91409,25.03316
71.4648,-1.607892,1.799031,-1.883238,49.38349,88.42922,24.96236
71.47601,-1.60617,1.800074,-1.884113,48.92459,89.00853,24.93797
71.49707,-1.602654,1.801829,-1.885795,48.05699,90.2168,25.07796
71.5052,-1.601476,1.802497,-1.886458,47.75458,90.65324,25.11875
71.51303,-1.600219,1.803137,-1.886879,47.51211,91.02618,25.12955
71.52103,-1.59908,1.803659,-1.887275,47.30977,91.33567,25.13066
71.53163,-1.598044,1.804387,-1.887756,47.06281,91.68577,25.14004
71.54266,-1.596591,1.804948,-1.888044,46.87103,91.94756,25.12169
71.55388,-1.595438,1.805086,-1.887696,46.89272,91.64729,24.99879
71.57475,-1.593424,1.805595,-1.887206,46.92538,91.03583,24.84208
71.58288,-1.592696,1.805658,-1.886958,47.01137,90.72448,24.91646
71.59069,-1.592093,1.805604,-1.886689,47.10763,90.42793,25.06998
71.59843,-1.591238,1.805773,-1.886203,47.22044,90.23066,25.29027
71.60932,-1.59019,1.805813,-1.886013,47.38615,89.99746,25.53889
71.63026,-1.58809,1.806263,-1.885797,47.85909,89.96768,26.20035
71.6383,-1.587068,1.806494,-1.885915,48.07396,90.01437,26.53527
71.6461,-1.586355,1.806672,-1.885923,48.24568,90.02489,26.82231
71.66352,-1.583436,1.807244,-1.88614,48.46564,89.8617,27.07407
71.67127,-1.581884,1.807453,-1.886183,48.44804,89.80828,27.14286
71.67893,-1.579844,1.807789,-1.886291,48.36967,89.84991,27.23906
71.69688,-1.5745,1.808146,-1.886945,48.04754,90.22913,27.49638
71.70464,-1.571722,1.808191,-1.887461,47.78823,90.53664,27.57339
71.71229,-1.569297,1.808311,-1.88789,47.52904,90.91423,27.69024
71.73021,-1.562454,1.808386,-1.889396,46.72772,91.8152,28.16989
71.73801,-1.559158,1.808641,-1.88997,46.27266,92.20234,28.5938
71.74577,-1.556217,1.809147,-1.890602,45.7589,92.59564,29.12275
71.76348,-1.549933,1.810862,-1.892397,44.6103,93.5512,30.40576
71.77113,-1.547138,1.811576,-1.89306,44.1865,93.94209,30.86307
71.77865,-1.544658,1.812717,-1.893772,43.87453,94.4031,31.29563
71.79671,-1.539029,1.815093,-1.895136,43.33535,95.28262,31.80187
71.80432,-1.536533,1.816087,-1.895698,43.09131,95.66304,31.99467
71.81182,-1.534142,1.817456,-1.89607,42.883,96.04821,31.91988
71.83006,-1.528134,1.820454,-1.897194,42.08539,96.96584,32.0645
71.83759,-1.525552,1.821981,-1.897459,41.59326,97.34084,32.1231
71.84506,-1.523097,1.823348,-1.897731,41.12331,97.65685,32.22132
71.86304,-1.517494,1.826898,-1.898325,39.93482,98.40076,32.57335
71.87086,-1.515363,1.82834,-1.89865,39.45545,98.66073,32.70497
71.87813,-1.513287,1.829823,-1.898703,39.02784,98.90551,32.84528
71.88638,-1.511251,1.831353,-1.898697,38.66911,99.0902,32.96397
71.89738,-1.508819,1.833112,-1.898456,38.3224,99.30433,33.07637
71.90862,-1.50683,1.834428,-1.898048,38.25506,99.34118,33.08223
71.91969,-1.505046,1.83527,-1.897409,38.34112,99.26413,33.05759
71.93098,-1.503219,1.836059,-1.896848,38.39015,99.19749,33.02429
71.94188,-1.501573,1.836146,-1.895401,38.59216,98.96671,32.91742
71.95298,-1.499857,1.836457,-1.894734,38.63256,98.82214,32.87094
71.96404,-1.498166,1.836319,-1.893928,38.69696,98.5639,32.89277
71.97515,-1.496411,1.836191,-1.893343,38.68139,98.35813,32.99982
71.98627,-1.494772,1.835995,-1.892741,38.69144,98.18536,33.0912
71.99734,-1.493136,1.835263,-1.892423,38.791,98.10642,33.23979
72.00848,-1.491557,1.8349,-1.892114,38.88648,98.05434,33.32082
72.01964,-1.490045,1.834164,-1.891898,39.04639,98.11337,33.35437
72.03072,-1.488467,1.833301,-1.891865,39.21902,98.2395,33.33747
72.04184,-1.486997,1.832617,-1.891744,39.36279,98.34161,33.29984
72.05312,-1.485399,1.831682,-1.891876,39.55077,98.51374,33.23448
72.06389,-1.483797,1.830748,-1.891895,39.73956,98.66586,33.22589
72.07498,-1.48226,1.829819,-1.891783,39.93803,98.78458,33.27971
72.08616,-1.480393,1.828515,-1.891729,40.15277,98.87431,33.36483
72.09739,-1.478415,1.827311,-1.891658,40.3255,98.94959,33.38541
72.10835,-1.476104,1.82602,-1.89159,40.4269,98.99489,33.33997
72.11954,-1.47367,1.824844,-1.891467,40.45828,99.0076,33.27869
72.13053,-1.471077,1.82347,-1.891203,40.50635,98.96546,33.17073
72.14175,-1.468528,1.822138,-1.890964,40.61307,98.89646,33.02969
72.15281,-1.465935,1.820578,-1.890558,40.78161,98.76478,32.80482
72.16391,-1.463394,1.818986,-1.890251,41.06116,98.5604,32.5271
72.17502,-1.461062,1.817364,-1.889843,41.44118,98.32669,32.33609
72.18608,-1.458589,1.815547,-1.889492,41.83579,98.09572,32.18604
72.19719,-1.455874,1.813537,-1.889257,42.29556,97.83929,32.22714
72.20828,-1.453284,1.81185,-1.888933,42.63152,97.6269,32.21918
72.21944,-1.45018,1.809861,-1.888604,42.97954,97.36601,32.17936
72.23051,-1.446821,1.808109,-1.888401,43.2339,97.08247,31.93803
72.24159,-1.44333,1.806386,-1.888281,43.47836,96.80318,31.60369
72.2527,-1.439646,1.80503,-1.888345,43.65067,96.57681,31.11663
72.26379,-1.435722,1.803549,-1.88852,43.83891,96.42868,30.68729
72.27489,-1.431682,1.801853,-1.889032,44.11222,96.39156,30.41137
72.28607,-1.427713,1.800032,-1.889422,44.42427,96.29192,30.20658
72.29721,-1.423604,1.798322,-1.890214,44.73857,96.255,30.10072
72.3083,-1.419116,1.796517,-1.891094,45.06217,96.14851,30.00255
72.31947,-1.41442,1.794754,-1.892063,45.35336,95.97823,29.90192
72.33047,-1.409194,1.793069,-1.893236,45.56652,95.80567,29.76572
72.34184,-1.403661,1.791576,-1.894444,45.70102,95.69733,29.6259
72.35342,-1.397825,1.790095,-1.895874,45.80635,95.60905,29.48783
72.36473,-1.391564,1.788498,-1.897431,45.92594,95.50299,29.32672
72.3763,-1.384845,1.787116,-1.898966,45.98334,95.33741,29.13762
72.3877,-1.37765,1.785684,-1.900827,45.98626,95.11855,28.9864
72.39908,-1.37085,1.784421,-1.902479,45.9783,94.89847,28.91499
72.41077,-1.362935,1.783366,-1.904721,45.92322,94.62207,28.88998
72.4222,-1.35545,1.782349,-1.907003,45.90083,94.44576,28.74386
72.4335,-1.347949,1.78149,-1.909316,45.90035,94.30488,28.5407
72.44505,-1.339951,1.780805,-1.91211,45.92847,94.21059,28.22994
72.45654,-1.331714,1.780483,-1.915198,45.88936,94.1515,27.92657
72.46783,-1.323645,1.781457,-1.918404,45.65141,94.31321,27.88623
72.47926,-1.315671,1.783635,-1.922241,45.44934,94.63998,28.34149
72.49101,-1.307642,1.786035,-1.926095,45.59285,94.77446,28.82021
72.50192,-1.30068,1.788372,-1.929899,46.01695,94.64684,28.77128
72.51829,-1.288504,1.791316,-1.935319,46.598,94.65052,28.72049
72.52525,-1.283619,1.79267,-1.93781,46.74198,94.7597,28.78913
72.5322,-1.278186,1.794261,-1.940611,46.76097,95.1064,29.04231
