time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
82.23348,-1.953375,1.145136,-1.51763,327.5538,88.4481,8.250017
82.2488,-1.940255,1.142315,-1.527555,325.8574,85.05384,9.6278
82.25944,-1.927881,1.14034,-1.53785,324.4989,82.16611,11.11085
82.26967,-1.914666,1.137758,-1.546966,322.6339,79.56524,12.23355
82.27924,-1.901826,1.135173,-1.556796,321.289,77.11239,13.85209
82.29811,-1.875772,1.130705,-1.571608,318.5898,72.79623,17.57272
82.31426,-1.862862,1.128717,-1.577976,317.1619,71.43923,18.67353
82.32444,-1.850575,1.127199,-1.583968,315.7986,69.75044,19.99677
82.33363,-1.838339,1.125514,-1.588426,314.5044,68.30879,21.26163
82.3428,-1.826218,1.124381,-1.59207,313.4331,67.12233,22.43889
82.35394,-1.814095,1.122295,-1.596172,312.5195,65.63955,23.83239
82.36501,-1.802583,1.121348,-1.598622,311.7885,64.41397,25.0908
82.37607,-1.791731,1.120184,-1.600801,310.9158,63.38135,26.0661
82.38709,-1.781055,1.119955,-1.602658,309.5178,62.72045,26.36234
82.39821,-1.770997,1.11978,-1.603044,308.3412,61.43545,26.97183
82.40937,-1.761106,1.119383,-1.602968,307.4817,59.33348,28.2798
82.4204,-1.751149,1.119344,-1.603611,306.6646,57.55066,29.35663
82.43149,-1.74201,1.119104,-1.60327,306.1584,56.41208,29.91541
82.4427,-1.733781,1.119442,-1.603636,305.6273,55.61954,30.3703
82.46227,-1.718303,1.118866,-1.603676,304.7355,55.08037,30.60704
82.47671,-1.71169,1.117981,-1.604034,304.8174,55.81874,29.93112
82.48721,-1.705081,1.1167,-1.603385,305.4487,56.53559,29.40709
82.49805,-1.698941,1.116041,-1.602801,306.0822,56.60155,29.56281
82.50922,-1.695641,1.116541,-1.603094,305.867,56.47232,30.01984
82.52037,-1.692542,1.117575,-1.602636,304.3764,56.60472,30.12978
82.53144,-1.689251,1.117615,-1.602126,303.7111,56.28262,30.4226
82.54256,-1.685525,1.116379,-1.600952,303.8609,56.17184,30.26138
82.55355,-1.681897,1.114941,-1.600131,304.515,56.13265,29.98824
82.56472,-1.678167,1.113778,-1.599486,304.8708,56.19739,29.74696
82.57585,-1.674847,1.113431,-1.598425,305.1716,56.40186,29.35047
82.5869,-1.672144,1.113103,-1.598166,304.5999,57.00877,28.35907
82.59799,-1.669604,1.1129,-1.597143,304.0125,56.79977,28.08127
82.60915,-1.666759,1.112538,-1.595306,303.7401,55.72897,28.70113
82.62045,-1.664526,1.112207,-1.594264,303.6902,53.89692,30.05367
82.63454,-1.661569,1.111709,-1.593539,303.607,53.43694,30.18808
82.64349,-1.658997,1.110915,-1.59341,303.338,53.81843,29.64023
82.65361,-1.656812,1.10985,-1.593345,303.3277,54.34776,29.01509
82.66475,-1.654878,1.10861,-1.593273,303.4685,54.93619,28.20529
82.67582,-1.652805,1.10677,-1.593563,303.815,56.21768,26.70445
82.6869,-1.65155,1.104977,-1.5938,304.166,57.19281,25.5015
82.698,-1.650153,1.103012,-1.594113,304.399,57.86077,24.64971
82.70915,-1.649736,1.100294,-1.59424,305.0446,58.31539,24.1895
82.72041,-1.649431,1.097797,-1.597265,306.9124,58.97256,22.64973
82.73152,-1.649403,1.096876,-1.600716,305.3356,67.43555,14.79439
82.74252,-1.649899,1.099331,-1.600165,306.1181,67.44434,14.72144
82.7537,-1.652327,1.099873,-1.599123,302.3627,59.93919,21.96366
82.76479,-1.650073,1.098435,-1.598427,303.7007,62.30278,19.54405
82.77585,-1.648933,1.099809,-1.599983,305.1254,61.82614,20.00361
82.78999,-1.648061,1.099639,-1.600112,303.561,63.76068,18.18228
82.79884,-1.647787,1.099264,-1.599224,304.3365,62.98722,18.82904
82.80922,-1.647528,1.099194,-1.598997,304.1536,62.86026,18.92754
82.82021,-1.647082,1.098781,-1.598484,304.3611,62.58295,19.17525
82.83129,-1.64727,1.099016,-1.598061,304.41,62.53704,19.25717
82.84243,-1.64718,1.099052,-1.597672,304.4954,62.27646,19.52443
82.85356,-1.647432,1.098573,-1.597949,304.4112,62.11912,19.69222
82.86465,-1.647142,1.098355,-1.597952,304.4064,62.216,19.52066
