time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.06311,-1.716732,1.869616,-1.312117,20.78768,186.8051,330.2469
46.07783,-1.715481,1.865921,-1.319859,21.06225,185.7696,330.4594
46.08926,-1.71467,1.863212,-1.323154,21.36006,185.1014,330.4811
46.09892,-1.713427,1.860375,-1.327013,21.84049,184.324,330.4888
46.11526,-1.712591,1.857733,-1.329879,22.3402,183.6628,330.508
46.12487,-1.710943,1.852647,-1.333643,23.49466,182.4126,330.5107
46.13501,-1.709564,1.849263,-1.335083,24.40403,181.4237,330.5585
46.14628,-1.708224,1.84577,-1.335866,25.44091,180.2164,330.7188
46.16766,-1.705531,1.839031,-1.336476,27.45511,177.709,331.2044
46.17649,-1.704333,1.836202,-1.335838,28.38598,176.4439,331.3853
46.18477,-1.703489,1.83349,-1.335958,29.1207,175.4399,331.4793
46.19338,-1.702551,1.830597,-1.335431,29.9588,174.3344,331.5912
46.20309,-1.701638,1.827962,-1.334646,30.80742,173.2521,331.6847
46.21256,-1.700669,1.824874,-1.333369,31.75421,171.9516,331.737
46.22387,-1.699755,1.821953,-1.332233,32.69396,170.5852,331.7488
46.23479,-1.698296,1.818641,-1.330009,33.46756,169.2668,331.7096
46.2461,-1.697402,1.816241,-1.328195,34.28788,167.8667,331.5949
46.26742,-1.696214,1.812714,-1.323117,35.67793,165.3273,331.042
46.27662,-1.695934,1.811813,-1.320748,36.31363,164.2232,330.7899
46.28514,-1.695719,1.810708,-1.318604,36.90568,163.138,330.5572
46.29359,-1.695673,1.810352,-1.316544,37.43222,162.0895,330.4519
46.30194,-1.695535,1.809934,-1.314662,37.90777,161.0002,330.424
46.31241,-1.695457,1.80967,-1.312386,38.32075,159.6069,330.5601
46.33388,-1.694929,1.809229,-1.307955,38.8692,156.6233,330.7574
46.34296,-1.69483,1.809443,-1.306194,39.02837,155.3119,330.842
46.35096,-1.694817,1.809776,-1.30473,39.09558,154.2121,330.9779
46.35974,-1.694922,1.810752,-1.302629,39.11211,153.2554,331.1694
46.37813,-1.695457,1.811589,-1.29911,39.37847,151.3209,331.4113
46.38693,-1.695985,1.811913,-1.29745,39.56225,150.5943,331.5728
46.395,-1.696771,1.812056,-1.296111,39.7332,150.1993,331.6405
46.40351,-1.697378,1.812169,-1.294517,39.91219,149.4995,331.6749
46.41255,-1.698358,1.812408,-1.293095,40.12244,149.0475,331.59
46.42389,-1.699397,1.812747,-1.291318,40.3689,148.3854,331.6093
46.43467,-1.700302,1.812844,-1.28951,40.58923,147.7152,331.6731
46.44607,-1.70125,1.812847,-1.287786,40.76859,146.953,331.7704
46.45703,-1.701765,1.812736,-1.286159,40.87148,146.146,331.8346
46.47816,-1.702654,1.812578,-1.283189,40.97744,144.4181,331.9145
46.48695,-1.70243,1.812222,-1.281949,40.95801,143.4892,331.937
46.49545,-1.702272,1.811741,-1.280671,40.96767,142.6281,331.9681
46.50385,-1.70184,1.810977,-1.279352,41.00932,141.6969,331.9919
46.51236,-1.701528,1.810208,-1.277984,41.07336,140.8145,331.9652
46.52446,-1.700934,1.809127,-1.276027,41.19722,139.5922,331.8543
46.5447,-1.699948,1.806596,-1.272709,41.49691,137.6894,331.5337
46.55354,-1.699487,1.805267,-1.271271,41.64884,136.9012,331.3931
46.56158,-1.699019,1.80397,-1.270008,41.77797,136.23,331.2736
46.57052,-1.698533,1.802687,-1.268746,41.903,135.5086,331.1593
46.58915,-1.696939,1.799366,-1.266152,42.17725,133.9822,330.9463
46.59791,-1.696099,1.797764,-1.265053,42.29438,133.243,330.8477
46.60587,-1.695166,1.796287,-1.263993,42.38231,132.5589,330.7354
46.61421,-1.694089,1.794714,-1.263031,42.45411,131.8217,330.5955
46.6233,-1.692724,1.793271,-1.261918,42.50899,130.9522,330.4081
46.63449,-1.691209,1.791605,-1.260582,42.59248,129.9072,330.1859
46.6559,-1.687873,1.789135,-1.258244,42.74294,127.9164,329.8081
46.66486,-1.686325,1.788756,-1.257408,42.7812,127.0773,329.6661
46.67307,-1.684961,1.788523,-1.256685,42.80255,126.318,329.554
46.68146,-1.68354,1.788519,-1.256016,42.82225,125.551,329.4932
46.7001,-1.680304,1.789566,-1.25503,42.79211,123.9985,329.5131
46.70878,-1.678707,1.790129,-1.25474,42.76991,123.3431,329.5595
46.71654,-1.677288,1.790502,-1.254441,42.74789,122.7531,329.5983
46.72466,-1.675074,1.79038,-1.255017,42.64557,122.3774,329.7915
46.73438,-1.673035,1.790981,-1.25527,42.47666,121.8769,329.9384
46.74558,-1.670281,1.791564,-1.256134,42.15776,121.3811,330.067
46.75683,-1.667686,1.79227,-1.256786,41.83852,120.8964,330.1816
46.77778,-1.662701,1.793575,-1.259065,41.29245,120.4534,330.2483
46.78646,-1.660871,1.79403,-1.259976,41.15942,120.4099,330.2608
46.79438,-1.659264,1.794413,-1.260866,41.10004,120.4472,330.276
46.8025,-1.657573,1.794877,-1.26193,41.07533,120.4888,330.3089
46.81195,-1.655809,1.795349,-1.263114,41.15606,120.6822,330.3935
46.83318,-1.651217,1.796683,-1.265979,41.21407,120.9455,330.7813
46.8414,-1.649089,1.797344,-1.267274,41.1896,121.0453,330.9947
46.84965,-1.646871,1.797978,-1.268449,41.09396,121.1036,331.1637
46.86668,-1.64148,1.799628,-1.271134,40.68579,121.003,331.3096
46.87532,-1.638487,1.80047,-1.272338,40.39752,120.8571,331.3076
46.88316,-1.635231,1.801402,-1.273439,40.00377,120.6058,331.2157
46.89988,-1.62889,1.803286,-1.27604,39.39447,120.2022,331.1017
46.90791,-1.625306,1.804312,-1.27708,38.96662,119.8488,330.8917
46.91592,-1.622249,1.805193,-1.278122,38.64523,119.6215,330.8097
46.93315,-1.617942,1.806314,-1.27868,37.85785,118.9864,330.6286
46.94153,-1.614632,1.807452,-1.27962,37.50244,118.6506,330.6122
46.94971,-1.61143,1.808603,-1.280633,37.18668,118.381,330.6036
46.9578,-1.608444,1.809758,-1.281592,36.91343,118.1444,330.6016
46.96781,-1.605006,1.811105,-1.282704,36.59722,117.8578,330.6129
46.98893,-1.598119,1.814225,-1.285188,35.99548,117.3464,330.5844
46.99746,-1.59556,1.815487,-1.286322,35.79339,117.2115,330.4912
47.00538,-1.593389,1.816657,-1.287321,35.62114,117.1471,330.4265
47.01375,-1.590967,1.817886,-1.288348,35.41262,117.0373,330.3736
47.02306,-1.58865,1.819116,-1.289723,35.28062,117.1103,330.3294
47.0342,-1.586145,1.82049,-1.29132,35.16126,117.2045,330.2914
47.04544,-1.583692,1.821686,-1.292915,35.07891,117.3176,330.3193
47.06668,-1.578813,1.823647,-1.29595,34.88242,117.3336,330.4863
47.07543,-1.576812,1.824426,-1.297124,34.77217,117.2837,330.5826
47.08332,-1.574776,1.825216,-1.298215,34.65949,117.1554,330.6173
47.09974,-1.571247,1.826521,-1.300104,34.36575,116.816,330.5243
47.10789,-1.569577,1.827087,-1.300863,34.21743,116.522,330.3628
47.11607,-1.567969,1.827552,-1.301638,34.10541,116.2725,330.2159
47.12423,-1.566435,1.82795,-1.30246,34.02729,116.0417,330.0822
47.13429,-1.564687,1.828401,-1.303416,33.94932,115.7763,329.9524
47.14549,-1.562769,1.828823,-1.304591,33.92072,115.4947,329.9212
47.15646,-1.560991,1.829046,-1.30572,33.89804,115.2062,329.925
47.1676,-1.559414,1.829105,-1.306923,33.90219,114.9208,330.0446
47.1786,-1.557989,1.829054,-1.308151,33.87634,114.6449,330.1674
47.18987,-1.556722,1.82879,-1.30939,33.84657,114.3674,330.2559
47.2008,-1.555495,1.828578,-1.310549,33.83699,114.1279,330.3044
47.22199,-1.554053,1.827635,-1.31299,33.92139,113.8027,330.182
47.23024,-1.553628,1.827156,-1.31399,33.95742,113.6954,330.0926
47.23859,-1.55328,1.826709,-1.315109,34.00308,113.5925,330.0384
47.25554,-1.552834,1.82571,-1.317182,34.07678,113.3958,330.0838
47.26412,-1.55261,1.825201,-1.318244,34.10515,113.2467,330.1241
47.27248,-1.552469,1.824715,-1.31909,34.14713,113.0779,330.1799
47.28079,-1.55236,1.824209,-1.320048,34.19696,112.8768,330.2427
47.29967,-1.552535,1.822994,-1.322003,34.37818,112.407,330.4351
47.30785,-1.552856,1.822386,-1.322828,34.48256,112.1461,330.5035
47.31578,-1.55325,1.821878,-1.323611,34.58334,111.9205,330.5583
47.32378,-1.553701,1.821351,-1.324326,34.68324,111.6927,330.6065
47.33412,-1.554329,1.82054,-1.325305,34.80508,111.3844,330.681
47.34522,-1.555326,1.819661,-1.326204,34.95701,111.0153,330.7307
47.35629,-1.556533,1.818674,-1.327139,35.14157,110.6481,330.7872
47.36734,-1.557754,1.817533,-1.328077,35.33881,110.276,330.8711
