time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.9447,-2.247819,1.754081,-1.283298,45.71371,154.3197,42.33421
118.9592,-2.245323,1.754443,-1.288163,45.63476,153.8389,42.18308
118.9719,-2.243616,1.754822,-1.291398,45.5944,153.4828,42.07058
118.991,-2.239766,1.755134,-1.2973,45.61459,152.6882,41.78891
119.0056,-2.237854,1.755221,-1.300175,45.60717,152.294,41.64872
119.015,-2.234942,1.755222,-1.304157,45.61536,151.712,41.41866
119.0249,-2.232616,1.755095,-1.306984,45.59601,151.2584,41.24218
119.0362,-2.230163,1.754894,-1.309762,45.57476,150.7716,41.05718
119.0564,-2.225429,1.754456,-1.314749,45.53651,149.8264,40.73673
119.0653,-2.22315,1.754052,-1.316743,45.54477,149.3445,40.68996
119.0738,-2.221242,1.753785,-1.318689,45.53866,148.9404,40.60119
119.0823,-2.219194,1.753357,-1.320485,45.55419,148.509,40.54525
119.0918,-2.217048,1.752994,-1.322387,45.56114,148.035,40.46779
119.1115,-2.212406,1.752039,-1.325935,45.65851,147.1119,40.27287
119.1211,-2.210167,1.75164,-1.327785,45.72865,146.6769,40.15614
119.1308,-2.208153,1.751362,-1.329272,45.81159,146.3425,40.05466
119.145,-2.204659,1.750766,-1.332269,45.973,145.753,39.81976
119.1579,-2.20252,1.750328,-1.333992,46.07092,145.433,39.6648
119.1667,-2.199257,1.749816,-1.336414,46.16695,144.9316,39.3257
119.1753,-2.196996,1.749447,-1.338082,46.19986,144.5518,39.13102
119.1836,-2.194761,1.749263,-1.339553,46.21515,144.1624,38.96225
119.1923,-2.192423,1.748838,-1.341244,46.22904,143.7508,38.79036
119.2025,-2.189485,1.748419,-1.343421,46.2303,143.2191,38.62941
119.2137,-2.18649,1.747987,-1.345659,46.24472,142.7113,38.48407
119.2248,-2.183403,1.747495,-1.347934,46.26207,142.219,38.34426
119.2448,-2.1779,1.74678,-1.3525,46.22585,141.5047,38.14494
119.2539,-2.175465,1.746513,-1.354636,46.20759,141.2287,38.07225
119.262,-2.173486,1.74705,-1.356506,46.75546,140.691,37.95385
119.2706,-2.17117,1.746939,-1.35863,46.72356,140.4662,37.90596
119.2803,-2.16822,1.746433,-1.3614,46.71004,140.1845,37.84627
119.2914,-2.165092,1.746227,-1.364417,46.69722,139.9227,37.77816
119.3028,-2.162123,1.745793,-1.367104,46.77314,139.5162,37.62799
119.3174,-2.158878,1.745496,-1.370111,46.76663,139.178,37.50152
119.3259,-2.155346,1.745078,-1.373335,46.78222,138.762,37.34929
119.3359,-2.152246,1.744678,-1.37621,46.76209,138.3784,37.22356
119.3469,-2.148884,1.744208,-1.379329,46.74435,137.9904,37.1283
119.3582,-2.145431,1.743811,-1.382446,46.71582,137.6011,37.10946
119.3787,-2.139629,1.742839,-1.388178,46.66821,136.9153,37.11777
119.3875,-2.137085,1.742469,-1.390846,46.65849,136.6918,37.21448
119.3957,-2.13469,1.742188,-1.393111,46.72762,136.483,37.33027
119.4048,-2.13228,1.741284,-1.394827,46.74215,136.2368,37.36699
119.4135,-2.129561,1.740981,-1.397444,46.85442,135.9861,37.37243
119.4247,-2.126121,1.740622,-1.400646,46.97676,135.6376,37.34184
119.4359,-2.122716,1.740561,-1.403612,47.09478,135.2494,37.26259
119.4569,-2.115868,1.73954,-1.409308,47.25431,134.4085,37.1204
119.4696,-2.112818,1.739368,-1.41189,47.26231,133.98,37.05367
119.4779,-2.108399,1.739188,-1.415735,47.26965,133.3895,37.00628
119.4864,-2.10554,1.739113,-1.418341,47.24884,133.0475,37.02872
