time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.9447,-1.929079,1.102889,-1.036775,327.5154,148.6398,348.8754
118.9592,-1.924631,1.098767,-1.054479,325.5284,147.992,349.7111
118.9719,-1.920108,1.0949,-1.072053,323.2649,147.3585,350.4653
118.991,-1.911678,1.088886,-1.10568,318.8931,146.5627,351.4104
119.0056,-1.907445,1.086433,-1.121554,317.0909,146.1872,351.9268
119.015,-1.90343,1.083782,-1.13681,315.507,145.2584,352.978
119.0249,-1.899953,1.081855,-1.151928,313.9098,144.5995,353.9337
119.0362,-1.89667,1.080106,-1.165391,312.6612,144.3081,354.7653
119.0564,-1.890572,1.07833,-1.190624,310.4122,143.4478,356.6777
119.0653,-1.890572,1.07833,-1.190624,310.4122,143.4478,356.6777
119.0738,-1.887161,1.078256,-1.201659,309.4905,142.5477,357.9291
119.0823,-1.883363,1.078386,-1.211444,308.5188,141.0317,359.4862
119.0918,-1.879562,1.078926,-1.220415,307.327,138.7199,1.287021
119.1115,-1.872265,1.078665,-1.237985,305.4974,136.1539,2.095487
119.1211,-1.872265,1.078665,-1.237985,305.4974,136.1539,2.095487
119.1308,-1.868395,1.078432,-1.244957,305.01,135.5851,1.104645
119.145,-1.861127,1.077783,-1.258813,304.4711,133.1849,0.07373
119.1579,-1.857981,1.077275,-1.263903,304.7298,132.166,359.1175
119.1667,-1.854567,1.078065,-1.268357,304.6435,130.7656,358.8522
119.1753,-1.854567,1.078065,-1.268357,304.6435,130.7656,358.8522
119.1836,-1.851476,1.077753,-1.27305,304.2639,128.9829,359.2167
119.1923,-1.848763,1.078151,-1.276602,303.865,127.0055,0.094322
119.2025,-1.845899,1.077945,-1.280003,303.7236,125.5252,0.793323
119.2137,-1.843338,1.077395,-1.283638,303.6135,124.2947,1.243641
119.2248,-1.841224,1.077336,-1.286331,303.5273,123.5916,1.445978
119.2448,-1.836795,1.076482,-1.291282,303.0936,121.9159,1.898599
119.2539,-1.836795,1.076482,-1.291282,303.0936,121.9159,1.898599
119.262,-1.834707,1.075669,-1.292769,302.9692,120.7636,2.282998
119.2706,-1.832545,1.074788,-1.294646,302.9189,120.2277,2.007412
119.2803,-1.83014,1.073579,-1.295889,303.0106,120.0528,1.381309
119.2914,-1.827555,1.072543,-1.296523,303.2312,119.7254,0.940055
119.3028,-1.825093,1.071724,-1.29765,303.1976,119.1326,0.751029
119.3174,-1.823185,1.07118,-1.29788,302.9591,118.2787,0.637484
119.3259,-1.822275,1.070271,-1.299458,303.066,120.1286,357.5307
119.3359,-1.820138,1.069844,-1.298582,303.7282,124.5152,352.0084
119.3469,-1.81977,1.068958,-1.295195,304.4183,118.8185,356.7816
119.3582,-1.820212,1.068332,-1.293109,304.7292,116.8205,358.5582
119.3787,-1.821226,1.069046,-1.29388,303.4725,117.3118,358.7245
119.3875,-1.821226,1.069046,-1.29388,303.4725,117.3118,358.7245
119.3957,-1.820804,1.068204,-1.295715,303.5486,118.3617,357.919
119.4048,-1.820335,1.065626,-1.298246,305.0822,120.2112,356.7515
119.4135,-1.819769,1.066393,-1.296518,304.6386,119.7332,356.7646
119.4247,-1.819614,1.066361,-1.294957,303.9182,120.4352,356.103
119.4359,-1.819509,1.065314,-1.295387,304.3711,117.5326,358.8869
119.4569,-1.819705,1.064448,-1.297131,303.9795,119.4222,357.0122
119.4696,-1.820027,1.064065,-1.297546,304.0868,119.5709,356.7492
119.4779,-1.820458,1.064163,-1.29755,303.635,119.6789,356.578
119.4864,-1.820458,1.064163,-1.29755,303.635,119.6789,356.578
119.4945,-1.820276,1.064027,-1.297488,303.5764,119.5232,356.6378
119.5124,-1.820311,1.064024,-1.297734,303.7705,119.4923,356.6172
119.5211,-1.820276,1.06393,-1.297698,303.7566,119.453,356.5887
119.5293,-1.820276,1.06393,-1.297698,303.7566,119.453,356.5887
119.5378,-1.820395,1.063807,-1.298017,303.7365,119.3735,356.6277
119.5469,-1.820811,1.063804,-1.298194,303.7121,119.5668,356.3978
119.5579,-1.820878,1.063797,-1.298281,303.6502,119.6477,356.2752
119.5692,-1.820889,1.063637,-1.298441,303.6666,119.6595,356.246
119.5801,-1.82098,1.063585,-1.298518,303.6078,119.8653,356.0037
119.5914,-1.821063,1.063691,-1.298744,303.5428,119.8173,356.0243
119.6124,-1.821202,1.063626,-1.299115,303.3846,120.1941,355.6012
119.6253,-1.821214,1.063577,-1.299246,303.3908,120.2943,355.5202
119.6336,-1.821201,1.063478,-1.299289,303.3996,120.1988,355.5431
119.6422,-1.821201,1.063478,-1.299289,303.3996,120.1988,355.5431
119.6503,-1.821422,1.063449,-1.299482,303.3539,120.174,355.5106
119.6682,-1.821507,1.063308,-1.299819,303.2683,120.6516,355.0162
119.677,-1.821624,1.063358,-1.299805,303.2674,120.516,355.1357
119.6856,-1.821624,1.063358,-1.299805,303.2674,120.516,355.1357
119.694,-1.821628,1.06328,-1.299838,303.2715,120.6045,355.0506
119.7024,-1.821634,1.06333,-1.300049,303.3087,120.4485,355.1449
119.7134,-1.821778,1.063322,-1.30038,303.2648,120.5674,354.9882
119.7246,-1.821749,1.063469,-1.300708,303.3151,120.9976,354.5547
119.7359,-1.821823,1.063454,-1.300814,303.2852,120.8345,354.6887
119.7467,-1.821831,1.063571,-1.300719,303.3224,120.8895,354.6263
119.7579,-1.821763,1.063548,-1.30082,303.3385,120.797,354.6867
119.779,-1.821738,1.063487,-1.301182,303.2834,121.0579,354.4147
119.7918,-1.821833,1.063441,-1.301208,303.3333,121.0373,354.4005
119.8004,-1.821814,1.06338,-1.301245,303.317,121.0456,354.3742
119.8089,-1.821814,1.06338,-1.301245,303.317,121.0456,354.3742
119.8171,-1.82187,1.063377,-1.301241,303.3226,121.0373,354.3662
119.8346,-1.821817,1.06344,-1.301388,303.3407,121.0714,354.315
119.8438,-1.821856,1.063427,-1.30131,303.3647,121.0364,354.3566
119.8521,-1.821856,1.063427,-1.30131,303.3647,121.0364,354.3566
119.8605,-1.821669,1.063395,-1.301272,303.4015,121.0063,354.3882
119.8691,-1.821586,1.063363,-1.301191,303.3896,120.9506,354.4362
119.8801,-1.821614,1.063444,-1.301115,303.4052,120.9009,354.4816
119.9012,-1.8217,1.063411,-1.301246,303.3839,120.9571,354.4026
119.9101,-1.821585,1.06337,-1.301293,303.4048,120.9173,354.4396
119.9185,-1.821585,1.06337,-1.301293,303.4048,120.9173,354.4396
119.927,-1.821573,1.063339,-1.301197,303.4342,120.9388,354.4331
119.9457,-1.821545,1.063402,-1.301174,303.4754,120.8358,354.5444
119.9584,-1.821499,1.063443,-1.301334,303.4734,120.8938,354.4714
119.9669,-1.821447,1.063403,-1.301401,303.4716,120.8978,354.4759
