time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
28.09531,-2.150068,1.078723,-1.132245,304.2369,189.9913,341.6103
28.10942,-2.149964,1.078842,-1.132178,304.1412,189.8168,341.8045
28.12134,-2.149936,1.078753,-1.132071,304.1378,189.7526,341.8769
28.14283,-2.149819,1.078707,-1.131878,304.007,189.5877,342.0669
28.15185,-2.149737,1.078655,-1.131747,303.9584,189.5934,342.0629
28.16066,-2.149702,1.07864,-1.131697,303.8807,189.4879,342.1678
28.1697,-2.149702,1.07864,-1.131697,303.8807,189.4879,342.1678
28.17959,-2.149697,1.078512,-1.131586,303.8641,189.4177,342.2374
28.19799,-2.149477,1.078385,-1.131729,303.8384,189.3069,342.3676
28.20657,-2.149481,1.078326,-1.131696,303.804,189.2966,342.3892
28.21498,-2.149481,1.078326,-1.131696,303.804,189.2966,342.3892
28.22339,-2.149162,1.078219,-1.131802,303.7929,189.164,342.5747
28.23184,-2.148991,1.078132,-1.131792,303.7575,188.8176,342.9232
28.2424,-2.149224,1.078297,-1.131573,303.7564,188.8705,342.955
28.25349,-2.149053,1.07843,-1.131544,303.7126,188.8033,343.0358
28.2646,-2.149068,1.078378,-1.131592,303.7154,188.668,343.2134
28.28566,-2.148491,1.078077,-1.131784,303.7487,188.3288,343.6058
28.29549,-2.148268,1.077949,-1.131728,303.7223,187.7828,344.2233
28.30797,-2.148108,1.077834,-1.131638,303.7176,187.6216,344.3255
28.3165,-2.14801,1.077735,-1.13173,303.7548,187.635,344.4563
28.32506,-2.14801,1.077735,-1.13173,303.7548,187.635,344.4563
28.33349,-2.147877,1.07778,-1.131801,303.7744,187.4028,344.7021
28.34228,-2.14766,1.077732,-1.131869,303.8322,187.2632,344.8335
28.35334,-2.147133,1.077519,-1.132045,303.9095,186.8837,345.3207
28.36455,-2.146736,1.077426,-1.13213,303.956,186.4878,345.7914
28.37573,-2.146486,1.07739,-1.132128,304.0596,186.3474,346.0078
28.38662,-2.146245,1.077414,-1.132279,304.1495,186.1746,346.1887
28.39769,-2.146033,1.077287,-1.132481,304.3967,185.917,346.5301
28.40893,-2.14586,1.077224,-1.1326,304.577,185.6899,346.8093
28.41994,-2.145571,1.077128,-1.132693,304.6394,185.4595,347.1548
