time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
127.2963,-2.084543,1.840351,-1.804118,39.48052,134.0475,37.13751
127.3127,-2.07781,1.840284,-1.805851,39.60236,132.6775,36.83215
127.3275,-2.072691,1.839972,-1.807642,39.66216,131.6833,36.55024
127.3385,-2.067075,1.83987,-1.808211,39.79313,130.5033,36.13409
127.3591,-2.058479,1.839643,-1.809134,39.83761,128.7728,35.52142
127.3697,-2.052965,1.840008,-1.808975,39.73595,127.6508,35.22683
127.3794,-2.048203,1.840478,-1.808683,39.5615,126.6126,34.99565
127.389,-2.044127,1.841117,-1.808598,39.3895,125.6316,34.75808
127.3998,-2.039641,1.841825,-1.808058,39.13595,124.5959,34.57059
127.4091,-2.035025,1.842612,-1.807455,38.90937,123.4889,34.30617
127.4187,-2.030632,1.843485,-1.806588,38.62838,122.3741,34.00448
127.4285,-2.026289,1.844316,-1.805804,38.38007,121.2774,33.68008
127.4382,-2.022262,1.845221,-1.804613,38.13413,120.1988,33.3278
127.4478,-2.018168,1.846153,-1.803587,37.87576,119.1341,32.9709
127.4585,-2.014091,1.847329,-1.802212,37.62024,118.0311,32.5336
127.4695,-2.009871,1.848476,-1.800916,37.34617,116.952,32.08144
127.4806,-2.005843,1.84946,-1.799534,37.08899,115.9387,31.70597
127.4918,-2.002131,1.850509,-1.798291,36.8731,115.0609,31.35031
127.5028,-1.998538,1.85147,-1.797099,36.64258,114.2064,31.08041
127.514,-1.995535,1.85236,-1.795949,36.46642,113.5443,30.81254
127.525,-1.992452,1.85315,-1.794829,36.26719,112.8591,30.58804
127.536,-1.98974,1.854059,-1.79387,36.10474,112.2521,30.34308
127.5472,-1.987292,1.854598,-1.793055,35.88773,111.7033,30.1683
127.5584,-1.985002,1.855314,-1.791993,35.71076,111.1161,29.90689
127.5696,-1.982836,1.856075,-1.790845,35.54893,110.5473,29.67216
127.5807,-1.980392,1.856793,-1.789999,35.4218,109.9659,29.45681
127.5918,-1.978725,1.857333,-1.789299,35.34319,109.4888,29.29102
