time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
127.2963,-1.970392,1.144048,-1.352362,314.8707,77.2624,73.55925
127.3127,-1.962496,1.144144,-1.362387,313.9865,75.95002,75.02944
127.3275,-1.954398,1.144426,-1.371956,313.4103,74.33431,76.58134
127.3385,-1.946379,1.145147,-1.380833,312.6826,72.72237,77.93845
127.3591,-1.929959,1.14631,-1.397504,311.4857,69.20119,80.69259
127.3697,-1.921519,1.147095,-1.405021,310.7706,67.98887,81.42051
127.3794,-1.913288,1.14827,-1.412279,310.2011,66.76162,82.2362
127.389,-1.905146,1.14965,-1.419215,309.6205,65.41799,83.32802
127.3998,-1.896868,1.150751,-1.425591,309.202,63.88588,84.75689
127.4091,-1.896868,1.150751,-1.425591,309.202,63.88588,84.75689
127.4187,-1.889011,1.152601,-1.431878,308.7867,62.44987,86.31734
127.4285,-1.881134,1.15455,-1.437521,308.177,61.42079,87.65361
127.4382,-1.873264,1.156604,-1.443333,307.6297,60.83128,88.68279
127.4478,-1.865408,1.158266,-1.448676,307.2133,60.1515,89.69958
127.4585,-1.857762,1.160226,-1.453018,306.843,59.72154,90.53355
127.4695,-1.850234,1.16229,-1.457461,306.4091,59.34014,91.33177
127.4806,-1.842694,1.164396,-1.461195,305.9271,59.09022,91.9333
127.4918,-1.835367,1.166418,-1.464781,305.5356,58.90718,92.43438
127.5028,-1.828072,1.168265,-1.468113,305.148,58.70961,92.89674
127.514,-1.82087,1.170097,-1.471508,304.8114,58.3844,93.44095
127.525,-1.81431,1.172125,-1.474278,304.5198,58.03325,93.90808
127.536,-1.807721,1.173962,-1.477171,304.096,57.649,94.4332
127.5472,-1.80144,1.175449,-1.479628,303.6846,57.5461,94.6565
127.5584,-1.795987,1.176499,-1.481301,303.5964,57.64778,94.74837
127.5696,-1.790176,1.17782,-1.483332,303.4362,57.43712,95.1495
127.5807,-1.784795,1.178922,-1.48501,303.2288,57.0387,95.69054
127.5918,-1.779477,1.179812,-1.486174,302.9812,56.64462,96.11765
127.603,-1.774232,1.18062,-1.487637,302.7885,56.31488,96.44239
