time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
138.0789,-2.284856,2.230892,-1.044564,345.863,308.3876,172.7451
138.0952,-2.283628,2.230603,-1.049758,345.9324,308.2026,172.7935
138.1074,-2.28242,2.230343,-1.054915,346.0621,308.0621,172.8533
138.1263,-2.279367,2.229691,-1.064892,346.2303,308.034,172.8707
138.1486,-2.275341,2.228608,-1.074403,346.1113,308.143,172.8575
138.158,-2.273336,2.228128,-1.079149,346.2546,308.2339,172.9051
138.1692,-2.271348,2.22768,-1.083991,346.4243,308.3758,172.9054
138.1804,-2.260745,2.228689,-1.091789,346.5641,308.5217,172.9351
138.1914,-2.261234,2.228072,-1.097576,346.5617,308.4713,172.9922
138.2026,-2.258833,2.227446,-1.102619,346.4735,308.4209,173.0463
138.2248,-2.251868,2.226467,-1.111912,346.4268,308.4178,173.098
138.235,-2.249179,2.225869,-1.116969,346.4505,308.4099,173.0923
138.2451,-2.246419,2.225285,-1.122025,346.5288,308.4203,173.0834
138.254,-2.246419,2.225285,-1.122025,346.5288,308.4203,173.0834
138.2624,-2.243661,2.224677,-1.127084,346.5635,308.4208,173.0789
138.2709,-2.240649,2.223924,-1.132202,346.5244,308.4045,173.0826
138.2813,-2.237502,2.223094,-1.137318,346.4666,308.4276,173.0694
138.2914,-2.231898,2.222412,-1.141062,346.4264,308.4455,173.0495
138.3024,-2.228467,2.22143,-1.146076,346.4088,308.5807,172.9749
138.3145,-2.2249,2.220391,-1.151088,346.4291,308.6901,172.9019
138.3247,-2.221285,2.218972,-1.156422,346.4267,308.8223,172.7923
138.3366,-2.217346,2.217767,-1.161595,346.4108,308.8781,172.7357
138.358,-2.209257,2.215504,-1.172066,346.2852,308.8445,172.5982
138.3669,-2.204394,2.214331,-1.177174,346.1092,308.802,172.5303
138.376,-2.204394,2.214331,-1.177174,346.1092,308.802,172.5303
138.3844,-2.199823,2.213132,-1.182522,345.8872,308.7585,172.4619
138.3931,-2.195294,2.211943,-1.187823,345.713,308.755,172.3696
138.4034,-2.192169,2.210435,-1.193715,345.5294,308.8408,172.244
138.4135,-2.185845,2.209269,-1.198849,345.4225,308.9772,172.1169
138.4256,-2.180772,2.208024,-1.204253,345.3077,309.0373,172.0344
138.4357,-2.175359,2.206765,-1.209681,345.1983,309.1094,171.9275
138.4477,-2.169924,2.205519,-1.215165,345.0829,309.2097,171.7966
138.458,-2.160961,2.204533,-1.219739,344.9644,309.3498,171.5611
138.4699,-2.154704,2.20338,-1.225442,344.7603,309.5042,171.3496
138.4912,-2.140166,2.200837,-1.237002,344.0341,309.7308,170.8662
138.5001,-2.133347,2.199542,-1.242942,343.6841,309.8084,170.6406
138.5088,-2.133347,2.199542,-1.242942,343.6841,309.8084,170.6406
138.517,-2.126046,2.198119,-1.24913,343.3333,309.9049,170.3607
138.5259,-2.11845,2.196648,-1.255418,343.1392,310.0622,170.1054
138.5361,-2.110654,2.195098,-1.261776,343.0239,310.3031,169.8463
138.547,-2.102812,2.193511,-1.268064,342.8849,310.5328,169.5723
138.558,-2.094967,2.193068,-1.273934,342.7192,310.4818,169.4996
138.5702,-2.087914,2.193137,-1.279931,342.1082,310.5489,169.4547
