time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
138.0789,-2.286073,1.107285,-1.205585,314.1627,187.3747,324.5764
138.0952,-2.286022,1.107252,-1.205496,314.1758,187.3576,324.5811
138.1074,-2.285912,1.107171,-1.20553,314.1818,187.3519,324.6298
138.1263,-2.285839,1.107072,-1.205552,314.1308,187.2849,324.7277
138.1486,-2.285325,1.106888,-1.20595,314.1139,187.1409,324.8709
138.158,-2.285269,1.106927,-1.205891,314.1251,187.1429,324.8702
138.1692,-2.285281,1.106637,-1.206031,314.0934,187.108,324.9522
138.1804,-2.285033,1.106582,-1.205926,314.0464,186.9852,325.1339
138.1914,-2.28495,1.106405,-1.206029,313.9842,186.9356,325.2376
138.2026,-2.285081,1.106534,-1.205974,314.0108,187.0038,325.1373
138.2248,-2.284609,1.106657,-1.20598,313.9975,186.9549,325.2382
138.235,-2.284526,1.106794,-1.206149,313.948,186.9268,325.2881
138.2451,-2.284412,1.106898,-1.206149,313.9257,186.9081,325.3427
138.254,-2.284412,1.106898,-1.206149,313.9257,186.9081,325.3427
138.2624,-2.284222,1.106917,-1.206023,313.8951,186.8885,325.4134
138.2709,-2.284024,1.10682,-1.206142,313.8542,186.847,325.5334
138.2813,-2.283776,1.106798,-1.206391,313.7739,186.7928,325.7017
138.2914,-2.283348,1.106736,-1.206422,313.7114,186.6855,325.9447
138.3024,-2.282936,1.106743,-1.206375,313.6387,186.6106,326.1736
138.3145,-2.282807,1.106636,-1.206298,313.554,186.4504,326.4331
138.3247,-2.282668,1.106636,-1.206182,313.5546,186.4458,326.5263
138.3366,-2.282535,1.106657,-1.206537,313.5894,186.3374,326.674
138.358,-2.282486,1.107008,-1.206702,313.6609,186.3834,326.7163
138.3669,-2.282303,1.107038,-1.206904,313.7659,186.4047,326.7687
138.376,-2.282303,1.107038,-1.206904,313.7659,186.4047,326.7687
138.3844,-2.282192,1.107166,-1.206986,313.8526,186.4155,326.8638
138.3931,-2.282045,1.107316,-1.20705,313.9882,186.419,326.9885
138.4034,-2.282082,1.10747,-1.207331,314.1898,186.4739,327.0519
138.4135,-2.281708,1.107414,-1.207903,314.4504,186.4927,327.1672
138.4256,-2.281402,1.107631,-1.208526,314.6072,185.6501,327.9781
138.4357,-2.281352,1.107716,-1.208751,314.868,185.6585,328.0756
138.4477,-2.281374,1.108091,-1.209285,315.1981,185.6836,328.1414
138.458,-2.281413,1.108426,-1.209616,315.552,185.4649,328.415
138.4699,-2.281,1.108562,-1.210305,315.8848,185.3773,328.6153
138.4912,-2.280367,1.109429,-1.211332,316.6613,184.7863,329.4297
138.5001,-2.280341,1.109771,-1.211854,317.1758,184.5434,329.7583
138.5088,-2.280341,1.109771,-1.211854,317.1758,184.5434,329.7583
138.517,-2.280239,1.110183,-1.21243,317.8117,184.4268,329.9653
138.5259,-2.27999,1.11054,-1.213266,318.4456,184.2904,330.1832
138.5361,-2.279675,1.11093,-1.21425,319.184,184.0518,330.5168
138.547,-2.279313,1.111467,-1.215181,319.8419,183.8496,330.8398
138.558,-2.279083,1.112165,-1.21622,320.7865,183.6537,331.1703
138.5702,-2.278885,1.112807,-1.217914,321.8045,183.5297,331.4256
138.5911,-2.277165,1.115261,-1.222133,325.1262,182.8355,332.6978
138.5999,-2.276722,1.116549,-1.224524,326.6987,182.5459,333.2159
138.6081,-2.276722,1.116549,-1.224524,326.6987,182.5459,333.2159
138.6165,-2.275976,1.118268,-1.228473,329.1158,182.5717,333.5027
138.6249,-2.274884,1.120188,-1.232138,331.5581,182.4248,334.0313
138.6363,-2.273213,1.122273,-1.237026,334.3015,182.0147,334.9504
138.6468,-2.270916,1.124792,-1.242484,337.3783,181.702,336.047
138.6579,-2.268173,1.127501,-1.248914,340.8654,181.3649,337.4678
138.6798,-2.261669,1.132779,-1.263628,347.6983,179.1336,341.5526
138.6885,-2.257519,1.137775,-1.271307,351.4945,177.1531,343.8504
138.6966,-2.257519,1.137775,-1.271307,351.4945,177.1531,343.8504
138.7051,-2.253724,1.143873,-1.278195,354.4008,176.7865,345.239
138.7135,-2.247424,1.150796,-1.285789,355.8888,175.5788,347.4538
138.7246,-2.241116,1.157639,-1.294409,357.9442,173.128,349.2622
138.7365,-2.235278,1.167377,-1.30256,0.037376,172.3528,350.0348
138.7579,-2.220751,1.187415,-1.323931,358.7502,170.1231,350.2083
138.7671,-2.211598,1.191651,-1.338351,358.9297,168.2202,348.7612
138.7761,-2.211598,1.191651,-1.338351,358.9297,168.2202,348.7612
138.7848,-2.204045,1.19526,-1.34804,0.157093,166.1143,348.323
138.8024,-2.183495,1.203918,-1.376366,356.2222,164.0076,348.5705
138.8116,-2.173659,1.206597,-1.391493,357.1034,163.9662,348.8947
138.8206,-2.173659,1.206597,-1.391493,357.1034,163.9662,348.8947
138.8293,-2.162817,1.207825,-1.406405,356.5002,163.1554,349.3709
138.8382,-2.151154,1.206861,-1.423554,354.9846,162.5944,349.8143
138.8472,-2.138434,1.206874,-1.439188,353.8459,161.7164,349.9432
138.859,-2.12613,1.205577,-1.456226,352.0321,160.3986,349.8369
138.8803,-2.099777,1.199935,-1.490514,348.784,158.1547,349.0952
138.8896,-2.082737,1.196685,-1.509102,346.9581,156.7387,348.4915
138.8987,-2.082737,1.196685,-1.509102,346.9581,156.7387,348.4915
138.9072,-2.066474,1.191713,-1.527436,345.1548,155.5326,347.6231
138.9245,-2.032894,1.181635,-1.564038,341.0178,153.3121,345.7422
138.9339,-2.015976,1.176074,-1.58192,339.0768,152.1695,344.8248
138.9429,-2.015976,1.176074,-1.58192,339.0768,152.1695,344.8248
138.9516,-1.9968,1.170141,-1.600003,337.0266,151.0103,343.7084
138.9606,-1.977733,1.163597,-1.618471,334.7618,150.0313,342.4526
138.9703,-1.958084,1.157265,-1.635653,332.4336,149.1939,341.032
138.9805,-1.938498,1.151209,-1.653137,330.1458,148.2974,339.6551
138.9923,-1.916745,1.14454,-1.670617,327.7665,147.2327,338.1109
139.0135,-1.872883,1.133682,-1.701703,323.6713,144.25,334.5723
139.0227,-1.850911,1.129449,-1.716256,321.5869,142.6934,332.6487
139.0317,-1.850911,1.129449,-1.716256,321.5869,142.6934,332.6487
139.0405,-1.829174,1.12623,-1.728912,319.613,140.8451,330.3494
139.0496,-1.808415,1.123448,-1.740561,317.7238,138.4424,328.487
139.0591,-1.78876,1.120493,-1.75191,316.2597,136.1452,326.7928
139.0693,-1.771094,1.118433,-1.759712,316.2538,133.0007,326.3484
139.0813,-1.753304,1.116442,-1.767823,315.789,130.2788,325.8398
139.0919,-1.740077,1.1154,-1.772577,316.4398,127.3538,325.6182
139.1035,-1.726427,1.114409,-1.777375,316.193,124.8588,325.2772
139.1248,-1.709097,1.115083,-1.779919,315.4874,121.5693,323.9533
139.1341,-1.703273,1.112834,-1.781553,315.8846,121.6476,322.7183
139.1433,-1.703273,1.112834,-1.781553,315.8846,121.6476,322.7183
139.1521,-1.698472,1.108757,-1.783338,317.2796,123.5708,320.4358
139.1611,-1.696147,1.107594,-1.782956,319.6057,126.94,317.5115
139.1703,-1.692248,1.109307,-1.780071,321.3393,128.9486,320.5666
139.1811,-1.698027,1.107446,-1.781368,314.1405,120.9218,328.7257
