time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
55.52746,-1.947205,2.618511,-1.515532,59.02909,86.87309,351.6408
55.54042,-1.946047,2.618139,-1.516653,59.1283,86.59309,351.5131
55.54873,-1.944799,2.617841,-1.517889,59.2219,86.36242,351.4547
55.55667,-1.943501,2.617595,-1.519056,59.31313,86.20539,351.4529
55.57256,-1.942131,2.61732,-1.520218,59.40214,86.03573,351.4703
55.57969,-1.940776,2.616998,-1.521411,59.51257,85.9137,351.5342
55.58672,-1.939377,2.616636,-1.522609,59.60693,85.77045,351.5582
55.59668,-1.937952,2.616306,-1.523792,59.71005,85.68985,351.6416
55.60712,-1.936411,2.615917,-1.525075,59.8282,85.62348,351.7202
55.61878,-1.934984,2.615589,-1.526138,59.92893,85.63095,351.844
55.62924,-1.93346,2.615213,-1.527292,60.03352,85.66291,351.9968
55.64031,-1.931955,2.614808,-1.528408,60.1098,85.75008,352.1902
55.65149,-1.930252,2.614445,-1.529537,60.21263,85.87961,352.3993
55.66245,-1.928428,2.614124,-1.530603,60.29734,86.00471,352.6281
55.67355,-1.926519,2.613585,-1.53172,60.38253,86.06834,352.8127
55.68471,-1.924564,2.61315,-1.532847,60.43339,86.14298,353.0286
55.6958,-1.922705,2.612776,-1.534041,60.50351,86.17954,353.2355
55.70776,-1.920743,2.612354,-1.5351,60.59054,86.20336,353.3941
55.71789,-1.918609,2.612003,-1.536222,60.68137,86.27439,353.5471
55.72907,-1.916443,2.611623,-1.537306,60.7226,86.33601,353.6161
55.74029,-1.91423,2.611299,-1.538436,60.77618,86.38816,353.6716
55.75126,-1.912118,2.610869,-1.539608,60.82393,86.46225,353.7254
55.76232,-1.909891,2.610586,-1.540756,60.87885,86.52814,353.7703
55.77363,-1.907662,2.610371,-1.541765,60.91719,86.63264,353.8981
55.78446,-1.905468,2.610306,-1.54306,60.97247,86.73447,354.0871
55.7957,-1.903091,2.610181,-1.544333,61.01547,86.87785,354.3047
55.80665,-1.900625,2.610175,-1.545666,61.02357,87.07893,354.555
55.8178,-1.897992,2.610244,-1.546961,60.97752,87.26736,354.7722
55.82889,-1.895129,2.610367,-1.548189,60.88361,87.53136,354.9958
55.84001,-1.892136,2.610585,-1.549512,60.75188,87.73849,355.1451
55.85115,-1.888994,2.610788,-1.550803,60.59661,87.97381,355.2716
55.86243,-1.885709,2.611,-1.552153,60.43661,88.14652,355.3853
55.87342,-1.882372,2.611245,-1.553517,60.26165,88.33038,355.4996
55.88468,-1.879036,2.611415,-1.554786,60.09755,88.49819,355.6243
55.89582,-1.875486,2.611556,-1.556157,59.93181,88.65445,355.7345
55.90691,-1.871872,2.611622,-1.557504,59.81277,88.82802,355.8893
55.91788,-1.867919,2.611706,-1.558806,59.69106,89.02916,356.0439
55.92904,-1.864023,2.611809,-1.560077,59.57658,89.23005,356.1853
55.94024,-1.859816,2.611818,-1.561389,59.43135,89.43821,356.3039
55.95122,-1.855728,2.611816,-1.562602,59.2861,89.67711,356.481
55.96235,-1.851334,2.611816,-1.563882,59.14074,89.88686,356.6276
55.97354,-1.846693,2.611781,-1.565082,59.01569,90.10687,356.7948
55.98453,-1.842103,2.611721,-1.566313,58.87816,90.28074,356.948
55.99572,-1.837249,2.611753,-1.567562,58.70748,90.46904,357.1317
56.00684,-1.832385,2.611714,-1.56873,58.50565,90.65044,357.2867
56.01789,-1.827148,2.611642,-1.57006,58.26406,90.81034,357.4159
56.02902,-1.821676,2.611553,-1.571415,58.01089,90.98627,357.5521
56.04016,-1.816035,2.611499,-1.572735,57.77443,91.13384,357.6354
56.05164,-1.810325,2.611365,-1.574062,57.52928,91.28397,357.7156
56.06318,-1.804434,2.611149,-1.575345,57.31617,91.40537,357.786
56.07441,-1.798539,2.610919,-1.576735,57.11888,91.47332,357.787
56.09466,-1.792374,2.6105,-1.578045,56.90323,91.49726,357.7249
56.10219,-1.786036,2.610012,-1.579291,56.67031,91.58296,357.7677
56.10955,-1.779943,2.609527,-1.580533,56.45798,91.69135,357.7451
56.11813,-1.773584,2.608932,-1.58177,56.2128,91.80186,357.715
56.12957,-1.767333,2.608291,-1.583032,55.96973,91.8995,357.6569
56.1406,-1.760854,2.607715,-1.584332,55.79761,92.02923,357.6527
56.15174,-1.754272,2.607401,-1.585634,55.78439,92.15239,357.6828
56.1628,-1.747762,2.607445,-1.586875,55.89691,92.31098,357.6285
56.17395,-1.74151,2.607583,-1.588115,56.0276,92.50011,357.6319
56.18491,-1.735034,2.607796,-1.589369,56.09458,92.71277,357.6146
56.19625,-1.728173,2.608441,-1.590561,56.09571,92.99149,357.6428
56.21696,-1.720993,2.609433,-1.591689,55.93017,93.30515,357.5975
56.22474,-1.713598,2.610433,-1.592836,55.66377,93.59922,357.5917
56.23228,-1.706063,2.611548,-1.593994,55.27687,93.92101,357.7509
56.2405,-1.698686,2.612628,-1.595174,54.96904,94.19945,357.9457
56.25186,-1.691375,2.613633,-1.596254,54.83225,94.39654,358.127
56.26283,-1.684582,2.614597,-1.597291,54.90105,94.53262,358.3667
56.27408,-1.678093,2.615412,-1.598239,55.09681,94.62073,358.5749
56.28501,-1.672047,2.616106,-1.599167,55.4058,94.63641,358.7021
56.29618,-1.66613,2.61676,-1.600083,55.71467,94.59196,358.7042
56.31694,-1.660565,2.617445,-1.600906,56.03386,94.51291,358.6205
56.32482,-1.654814,2.618075,-1.601869,56.22742,94.4404,358.5076
56.33232,-1.649225,2.618546,-1.602747,56.31566,94.41024,358.3036
56.34037,-1.6435,2.618928,-1.603748,56.26807,94.41743,358.107
56.3517,-1.63773,2.619063,-1.604785,56.0709,94.41325,357.9034
56.36267,-1.632045,2.619041,-1.605802,55.82444,94.4125,357.7095
56.37394,-1.626548,2.618824,-1.606944,55.57146,94.3725,357.5099
56.39481,-1.621262,2.618416,-1.608053,55.43003,94.32047,357.3033
56.40262,-1.616361,2.617976,-1.609237,55.43678,94.18649,357.0918
56.41017,-1.611766,2.617576,-1.610347,55.56667,94.05677,356.9085
56.41813,-1.607326,2.617213,-1.611524,55.79502,93.94064,356.7304
56.42932,-1.603484,2.61681,-1.612687,56.13867,93.89109,356.5858
56.44992,-1.599703,2.616476,-1.613844,56.47364,93.88953,356.4704
56.45769,-1.596428,2.616141,-1.614951,56.82387,93.96071,356.4097
56.46515,-1.593224,2.616032,-1.616,57.198,94.05696,356.4099
56.47345,-1.590062,2.616186,-1.617108,57.57482,94.19377,356.4788
56.48466,-1.58689,2.616466,-1.618238,57.8718,94.32992,356.5398
56.49558,-1.58365,2.616903,-1.619368,58.05735,94.44383,356.6472
56.50669,-1.580538,2.61739,-1.62048,58.15528,94.53914,356.7482
56.51791,-1.577216,2.618057,-1.621651,58.10224,94.58687,356.9
56.529,-1.57386,2.618701,-1.622858,58.01689,94.56349,356.989
56.53997,-1.570476,2.61939,-1.624088,57.88226,94.51343,357.0711
56.55117,-1.567191,2.620108,-1.625346,57.71652,94.40887,357.1139
56.56227,-1.563924,2.620659,-1.626511,57.5591,94.291,357.0878
56.57353,-1.560875,2.621118,-1.627718,57.41303,94.17352,357.0326
56.59415,-1.557987,2.621492,-1.628942,57.2812,94.05762,356.9483
56.60167,-1.55522,2.621708,-1.630149,57.21968,93.90438,356.8089
56.60903,-1.552702,2.621865,-1.631292,57.20092,93.72776,356.6605
56.61783,-1.550358,2.62184,-1.632461,57.1936,93.47958,356.4935
56.62933,-1.548122,2.621843,-1.633616,57.20946,93.25983,356.3971
56.64013,-1.546213,2.621538,-1.634726,57.22359,93.01021,356.3405
56.65123,-1.544428,2.621292,-1.635851,57.25759,92.78024,356.3428
56.66231,-1.542735,2.620819,-1.636963,57.30439,92.5406,356.3185
56.67337,-1.541351,2.620335,-1.637975,57.34376,92.3159,356.3488
56.68455,-1.540248,2.619842,-1.638894,57.44426,92.0407,356.3959
56.69564,-1.539194,2.619384,-1.639778,57.56822,91.69999,356.4044
56.70675,-1.538301,2.618958,-1.640571,57.75665,91.31338,356.483
56.71775,-1.537161,2.618798,-1.641422,58.03539,90.86945,356.5836
56.73865,-1.53609,2.618817,-1.642168,58.33364,90.41888,356.7043
56.746,-1.535015,2.619166,-1.642873,58.55563,89.8827,356.751
56.75305,-1.533732,2.619331,-1.643614,58.61106,89.37674,356.8447
56.76206,-1.532084,2.619724,-1.644336,58.54834,88.87624,356.9406
56.77325,-1.530489,2.620298,-1.645039,58.48959,88.37561,356.8967
56.78432,-1.528672,2.620888,-1.645666,58.41344,87.86941,356.7244
56.7956,-1.526847,2.621275,-1.646272,58.23312,87.36168,356.5491
