time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
55.52746,-2.038373,1.900666,-1.235089,25.37655,99.20634,340.9579
55.54042,-2.039464,1.900156,-1.236485,25.50518,98.83466,340.8759
55.54873,-2.039751,1.899881,-1.237289,25.54263,98.61314,340.7913
55.55667,-2.040065,1.899687,-1.238157,25.57739,98.39828,340.7329
55.57256,-2.040362,1.899071,-1.239971,25.66444,97.99632,340.6637
55.57969,-2.040359,1.898804,-1.240784,25.69373,97.84821,340.6202
55.58672,-2.040135,1.89848,-1.241555,25.72195,97.70774,340.551
55.59668,-2.039845,1.8981,-1.242692,25.74638,97.53086,340.4597
55.60712,-2.039593,1.897658,-1.243846,25.77782,97.32759,340.3882
55.61878,-2.038955,1.897213,-1.245158,25.80614,97.13737,340.3414
55.62924,-2.038127,1.896783,-1.246343,25.81134,96.97882,340.3134
55.64031,-2.037252,1.896294,-1.247687,25.81673,96.81307,340.2523
55.65149,-2.036047,1.895912,-1.249041,25.78202,96.69888,340.2266
55.66245,-2.034528,1.89535,-1.250421,25.74877,96.61193,340.2094
55.67355,-2.032946,1.894928,-1.251833,25.71194,96.53705,340.1675
55.68471,-2.031311,1.894497,-1.2532,25.67868,96.44179,340.1192
55.6958,-2.029129,1.894111,-1.254511,25.61731,96.337,340.1123
55.70776,-2.026989,1.89373,-1.255892,25.54391,96.22239,340.1061
55.71789,-2.02477,1.893204,-1.25722,25.48942,96.09892,340.0845
55.72907,-2.022249,1.892781,-1.258625,25.41111,95.96123,340.0573
55.74029,-2.019799,1.892361,-1.260024,25.3393,95.83485,340.0166
55.75126,-2.017064,1.891946,-1.261475,25.26421,95.71521,339.9988
55.76232,-2.014143,1.891512,-1.262974,25.19191,95.59021,339.9786
55.77363,-2.011301,1.891166,-1.264509,25.11529,95.48293,339.9643
55.78446,-2.008019,1.890709,-1.26611,25.02316,95.40289,339.9977
55.7957,-2.004848,1.890219,-1.267746,24.94094,95.33163,340.0041
55.80665,-2.001122,1.889708,-1.269471,24.86418,95.31182,340.0307
55.8178,-1.997583,1.889174,-1.271243,24.79165,95.30831,340.0662
55.82889,-1.993942,1.888549,-1.272952,24.72293,95.32079,340.1187
55.84001,-1.99013,1.887931,-1.27491,24.65965,95.40972,340.1542
55.85115,-1.986297,1.887367,-1.276817,24.57823,95.47417,340.1518
