time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
122.0368,-1.910933,2.679387,-1.368506,38.63078,131.6173,1.961912
122.0507,-1.907815,2.679099,-1.372681,38.77685,131.3499,1.85758
122.0622,-1.904682,2.678828,-1.376729,38.94487,131.0409,1.748611
122.0804,-1.901358,2.678432,-1.380619,39.09788,130.7204,1.628895
122.0891,-1.898156,2.678033,-1.384473,39.26292,130.4115,1.548548
122.0972,-1.894858,2.677552,-1.388195,39.39019,130.0932,1.51444
122.105,-1.891493,2.677169,-1.391961,39.52262,129.7934,1.533075
122.1135,-1.888052,2.676797,-1.395606,39.61398,129.5222,1.575706
122.1247,-1.884455,2.676522,-1.399158,39.6431,129.2486,1.655332
122.1458,-1.88079,2.676188,-1.402689,39.63336,128.9895,1.695668
122.1542,-1.877021,2.675941,-1.406099,39.61471,128.7096,1.656459
122.1621,-1.873176,2.67561,-1.409362,39.60685,128.4393,1.557741
122.1705,-1.869162,2.675254,-1.412432,39.53439,128.1603,1.385844
122.1862,-1.865063,2.674809,-1.41541,39.45889,127.9003,1.252335
122.1952,-1.860957,2.674344,-1.418163,39.4032,127.6133,1.1236
122.2031,-1.856816,2.673921,-1.420886,39.41755,127.3036,0.980263
122.2141,-1.852651,2.673404,-1.423374,39.43513,126.945,0.859883
122.2245,-1.848509,2.672856,-1.425757,39.41587,126.6007,0.758844
122.2357,-1.84428,2.672174,-1.427905,39.36756,126.2461,0.690154
122.2467,-1.839895,2.671616,-1.430114,39.33595,125.8871,0.627642
122.2579,-1.835339,2.671099,-1.432296,39.26495,125.5592,0.564893
122.2691,-1.830896,2.670506,-1.434513,39.14441,125.2361,0.499375
122.2802,-1.826355,2.669702,-1.436703,38.90288,124.9459,0.472367
122.2912,-1.821801,2.669041,-1.43885,38.64037,124.6632,0.488192
122.3023,-1.817008,2.668455,-1.441128,38.42459,124.3939,0.517858
122.3134,-1.812225,2.66797,-1.443393,38.29253,124.1083,0.550063
122.3245,-1.807561,2.667629,-1.445556,38.26138,123.8326,0.585987
122.339,-1.802946,2.667612,-1.447767,38.38481,123.5447,0.633238
122.347,-1.798413,2.667569,-1.449851,38.57967,123.268,0.621559
122.358,-1.793892,2.668026,-1.45189,38.9028,123.0167,0.558501
122.369,-1.789301,2.668805,-1.453968,39.26107,122.792,0.540375
122.38,-1.78476,2.669354,-1.455963,39.53009,122.6054,0.434804
122.3912,-1.780482,2.669758,-1.457729,39.59389,122.4502,0.350483
122.4023,-1.776485,2.669849,-1.459339,39.33827,122.3677,0.347191
122.4135,-1.772457,2.66985,-1.460987,38.98564,122.3086,0.477866
122.4345,-1.768196,2.67015,-1.462695,38.71643,122.2568,0.609872
122.443,-1.763742,2.67083,-1.464491,38.599,122.2034,0.808349
122.4509,-1.759307,2.671576,-1.466361,38.45905,122.0972,1.046527
122.4678,-1.754863,2.67225,-1.46815,38.27745,121.989,1.375993
122.4763,-1.750657,2.672838,-1.469834,38.1291,121.8917,1.64914
122.4879,-1.746444,2.673472,-1.471401,38.06477,121.816,1.878271
