time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
122.0368,-2.101994,2.117641,-1.119072,16.27624,323.9424,340.2502
122.0507,-2.101286,2.118227,-1.123717,16.04716,323.4621,340.3198
122.0622,-2.100355,2.118768,-1.128419,15.75608,323.1021,340.3813
122.0804,-2.097729,2.11922,-1.137622,15.10711,322.6946,340.6349
122.0891,-2.096366,2.11948,-1.142073,14.90568,322.3683,340.6952
122.0972,-2.096366,2.11948,-1.142073,14.90568,322.3683,340.6952
122.105,-2.095031,2.11956,-1.146491,14.75728,322.0157,340.7428
122.1135,-2.093446,2.119364,-1.150849,15.01299,321.6953,340.727
122.1247,-2.091885,2.119287,-1.155524,15.21966,321.402,340.7706
122.1458,-2.088678,2.118788,-1.164838,14.97451,320.5208,340.7162
122.1542,-2.088678,2.118788,-1.164838,14.97451,320.5208,340.7162
122.1621,-2.08678,2.11838,-1.169716,14.9495,320.165,340.6252
122.1705,-2.084512,2.117957,-1.174637,15.1539,319.9554,340.5877
122.1862,-2.082324,2.117456,-1.179426,15.25449,319.6592,340.5339
122.1952,-2.07996,2.1167,-1.184167,15.3864,319.3284,340.45
122.2031,-2.077598,2.116143,-1.18897,15.58647,319.0394,340.3911
122.2141,-2.07476,2.115404,-1.194122,15.88418,318.8108,340.3156
122.2245,-2.071914,2.114746,-1.199176,15.97512,318.4569,340.2228
122.2357,-2.068968,2.113918,-1.204448,15.85211,318.0276,340.0913
122.2467,-2.066043,2.112846,-1.209669,15.54011,317.6983,339.9763
122.2579,-2.062947,2.11185,-1.21471,15.10188,317.481,339.9309
122.2691,-2.059769,2.110853,-1.219601,14.85028,317.3668,339.9061
122.2802,-2.056519,2.109707,-1.224517,14.74965,317.1955,339.8363
122.2912,-2.052882,2.108289,-1.229535,14.89236,317.1656,339.6846
122.3023,-2.049245,2.106957,-1.234797,15.12051,317.0548,339.5803
122.3134,-2.045199,2.105321,-1.240364,15.74848,316.6905,339.4468
122.3245,-2.041166,2.104061,-1.245454,16.23647,316.1665,339.28
122.339,-2.037345,2.103126,-1.250602,16.71505,315.5902,339.1167
