time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
122.0368,-2.09113,1.111486,-1.332016,310.6052,164.7612,341.2609
122.0507,-2.09102,1.111431,-1.33187,310.6093,164.6467,341.4053
122.0622,-2.090865,1.111367,-1.331795,310.626,164.6935,341.4199
122.0804,-2.090304,1.111423,-1.331953,310.5364,164.5593,341.7137
122.0891,-2.090241,1.111545,-1.33194,310.5732,164.5596,341.7195
122.0972,-2.090241,1.111545,-1.33194,310.5732,164.5596,341.7195
122.105,-2.090255,1.111466,-1.331855,310.5988,164.4829,341.7831
122.1135,-2.090197,1.111427,-1.33177,310.5952,164.4985,341.7629
122.1247,-2.090066,1.111247,-1.331933,310.6052,164.4265,341.8707
122.1458,-2.089895,1.111195,-1.331703,310.6238,164.2298,342.0839
122.1542,-2.089895,1.111195,-1.331703,310.6238,164.2298,342.0839
122.1621,-2.089777,1.111149,-1.33161,310.6466,164.181,342.1553
122.1705,-2.089713,1.111252,-1.331629,310.6671,164.1663,342.2161
122.1862,-2.089829,1.111068,-1.331631,310.6584,164.1127,342.2672
122.1952,-2.08976,1.11106,-1.331685,310.7012,164.1261,342.2677
122.2031,-2.089718,1.111042,-1.331576,310.7357,164.1213,342.2844
122.2141,-2.089657,1.111095,-1.331639,310.7176,164.0507,342.3537
122.2245,-2.089681,1.111056,-1.331541,310.7256,163.9498,342.402
122.2357,-2.08965,1.111083,-1.331495,310.824,163.8083,342.4424
122.2467,-2.089764,1.111027,-1.33146,310.8315,163.784,342.4561
122.2579,-2.089645,1.111006,-1.331363,310.8418,163.6051,342.629
122.2691,-2.089359,1.110795,-1.331369,310.9292,163.4908,342.7173
122.2802,-2.088634,1.110741,-1.331602,310.9409,163.4299,342.9272
122.2912,-2.088839,1.110599,-1.331726,311.2808,163.1682,343.1759
122.3023,-2.088623,1.110555,-1.331629,311.1331,163.1532,343.2474
122.3134,-2.088586,1.110478,-1.331577,311.1978,163.0853,343.3567
122.3245,-2.088067,1.110563,-1.331525,311.2455,162.8941,343.6189
122.339,-2.087896,1.110663,-1.331568,311.2757,162.7869,343.7924
122.347,-2.087654,1.110627,-1.331499,311.3224,162.6905,343.97
122.358,-2.087281,1.110651,-1.331713,311.351,162.5282,344.2157
122.369,-2.086824,1.110877,-1.332033,311.5468,162.606,344.1754
122.38,-2.086399,1.111239,-1.332141,311.8199,162.4274,344.4509
122.3912,-2.086048,1.111442,-1.332248,311.8386,162.2509,344.8038
122.4023,-2.085875,1.111504,-1.332075,311.8469,162.0924,345.0862
122.4135,-2.085534,1.111406,-1.332126,311.9002,162.0564,345.274
122.4345,-2.08449,1.111477,-1.332644,312.3498,161.8343,345.7602
122.443,-2.08449,1.111477,-1.332644,312.3498,161.8343,345.7602
122.4509,-2.08417,1.111664,-1.333046,312.7271,161.8077,345.9922
122.4678,-2.082903,1.11252,-1.333945,313.4267,161.3956,346.5361
122.4763,-2.082903,1.11252,-1.333945,313.4267,161.3956,346.5361
122.4879,-2.082973,1.113612,-1.336384,315.0187,162.5811,345.5491
122.501,-2.082034,1.114383,-1.337637,315.8621,161.3211,346.4759
122.5095,-2.082034,1.114383,-1.337637,315.8621,161.3211,346.4759
122.5173,-2.081934,1.114759,-1.338856,316.7792,161.4494,346.4463
122.5254,-2.081548,1.115378,-1.340237,317.6826,162.03,345.9689
122.5357,-2.08107,1.115968,-1.341785,318.7001,161.7984,346.184
122.5467,-2.080815,1.116718,-1.343542,319.8246,161.7984,346.2923
122.5579,-2.080812,1.117156,-1.345366,320.9257,161.89,346.2306
122.5689,-2.080343,1.118062,-1.347139,321.9677,161.8173,346.0985
122.5799,-2.080098,1.118763,-1.349403,323.1657,161.6895,346.1481
122.5913,-2.079619,1.119343,-1.351653,324.6284,162.2843,345.7915
