time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
40.46338,-1.951893,1.155243,-1.288187,333.8702,129.887,357.0435
40.47704,-1.943132,1.152425,-1.308235,331.3695,129.9698,358.1148
40.48903,-1.933407,1.149824,-1.327757,328.6064,129.6915,359.3802
40.50924,-1.911818,1.143695,-1.366114,323.6045,128.1844,1.954073
40.51969,-1.901104,1.14013,-1.385111,321.4449,127.4242,3.027667
40.52864,-1.888541,1.136219,-1.403087,319.7505,126.3889,3.75498
40.53684,-1.888541,1.136219,-1.403087,319.7505,126.3889,3.75498
40.54505,-1.875942,1.132552,-1.421323,318.3046,125.0882,4.51819
40.55372,-1.862072,1.130078,-1.437046,317.2137,123.1223,4.192506
40.5645,-1.849122,1.127955,-1.453082,315.6665,121.2119,4.367854
40.5755,-1.835943,1.127019,-1.467012,314.118,118.9681,4.105873
40.58664,-1.823154,1.127013,-1.478869,312.6434,115.8887,4.575403
40.59794,-1.810996,1.128173,-1.489116,311.0858,111.4337,6.419769
40.60893,-1.799355,1.128568,-1.49914,309.637,106.4715,8.996292
40.62012,-1.788339,1.129953,-1.507017,308.5478,100.2228,12.83971
40.64096,-1.771132,1.131887,-1.519016,307.1414,89.44261,19.24928
40.64959,-1.764706,1.132169,-1.523862,306.1895,86.20056,20.45515
40.65811,-1.764706,1.132169,-1.523862,306.1895,86.20056,20.45515
40.66751,-1.759792,1.132388,-1.532209,307.0037,89.82911,14.28251
40.68569,-1.751594,1.129605,-1.540496,304.6097,94.97217,5.928629
40.69408,-1.751072,1.126306,-1.541358,304.7472,101.5482,359.2363
40.7024,-1.751072,1.126306,-1.541358,304.7472,101.5482,359.2363
40.71078,-1.752278,1.12227,-1.541215,305.5485,102.4204,357.7494
40.71999,-1.755754,1.117133,-1.540275,307.1685,102.6805,356.8154
40.73169,-1.756336,1.113332,-1.541848,307.5919,103.3788,354.5721
40.74209,-1.753867,1.11419,-1.545465,308.967,104.0293,354.0565
40.75329,-1.749767,1.113876,-1.54442,310.1852,102.2196,1.075386
40.77417,-1.753266,1.118293,-1.542941,311.363,102.4109,359.3723
40.78263,-1.756094,1.117783,-1.540444,305.6443,100.5116,0.789733
40.79069,-1.756094,1.117783,-1.540444,305.6443,100.5116,0.789733
40.79875,-1.754822,1.112601,-1.543434,309.4965,101.4406,0.442431
40.80868,-1.754309,1.113146,-1.542541,309.4415,101.5686,0.553096
40.82974,-1.755915,1.113144,-1.541823,309.147,101.0789,0.935383
40.83805,-1.755915,1.113144,-1.541823,309.147,101.0789,0.935383
40.84605,-1.753657,1.112944,-1.543533,309.1236,101.6376,0.290108
40.85402,-1.754592,1.113897,-1.541799,309.1334,101.6768,0.194172
40.86419,-1.754236,1.113802,-1.54178,309.2159,101.5311,0.291136
40.87538,-1.754284,1.113867,-1.542063,309.2584,101.7955,0.056279
40.88639,-1.754186,1.113958,-1.541555,309.2917,101.8426,0.043029
40.89738,-1.754279,1.114299,-1.541569,309.3619,101.7715,0.118314
40.90859,-1.753966,1.114153,-1.541234,309.4344,101.7049,0.264818
40.92946,-1.753904,1.114313,-1.540933,309.591,101.3405,0.676832
40.93776,-1.753904,1.114313,-1.540933,309.591,101.3405,0.676832
40.94561,-1.753713,1.114426,-1.540843,309.5867,101.4682,0.572766
40.96281,-1.753733,1.114271,-1.540871,309.6312,101.2782,0.793956
40.97078,-1.753733,1.114271,-1.540871,309.6312,101.2782,0.793956
40.97862,-1.753515,1.114083,-1.541063,309.6171,101.3941,0.689134
40.98666,-1.753595,1.113957,-1.54123,309.6902,101.367,0.686454
40.99747,-1.753581,1.113915,-1.541425,309.6552,101.6815,0.34169
41.00838,-1.75352,1.113844,-1.541406,309.6768,101.5944,0.383626
41.02942,-1.753822,1.113833,-1.541765,309.6474,101.7797,0.201539
41.03751,-1.753822,1.113833,-1.541765,309.6474,101.7797,0.201539
41.04533,-1.753852,1.113775,-1.541748,309.6088,101.8155,0.166683
41.05313,-1.753671,1.113843,-1.541531,309.5997,101.7829,0.192789
41.06401,-1.753551,1.113843,-1.541394,309.6468,101.8302,0.152612
41.08498,-1.753373,1.113661,-1.541356,309.7289,101.8477,0.107173
41.09341,-1.753373,1.113661,-1.541356,309.7289,101.8477,0.107173
41.10127,-1.753244,1.113652,-1.541337,309.777,101.8354,0.091945
41.1183,-1.753452,1.113438,-1.541775,309.7849,102.0794,359.8284
41.12614,-1.753452,1.113438,-1.541775,309.7849,102.0794,359.8284
41.13396,-1.753333,1.113344,-1.541846,309.8222,102.1127,359.7679
41.15155,-1.753325,1.113212,-1.541886,309.8186,102.2621,359.5153
41.15947,-1.753325,1.113212,-1.541886,309.8186,102.2621,359.5153
41.16739,-1.753316,1.113336,-1.541884,309.8807,102.3916,359.383
41.18484,-1.753342,1.113135,-1.542042,309.9213,102.2636,359.5326
41.19272,-1.753342,1.113135,-1.542042,309.9213,102.2636,359.5326
41.20075,-1.753352,1.113232,-1.542141,309.9664,102.3906,359.385
41.21831,-1.753594,1.113108,-1.542115,309.9642,102.3093,359.4468
41.22663,-1.753594,1.113108,-1.542115,309.9642,102.3093,359.4468
41.23464,-1.753579,1.113077,-1.542223,309.9617,102.5188,359.2372
41.24252,-1.753498,1.113104,-1.542283,309.9434,102.5123,359.1924
41.25283,-1.753432,1.113106,-1.542275,309.9866,102.6966,358.9922
41.26392,-1.753357,1.113067,-1.542302,310.0163,102.8029,358.878
41.27509,-1.753029,1.11304,-1.542424,310.0463,102.866,358.7515
41.28615,-1.753182,1.113082,-1.542165,310.0727,102.8373,358.781
41.29728,-1.75326,1.113193,-1.54212,310.119,102.7835,358.8329
41.3085,-1.753158,1.113113,-1.542275,310.1303,102.81,358.7761
41.31959,-1.753091,1.113111,-1.542233,310.1316,102.9531,358.6298
41.34049,-1.753027,1.113006,-1.542558,310.177,103.0107,358.534
41.34888,-1.753027,1.113006,-1.542558,310.177,103.0107,358.534
41.35704,-1.752939,1.112927,-1.542658,310.1862,103.0591,358.465
41.36514,-1.752907,1.11291,-1.542577,310.2184,103.0346,358.4482
41.37501,-1.752954,1.113003,-1.542546,310.244,103.2291,358.257
41.38623,-1.752962,1.112902,-1.542721,310.2626,103.23,358.1895
41.39738,-1.752871,1.112979,-1.542663,310.277,103.349,358.0688
41.40841,-1.752797,1.11281,-1.542721,310.2705,103.2645,358.1196
41.42935,-1.752929,1.112676,-1.542816,310.2829,103.3506,358.019
41.43774,-1.752929,1.112676,-1.542816,310.2829,103.3506,358.019
41.44584,-1.753028,1.112622,-1.542818,310.3103,103.5032,357.8396
41.45397,-1.753175,1.112553,-1.542963,310.286,103.5931,357.7557
41.47376,-1.753221,1.112562,-1.542824,310.3312,103.6152,357.6931
41.48237,-1.75314,1.112443,-1.542905,310.3508,103.5253,357.7216
41.49053,-1.75314,1.112443,-1.542905,310.3508,103.5253,357.7216
41.49864,-1.753042,1.112604,-1.543009,310.3615,103.6315,357.6224
41.50844,-1.752914,1.112563,-1.543196,310.3893,103.6143,357.6077
41.51964,-1.752849,1.112527,-1.543212,310.4008,103.7468,357.4695
41.53065,-1.752704,1.112646,-1.543079,310.399,103.6295,357.5563
41.54169,-1.752536,1.112545,-1.543002,310.4894,103.6851,357.4608
41.55299,-1.75252,1.112516,-1.542937,310.5049,103.7008,357.4418
41.56393,-1.752707,1.112328,-1.54284,310.5153,103.7277,357.4445
41.57494,-1.752644,1.112359,-1.542988,310.5971,103.692,357.4133
41.58607,-1.752514,1.112506,-1.542915,310.5901,103.6742,357.4286
41.59722,-1.752392,1.112585,-1.543041,310.6601,103.6544,357.4371
41.60828,-1.75226,1.112585,-1.543164,310.7233,103.6449,357.4234
