time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
45.5723,-1.927474,1.770551,-1.307298,52.29486,72.66798,323.4853
45.59376,-1.918437,1.770289,-1.312582,52.50301,73.70004,323.9048
45.60308,-1.91261,1.772241,-1.3147,52.39648,73.7784,324.2884
45.6119,-1.907295,1.7732,-1.316963,52.18687,74.06025,324.7155
45.6199,-1.903106,1.773466,-1.319224,52.18896,74.47523,324.9503
45.62819,-1.899152,1.773719,-1.321361,52.18997,74.86719,325.1721
45.64887,-1.883884,1.778607,-1.326472,49.44646,75.80348,327.5514
45.65718,-1.878172,1.780362,-1.328774,48.49766,76.349,328.3543
45.66549,-1.872606,1.78166,-1.331132,47.81832,76.84216,328.9854
45.67336,-1.866358,1.784292,-1.333966,46.47081,78.00063,330.3543
45.68457,-1.860241,1.785959,-1.336701,45.6709,78.58382,331.0945
45.70519,-1.84687,1.790266,-1.343591,43.79347,80.52117,333.0684
45.71345,-1.84109,1.792032,-1.346333,42.99288,81.11998,333.7678
45.72155,-1.836239,1.793535,-1.348637,42.31466,81.608,334.3409
45.72932,-1.831103,1.795149,-1.351079,41.59019,82.11088,334.9348
45.73894,-1.826765,1.795901,-1.355949,41.90939,83.57765,334.948
45.74997,-1.822206,1.796017,-1.359569,42.26869,84.19784,334.5852
45.76112,-1.815904,1.797751,-1.363204,41.65054,84.95761,335.0809
45.77325,-1.812829,1.796378,-1.365874,42.48413,84.99815,334.3299
45.79357,-1.801954,1.798525,-1.372545,41.82073,86.19391,334.8287
45.80227,-1.797518,1.79941,-1.375276,41.54715,86.67728,335.0259
45.81033,-1.793579,1.8002,-1.377705,41.30293,87.10419,335.198
45.818,-1.789647,1.800992,-1.380135,41.05775,87.52853,335.3669
45.82775,-1.789143,1.796853,-1.378076,42.00257,85.3868,334.5968
45.83883,-1.784558,1.796728,-1.380366,41.89466,85.47597,334.7149
45.84993,-1.780198,1.795925,-1.38215,41.96035,85.36945,334.8227
45.86126,-1.775761,1.795825,-1.384389,41.86487,85.47218,334.9356
45.88198,-1.767092,1.795632,-1.388766,41.67783,85.67182,335.1552
45.89031,-1.765383,1.792544,-1.387867,42.54322,84.54539,334.5924
45.89831,-1.759407,1.789392,-1.38816,43.27301,85.06339,334.4904
45.90585,-1.756757,1.788574,-1.388735,43.3508,84.76887,334.2899
45.91666,-1.755576,1.787171,-1.392886,43.04902,84.84996,334.0498
45.93766,-1.748506,1.784698,-1.394446,43.17853,83.98512,333.188
45.94631,-1.742776,1.781214,-1.395575,43.23877,83.48683,332.7407
45.9544,-1.740353,1.780448,-1.394752,43.40404,83.04113,332.4622
45.97081,-1.735348,1.778793,-1.396007,43.50624,82.26611,331.8467
45.97919,-1.732619,1.777786,-1.396471,43.56232,81.89452,331.5857
45.9871,-1.729936,1.776781,-1.396801,43.60471,81.41859,331.3647
45.99477,-1.727502,1.775925,-1.397232,43.64541,81.07811,331.1207
46.00537,-1.723997,1.774654,-1.39754,43.64931,80.34108,330.8739
46.01661,-1.720344,1.773364,-1.397814,43.61494,79.54636,330.6779
