time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
65.06258,-2.075429,1.746507,-1.759455,47.16698,118.8545,43.94027
65.07603,-2.074677,1.745157,-1.760538,47.35007,119.2026,44.01798
65.08501,-2.07417,1.74412,-1.761114,47.47948,119.4169,44.01859
65.10201,-2.072904,1.741778,-1.762623,47.65656,119.909,44.09749
65.11027,-2.072262,1.740719,-1.763221,47.7723,120.1259,44.13497
65.11783,-2.071703,1.739763,-1.763808,47.88038,120.3389,44.18525
65.12587,-2.07124,1.738744,-1.764874,48.006,120.5896,44.28437
65.13648,-2.070027,1.737179,-1.765561,48.2029,120.8438,44.35733
65.15811,-2.067146,1.734046,-1.766878,48.53902,121.3605,44.46964
65.16723,-2.065519,1.732576,-1.767413,48.6948,121.5745,44.45739
65.176,-2.064476,1.731774,-1.768004,48.85596,121.7149,44.44124
65.18359,-2.062853,1.730653,-1.768328,49.04509,121.7351,44.33141
65.19189,-2.061414,1.729405,-1.76883,49.25325,121.753,44.20313
65.20308,-2.058748,1.727785,-1.769823,49.52309,121.7237,44.09705
65.21416,-2.056497,1.726216,-1.770456,49.77007,121.7471,44.02191
65.22539,-2.053403,1.724867,-1.771063,49.98479,121.5433,43.97862
65.24684,-2.047053,1.721756,-1.77306,50.33293,121.326,44.00083
65.2552,-2.044029,1.720343,-1.773482,50.47514,121.2342,44.03151
65.26308,-2.041579,1.719339,-1.774082,50.59378,121.139,44.02394
65.27978,-2.035217,1.717813,-1.774973,50.79824,120.8668,44.08277
65.2883,-2.031978,1.716249,-1.776478,50.85408,120.8983,44.29
65.29613,-2.028773,1.715345,-1.777194,50.9866,120.7682,44.26235
65.3131,-2.021058,1.713789,-1.778466,51.36308,120.3903,44.03934
65.32142,-2.016981,1.712963,-1.779783,51.56755,120.2448,43.95919
65.32931,-2.013288,1.712299,-1.780699,51.73526,120.0707,43.86615
65.3373,-2.009138,1.711384,-1.781814,51.94368,119.843,43.70136
65.34765,-2.004049,1.710426,-1.783097,52.16628,119.6026,43.56491
65.35871,-1.998235,1.709398,-1.784574,52.39119,119.3251,43.4203
65.36983,-1.991633,1.708472,-1.786325,52.54424,119.0158,43.29081
65.39082,-1.979099,1.706795,-1.790245,52.81619,118.3344,43.05881
65.39923,-1.974088,1.706236,-1.791733,52.95792,118.0502,42.93581
65.40703,-1.968905,1.706066,-1.793315,53.02442,117.7801,42.92717
65.4151,-1.963766,1.705709,-1.79485,53.11152,117.5356,42.9076
65.42534,-1.956952,1.70577,-1.797046,53.19631,117.2133,42.93268
65.4364,-1.949829,1.705663,-1.799278,53.28049,116.8899,42.93762
65.45762,-1.934722,1.706032,-1.80467,53.32836,116.257,42.80229
65.46626,-1.928319,1.706168,-1.806762,53.27484,116.134,42.85183
65.47416,-1.921999,1.706504,-1.808849,53.21399,115.9991,42.74302
65.48232,-1.915654,1.706813,-1.811434,53.15708,115.8356,42.66388
65.49195,-1.908049,1.708328,-1.814231,52.90993,115.7951,42.48432
65.50304,-1.898761,1.709864,-1.817307,52.73886,115.5663,42.22386
65.51426,-1.889821,1.711498,-1.82042,52.56671,115.3164,41.9678
65.5253,-1.881091,1.713066,-1.823552,52.35497,115.1186,41.70121
65.53645,-1.871975,1.714983,-1.826766,52.13189,114.9043,41.41339
65.54749,-1.86247,1.716946,-1.830587,51.83749,114.713,41.08683
65.55879,-1.852908,1.718524,-1.834578,51.43076,114.7,40.86586
65.56969,-1.843716,1.720414,-1.838077,50.9302,114.6259,40.47726
65.58076,-1.833675,1.722353,-1.841659,50.35129,114.4319,40.069
65.59196,-1.824334,1.724908,-1.845291,49.69901,114.1373,39.63091
65.61297,-1.806832,1.728991,-1.851691,48.6223,113.5529,39.0976
65.62142,-1.800086,1.730742,-1.853955,48.32805,113.1561,38.9778
65.62917,-1.79407,1.732001,-1.856104,48.08722,112.8395,38.93244
65.63734,-1.787591,1.733367,-1.858443,47.80606,112.5423,38.84354
65.64752,-1.780165,1.734518,-1.861072,47.6949,112.0411,38.90972
65.65855,-1.772595,1.735433,-1.863708,47.64816,111.4941,39.02498
65.66971,-1.764804,1.736089,-1.866255,47.63229,110.8361,39.21742
65.68085,-1.757208,1.736701,-1.869199,47.58842,110.1079,39.37535
65.69193,-1.750229,1.738272,-1.871852,47.5015,109.4261,39.59822
65.71299,-1.7367,1.739858,-1.876466,47.29322,108.113,40.16409
65.72139,-1.731246,1.740358,-1.87829,47.16895,107.6345,40.30873
65.72928,-1.726772,1.741525,-1.87989,46.94429,107.3329,40.46357
65.74635,-1.716445,1.743206,-1.88336,46.54385,106.8952,40.82244
65.75512,-1.711403,1.744209,-1.885407,46.3356,106.8468,41.0322
65.76305,-1.706579,1.74497,-1.887285,46.1563,106.9371,41.22303
65.77966,-1.697551,1.746331,-1.890958,45.88269,107.3577,41.50124
65.78825,-1.693073,1.747028,-1.892674,45.76152,107.744,41.55429
65.79598,-1.688962,1.747535,-1.894196,45.64589,107.9024,41.60876
65.80408,-1.684826,1.748056,-1.895638,45.56344,108.1762,41.62342
65.81393,-1.680295,1.748547,-1.897031,45.48502,108.4305,41.55052
65.82513,-1.675051,1.748937,-1.898443,45.37898,108.6151,41.39977
65.83615,-1.670204,1.74912,-1.899382,45.25768,108.6151,41.1299
65.84749,-1.665117,1.749321,-1.900491,45.14969,108.6123,40.89498
65.85842,-1.660376,1.7497,-1.90145,45.03377,108.3798,40.52791
65.86955,-1.655724,1.749792,-1.902034,44.93686,108.1775,40.25042
65.88061,-1.651531,1.749747,-1.902278,44.87164,107.8755,40.00542
65.90169,-1.643972,1.749514,-1.902094,44.70825,107.1996,39.63067
65.91026,-1.641381,1.749444,-1.901891,44.62851,106.9464,39.5864
65.91802,-1.638664,1.749433,-1.901852,44.55632,106.773,39.46326
65.93504,-1.634113,1.749039,-1.901569,44.36855,106.5969,39.35681
65.94357,-1.631852,1.74905,-1.901492,44.26916,106.5922,39.28889
65.95137,-1.629842,1.749122,-1.90144,44.15967,106.6649,39.22546
65.95953,-1.627506,1.749292,-1.901414,44.02077,106.7635,39.09511
65.96949,-1.625262,1.749443,-1.901393,43.8436,107.0351,38.91898
65.99053,-1.620778,1.749723,-1.901324,43.46301,107.7063,38.54406
65.99886,-1.619297,1.74969,-1.901282,43.31819,107.9799,38.40816
66.00665,-1.618023,1.749853,-1.901188,43.19183,108.2815,38.33309
66.01472,-1.616712,1.750027,-1.901062,43.06068,108.5592,38.25165
66.02506,-1.615255,1.750264,-1.900822,42.90325,108.9123,38.16613
66.03606,-1.614065,1.750404,-1.900371,42.7773,109.3137,38.13971
66.04733,-1.612737,1.750708,-1.899747,42.7271,109.6563,38.12458
66.05839,-1.611851,1.750796,-1.899149,42.66219,109.9992,38.06236
66.06941,-1.611306,1.750719,-1.898293,42.66902,110.3213,38.01423
66.08064,-1.611214,1.750536,-1.897338,42.71653,110.5691,37.92763
66.09186,-1.611141,1.750239,-1.896221,42.78363,110.7596,37.88101
66.10279,-1.611035,1.75008,-1.894788,42.87222,110.9315,37.86378
66.12392,-1.61144,1.749284,-1.892724,43.1155,111.1769,37.77757
