time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
65.06258,-2.262057,2.069536,-1.509203,8.686675,270.2102,265.662
65.07603,-2.258949,2.068647,-1.510571,9.066545,269.9546,265.8127
65.08501,-2.255547,2.067611,-1.511852,9.404157,269.6872,265.9769
65.10201,-2.248306,2.065739,-1.514726,9.929988,269.2714,266.3294
65.11027,-2.248306,2.065739,-1.514726,9.929988,269.2714,266.3294
65.11783,-2.244533,2.064686,-1.516162,10.16913,269.0195,266.5092
65.12587,-2.240513,2.063002,-1.517281,10.38435,268.7535,266.6599
65.13648,-2.236258,2.061927,-1.519029,10.49366,268.4501,266.8283
65.15811,-2.227928,2.059221,-1.522172,10.80441,267.8796,267.122
65.16723,-2.223778,2.057963,-1.524055,11.06047,267.6177,267.2875
65.176,-2.223778,2.057963,-1.524055,11.06047,267.6177,267.2875
65.18359,-2.218849,2.056725,-1.52567,11.58718,267.4544,267.4226
65.19189,-2.213871,2.055647,-1.527357,12.10604,267.2982,267.5757
65.20308,-2.208781,2.053955,-1.528761,12.4902,267.0744,267.7345
65.21416,-2.203418,2.052908,-1.530779,12.75614,266.6605,267.8232
65.22539,-2.19827,2.051803,-1.532651,12.9507,266.2821,267.9119
65.24684,-2.18724,2.050372,-1.537286,12.90374,265.5356,268.121
65.2552,-2.18724,2.050372,-1.537286,12.90374,265.5356,268.121
65.26308,-2.181731,2.04992,-1.540171,12.71763,265.0784,268.2343
65.27978,-2.1702,2.048397,-1.545115,12.54532,264.1075,268.3598
65.2883,-2.1702,2.048397,-1.545115,12.54532,264.1075,268.3598
65.29613,-2.164087,2.047705,-1.547808,12.597,263.6534,268.4008
65.3131,-2.151608,2.046377,-1.553529,12.82765,262.9214,268.4193
65.32142,-2.151608,2.046377,-1.553529,12.82765,262.9214,268.4193
65.32931,-2.145478,2.045706,-1.556473,12.86469,262.5303,268.395
65.3373,-2.139057,2.045052,-1.55949,12.80089,262.1682,268.3764
65.34765,-2.132527,2.044456,-1.562469,12.55451,261.8204,268.3556
65.35871,-2.126288,2.043871,-1.565424,12.39495,261.4655,268.3566
65.36983,-2.119952,2.043747,-1.568862,12.08505,261.1489,268.3068
65.39082,-2.107202,2.043483,-1.575023,11.69475,260.5378,268.1277
65.39923,-2.107202,2.043483,-1.575023,11.69475,260.5378,268.1277
65.40703,-2.100873,2.043637,-1.578443,11.49272,260.5031,268.0599
65.4151,-2.094587,2.043568,-1.58156,11.31264,260.4977,267.9784
65.42534,-2.088372,2.044014,-1.584985,11.20057,260.5143,267.7748
65.4364,-2.082073,2.044093,-1.588078,11.19006,260.4276,267.55
65.45762,-2.0694,2.045141,-1.594423,11.48357,260.6203,266.9539
65.46626,-2.063826,2.046035,-1.597508,11.28558,260.7978,266.5989
65.47416,-2.063826,2.046035,-1.597508,11.28558,260.7978,266.5989
65.48232,-2.057736,2.046729,-1.600483,11.03262,260.886,266.2412
65.49195,-2.052118,2.048414,-1.603335,10.66349,261.3196,265.8359
65.50304,-2.04633,2.050061,-1.606764,10.44566,261.7296,265.5893
65.51426,-2.040527,2.051237,-1.609735,10.1833,262.225,265.4496
65.5253,-2.035174,2.052535,-1.613197,9.878982,262.6174,265.5031
65.53645,-2.029638,2.053151,-1.616644,9.783476,262.581,265.6879
65.54749,-2.023923,2.05368,-1.619944,9.928783,262.1476,265.8029
65.55879,-2.018572,2.05435,-1.623591,10.01784,261.7903,265.8846
65.56969,-2.013934,2.055473,-1.627322,9.962472,261.224,265.9658
65.58076,-2.009661,2.056894,-1.630952,9.595285,260.4969,265.9828
65.59196,-2.005507,2.058277,-1.634746,8.88664,259.6761,265.9867
65.61297,-1.997808,2.061719,-1.642166,6.842268,258.2433,265.7471
65.62142,-1.997808,2.061719,-1.642166,6.842268,258.2433,265.7471
65.62917,-1.994247,2.062546,-1.64535,6.025121,257.6322,265.4888
65.63734,-1.990699,2.063293,-1.648167,5.450799,257.1281,265.2391
65.64752,-1.987213,2.063476,-1.65016,5.350269,256.91,264.8854
65.65855,-1.983953,2.063876,-1.652318,5.407624,256.7372,264.5974
65.66971,-1.981081,2.064197,-1.653886,5.991566,256.8566,264.3719
65.68085,-1.977841,2.064503,-1.655392,6.460607,257.0079,264.3813
65.69193,-1.975012,2.065517,-1.656767,6.795034,257.1741,264.5727
