time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
65.06258,-1.813984,1.161269,-1.702045,312.5628,127.1134,335.337
65.07603,-1.799574,1.160513,-1.704339,313.1248,126.2826,335.83
65.08501,-1.78609,1.159515,-1.7063,313.5215,125.4287,336.4717
65.10201,-1.761809,1.158638,-1.710629,314.3161,124.619,337.0289
65.11027,-1.761809,1.158638,-1.710629,314.3161,124.619,337.0289
65.11783,-1.751627,1.158411,-1.712363,314.7977,124.6721,336.9196
65.12587,-1.740605,1.156678,-1.713762,315.0362,124.6507,336.9131
65.13648,-1.733171,1.15676,-1.714476,314.5392,124.8188,336.97
65.15811,-1.717746,1.155887,-1.716138,313.7664,124.7127,337.2281
65.16723,-1.711395,1.154794,-1.716686,313.5631,124.334,337.598
65.176,-1.711395,1.154794,-1.716686,313.5631,124.334,337.598
65.18359,-1.70514,1.153198,-1.717232,313.561,123.9062,337.9518
65.19189,-1.700428,1.151674,-1.717659,313.7719,123.161,338.5759
65.20308,-1.696017,1.148762,-1.717733,314.0919,122.2052,339.3975
65.21416,-1.692155,1.145899,-1.717623,314.5522,121.1611,340.2641
65.22539,-1.688692,1.14286,-1.717551,315.0391,120.1175,341.0668
65.24684,-1.683293,1.137812,-1.717063,315.5104,118.5121,342.0665
65.2552,-1.683293,1.137812,-1.717063,315.5104,118.5121,342.0665
65.26308,-1.681523,1.135043,-1.716321,315.3589,117.727,342.4255
65.27978,-1.678844,1.1303,-1.714976,314.4413,115.9938,343.0242
65.2883,-1.678844,1.1303,-1.714976,314.4413,115.9938,343.0242
65.29613,-1.678395,1.127877,-1.713958,314.0461,114.8474,343.5094
65.3131,-1.677708,1.120572,-1.711947,314.6408,112.6704,344.5467
65.32142,-1.677708,1.120572,-1.711947,314.6408,112.6704,344.5467
65.32931,-1.678205,1.115343,-1.710304,315.9449,111.8852,344.7303
65.3373,-1.679873,1.110115,-1.708367,317.7343,111.2535,344.4877
65.34765,-1.689457,1.124559,-1.708754,313.0581,110.4846,345.3834
65.35871,-1.688191,1.111123,-1.710109,303.5032,115.0887,342.3935
65.36983,-1.68916,1.11005,-1.711247,313.1804,115.5131,340.4915
65.39082,-1.692388,1.107823,-1.708764,307.0239,117.342,339.4338
65.39923,-1.692388,1.107823,-1.708764,307.0239,117.342,339.4338
65.40703,-1.695955,1.112118,-1.708605,305.3129,116.2438,340.3191
65.4151,-1.696006,1.110727,-1.708115,305.2906,117.432,339.2292
65.42534,-1.698389,1.111086,-1.707862,304.6298,117.7212,338.9104
65.4364,-1.699528,1.111168,-1.706967,303.6432,116.3558,340.0163
65.45762,-1.698029,1.111365,-1.708583,304.0151,116.3279,340.4268
65.46626,-1.698498,1.112139,-1.708351,304.7023,116.2318,340.5809
65.47416,-1.698498,1.112139,-1.708351,304.7023,116.2318,340.5809
65.48232,-1.69887,1.112001,-1.708089,303.9554,115.4692,341.4215
65.49195,-1.69879,1.112057,-1.707756,304.2697,115.5161,341.4732
65.50304,-1.699358,1.112373,-1.707126,304.1436,115.3354,341.6369
65.51426,-1.6994,1.11248,-1.707442,303.9854,115.2877,341.7173
65.5253,-1.699516,1.112338,-1.707662,303.8211,115.2177,341.7829
65.53645,-1.699915,1.112436,-1.707787,303.5727,115.2171,341.7417
65.54749,-1.700295,1.112411,-1.707842,303.3414,115.4693,341.4749
65.55879,-1.700556,1.112403,-1.7079,303.2077,115.6412,341.2868
65.56969,-1.700177,1.112527,-1.708209,303.2805,115.6644,341.1386
