time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.77556,-1.971493,2.505268,-1.609802,51.46451,98.80857,3.044491
69.79528,-1.969787,2.504942,-1.610095,51.46046,98.65929,2.93339
69.80447,-1.968011,2.504614,-1.61037,51.47273,98.4934,2.817852
69.81329,-1.965934,2.504212,-1.610522,51.49802,98.30797,2.732157
69.82108,-1.963873,2.503765,-1.610861,51.52409,98.12315,2.660661
69.82906,-1.961646,2.503353,-1.611316,51.53197,97.94585,2.637193
69.84015,-1.959262,2.502938,-1.611664,51.53014,97.76841,2.603418
69.85136,-1.956774,2.502426,-1.612185,51.55683,97.5881,2.58116
69.86245,-1.954286,2.501868,-1.61272,51.57998,97.38686,2.546133
69.87352,-1.951663,2.501254,-1.613346,51.61819,97.14288,2.504946
69.88457,-1.949008,2.500668,-1.61407,51.70466,96.89426,2.467688
69.89569,-1.946146,2.500065,-1.614803,51.80839,96.6424,2.448617
69.90685,-1.943308,2.499501,-1.61568,51.88939,96.37584,2.403742
69.91792,-1.940239,2.498955,-1.616625,51.98284,96.09722,2.329969
69.9388,-1.936961,2.498402,-1.617496,52.06343,95.84803,2.292108
69.94707,-1.933712,2.49797,-1.618526,52.13054,95.5785,2.211184
69.95499,-1.93026,2.497579,-1.61968,52.2008,95.31711,2.144755
69.97216,-1.926799,2.497222,-1.621058,52.24541,95.04504,2.061072
69.98325,-1.923218,2.497002,-1.62241,52.24831,94.80312,2.005437
69.99111,-1.919559,2.496877,-1.623745,52.22665,94.56029,1.955892
69.9989,-1.915761,2.496776,-1.625281,52.16752,94.34795,1.896082
70.01663,-1.911866,2.496763,-1.626817,52.06639,94.15431,1.858565
70.02473,-1.907763,2.496896,-1.628417,51.96093,93.99155,1.815709
70.03257,-1.903631,2.497139,-1.63025,51.81802,93.82217,1.756126
70.05006,-1.899349,2.497427,-1.632037,51.67026,93.66041,1.72493
70.05816,-1.894844,2.498024,-1.634048,51.56523,93.4809,1.690453
70.06609,-1.890597,2.498624,-1.636187,51.41161,93.2795,1.638614
70.08326,-1.885995,2.499183,-1.638326,51.14388,93.06393,1.571536
70.09154,-1.881409,2.499734,-1.64058,50.86357,92.88781,1.540519
70.09944,-1.876532,2.500411,-1.642847,50.62161,92.68154,1.510742
70.11665,-1.871498,2.501235,-1.645191,50.41871,92.47545,1.518607
70.12491,-1.866451,2.502119,-1.647642,50.21623,92.29878,1.574027
70.1328,-1.861482,2.502797,-1.65014,49.97252,92.09818,1.588312
70.14034,-1.856555,2.503471,-1.652794,49.71366,91.89463,1.644518
70.15131,-1.851243,2.504296,-1.655485,49.58472,91.69481,1.699695
70.16231,-1.845903,2.50511,-1.658045,49.52042,91.54984,1.740836
70.17345,-1.840595,2.505996,-1.660761,49.49378,91.43198,1.783414
70.1847,-1.83547,2.506887,-1.663471,49.46039,91.31886,1.829914
70.19573,-1.830397,2.507698,-1.666275,49.47224,91.21829,1.887144
70.20668,-1.825167,2.508365,-1.668841,49.47059,91.08532,1.930728
70.21793,-1.819854,2.508956,-1.671469,49.47269,90.97495,1.983886
70.22906,-1.814747,2.509456,-1.674238,49.46328,90.84199,1.988868
70.2401,-1.809772,2.509925,-1.676811,49.48249,90.74,1.953883
70.2513,-1.804655,2.510363,-1.679286,49.51688,90.65621,1.91624
70.26235,-1.799696,2.510764,-1.681659,49.5533,90.61902,1.899382
70.28321,-1.794901,2.511017,-1.68402,49.58553,90.59311,1.846145
70.29153,-1.790041,2.511187,-1.686246,49.59532,90.61142,1.845885
70.29954,-1.785245,2.511147,-1.688344,49.53584,90.61852,1.809189
70.30724,-1.780445,2.511025,-1.690458,49.46754,90.62633,1.801059
70.31786,-1.775653,2.510861,-1.692272,49.40365,90.61931,1.814075
70.32902,-1.770921,2.510684,-1.694145,49.37537,90.60073,1.847995
70.34007,-1.766311,2.510484,-1.695901,49.4399,90.53389,1.881805
70.35118,-1.761979,2.510392,-1.697515,49.55616,90.4866,1.926002
70.36227,-1.757671,2.510243,-1.699019,49.75486,90.41306,1.918138
70.37336,-1.753365,2.510283,-1.700441,50.00908,90.38295,1.92984
70.38446,-1.749135,2.510483,-1.701758,50.38573,90.35849,1.883318
70.39555,-1.745027,2.510655,-1.703094,50.74395,90.35434,1.806556
70.40677,-1.740923,2.510848,-1.704318,51.02937,90.38744,1.754476
70.42767,-1.737001,2.510964,-1.70547,51.28061,90.4603,1.759615
70.43578,-1.732904,2.511328,-1.706488,51.47583,90.53918,1.844779
70.44366,-1.728996,2.511676,-1.707608,51.66335,90.59895,1.958447
70.4609,-1.725139,2.512021,-1.708771,51.8103,90.62698,2.093752
70.46906,-1.721325,2.512441,-1.709746,51.91667,90.68187,2.217577
70.47701,-1.717311,2.512799,-1.710451,51.97473,90.74109,2.324629
70.48453,-1.713579,2.513242,-1.7113,51.97109,90.79574,2.438883
70.49553,-1.709721,2.513606,-1.712047,51.96416,90.86356,2.550611
70.50666,-1.705883,2.514008,-1.712738,51.88809,90.93809,2.680526
70.51768,-1.702228,2.514347,-1.713513,51.80714,90.99258,2.785956
70.52882,-1.698665,2.514624,-1.714082,51.72473,91.02971,2.844737
70.53995,-1.695064,2.514867,-1.714574,51.64224,91.06567,2.865949
70.55104,-1.691686,2.514985,-1.714936,51.52588,91.07793,2.854732
70.56228,-1.688213,2.515074,-1.715146,51.43311,91.07867,2.789978
70.57322,-1.685197,2.514983,-1.715481,51.32601,91.05886,2.726483
70.58449,-1.682209,2.514905,-1.715478,51.32884,91.03782,2.650835
70.59554,-1.679374,2.51486,-1.715303,51.29895,91.04924,2.554929
70.60658,-1.676672,2.514753,-1.715088,51.42033,91.05196,2.448859
70.6277,-1.674357,2.5148,-1.714882,51.52299,91.10603,2.362337
