time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.77556,-2.105452,1.694999,-1.406747,57.73065,92.65933,337.2732
69.79528,-2.102576,1.694319,-1.407031,57.77429,92.5272,337.4044
69.80447,-2.101112,1.694054,-1.40742,57.84223,92.49448,337.4555
69.81329,-2.099696,1.693385,-1.407811,57.97746,92.59637,337.5721
69.82108,-2.098491,1.693106,-1.407866,58.09496,92.6979,337.6739
69.82906,-2.097558,1.692815,-1.408268,58.21089,92.8667,337.7739
69.84015,-2.095872,1.692265,-1.408594,58.38823,93.04285,337.8765
69.85136,-2.094256,1.691812,-1.409283,58.58978,93.31561,337.9958
69.86245,-2.092561,1.691188,-1.409935,58.77765,93.51449,338.076
69.87352,-2.090734,1.690639,-1.410489,58.9844,93.58807,338.1534
69.88457,-2.088624,1.69004,-1.410944,59.21387,93.52042,338.2341
69.89569,-2.086579,1.68941,-1.411441,59.46356,93.28413,338.2271
69.90685,-2.084559,1.688882,-1.411812,59.70076,93.03021,338.1875
69.91792,-2.082269,1.68831,-1.412018,59.98591,92.55812,338.0025
69.9388,-2.07773,1.687209,-1.412567,60.45052,91.47015,337.378
69.94707,-2.075814,1.686712,-1.412585,60.57153,90.89687,336.9294
69.95499,-2.07405,1.686417,-1.412742,60.70339,90.4449,336.598
69.97216,-2.069423,1.686033,-1.413206,60.88966,89.27738,335.5892
69.98325,-2.066488,1.685726,-1.413549,61.01061,88.58011,334.9998
69.99111,-2.064055,1.685527,-1.413874,61.04284,88.11665,334.5823
69.9989,-2.06191,1.685331,-1.414178,61.09738,87.67223,334.1992
70.01663,-2.056258,1.684901,-1.415387,61.10373,87.00014,333.4772
70.02473,-2.053483,1.684673,-1.416013,61.1043,86.76416,333.2098
70.03257,-2.050958,1.684485,-1.416767,61.08919,86.6273,333.0351
70.05006,-2.045308,1.683954,-1.418465,61.07634,86.36729,332.7818
70.05816,-2.042386,1.683878,-1.419519,61.07496,86.2589,332.7957
70.06609,-2.03973,1.683793,-1.420452,61.08207,86.07478,332.707
70.08326,-2.033607,1.683727,-1.422783,61.10363,85.61503,332.6531
70.09154,-2.030838,1.683666,-1.423956,61.14571,85.38995,332.6498
70.09944,-2.027774,1.683568,-1.425352,61.21578,85.11411,332.6987
70.11665,-2.021434,1.683327,-1.428028,61.30241,84.38433,332.6462
70.12491,-2.017985,1.683393,-1.429348,61.32068,83.95228,332.6043
70.1328,-2.014923,1.683524,-1.43063,61.30998,83.51323,332.5826
70.14034,-2.011813,1.683641,-1.43198,61.28862,83.08352,332.5796
70.15131,-2.007553,1.683866,-1.433866,61.2459,82.48792,332.5317
70.16231,-2.003084,1.684185,-1.435861,61.2007,81.83183,332.4281
70.17345,-1.998249,1.684942,-1.438021,61.13865,81.10628,332.2118
70.1847,-1.993566,1.685499,-1.440163,61.08645,80.3849,331.9543
70.19573,-1.988808,1.686352,-1.442647,60.96416,79.63138,331.4785
70.20668,-1.984094,1.687319,-1.445151,60.83762,79.05677,330.924
70.21793,-1.979191,1.688325,-1.448042,60.69017,78.745,330.3303
70.22906,-1.973884,1.689533,-1.451213,60.48223,78.61401,329.7887
70.2401,-1.968534,1.690692,-1.454428,60.18589,78.67377,329.4709
70.2513,-1.962796,1.691832,-1.457528,59.8623,78.67159,329.3032
70.26235,-1.956924,1.692846,-1.460451,59.35446,78.67218,329.3832
70.28321,-1.945053,1.694928,-1.465667,58.16212,78.11294,329.2348
70.29153,-1.940327,1.695762,-1.46769,57.6398,77.75623,329.1758
70.29954,-1.935387,1.696425,-1.469323,57.06451,77.35767,329.2297
70.30724,-1.93094,1.697038,-1.470679,56.57681,77.0183,329.2718
70.31786,-1.924314,1.697723,-1.472432,55.85313,76.42224,329.2614
70.32902,-1.917722,1.69841,-1.474117,55.11261,75.70457,329.0827
70.34007,-1.911166,1.699096,-1.475184,54.32883,74.87811,328.8918
70.35118,-1.904397,1.700196,-1.476516,53.50672,74.14502,328.5945
70.36227,-1.897988,1.701284,-1.477592,52.60545,73.63593,328.0152
70.37336,-1.89187,1.702676,-1.47902,51.77408,73.60137,327.4227
70.38446,-1.886404,1.703871,-1.480776,51.05865,73.8364,326.9414
70.39555,-1.880708,1.705698,-1.482496,50.4164,74.16283,326.5666
70.40677,-1.874946,1.707654,-1.484108,49.8068,74.39294,326.287
70.42767,-1.865107,1.711295,-1.487053,49.04716,74.82156,326.1429
70.43578,-1.861567,1.712486,-1.488242,48.90211,75.02654,326.2034
70.44366,-1.858585,1.713502,-1.489177,49.01817,75.35702,326.4798
70.4609,-1.851857,1.71559,-1.491246,49.07563,76.09583,326.8206
70.46906,-1.849124,1.716286,-1.492425,49.03096,76.40886,326.8882
70.47701,-1.846478,1.71656,-1.492977,49.25854,76.84671,327.0464
70.48453,-1.843684,1.716889,-1.493164,49.30537,77.19255,327.1017
70.49553,-1.839805,1.71763,-1.49368,49.37255,77.57754,327.1328
70.50666,-1.836272,1.717938,-1.493613,49.34087,77.85929,327.0422
70.51768,-1.832404,1.718726,-1.493881,49.28495,78.09109,326.8628
70.52882,-1.829208,1.71929,-1.493166,49.10208,78.15208,326.2142
70.53995,-1.825752,1.719885,-1.492746,49.00519,78.31908,325.6502
70.55104,-1.822704,1.720478,-1.492286,48.96367,78.40527,324.8218
70.56228,-1.820086,1.720513,-1.491813,49.02861,78.40332,323.9878
70.57322,-1.817454,1.720432,-1.491301,49.22126,78.29942,323.2835
70.58449,-1.815138,1.720259,-1.49092,49.58704,78.15934,322.9591
70.59554,-1.812428,1.720479,-1.490544,49.94318,77.99983,322.8771
70.60658,-1.810096,1.720065,-1.490408,50.52281,77.77164,323.4415
70.6277,-1.805647,1.719039,-1.49052,51.75975,77.5005,325.0961
70.63589,-1.80369,1.718451,-1.490838,52.31237,77.52702,325.8521
70.64371,-1.802038,1.717844,-1.491228,52.74048,77.66833,326.5037
70.66088,-1.797751,1.716688,-1.492014,53.38642,78.68012,327.7264
70.66906,-1.795597,1.716321,-1.492764,53.56052,79.28445,328.1788
70.67699,-1.793447,1.71584,-1.493401,53.76576,79.78475,328.6796
70.69415,-1.788173,1.714989,-1.494494,53.61312,81.33685,329.2642
70.70229,-1.785691,1.714926,-1.495026,53.50944,81.89422,329.4814
70.71021,-1.783169,1.714994,-1.4951,53.40321,82.31356,329.6714
70.72745,-1.777834,1.715209,-1.495463,53.20929,83.04858,330.0218
70.73562,-1.775171,1.715392,-1.495552,53.12724,83.38757,330.1798
70.74348,-1.772689,1.715532,-1.495405,53.08522,83.5892,330.2875
70.76088,-1.767444,1.715528,-1.495241,53.13066,84.05956,330.5704
70.76915,-1.764846,1.715432,-1.49495,53.19449,84.07488,330.6052
70.77705,-1.762233,1.715183,-1.49434,53.31514,83.82867,330.5832
70.78472,-1.75989,1.714928,-1.493803,53.39765,83.67355,330.6342
70.79542,-1.756743,1.714539,-1.493186,53.4926,83.51012,330.7268
70.80641,-1.753336,1.714295,-1.492405,53.55323,83.34582,330.8059
70.81771,-1.749939,1.714152,-1.491842,53.56539,83.45594,330.8905
70.82876,-1.74711,1.713995,-1.491428,53.51898,83.67651,330.9351
70.83978,-1.743885,1.714018,-1.4911,53.46713,83.9631,331.0153
70.85091,-1.740723,1.713983,-1.491331,53.39162,84.46461,331.125
70.86214,-1.737867,1.713959,-1.49174,53.36938,85.03391,331.2961
70.87318,-1.734863,1.714041,-1.491774,53.36803,85.53021,331.4947
70.89407,-1.729839,1.713785,-1.491575,53.44003,86.53835,332.0109
70.90223,-1.727949,1.713572,-1.491607,53.50054,86.96004,332.2087
70.91017,-1.726127,1.7134,-1.491613,53.54001,87.34103,332.4031
70.91776,-1.724494,1.712949,-1.491632,53.61623,87.81226,332.7045
70.92868,-1.722188,1.712505,-1.491657,53.70203,88.4369,333.0654
70.9397,-1.719797,1.711944,-1.491852,53.86905,89.12263,333.4808
70.95088,-1.717809,1.711199,-1.49161,54.05719,89.72189,333.8962
70.962,-1.715775,1.710441,-1.491426,54.23909,90.27289,334.2102
70.97298,-1.713743,1.70973,-1.491097,54.41082,90.81393,334.4799
70.99394,-1.710193,1.708217,-1.490135,54.77641,91.70296,334.6654
