time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.8631,-1.955014,2.686688,-1.764661,61.59822,86.59796,351.7887
135.876,-1.952171,2.685935,-1.763441,61.35043,86.95771,352.2091
135.8864,-1.949299,2.685205,-1.762109,61.10677,87.27039,352.6191
135.9031,-1.946245,2.68462,-1.760634,60.89377,87.60172,353.0018
135.9106,-1.942999,2.68413,-1.759087,60.68594,87.92401,353.3729
135.9174,-1.939606,2.683709,-1.757506,60.43626,88.21896,353.7315
135.9254,-1.935961,2.683407,-1.755837,60.16163,88.44213,354.0147
135.9366,-1.931979,2.683059,-1.753952,59.83103,88.58791,354.2196
135.9478,-1.928128,2.682946,-1.751635,59.44626,88.77589,354.4143
135.9587,-1.923954,2.682384,-1.749581,59.05773,88.88995,354.5435
135.9699,-1.919766,2.681733,-1.747389,58.69552,89.00677,354.6554
135.9812,-1.915658,2.680992,-1.745208,58.41979,89.04491,354.7707
136.0069,-1.911544,2.680138,-1.743119,58.31043,89.0238,354.8773
136.0159,-1.903715,2.678792,-1.738471,58.51329,88.93008,355.152
136.0254,-1.899814,2.678239,-1.736185,58.74405,88.76662,355.184
136.0365,-1.89588,2.677917,-1.733845,59.11446,88.65778,355.2403
136.0476,-1.891879,2.67762,-1.731645,59.41951,88.55635,355.2804
136.0587,-1.887715,2.677548,-1.729298,59.67607,88.4787,355.2968
136.0697,-1.883212,2.677419,-1.727048,59.74804,88.43073,355.3696
136.081,-1.878491,2.677292,-1.724823,59.66427,88.35848,355.4278
136.092,-1.873391,2.677149,-1.72271,59.40378,88.29156,355.557
136.1032,-1.868557,2.676811,-1.720567,59.26498,88.17365,355.6439
136.1143,-1.864,2.676709,-1.718628,59.30144,88.00182,355.6747
136.1254,-1.859916,2.676713,-1.716685,59.53152,87.77894,355.6585
136.1365,-1.856017,2.67674,-1.714768,59.92467,87.54367,355.6824
136.1514,-1.852157,2.676893,-1.712954,60.25542,87.32705,355.697
136.1586,-1.848262,2.677151,-1.711261,60.5005,87.15354,355.7544
136.1698,-1.84419,2.677553,-1.709639,60.61723,87.04259,355.8334
136.1808,-1.840128,2.678231,-1.708254,60.61695,86.99522,355.9014
136.1918,-1.835909,2.678986,-1.706804,60.61686,87.0574,356.0085
136.203,-1.831922,2.679753,-1.705419,60.57784,87.2365,356.183
136.2142,-1.828152,2.680796,-1.704163,60.54664,87.38541,356.355
136.2252,-1.824115,2.681666,-1.70295,60.49873,87.5503,356.5271
136.2363,-1.820219,2.682739,-1.701763,60.35469,87.70063,356.722
136.2475,-1.81618,2.683817,-1.700597,60.10962,87.85124,356.9738
136.2585,-1.811991,2.684735,-1.699353,59.8302,88.00677,357.2097
136.2696,-1.80781,2.685575,-1.698154,59.50886,88.12865,357.4235
136.2808,-1.803803,2.686407,-1.696731,59.26638,88.28014,357.6463
136.292,-1.800059,2.686923,-1.695387,59.11558,88.41774,357.813
136.307,-1.796626,2.68735,-1.694049,59.07277,88.53912,357.9535
136.3142,-1.793297,2.687726,-1.692719,59.11089,88.62933,358.0609
136.3254,-1.790019,2.688106,-1.691503,59.15182,88.75806,358.1867
136.3365,-1.786536,2.688567,-1.690142,59.15412,88.91779,358.3442
136.3476,-1.782954,2.68897,-1.688856,59.07445,89.08937,358.5501
136.3586,-1.77922,2.689463,-1.687437,58.95002,89.28991,358.7857
136.3697,-1.775326,2.689938,-1.68595,58.77644,89.45,359.0109
136.381,-1.771315,2.690382,-1.684404,58.57788,89.55826,359.2186
136.3918,-1.767385,2.690733,-1.682801,58.36512,89.64954,359.4445
136.403,-1.763591,2.690931,-1.681248,58.20058,89.67984,359.6155
136.4143,-1.759722,2.69123,-1.679596,58.10206,89.71767,359.813
136.4253,-1.755844,2.691518,-1.678053,58.02888,89.7388,-0.004434
136.4363,-1.751958,2.691874,-1.676461,57.93533,89.74078,0.133374
