time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.8631,-2.06264,1.933152,-1.381777,28.56298,89.24581,319.6671
135.876,-2.05939,1.929455,-1.38187,28.75747,89.39454,319.8353
135.8864,-2.05704,1.927086,-1.382032,28.89585,89.54388,319.9303
135.9031,-2.051788,1.921766,-1.382235,29.21362,89.87478,320.1551
135.9106,-2.04911,1.919191,-1.382244,29.36168,90.05821,320.2401
135.9174,-2.046916,1.917154,-1.382331,29.48439,90.20983,320.3228
135.9254,-2.044199,1.914829,-1.382301,29.60949,90.38149,320.3616
135.9366,-2.040027,1.911591,-1.382122,29.75293,90.56752,320.4385
135.9478,-2.035549,1.908376,-1.381843,29.84848,90.66681,320.5293
135.9587,-2.030912,1.905321,-1.381354,29.91314,90.72421,320.5955
135.9699,-2.026432,1.902112,-1.380919,29.98236,90.79361,320.6484
135.9812,-2.021177,1.899505,-1.380389,30.01374,90.8475,320.6281
136.0069,-2.011246,1.894533,-1.3796,30.15465,91.08312,320.7153
136.0159,-2.004909,1.891875,-1.379077,30.23729,91.19638,320.7584
136.0254,-1.99969,1.890238,-1.378578,30.25504,91.23746,320.7288
136.0365,-1.994117,1.888682,-1.378086,30.29172,91.27807,320.7204
136.0476,-1.988444,1.887909,-1.377521,30.31441,91.26885,320.677
136.0587,-1.982416,1.88751,-1.377008,30.32498,91.24492,320.6929
136.0697,-1.976568,1.887013,-1.376323,30.28827,91.20483,320.7151
136.081,-1.969432,1.88757,-1.375705,30.07667,91.00826,320.7997
136.092,-1.962967,1.887844,-1.375051,29.82327,90.82471,320.8804
136.1032,-1.955757,1.888571,-1.37426,29.38054,90.50376,320.9773
136.1143,-1.948419,1.889891,-1.373687,28.76873,90.17126,321.1245
136.1254,-1.940974,1.891659,-1.373294,28.03517,89.96392,321.3033
136.1365,-1.934047,1.893596,-1.37302,27.33628,89.97381,321.4692
136.1514,-1.927326,1.895487,-1.372748,26.7143,90.02979,321.58
136.1586,-1.920816,1.897675,-1.373205,26.12509,90.23689,321.6169
136.1698,-1.914105,1.900018,-1.373378,25.58866,90.40426,321.6324
136.1808,-1.908359,1.902323,-1.373771,25.10333,90.64651,321.5693
136.1918,-1.902453,1.904351,-1.373912,24.64093,90.73801,321.6147
136.203,-1.896073,1.906759,-1.373634,24.24469,90.70145,321.7362
136.2142,-1.890662,1.908208,-1.373252,24.02857,90.47215,322.069
136.2252,-1.884998,1.909471,-1.373092,23.79625,90.29239,322.3705
136.2363,-1.879521,1.910769,-1.372719,23.52143,90.15644,322.6201
136.2475,-1.874065,1.912051,-1.372633,23.23298,90.1179,322.7838
136.2585,-1.868988,1.912827,-1.372269,22.94856,90.14329,322.8677
136.2696,-1.863663,1.913649,-1.37192,22.6887,90.21831,322.888
136.2808,-1.858875,1.914401,-1.371739,22.47036,90.29144,322.9042
136.292,-1.85422,1.914564,-1.371262,22.32759,90.41995,322.8558
136.307,-1.849934,1.914657,-1.370671,22.24054,90.56074,322.7662
136.3142,-1.845627,1.914364,-1.370028,22.2208,90.63449,322.6601
136.3254,-1.841573,1.914298,-1.369451,22.24402,90.61893,322.6496
136.3365,-1.83752,1.913962,-1.368225,22.29673,90.54008,322.7207
136.3476,-1.833621,1.913769,-1.367268,22.31571,90.43327,322.7828
136.3586,-1.829479,1.913499,-1.3663,22.31516,90.20113,322.8353
136.3697,-1.82565,1.913218,-1.364746,22.30297,89.90393,322.8306
136.381,-1.821704,1.912634,-1.363288,22.26781,89.55908,322.8119
136.3918,-1.817887,1.912082,-1.361721,22.23191,89.16777,322.8902
136.403,-1.813967,1.911616,-1.360103,22.19711,88.7903,323.0074
136.4143,-1.810223,1.910972,-1.358396,22.17549,88.37795,323.1844
136.4253,-1.806657,1.909822,-1.356525,22.18022,88.01575,323.3352
136.4363,-1.803066,1.909011,-1.355018,22.17644,87.67669,323.4177
136.4476,-1.799378,1.908,-1.353287,22.1869,87.36416,323.4639
136.4625,-1.796146,1.906977,-1.35173,22.1815,87.11781,323.4414
136.4699,-1.792671,1.90617,-1.350151,22.15645,86.85048,323.3932
136.4811,-1.789405,1.905416,-1.34865,22.12489,86.59663,323.3374
136.5022,-1.783378,1.904061,-1.346013,22.08638,86.07545,323.2595
136.5103,-1.781007,1.903581,-1.344903,22.07905,85.84796,323.2711
136.5178,-1.778944,1.903205,-1.343865,22.08076,85.59883,323.3042
136.5356,-1.773833,1.902746,-1.340967,22.0608,84.91791,323.4011
136.5437,-1.771638,1.902532,-1.339745,22.03631,84.56154,323.4186
136.5512,-1.769624,1.902375,-1.338578,22.03253,84.21484,323.4272
136.559,-1.767504,1.902181,-1.337315,22.04588,83.85225,323.4479
136.5703,-1.764591,1.902033,-1.335577,22.0659,83.38077,323.4836
136.5813,-1.761566,1.901737,-1.333961,22.11032,82.90571,323.48
136.5924,-1.75865,1.901661,-1.332428,22.12976,82.47061,323.4685
136.6037,-1.755762,1.901649,-1.330949,22.12936,82.05762,323.4521
136.6187,-1.752979,1.901909,-1.329636,22.11505,81.68447,323.4363
136.6358,-1.747757,1.902507,-1.327176,22.09566,81.06773,323.3926
136.6442,-1.745814,1.902855,-1.326252,22.07963,80.84832,323.3446
136.6527,-1.743966,1.903338,-1.325458,22.09402,80.68205,323.294
136.6608,-1.74196,1.904185,-1.324746,22.12592,80.53318,323.2324
136.6702,-1.739935,1.904885,-1.323671,22.15158,80.35363,323.1816
136.6814,-1.737368,1.905946,-1.322625,22.18714,80.16336,323.1151
136.6924,-1.734743,1.907174,-1.321759,22.19704,80.04873,323.0366
136.7037,-1.732152,1.90837,-1.321021,22.18891,79.96024,322.973
136.7147,-1.729296,1.909674,-1.320183,22.17229,79.93523,322.9774
136.7257,-1.72673,1.910915,-1.319199,22.1349,79.96825,323.0363
136.7369,-1.7238,1.912249,-1.318308,22.12396,80.01234,323.0894
136.748,-1.720978,1.913523,-1.317448,22.08993,80.04697,323.0962
136.7591,-1.718063,1.915025,-1.316212,22.0328,80.09753,323.0558
136.784,-1.712167,1.918333,-1.313858,21.81064,80.02356,322.8235
136.7922,-1.709034,1.920371,-1.311764,21.61586,79.89067,322.6508
136.8003,-1.706645,1.921825,-1.310066,21.5067,79.73447,322.5336
136.8086,-1.704378,1.923318,-1.308372,21.39067,79.53738,322.4161
136.8163,-1.702088,1.924708,-1.306512,21.25974,79.29791,322.3247
136.8354,-1.696259,1.928386,-1.301482,20.89683,78.53471,322.2131
136.8436,-1.693717,1.930036,-1.299072,20.71004,78.14297,322.1987
136.8512,-1.691556,1.931501,-1.296788,20.527,77.76343,322.2096
136.8688,-1.686131,1.935265,-1.291369,20.02131,76.86832,322.0328
136.877,-1.683565,1.937002,-1.28884,19.78769,76.49615,321.9481
136.8845,-1.681062,1.938662,-1.286464,19.51679,76.17079,321.8368
136.8923,-1.678418,1.940631,-1.28383,19.17779,75.85257,321.7326
136.9033,-1.674772,1.943103,-1.280235,18.75549,75.42272,321.6189
136.9144,-1.670789,1.945658,-1.276487,18.29029,75.00729,321.5342
136.9292,-1.666769,1.948254,-1.272585,17.82243,74.63725,321.5328
136.947,-1.659159,1.953357,-1.265016,17.00968,73.92071,321.593
136.9552,-1.656055,1.955386,-1.261875,16.69366,73.60589,321.5737
136.9627,-1.653604,1.957096,-1.259118,16.40591,73.30664,321.5483
136.9798,-1.647584,1.961308,-1.252483,15.75428,72.46318,321.5213
136.9879,-1.644532,1.963346,-1.249078,15.44466,71.9845,321.5705
136.9953,-1.641752,1.965282,-1.245921,15.15507,71.47606,321.7382
137.0032,-1.638822,1.96724,-1.242819,14.84261,71.04411,321.8423
137.0145,-1.634452,1.97006,-1.238081,14.349,70.45727,322.041
137.0255,-1.630284,1.972847,-1.23365,13.856,70.02433,322.1767
137.0366,-1.625931,1.975677,-1.229268,13.36828,69.64865,322.2879
137.0577,-1.617576,1.980997,-1.221712,12.50066,69.39702,322.2016
137.0659,-1.61428,1.983073,-1.218857,12.20351,69.34814,322.0701
137.0773,-1.611337,1.984848,-1.216384,11.97451,69.32471,321.8967
137.091,-1.604384,1.989038,-1.210603,11.45134,69.24939,321.5014
137.0992,-1.600907,1.991049,-1.208071,11.26032,69.21822,321.3505
137.1069,-1.597633,1.993062,-1.205729,11.04064,69.1282,321.2855
137.1243,-1.590506,1.997517,-1.200342,10.56943,68.87323,321.3098
137.1325,-1.586928,1.999728,-1.198088,10.38866,68.79146,321.4179
137.14,-1.583637,2.001725,-1.196115,10.24586,68.76051,321.5642
137.1577,-1.575754,2.006464,-1.192097,9.870067,68.84737,321.9815
137.166,-1.571827,2.008714,-1.19027,9.626681,68.94488,322.1221
137.1735,-1.568355,2.010873,-1.188562,9.400767,69.00288,322.2295
137.1816,-1.564629,2.013534,-1.187203,9.062862,69.17196,322.1817
137.1922,-1.559435,2.016782,-1.185253,8.647037,69.33863,322.1156
137.2032,-1.553888,2.020171,-1.183751,8.234536,69.63314,321.9047
137.2145,-1.547904,2.023703,-1.182614,7.920601,70.07854,321.8178
137.2255,-1.541869,2.027027,-1.181725,7.675212,70.56917,321.9179
137.2405,-1.535552,2.030549,-1.181704,7.541106,71.34808,322.3567
137.2485,-1.528573,2.034604,-1.182101,7.379017,72.53989,323.0254
137.259,-1.522581,2.038897,-1.182895,7.069315,73.63209,323.3469
137.2699,-1.516182,2.043472,-1.183488,6.645196,74.70903,323.5099
137.2811,-1.510127,2.048711,-1.18431,6.008569,75.75633,323.3628
137.3021,-1.498423,2.05949,-1.185518,4.729665,77.41268,323.0186
