time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.8631,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.876,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.8864,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9031,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9106,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9174,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9254,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9366,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9478,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9587,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9699,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
135.9812,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0069,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0159,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0254,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0365,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0476,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0587,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.0697,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.081,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.092,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1032,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1143,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1254,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1365,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1514,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1586,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1698,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
136.1808,-2.614755,2.328036,-1.142196,352.9787,266.2154,156.3592
