time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.8631,-1.649474,1.164282,-1.53521,315.163,57.03297,59.62903
135.876,-1.646716,1.15796,-1.536344,314.9572,58.15636,58.54009
135.8864,-1.644679,1.151604,-1.537467,314.8829,58.86291,57.8518
135.9031,-1.642953,1.144927,-1.538482,315.0684,58.91899,57.80636
135.9106,-1.641757,1.138146,-1.539548,315.5258,58.54982,58.05943
135.9174,-1.641872,1.131013,-1.541217,316.2941,58.23581,57.88499
135.9254,-1.641581,1.123536,-1.543077,316.8907,58.67607,57.08157
135.9366,-1.642473,1.115144,-1.544965,318.1583,59.65382,55.51727
135.9478,-1.644316,1.106881,-1.546655,319.7891,59.89675,54.47822
135.9587,-1.647059,1.104698,-1.556547,323.4323,57.97295,54.39226
135.9699,-1.648764,1.108592,-1.566369,315.9044,71.89382,45.48653
135.9812,-1.655035,1.111516,-1.568836,303.9967,88.77837,30.55457
136.0069,-1.658421,1.107443,-1.562033,304.5862,58.17413,55.13178
136.0159,-1.653194,1.104695,-1.567133,303.9939,68.15591,46.36118
136.0254,-1.654067,1.102674,-1.568817,304.9302,73.89031,41.49319
136.0365,-1.652175,1.104061,-1.56698,303.6766,68.64393,45.04226
136.0476,-1.652108,1.104348,-1.567847,304.4806,71.68716,42.38451
136.0587,-1.655123,1.105717,-1.567335,304.0567,72.00906,42.23789
136.0697,-1.655181,1.104889,-1.565553,304.2575,69.2772,45.00649
136.081,-1.656986,1.102397,-1.565345,304.7596,68.16174,46.20862
136.092,-1.656721,1.101975,-1.565419,304.3544,68.03115,46.42748
136.1032,-1.656071,1.101764,-1.566065,304.3643,69.32751,45.26707
136.1143,-1.655691,1.101305,-1.566294,304.3246,69.34514,45.16223
136.1254,-1.655343,1.100737,-1.566548,304.4269,69.39627,44.99267
136.1365,-1.660453,1.104193,-1.569237,304.2823,69.4436,44.85239
136.1514,-1.660403,1.103848,-1.569752,304.3006,69.4893,44.72266
136.1586,-1.66088,1.104227,-1.570688,304.2285,69.76465,44.38463
136.1698,-1.660842,1.105939,-1.568788,304.222,69.7281,44.37431
136.1808,-1.660963,1.105742,-1.569013,304.1685,69.72517,44.37034
