time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.8631,-2.18904,1.11184,-1.70532,301.2704,112.7555,351.8973
135.876,-2.18883,1.111805,-1.705277,301.2941,112.6902,352.0127
135.8864,-2.188544,1.111786,-1.705198,301.3365,112.5092,352.296
135.9031,-2.188255,1.111758,-1.705039,301.433,112.4026,352.4794
135.9106,-2.188015,1.111563,-1.704833,301.5118,112.1418,352.7935
135.9174,-2.187732,1.111466,-1.704945,301.7171,112.3044,352.6858
135.9254,-2.187461,1.111401,-1.704809,302.022,112.4281,352.7151
135.9366,-2.187541,1.111155,-1.70517,302.0986,112.256,352.9507
135.9478,-2.187425,1.11115,-1.705273,302.1708,112.4558,352.8048
135.9587,-2.187332,1.111086,-1.705244,302.2216,112.3562,352.9227
135.9699,-2.187341,1.111052,-1.7054,302.2047,112.2411,353.0201
135.9812,-2.187386,1.111144,-1.705593,302.2502,112.3234,352.9333
136.0069,-2.187027,1.111193,-1.70639,302.4997,112.916,352.2931
136.0159,-2.186738,1.111174,-1.706607,302.8603,113.2514,352.0754
136.0254,-2.186372,1.11129,-1.706512,303.0514,113.3078,352.1799
136.0365,-2.185875,1.111371,-1.706365,303.4189,112.9141,352.741
136.0476,-2.185503,1.111449,-1.706199,303.6049,112.5347,353.2248
136.0587,-2.185184,1.111502,-1.70592,303.6808,112.4585,353.45
136.0697,-2.184768,1.111408,-1.705698,304.0696,112.3798,353.8108
136.081,-2.184869,1.111496,-1.705559,304.0318,112.1512,354.1099
136.092,-2.184812,1.111523,-1.705572,304.0401,112.2322,354.1209
136.1032,-2.184915,1.111584,-1.706077,304.108,112.3484,354.0022
136.1143,-2.185046,1.11159,-1.706307,304.1251,112.4056,353.8825
136.1254,-2.185026,1.111707,-1.706633,304.1638,112.7165,353.494
136.1365,-2.185017,1.111718,-1.707159,304.2446,112.9664,353.1543
136.1514,-2.185104,1.111876,-1.70774,304.2881,113.3883,352.6564
136.1586,-2.184946,1.111914,-1.708069,304.3421,113.6941,352.3216
136.1698,-2.184777,1.11205,-1.708301,304.4929,113.8914,352.1392
136.1808,-2.184398,1.112135,-1.708335,304.7782,113.9847,352.2075
136.1918,-2.184168,1.112218,-1.708409,304.9096,114.1516,352.1826
136.203,-2.184222,1.112263,-1.707959,304.934,114.3722,352.1651
136.2142,-2.184129,1.11235,-1.707888,304.9272,114.3123,352.2891
136.2252,-2.184221,1.112342,-1.707348,304.8046,114.1621,352.5021
136.2363,-2.184313,1.112382,-1.706964,304.7122,114.0175,352.7155
136.2475,-2.184304,1.112303,-1.706424,304.5988,113.655,353.0964
136.2585,-2.184369,1.112322,-1.706558,304.4829,113.5946,353.1816
136.2696,-2.184289,1.112212,-1.706408,304.4218,113.6052,353.2305
136.2808,-2.184494,1.112259,-1.70634,304.3414,113.5174,353.2948
136.292,-2.184657,1.112235,-1.706228,304.2589,113.7281,353.0957
136.307,-2.184896,1.112292,-1.705978,304.1834,113.7476,353.079
136.3142,-2.18498,1.112302,-1.705868,304.1384,113.8062,353.0324
136.3254,-2.185318,1.1122,-1.705528,304.0866,113.7683,353.0839
136.3365,-2.185416,1.112173,-1.7053,304.0574,113.8191,353.0503
136.3476,-2.185437,1.112168,-1.704931,304.0228,113.8038,353.0777
136.3586,-2.185451,1.112294,-1.704626,303.9827,113.6406,353.2736
136.3697,-2.185662,1.112193,-1.704281,303.9174,113.4758,353.437
136.381,-2.185766,1.112157,-1.704041,303.8605,113.4558,353.4829
136.3918,-2.185886,1.112158,-1.70372,303.8042,113.3453,353.5929
136.403,-2.185921,1.112141,-1.70349,303.7644,113.2828,353.6493
136.4143,-2.185964,1.112119,-1.703279,303.7356,113.2663,353.6568
136.4253,-2.186122,1.112085,-1.702963,303.7346,113.1911,353.7163
136.4363,-2.186206,1.112084,-1.702865,303.7393,113.0702,353.7994
136.4476,-2.186224,1.112094,-1.702947,303.7728,113.1796,353.6441
136.4625,-2.186146,1.11196,-1.703274,303.7812,113.1839,353.6183
136.4699,-2.186257,1.11185,-1.70345,303.815,113.2427,353.4966
136.4811,-2.186318,1.111761,-1.704192,303.9496,113.6606,352.9459
136.5022,-2.186697,1.111646,-1.705378,304.1326,114.2095,351.9973
136.5103,-2.186697,1.111646,-1.705378,304.1326,114.2095,351.9973
136.5178,-2.186681,1.111712,-1.70605,304.3753,115.018,351.0219
136.5356,-2.186461,1.111737,-1.707736,304.8258,115.7661,349.9473
136.5437,-2.186461,1.111737,-1.707736,304.8258,115.7661,349.9473
136.5512,-2.186496,1.111822,-1.708676,305.0091,116.1351,349.3804
136.559,-2.186437,1.111999,-1.709698,305.0627,116.4914,348.9472
136.5703,-2.186277,1.112073,-1.710338,305.2107,116.7029,348.7113
136.5813,-2.18596,1.112347,-1.710932,305.5606,116.8222,348.5007
136.5924,-2.185625,1.112593,-1.711652,305.7701,116.9973,348.2493
136.6037,-2.185225,1.112905,-1.712104,306.1218,117.3885,347.8477
136.6187,-2.18447,1.113298,-1.712773,306.4541,117.0294,348.1029
136.6358,-2.183297,1.114459,-1.714368,307.2136,118.0454,347.0267
136.6442,-2.183297,1.114459,-1.714368,307.2136,118.0454,347.0267
136.6527,-2.182114,1.114793,-1.71526,307.8888,118.1298,347.1732
136.6608,-2.18151,1.11523,-1.716127,308.7438,117.984,347.3129
136.6702,-2.18063,1.115852,-1.716934,309.3799,118.3947,346.8998
136.6814,-2.179742,1.116449,-1.717711,310.0789,118.3623,346.8392
136.6924,-2.179151,1.116966,-1.718687,310.7232,118.2478,346.8065
136.7037,-2.178364,1.117706,-1.719292,311.3325,118.3951,346.5308
136.7147,-2.177611,1.118203,-1.720253,311.9171,118.4016,346.3891
136.7257,-2.176759,1.118873,-1.7211,312.5392,118.7177,346.0475
136.7369,-2.175708,1.119463,-1.721739,313.1579,118.6401,346.0237
136.748,-2.174647,1.120061,-1.722703,313.822,118.5612,346.024
136.7591,-2.173662,1.120615,-1.723572,314.5462,118.6533,345.8768
136.784,-2.171846,1.121664,-1.725379,315.9412,118.7255,345.5951
136.7922,-2.170949,1.122201,-1.72651,316.5485,118.5974,345.5175
136.8003,-2.170111,1.122751,-1.727542,317.3871,118.7673,345.2055
136.8086,-2.170111,1.122751,-1.727542,317.3871,118.7673,345.2055
