time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
64.33016,-2.075559,1.889328,-2.031952,39.61634,96.16577,34.51928
64.34261,-2.074701,1.888989,-2.031666,39.61181,96.11664,34.5175
64.35477,-2.073453,1.888862,-2.031582,39.60456,96.16933,34.57683
64.36452,-2.072364,1.888505,-2.031441,39.61839,96.22089,34.65625
64.38231,-2.070911,1.888012,-2.031042,39.60894,96.31023,34.74369
64.39008,-2.069915,1.887796,-2.030894,39.60483,96.36075,34.76684
64.39683,-2.068994,1.887589,-2.030971,39.59029,96.38056,34.75576
64.40359,-2.06826,1.887469,-2.03085,39.57166,96.40296,34.7682
64.41474,-2.066892,1.887364,-2.030567,39.5318,96.42793,34.78889
64.42584,-2.065514,1.887331,-2.030251,39.48444,96.445,34.84192
64.43698,-2.063995,1.887409,-2.029732,39.44142,96.45027,34.90415
64.44801,-2.062604,1.887383,-2.029351,39.4137,96.45196,34.95032
64.45916,-2.061051,1.887231,-2.028911,39.4166,96.45713,34.97563
64.47031,-2.059358,1.88722,-2.028542,39.4525,96.46478,34.96983
64.48144,-2.057791,1.887182,-2.028007,39.4534,96.49186,34.99976
64.49358,-2.056094,1.887227,-2.02754,39.44432,96.50426,35.022
64.51287,-2.052993,1.887059,-2.026472,39.44694,96.53935,35.06837
64.51998,-2.051796,1.88702,-2.02609,39.4435,96.5398,35.07112
64.52631,-2.050779,1.886979,-2.025751,39.44177,96.53252,35.08625
64.53618,-2.048417,1.88717,-2.024598,39.44558,96.63827,35.10275
64.55275,-2.045353,1.886873,-2.023793,39.39663,96.68783,35.14835
64.55949,-2.043975,1.886765,-2.023404,39.38916,96.69598,35.20683
64.56957,-2.042437,1.886442,-2.02293,39.36917,96.70934,35.24063
64.58067,-2.040071,1.886127,-2.022337,39.37286,96.73539,35.28798
64.59186,-2.036975,1.886074,-2.021674,39.36263,96.8625,35.30758
64.60287,-2.034343,1.885764,-2.021117,39.34125,96.92097,35.38054
64.61393,-2.031302,1.885358,-2.020617,39.27658,97.03165,35.45292
64.62505,-2.028161,1.885025,-2.020197,39.18474,97.19024,35.55885
64.63619,-2.024507,1.884614,-2.020029,39.1186,97.48006,35.6818
64.64731,-2.021213,1.884071,-2.019512,38.99255,97.8323,35.82616
64.65848,-2.01774,1.883758,-2.019104,38.90178,98.11424,36.00643
64.66965,-2.013455,1.883484,-2.018772,38.82546,98.54948,36.13696
64.68076,-2.009501,1.883318,-2.018002,38.77044,98.89527,36.22609
64.69193,-2.005319,1.882985,-2.017379,38.74163,99.16623,36.2528
64.70296,-2.001003,1.882443,-2.016587,38.71894,99.39497,36.28821
64.71404,-1.996923,1.882004,-2.015678,38.69016,99.59655,36.37586
64.72502,-1.992372,1.881698,-2.014921,38.58542,99.7738,36.51095
64.73616,-1.987346,1.881461,-2.013853,38.49147,99.90363,36.68688
64.74724,-1.982184,1.881381,-2.012743,38.35184,100.0349,36.86198
64.75832,-1.97671,1.881406,-2.011528,38.16031,100.182,37.05347
64.76949,-1.971314,1.881385,-2.01032,37.98143,100.3225,37.21888
64.7806,-1.965442,1.881152,-2.00852,37.78943,100.4582,37.37226
64.79176,-1.959087,1.881295,-2.007022,37.66658,100.5728,37.45921
64.80287,-1.953052,1.881208,-2.005409,37.52737,100.6077,37.51249
