time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.33266,-2.026433,1.832501,-2.008958,37.84015,127.731,53.1816
61.34608,-2.019837,1.833633,-2.012079,37.35914,128.0131,53.23233
61.35534,-2.015852,1.834138,-2.014504,36.96464,128.1723,53.19619
61.37757,-2.004453,1.83735,-2.019101,35.74674,128.6024,52.86597
61.38604,-1.999651,1.83857,-2.021032,35.28151,128.7992,52.7874
61.39413,-1.995029,1.839532,-2.022278,34.81878,128.9369,52.63235
61.40208,-1.990098,1.840794,-2.023559,34.31999,129.0894,52.45818
61.41085,-1.984825,1.842422,-2.02439,33.81076,129.2087,52.29639
61.42191,-1.978157,1.844306,-2.025674,33.19528,129.3448,52.10054
61.43298,-1.970604,1.846025,-2.026142,32.60933,129.3983,51.95263
61.44421,-1.963084,1.847552,-2.026325,32.05165,129.4266,51.88993
61.46529,-1.948554,1.850227,-2.026289,31.03471,129.4352,51.75717
61.47438,-1.941903,1.851373,-2.025846,30.56312,129.4516,51.60247
61.4823,-1.93583,1.852113,-2.024734,30.11253,129.4425,51.33057
61.49022,-1.930411,1.853019,-2.024163,29.68496,129.4724,51.13412
61.50959,-1.915049,1.855604,-2.021451,28.61194,129.545,50.24415
61.51766,-1.9088,1.856451,-2.020015,28.19003,129.5575,49.83156
61.52557,-1.902005,1.856745,-2.018121,27.76281,129.5514,49.43122
61.54273,-1.888523,1.858372,-2.013636,26.94131,129.4828,48.57429
61.55081,-1.881859,1.858849,-2.011067,26.61504,129.4089,48.16289
61.55886,-1.875003,1.859526,-2.008524,26.24126,129.3553,47.80359
61.56702,-1.868601,1.860162,-2.006241,25.89371,129.3104,47.47897
61.57743,-1.859901,1.860897,-2.002286,25.54548,129.1656,47.07748
61.58853,-1.850482,1.861541,-1.997708,25.14626,128.987,46.6688
61.59962,-1.841142,1.862307,-1.993,24.82384,128.7682,46.2635
61.61137,-1.831104,1.863096,-1.987595,24.5391,128.4921,45.85816
61.62209,-1.822204,1.863776,-1.982636,24.27736,128.2315,45.46016
61.63282,-1.813406,1.864315,-1.97704,24.03392,127.8937,44.95344
61.64407,-1.804088,1.864993,-1.971138,23.83349,127.4767,44.38829
61.65505,-1.794812,1.865707,-1.965,23.68462,127.0025,43.80908
61.66629,-1.786018,1.866344,-1.959302,23.50655,126.5671,43.27313
61.68715,-1.769024,1.867347,-1.94788,23.13154,125.7322,42.44588
61.69551,-1.762596,1.867755,-1.942832,23.00478,125.3946,42.21725
61.70379,-1.756158,1.86819,-1.938285,22.90034,125.0657,41.96739
