time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.1311,-2.020465,1.765144,-1.307376,48.49417,59.50246,297.5469
72.14447,-2.020019,1.764891,-1.305873,48.71032,58.9897,297.2558
72.15373,-2.019556,1.764714,-1.304841,48.86305,58.62518,297.0575
72.16229,-2.018776,1.76459,-1.303993,48.99918,58.26807,296.8784
72.17039,-2.018503,1.764366,-1.303072,49.1355,57.9807,296.6594
72.18148,-2.017182,1.764048,-1.301981,49.27814,57.56903,296.4608
72.1926,-2.014774,1.763656,-1.301085,49.28123,57.28906,296.3707
72.20374,-2.012688,1.763257,-1.30016,49.3009,57.02396,296.1627
72.21491,-2.010645,1.762879,-1.299346,49.32383,56.81329,295.9264
72.22591,-2.007717,1.762408,-1.2989,49.32032,56.73802,295.5846
72.23697,-2.004677,1.761995,-1.298448,49.31063,56.66278,295.2946
72.24839,-1.998935,1.761141,-1.295928,49.36097,56.55857,295.0201
72.26931,-1.99016,1.760692,-1.295061,49.26055,56.41076,294.7573
72.28064,-1.98603,1.76046,-1.294899,49.1838,56.36034,294.7057
72.28863,-1.982796,1.760342,-1.295351,49.07268,56.34906,294.8606
72.29617,-1.979354,1.760291,-1.295412,48.97244,56.32507,294.989
72.30421,-1.977046,1.760134,-1.295695,48.86755,56.28637,295.0777
72.31477,-1.972274,1.760079,-1.296118,48.67393,56.30413,295.3686
72.32584,-1.965578,1.760463,-1.296066,48.4362,56.35682,295.6859
72.33704,-1.959688,1.760746,-1.296511,48.16099,56.42058,295.9232
72.34817,-1.953276,1.761138,-1.297063,47.82933,56.51244,296.0858
72.35914,-1.946854,1.761538,-1.297627,47.48953,56.61732,296.2419
72.37027,-1.939595,1.762228,-1.298502,46.99555,56.82479,296.3889
72.3815,-1.932948,1.762777,-1.299258,46.58018,56.9804,296.5649
72.39247,-1.925511,1.763481,-1.300276,46.09713,57.22404,296.8178
72.40379,-1.917278,1.764158,-1.300919,45.65867,57.44971,297.1008
72.41556,-1.908105,1.765187,-1.301944,45.18753,57.76594,297.4548
72.42612,-1.900574,1.766171,-1.303303,44.73499,58.09256,297.8288
72.44685,-1.886885,1.76827,-1.306283,43.83128,58.626,298.5471
72.45518,-1.878889,1.769677,-1.306623,43.47345,58.81266,298.8458
72.46277,-1.868289,1.770971,-1.305543,43.1618,58.89973,299.0946
72.47073,-1.862633,1.772125,-1.306572,42.76214,59.07949,299.3941
72.48143,-1.855269,1.774474,-1.308358,42.22467,59.39224,299.7599
72.49249,-1.847121,1.776473,-1.309947,41.61785,59.624,300.0096
72.50388,-1.839344,1.778528,-1.311533,41.00991,59.89614,300.2367
72.52452,-1.825698,1.782569,-1.314718,40.05546,60.15014,300.2529
72.53278,-1.820434,1.784151,-1.315984,39.76071,60.18026,300.2177
72.54043,-1.815121,1.785418,-1.317055,39.56036,60.0429,300.11
72.55795,-1.804597,1.788562,-1.319542,39.06287,59.85001,300.171
72.57005,-1.797264,1.79086,-1.321067,38.65917,59.62739,300.4666
72.57813,-1.792711,1.79249,-1.322037,38.37256,59.47488,300.776
72.58605,-1.787949,1.794291,-1.32314,38.04276,59.34875,301.1344
72.59357,-1.783746,1.79596,-1.324065,37.76986,59.29166,301.4637
72.60362,-1.77861,1.798153,-1.325353,37.47701,59.31113,301.8827
72.62453,-1.767954,1.802463,-1.328073,37.03736,59.54327,302.454
72.63272,-1.764321,1.803642,-1.329105,36.9645,59.74261,302.3997
72.64029,-1.760757,1.804817,-1.330049,36.83006,59.84202,302.3727
72.64824,-1.75705,1.806016,-1.330917,36.67313,59.93114,302.4268
72.6591,-1.752358,1.807304,-1.331559,36.40403,59.96274,302.3925
72.67029,-1.747713,1.808456,-1.331929,36.05262,59.83113,302.351
72.68136,-1.743362,1.809643,-1.332257,35.66918,59.54435,302.3176
72.69236,-1.739754,1.810714,-1.332234,35.37009,59.2093,302.3177
72.70361,-1.736659,1.811658,-1.332366,35.18649,58.87914,302.3516
72.7147,-1.733956,1.812672,-1.332106,35.17443,58.54601,302.3658
72.72648,-1.731217,1.813673,-1.332259,35.18345,58.27591,302.2963
72.73698,-1.729283,1.814338,-1.33209,35.35086,57.95003,302.1841
72.74808,-1.728266,1.81425,-1.331747,35.98604,57.61845,301.9577
72.76895,-1.725844,1.814007,-1.330425,36.86118,56.76247,301.3689
72.77707,-1.724983,1.813622,-1.329683,37.19536,56.27533,301.0817
72.78471,-1.724333,1.813461,-1.328948,37.43449,55.89887,300.8541
72.79263,-1.723709,1.812869,-1.327365,37.70887,55.24226,300.5814
72.80357,-1.722616,1.812358,-1.325686,38.01645,54.53661,300.2945
72.81461,-1.72143,1.811713,-1.323421,38.24916,53.78103,300.0094
72.82581,-1.720441,1.810903,-1.320781,38.46944,53.11126,299.7092
72.84667,-1.717991,1.809573,-1.315588,38.86606,51.86221,299.1489
72.85496,-1.71677,1.808986,-1.313416,38.98875,51.3741,298.9484
72.8628,-1.715558,1.808476,-1.311224,39.07192,50.90979,298.7722
72.87082,-1.714131,1.807988,-1.308702,39.12313,50.41831,298.5674
72.89103,-1.710546,1.806853,-1.302383,39.16235,49.25447,298.0511
72.89933,-1.708798,1.806193,-1.299646,39.13251,48.77378,297.8039
72.90716,-1.7071,1.805603,-1.297071,39.09707,48.35209,297.56
72.92435,-1.703313,1.80406,-1.291577,39.06201,47.61941,297.0182
72.93279,-1.70142,1.80334,-1.289,39.06588,47.29536,296.7704
72.94036,-1.699433,1.802589,-1.286611,39.0727,47.17594,296.5503
72.95778,-1.693755,1.799874,-1.281229,39.09953,47.31307,296.0607
72.96605,-1.691536,1.79842,-1.278764,39.04815,47.39091,295.9156
72.97363,-1.689308,1.797513,-1.276554,38.99511,47.38321,295.7798
72.98158,-1.686557,1.796595,-1.274148,38.85681,47.49052,295.7145
72.99229,-1.683041,1.796041,-1.271478,38.60966,47.72381,295.547
73.01321,-1.676627,1.794737,-1.266127,38.50344,47.90744,294.8782
73.02145,-1.674157,1.794312,-1.264158,38.53148,47.98532,294.5662
73.03311,-1.670586,1.793424,-1.26105,38.46718,48.06718,294.2379
73.04109,-1.668206,1.792831,-1.258978,38.42452,48.12199,294.0192
