time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.1311,-1.96551,1.127441,-1.738207,321.7291,137.3954,334.5479
72.14447,-1.951388,1.126633,-1.738552,320.9767,138.105,332.8928
72.15373,-1.951388,1.126633,-1.738552,320.9767,138.105,332.8928
72.16229,-1.936971,1.125583,-1.738588,320.1277,138.265,331.5242
72.17039,-1.922971,1.12492,-1.738888,319.3266,138.2152,330.3023
72.18148,-1.908747,1.124327,-1.738741,318.5844,137.9509,329.1096
72.1926,-1.894806,1.123955,-1.738372,317.9061,137.6899,327.8979
72.20374,-1.87893,1.124432,-1.737692,317.3345,137.2581,326.8581
72.21491,-1.865562,1.124174,-1.737313,316.8562,136.9959,325.7855
72.22591,-1.853508,1.124249,-1.737332,316.7016,136.9287,324.7661
72.23697,-1.840725,1.124138,-1.737113,316.268,136.9069,323.6877
72.24839,-1.830167,1.124347,-1.736857,316.0072,136.5206,323.4428
72.26931,-1.809367,1.124088,-1.736518,315.7589,135.884,322.996
72.28064,-1.800888,1.124158,-1.736363,315.7787,135.909,322.592
72.28863,-1.800888,1.124158,-1.736363,315.7787,135.909,322.592
72.29617,-1.79321,1.124756,-1.73587,315.5573,136.2165,321.9119
72.30421,-1.786994,1.125776,-1.735092,314.9306,136.5368,321.0643
72.31477,-1.781381,1.126956,-1.733817,313.6797,136.8627,320.2986
72.32584,-1.772177,1.12552,-1.734936,312.861,136.9714,319.7133
72.33704,-1.767485,1.125126,-1.734075,312.4669,137.0904,319.2703
72.34817,-1.761153,1.124436,-1.732405,312.5995,137.2455,318.8944
72.35914,-1.757501,1.122273,-1.731584,313.0034,137.3864,318.5157
72.37027,-1.754783,1.12076,-1.730605,313.2521,137.477,318.2035
72.3815,-1.752158,1.11925,-1.729072,313.1885,137.4609,317.9696
72.39247,-1.751118,1.117742,-1.727934,313.0167,137.3258,317.9371
72.40379,-1.749836,1.116156,-1.726822,312.9237,137.2678,317.8353
72.41556,-1.750085,1.114099,-1.725695,312.9897,137.1382,317.9407
72.42612,-1.751216,1.111439,-1.725163,313.1823,137.0291,318.088
72.44685,-1.750934,1.108068,-1.722294,312.7374,133.1262,321.7168
72.45518,-1.750934,1.108068,-1.722294,312.7374,133.1262,321.7168
72.46277,-1.749128,1.107161,-1.721715,314.4344,133.8948,320.6092
72.47073,-1.745896,1.106416,-1.72084,314.4344,133.6285,320.3363
72.48143,-1.744412,1.105843,-1.719539,314.4528,132.0837,321.8745
72.49249,-1.743916,1.104811,-1.718926,314.0898,130.4765,324.8254
72.50388,-1.744736,1.105896,-1.719147,314.8518,131.3012,324.0482
72.52452,-1.745662,1.106083,-1.719735,313.6985,132.6167,322.722
72.53278,-1.745662,1.106083,-1.719735,313.6985,132.6167,322.722
72.54043,-1.745557,1.105588,-1.719802,314.6059,133.1744,322.1941
72.55795,-1.745835,1.105106,-1.720191,314.429,132.8817,322.3005
72.57005,-1.747467,1.104105,-1.721331,314.4816,133.081,322.1185
72.57813,-1.74735,1.10394,-1.721177,314.5252,132.8005,322.3171
72.58605,-1.74735,1.10394,-1.721177,314.5252,132.8005,322.3171
72.59357,-1.747393,1.103979,-1.721334,314.4529,132.735,322.6048
72.60362,-1.747323,1.103657,-1.721584,314.3922,132.731,322.7817
72.62453,-1.747335,1.103514,-1.721326,314.2063,132.4279,323.2967
72.63272,-1.747335,1.103514,-1.721326,314.2063,132.4279,323.2967
72.64029,-1.747279,1.103294,-1.721323,314.1669,132.3884,323.4212
72.64824,-1.747089,1.103354,-1.721401,314.1622,132.305,323.5433
72.6591,-1.746897,1.103518,-1.721356,314.1496,132.3259,323.5856
72.67029,-1.746881,1.103492,-1.721367,314.192,132.3179,323.6124
72.68136,-1.747009,1.103585,-1.721513,314.2256,132.328,323.5978
72.69236,-1.747006,1.103678,-1.721643,314.3334,132.3281,323.5628
72.70361,-1.747082,1.103692,-1.721769,314.4046,132.3419,323.4845
