time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
90.17237,-1.967281,1.783575,-1.203816,30.44287,96.95329,357.1605
90.18546,-1.963004,1.783078,-1.206979,30.66287,96.60183,357.0859
90.19597,-1.960459,1.782664,-1.208965,30.82014,96.44853,356.9754
90.21552,-1.953287,1.781419,-1.215387,31.24804,96.48654,356.5377
90.2234,-1.950233,1.781031,-1.217929,31.40668,96.45872,356.4135
90.23097,-1.947499,1.780823,-1.220956,31.56623,96.72103,356.2703
90.23801,-1.944877,1.780532,-1.223306,31.71569,96.76641,356.201
90.24896,-1.940997,1.780264,-1.227182,31.96119,96.96193,356.2695
90.26009,-1.936477,1.78011,-1.231096,32.19991,97.09052,356.4665
90.27118,-1.93206,1.780113,-1.234652,32.37893,97.1145,356.6275
90.28243,-1.927488,1.779954,-1.23838,32.5606,97.11594,356.6669
90.29562,-1.922194,1.780064,-1.24181,32.65856,96.84978,356.6726
90.30505,-1.916967,1.779976,-1.245321,32.82482,96.62518,356.6246
90.32551,-1.90689,1.779516,-1.251753,33.07435,96.16003,356.3379
90.33322,-1.902967,1.779343,-1.254084,33.12843,95.98113,356.1943
90.34106,-1.899697,1.779222,-1.256243,33.18205,95.84274,356.0833
90.34865,-1.894873,1.779063,-1.259014,33.24139,95.58145,355.7997
90.35988,-1.889675,1.778924,-1.262081,33.33337,95.20363,355.4079
90.3709,-1.883979,1.779117,-1.265198,33.41954,94.65562,355.1892
90.38215,-1.878461,1.779341,-1.268162,33.49173,94.04513,355.1628
90.39345,-1.873103,1.779825,-1.270898,33.64061,93.26621,355.4022
90.40416,-1.868178,1.780326,-1.27357,33.87959,92.59048,355.4988
90.41524,-1.863407,1.781043,-1.276483,34.29189,91.93443,355.4141
90.42632,-1.858856,1.782036,-1.279522,34.7434,91.49754,355.1822
90.43744,-1.854284,1.783484,-1.282768,35.19065,91.3456,354.8668
90.44854,-1.84981,1.785444,-1.28602,35.47283,91.38497,354.5058
90.45964,-1.845308,1.788409,-1.289388,35.60303,91.42552,353.9301
90.47066,-1.840849,1.791471,-1.292376,35.67166,91.30126,353.318
90.48188,-1.836406,1.795861,-1.294978,35.44231,91.01352,352.5788
90.49302,-1.83226,1.800478,-1.297028,35.09742,90.45115,351.9724
90.50406,-1.827748,1.805241,-1.298888,34.77583,89.68439,351.553
90.51518,-1.823357,1.809548,-1.300652,34.53076,88.9786,351.3568
90.52643,-1.819126,1.813802,-1.302089,34.25627,88.27733,351.6384
90.53735,-1.814944,1.81794,-1.303463,33.91345,87.68011,352.0759
90.54844,-1.811128,1.821852,-1.304778,33.4631,87.22943,352.3197
90.55956,-1.807471,1.825498,-1.305952,32.88038,86.83821,352.1586
90.57059,-1.804013,1.829305,-1.307208,32.3163,86.41974,351.7322
90.58168,-1.801132,1.832433,-1.307908,31.71218,85.9826,350.9233
90.59297,-1.798303,1.835903,-1.30856,31.26401,85.43701,349.9633
90.60387,-1.796072,1.838856,-1.308815,31.04697,84.78838,348.8947
90.61498,-1.794105,1.841069,-1.308964,31.13511,83.99236,347.9316
90.62615,-1.791928,1.843417,-1.309221,31.23087,83.1627,347.1817
90.63714,-1.789956,1.845263,-1.309461,31.58655,82.13544,346.6837
90.64832,-1.787928,1.847142,-1.309961,31.91615,81.12723,346.608
90.65946,-1.785846,1.849217,-1.310736,32.06783,80.31844,346.758
90.67049,-1.783576,1.851229,-1.31199,32.24708,79.6849,347.539
90.68153,-1.780764,1.853626,-1.313569,32.33849,79.42496,348.7067
90.69283,-1.778321,1.855516,-1.315826,32.32907,79.63183,349.8578
