time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
90.17237,-1.692788,1.169832,-1.714894,287.7872,147.9685,315.076
90.18546,-1.688092,1.167619,-1.7163,287.84,147.1393,315.4985
90.19597,-1.68384,1.164521,-1.717613,288.1702,146.3704,315.7048
90.21552,-1.678113,1.158149,-1.718058,288.6014,140.194,320.6168
90.2234,-1.678113,1.158149,-1.718058,288.6014,140.194,320.6168
90.23097,-1.675629,1.154875,-1.718434,288.6594,137.3084,323.2225
90.23801,-1.674641,1.150427,-1.719194,289.2662,135.539,324.7887
90.24896,-1.673883,1.145702,-1.719807,290.1818,134.0901,326.0983
90.26009,-1.673211,1.141357,-1.720326,291.047,132.1132,328.0137
90.27118,-1.674267,1.137072,-1.719909,291.0776,130.4877,329.756
90.28243,-1.672431,1.133846,-1.720271,290.5156,128.1601,332.319
90.29562,-1.671605,1.129665,-1.720514,289.8829,126.8995,333.4149
90.30505,-1.667699,1.124642,-1.724268,289.2251,128.1167,332.7158
90.32551,-1.657741,1.114825,-1.723384,296.4706,128.516,331.3233
90.33322,-1.657741,1.114825,-1.723384,296.4706,128.516,331.3233
90.34106,-1.651032,1.110729,-1.725167,300.0875,123.6653,336.6836
90.34865,-1.652163,1.109222,-1.725313,301.2449,122.8885,337.3978
90.35988,-1.650755,1.106481,-1.726431,301.6099,123.5955,336.7788
90.3709,-1.653312,1.109726,-1.729574,303.4199,123.8432,337.2815
90.38215,-1.658942,1.113196,-1.727682,296.3094,129.8455,331.1339
90.39345,-1.651233,1.109648,-1.726353,301.6472,123.315,337.1678
90.40416,-1.653093,1.114257,-1.72673,300.5399,121.6892,338.9523
90.41524,-1.654235,1.110972,-1.726417,300.3382,124.4949,336.3098
90.42632,-1.652044,1.110104,-1.727504,299.4379,125.1794,335.6718
90.43744,-1.650648,1.109767,-1.72699,299.7907,123.5189,337.298
90.44854,-1.652721,1.110089,-1.727895,299.2968,124.9786,335.6959
90.45964,-1.652393,1.110523,-1.727637,299.499,125.8932,334.6293
90.47066,-1.653326,1.110932,-1.727952,299.593,125.8355,334.4746
90.48188,-1.653894,1.110971,-1.729301,299.9342,126.9411,333.0476
90.49302,-1.654459,1.111573,-1.729895,300.2892,128.607,331.1771
90.50406,-1.654661,1.112012,-1.731025,300.6855,129.8019,329.7437
90.51518,-1.655481,1.112927,-1.732055,300.8863,131.0161,328.3012
90.52643,-1.656252,1.113911,-1.733138,300.6301,133.3156,325.8239
90.53735,-1.65714,1.114614,-1.73356,300.6339,133.8832,325.0315
90.54844,-1.657724,1.115232,-1.734038,300.2181,134.9701,323.8986
90.55956,-1.658184,1.115912,-1.734448,300.316,135.4654,323.3388
90.57059,-1.659255,1.11671,-1.735305,300.0249,136.6563,322.0406
90.58168,-1.659846,1.117514,-1.736832,299.8364,138.1732,320.3619
90.59297,-1.660695,1.117991,-1.738051,300.2451,139.7673,318.8271
90.60387,-1.661138,1.117947,-1.738797,300.0969,140.4694,318.0231
90.61498,-1.660995,1.117666,-1.739349,300.6569,140.7824,317.4735
90.62615,-1.661226,1.118086,-1.73914,301.0433,140.3529,317.5994
90.63714,-1.661687,1.11803,-1.739665,300.9906,141.0442,316.7853
90.64832,-1.661727,1.118072,-1.739981,300.9652,141.343,316.3615
90.65946,-1.660762,1.117079,-1.740252,301.5853,140.1794,317.5194
90.67049,-1.661872,1.117684,-1.740568,301.9232,139.7726,317.9783
90.68153,-1.661739,1.117676,-1.741367,301.2634,141.2182,316.6788
90.69283,-1.660944,1.117093,-1.741456,301.9255,140.7884,317.3612
90.70383,-1.659487,1.115748,-1.740828,302.3115,139.6492,318.916
90.71498,-1.657879,1.11488,-1.739842,302.3367,138.0375,320.6775
90.72604,-1.656259,1.114014,-1.738865,303.1474,135.3947,323.4807
90.73708,-1.657768,1.114786,-1.739372,302.9789,135.0276,323.5463
90.74827,-1.657237,1.114045,-1.740791,302.9218,138.0701,320.6879
90.75939,-1.657491,1.114569,-1.74044,303.1517,137.5905,321.0359
90.77044,-1.658131,1.114857,-1.741196,302.3679,137.6687,320.831
90.78157,-1.657781,1.114707,-1.740982,302.6068,138.6679,320.0496
90.79279,-1.65775,1.114758,-1.740378,302.368,137.8716,320.8726
90.8039,-1.657525,1.114223,-1.740345,302.2639,137.8034,321.1571
90.8154,-1.65696,1.113725,-1.739408,302.1542,137.1611,322.0696
90.82687,-1.655852,1.11303,-1.738087,302.1395,135.2665,324.0737
90.83833,-1.65518,1.112257,-1.737975,302.3167,134.3883,325.1332
90.84985,-1.653838,1.111854,-1.737162,303.0302,132.9419,326.7155
90.86142,-1.654678,1.111914,-1.737678,302.4782,132.4713,327.0815
90.87274,-1.654523,1.111971,-1.737916,302.9586,133.9993,325.5603
90.88425,-1.654571,1.112011,-1.737709,302.7613,133.7718,325.7646
90.89571,-1.654404,1.111864,-1.737896,302.7213,133.5343,326.0052
90.90725,-1.654623,1.112138,-1.737446,302.6433,133.4129,326.1057
90.91876,-1.654831,1.112132,-1.737373,302.4676,133.365,326.1729
90.9302,-1.654764,1.111903,-1.736849,302.3674,133.236,326.4359
90.94166,-1.654818,1.1117,-1.736377,302.0511,132.8165,327.0445
90.9531,-1.654757,1.111465,-1.73641,301.8008,132.2817,327.7053
90.96439,-1.65477,1.111319,-1.736544,301.7031,132.2534,327.8528
90.9754,-1.654832,1.111347,-1.736646,301.6889,132.1296,327.9859
90.98634,-1.653996,1.111365,-1.736384,301.9565,132.0708,328.0522
90.99759,-1.653243,1.111299,-1.73583,302.2955,131.1693,328.9952
91.00869,-1.651942,1.110757,-1.735515,302.7625,130.9548,329.4832
91.01974,-1.650993,1.110918,-1.735043,303.3412,129.6659,330.8777
91.03081,-1.650098,1.11103,-1.735049,303.8239,129.2235,331.5327
91.04198,-1.648049,1.111621,-1.735368,304.8056,129.3189,331.7138
91.05305,-1.645629,1.112637,-1.73622,306.6132,129.4996,331.988
91.06417,-1.641318,1.114552,-1.737296,309.2927,127.184,334.4027
91.07532,-1.63702,1.117352,-1.739339,313.0057,128.6548,333.5797
91.0864,-1.632438,1.11955,-1.741994,316.034,127.9362,334.9095
91.0975,-1.62681,1.124479,-1.743415,319.5604,127.595,336.0088
91.10861,-1.622826,1.130861,-1.745539,322.6256,128.0891,336.4213
91.11973,-1.619189,1.137912,-1.747396,323.8204,129.9859,335.7886
91.131,-1.613737,1.144569,-1.748097,324.8029,131.4017,335.8866
91.14194,-1.607513,1.150768,-1.746351,327.2644,130.3556,337.3711
91.15303,-1.601532,1.162912,-1.742887,326.8581,125.6095,341.3514
91.16421,-1.594632,1.171575,-1.741829,326.3318,122.727,344.1699
91.17529,-1.588176,1.1832,-1.743034,326.9411,124.93,342.8584
91.18642,-1.579994,1.193013,-1.744073,326.3724,127.5841,340.9785
91.19751,-1.568589,1.203412,-1.743818,324.7085,128.1261,340.0224
91.20859,-1.558444,1.21266,-1.743297,323.6865,127.0654,340.591
91.21973,-1.546536,1.219265,-1.744135,322.85,126.5379,340.6344
91.23085,-1.534868,1.226536,-1.745103,322.5425,127.2174,339.912
91.24207,-1.521106,1.231715,-1.747249,322.3787,128.5305,338.4677
91.25307,-1.507263,1.238116,-1.747931,321.5291,129.246,337.4148
91.26416,-1.49289,1.244871,-1.749044,319.6919,129.042,336.6433
91.27525,-1.476364,1.248655,-1.750991,318.3555,128.831,335.6972
91.28637,-1.459724,1.252602,-1.752863,317.3595,129.3503,333.9729
91.29748,-1.44207,1.257588,-1.75541,316.0802,130.2066,331.9264
91.30856,-1.425169,1.262044,-1.757609,314.4799,130.8364,330.2136
91.31976,-1.406918,1.266036,-1.760603,312.4019,131.8082,328.2203
91.33083,-1.389489,1.269765,-1.763643,310.6204,133.1086,326.1534
91.34188,-1.371249,1.272494,-1.767084,309.1024,134.9659,323.9491
91.35305,-1.353372,1.275295,-1.77086,307.4072,137.0025,321.8008
91.36419,-1.33586,1.277521,-1.774445,305.6676,139.0255,319.8382
91.37527,-1.317556,1.279017,-1.777902,304.3126,140.5513,318.143
91.3864,-1.299916,1.279801,-1.78145,303.4715,140.9839,317.4926
91.3976,-1.282377,1.280502,-1.784988,302.666,140.7518,317.1026
91.40875,-1.265382,1.281699,-1.788091,301.8835,140.2189,317.0327
91.41974,-1.250023,1.283363,-1.791188,301.1214,139.5086,317.0116
91.43089,-1.236068,1.286028,-1.793955,299.8573,140.7531,315.0128
91.44207,-1.225541,1.290701,-1.795627,298.1165,143.2279,311.6586
91.45313,-1.214851,1.293583,-1.797573,295.1268,147.3303,307.1995
91.46427,-1.204099,1.294484,-1.800328,294.6799,150.0692,304.4171
91.47538,-1.192414,1.294721,-1.802492,294.8819,151.2177,303.1887
91.4865,-1.182429,1.293625,-1.804688,295.3518,149.8999,304.5439
91.49763,-1.173167,1.292208,-1.80644,295.0547,147.1723,307.1477
91.50872,-1.164375,1.290266,-1.808372,295.0064,143.5266,310.9475
91.51983,-1.156884,1.288895,-1.810789,295.1716,141.1299,313.6631
91.5311,-1.151964,1.287484,-1.813483,295.7672,140.3629,315.098
91.54203,-1.148755,1.286589,-1.81606,295.1586,142.1048,314.1272
91.55318,-1.144319,1.285106,-1.81816,294.5281,143.3534,313.4364
91.56434,-1.141158,1.28328,-1.820247,294.1855,143.9879,313.2155
91.57537,-1.137652,1.280729,-1.821183,294.1038,142.939,314.4443
91.58644,-1.135311,1.278222,-1.822083,293.8908,141.8406,315.4893
91.59763,-1.132681,1.275197,-1.822748,293.873,140.7739,316.2182
91.60873,-1.13067,1.271839,-1.823507,294.3922,139.5357,316.975
91.61985,-1.128394,1.268534,-1.823912,294.8709,138.2513,317.8654
91.6313,-1.127138,1.265095,-1.824146,295.4905,136.2066,319.5778
91.64214,-1.126647,1.262253,-1.823765,295.3995,134.4572,321.5091
91.6532,-1.126773,1.259552,-1.824148,294.9454,133.916,322.386
91.66445,-1.126421,1.257097,-1.824889,294.8428,134.3299,322.2789
91.67547,-1.126021,1.254517,-1.825648,294.4802,135.9722,321.0015
91.68664,-1.124692,1.251534,-1.826015,294.3923,136.2436,320.9925
91.69778,-1.123145,1.248111,-1.826314,294.48,135.521,321.7794
91.70887,-1.121522,1.244773,-1.826684,294.5373,134.6854,322.5639
91.71992,-1.119929,1.240958,-1.826764,294.9165,133.3016,323.5784
91.73111,-1.118275,1.237185,-1.826792,295.4972,131.7323,324.6538
91.74216,-1.117061,1.233729,-1.826632,296.0035,129.9519,326.0573
91.75327,-1.116123,1.230004,-1.826244,296.0312,128.4998,327.3474
91.76453,-1.114791,1.226224,-1.826318,296.225,127.3636,328.3337
91.78046,-1.113386,1.22189,-1.826448,296.9081,126.2533,329.418
91.78809,-1.112393,1.217428,-1.826731,297.7809,125.1058,330.4844
91.79535,-1.111425,1.213211,-1.826891,298.5331,124.0218,331.451
91.80446,-1.111611,1.208971,-1.826858,299.3526,122.859,332.601
91.81571,-1.111799,1.204685,-1.827128,300.0246,122.121,333.51
91.82692,-1.111552,1.200514,-1.827626,300.6903,121.9037,334.1521
91.83787,-1.110164,1.196217,-1.828445,301.3871,121.7794,334.6889
91.84911,-1.109119,1.192783,-1.828662,301.9619,121.3619,335.5144
91.86016,-1.107495,1.190432,-1.828955,300.5935,120.8942,336.4321
91.87132,-1.105789,1.187129,-1.829887,300.1421,121.1702,336.3379
91.88235,-1.10365,1.183688,-1.83066,300.2042,122.2443,335.2581
91.90269,-1.099119,1.175396,-1.831469,301.261,121.011,336.0787
91.91029,-1.099119,1.175396,-1.831469,301.261,121.011,336.0787
91.91736,-1.098072,1.171452,-1.831431,302.0528,119.8298,336.8771
91.92577,-1.098723,1.167927,-1.831304,302.0948,119.2141,337.2527
91.93697,-1.099499,1.164624,-1.83128,302.4107,118.7745,337.5391
91.95805,-1.101637,1.15613,-1.830145,303.3615,114.6032,342.1198
91.96575,-1.101637,1.15613,-1.830145,303.3615,114.6032,342.1198
91.97261,-1.103088,1.150349,-1.829884,305.1022,112.1965,344.6643
91.98133,-1.105454,1.145598,-1.829674,306.4344,111.27,345.6225
91.99258,-1.108853,1.14152,-1.829304,307.332,111.9457,344.5248
92.0035,-1.111374,1.137411,-1.828161,307.3924,113.2226,342.5695
92.01469,-1.112173,1.132478,-1.827322,308.1299,112.5434,342.5431
92.02578,-1.111571,1.12686,-1.827157,309.4193,111.5861,342.5924
92.03677,-1.111597,1.121474,-1.826901,310.7179,111.2408,342.0906
92.04794,-1.111948,1.11614,-1.825927,311.7441,110.1218,342.2466
92.05911,-1.114766,1.1118,-1.824589,311.9369,108.3618,343.4711
92.07003,-1.119367,1.109958,-1.826198,310.8448,107.0933,344.4224
92.08118,-1.128275,1.117344,-1.831586,308.8604,114.2018,337.9658
92.09215,-1.126047,1.110101,-1.830306,296.3562,121.6705,330.386
92.10333,-1.128891,1.109851,-1.828987,306.6172,117.765,333.3775
92.11442,-1.131322,1.107396,-1.828789,297.199,119.1471,331.9054
92.12557,-1.131833,1.104582,-1.827725,298.4884,120.7236,330.4691
92.1366,-1.130754,1.106327,-1.83034,294.2556,120.7517,331.0298
92.14777,-1.122353,1.104539,-1.830045,299.9479,122.3068,330.2412
92.15889,-1.125922,1.108509,-1.820776,302.2422,111.2429,341.1086
92.16981,-1.127533,1.10732,-1.827033,297.9035,113.4293,338.8514
92.18102,-1.12461,1.10919,-1.827536,302.2057,120.0608,332.6938
92.19202,-1.128458,1.109737,-1.823882,300.4145,114.4171,337.9998
92.2041,-1.128983,1.108813,-1.827209,301.6658,116.677,335.7759
92.21432,-1.128274,1.109999,-1.826125,301.4589,116.8532,335.3761
92.22552,-1.127682,1.11007,-1.827058,301.8585,116.3082,335.7789
92.23647,-1.127744,1.110368,-1.826925,301.4726,116.3505,335.6533
92.24756,-1.12758,1.109839,-1.827541,301.3566,115.9747,335.9883
92.25862,-1.127737,1.109908,-1.827218,301.101,116.6058,335.5241
92.26972,-1.127648,1.109022,-1.827147,300.7328,116.2317,335.9751
92.28084,-1.127618,1.108924,-1.826759,300.6467,116.2127,336.1315
92.29198,-1.127075,1.108883,-1.826504,300.5235,115.1143,337.2607
92.30309,-1.127095,1.108755,-1.826853,300.6161,115.2108,337.1619
92.31417,-1.127109,1.108864,-1.827332,300.8161,115.9739,336.3856
92.32529,-1.127054,1.108943,-1.827329,300.8471,115.8499,336.4673
92.33633,-1.127063,1.108994,-1.827862,301.0013,115.9302,336.2757
92.34753,-1.127158,1.109082,-1.827606,301.0729,116.1717,336.015
92.35857,-1.127458,1.108977,-1.827917,300.8944,116.2807,335.8629
92.36963,-1.127378,1.10861,-1.827713,300.7948,116.7842,335.4271
92.38082,-1.126722,1.108901,-1.826692,300.9312,115.8608,336.4809
92.39191,-1.126444,1.108679,-1.826615,300.8019,115.5098,336.9701
92.40296,-1.126402,1.108781,-1.826659,300.9878,115.2051,337.2328
92.41413,-1.126259,1.108865,-1.826796,301.0587,115.2893,337.1438
92.42519,-1.126109,1.108867,-1.827027,301.1084,115.0659,337.3158
92.43652,-1.126081,1.108903,-1.827026,301.2806,115.0765,337.256
92.44809,-1.126094,1.109028,-1.827129,301.371,115.1342,337.1703
92.45962,-1.126263,1.109075,-1.827021,301.3262,115.0529,337.2303
92.47095,-1.126703,1.109085,-1.826832,301.1171,115.4221,336.9027
92.48258,-1.126998,1.109038,-1.826845,300.9039,115.3987,336.8788
92.49395,-1.127295,1.109065,-1.827006,300.8171,115.7302,336.4975
92.50549,-1.127557,1.108802,-1.827203,300.7744,116.0312,336.1648
92.51694,-1.127097,1.10875,-1.827028,300.9991,116.3308,335.8657
92.52844,-1.127306,1.108644,-1.827513,301.2025,115.7966,336.2386
92.53997,-1.127325,1.108603,-1.828064,301.5567,116.8625,335.1123
92.5516,-1.127339,1.108706,-1.828205,301.4768,116.5538,335.3962
92.56287,-1.127302,1.108794,-1.828111,301.5392,116.4402,335.4884
92.57443,-1.127309,1.10884,-1.827788,301.4946,116.2755,335.6575
92.58569,-1.127467,1.108863,-1.827739,301.4455,116.2769,335.6456
92.59689,-1.127607,1.108874,-1.827768,301.364,116.3593,335.5281
92.60797,-1.12784,1.108841,-1.827865,301.2318,116.3936,335.4946
92.61903,-1.127905,1.108927,-1.828175,301.129,116.5148,335.3704
92.63019,-1.128057,1.108916,-1.828196,301.1091,116.8471,335.037
92.64124,-1.128135,1.108888,-1.828325,300.9706,116.7921,335.0577
92.65232,-1.127991,1.108955,-1.82841,301.0095,117.1165,334.7354
92.66344,-1.12782,1.108966,-1.828332,301.0524,116.8747,334.9496
92.6745,-1.127899,1.108973,-1.82849,301.077,116.8894,334.9312
92.68562,-1.127963,1.109083,-1.828517,301.0967,117.1799,334.6516
92.69678,-1.128163,1.108937,-1.828639,301.0603,117.2934,334.5446
92.70789,-1.128272,1.108975,-1.828657,301.0762,117.449,334.3549
92.71909,-1.128368,1.108994,-1.828577,301.0757,117.5411,334.2242
92.73016,-1.128579,1.109056,-1.82875,301.0412,117.6753,334.0408
92.74124,-1.12884,1.109073,-1.828916,301.0103,117.917,333.7558
92.75242,-1.128933,1.109175,-1.829107,300.9998,118.244,333.4404
92.76355,-1.129069,1.109169,-1.829187,300.9699,118.2998,333.3675
92.77467,-1.128788,1.109241,-1.829239,300.9674,118.5285,333.2152
92.78568,-1.128787,1.109305,-1.829027,300.9867,118.0335,333.6968
92.79689,-1.128823,1.109291,-1.829152,300.9442,118.0138,333.7273
92.80795,-1.12861,1.10944,-1.828609,300.9301,117.7115,334.0926
92.81908,-1.128649,1.109424,-1.828543,300.8938,117.3628,334.4528
92.83015,-1.128544,1.109343,-1.82809,300.8066,117.1782,334.6924
92.8412,-1.128658,1.109258,-1.827792,300.6644,116.6035,335.2947
92.85247,-1.128679,1.109155,-1.827841,300.5034,116.5381,335.4146
92.86353,-1.128855,1.109074,-1.828144,300.5806,116.8032,335.1448
92.87453,-1.128809,1.109007,-1.828418,300.6348,117.07,334.8557
92.88567,-1.128905,1.108996,-1.8286,300.6919,117.2019,334.7138
92.89676,-1.128822,1.109121,-1.828568,300.7794,117.4697,334.4465
92.90788,-1.128837,1.109091,-1.828814,300.8256,117.5344,334.3397
