time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
89.20272,-1.877481,2.508164,-1.513465,50.14981,116.0393,5.90095
89.21663,-1.872455,2.506132,-1.529223,50.28386,114.0816,5.305545
89.22842,-1.869686,2.505744,-1.537272,50.46733,113.2661,5.184663
89.2375,-1.866892,2.505681,-1.545303,50.75788,112.45,5.070923
89.25781,-1.86392,2.506024,-1.553276,51.12973,111.6115,4.967445
89.26611,-1.860816,2.506615,-1.561062,51.41383,110.6701,4.809963
89.27378,-1.857588,2.507157,-1.568731,51.589,109.6084,4.598969
89.28176,-1.854141,2.507813,-1.576312,51.70205,108.4859,4.390896
89.29192,-1.850526,2.508578,-1.583861,51.88878,107.4415,4.218266
89.3029,-1.846728,2.509634,-1.591186,52.21458,106.4771,4.049061
89.31415,-1.843326,2.510497,-1.598337,52.51034,105.6432,3.845265
89.32506,-1.840284,2.511157,-1.604905,52.74356,105.0177,3.634943
89.33619,-1.837158,2.511507,-1.611308,52.94498,104.5939,3.490889
89.34732,-1.834004,2.511949,-1.61737,53.23315,104.3779,3.400251
89.35844,-1.831002,2.512269,-1.623291,53.60367,104.2007,3.352775
89.3794,-1.827782,2.512714,-1.628857,54.04475,104.0965,3.386912
89.38756,-1.824767,2.513171,-1.634389,54.47285,103.8731,3.456751
89.39512,-1.821606,2.513431,-1.639312,54.9512,103.6391,3.716006
89.40292,-1.818469,2.513512,-1.64407,55.43145,103.3341,3.981892
89.41489,-1.815289,2.513505,-1.648656,55.88409,102.9319,4.156558
89.43496,-1.812041,2.513317,-1.652825,56.28085,102.4667,4.223082
89.44299,-1.808754,2.513203,-1.65692,56.6468,101.9121,4.134975
89.4502,-1.805237,2.51312,-1.660512,56.96179,101.4007,3.97179
89.45773,-1.801641,2.512931,-1.664014,57.21524,100.9488,3.776947
89.46906,-1.798148,2.512698,-1.667236,57.45552,100.5191,3.610791
89.48982,-1.794698,2.512429,-1.670403,57.72944,100.0756,3.486516
89.4975,-1.791108,2.512137,-1.673204,58.01502,99.52528,3.399787
89.50438,-1.787519,2.511786,-1.675994,58.24418,98.87722,3.298034
89.51313,-1.783958,2.511363,-1.678372,58.34597,98.16954,3.230914
89.52419,-1.780396,2.51089,-1.680711,58.35575,97.4958,3.094737
89.53544,-1.77676,2.510597,-1.68288,58.3487,96.92499,2.950242
89.54656,-1.773082,2.510303,-1.685032,58.39817,96.45865,2.832874
89.55768,-1.769486,2.510132,-1.686889,58.45986,96.13361,2.737833
89.56868,-1.765958,2.510038,-1.688683,58.57191,95.8401,2.694327
89.57993,-1.762382,2.509929,-1.690247,58.67187,95.53276,2.636306
89.5909,-1.758629,2.509864,-1.691548,58.6747,95.16257,2.591388
89.6019,-1.754595,2.509837,-1.692833,58.56321,94.68481,2.479587
89.61318,-1.75028,2.509861,-1.6938,58.31316,94.11171,2.35358
89.62421,-1.746025,2.509839,-1.694688,58.02583,93.53604,2.214015
89.63541,-1.741856,2.509623,-1.695248,57.69652,93.028,2.065069
89.64652,-1.737999,2.509253,-1.695708,57.46126,92.68536,2.000447
89.65762,-1.734442,2.508859,-1.695958,57.39475,92.49563,1.985774
89.66881,-1.731126,2.508428,-1.696015,57.45551,92.34366,1.967104
89.67974,-1.727861,2.508207,-1.695975,57.62569,92.22452,1.967208
89.69104,-1.724286,2.508104,-1.69583,57.76546,92.05067,1.941381
89.70213,-1.720364,2.508036,-1.695444,57.81844,91.83304,1.871593
89.71311,-1.716211,2.508095,-1.695053,57.76344,91.50914,1.756822
89.72425,-1.711939,2.508152,-1.694615,57.58107,91.17288,1.648201
89.73548,-1.707345,2.508136,-1.693973,57.2629,90.87648,1.605822
89.7467,-1.702967,2.508097,-1.693346,56.98941,90.69019,1.620426
89.75773,-1.698555,2.507993,-1.692518,56.73126,90.70292,1.769212
89.76895,-1.694287,2.507734,-1.691564,56.59021,90.84548,1.978617
89.77997,-1.690088,2.507339,-1.690427,56.57945,91.0787,2.282829
89.79122,-1.685824,2.506922,-1.689351,56.62897,91.27747,2.598961
89.81211,-1.681376,2.506617,-1.688036,56.75972,91.53113,2.952285
89.81989,-1.676833,2.506303,-1.68669,56.84475,91.73726,3.272466
89.82713,-1.672213,2.505925,-1.685165,56.91745,91.90435,3.546881
89.83559,-1.667345,2.505447,-1.683626,56.91181,92.048,3.820983
89.84666,-1.662172,2.50489,-1.68189,56.82322,92.18852,4.046816
89.85783,-1.656951,2.504346,-1.680086,56.67698,92.39355,4.346433
89.8788,-1.651639,2.503664,-1.678138,56.51096,92.63503,4.615152
89.88672,-1.646334,2.502787,-1.676012,56.38384,92.99538,4.984488
89.89392,-1.641197,2.501992,-1.673805,56.36425,93.41364,5.414964
89.90214,-1.636057,2.501105,-1.671587,56.41809,93.82868,5.834577
89.91332,-1.630905,2.500297,-1.669331,56.49146,94.29362,6.255896
89.92433,-1.625617,2.499595,-1.667052,56.60089,94.79486,6.622297
89.93558,-1.62007,2.499001,-1.664692,56.66651,95.24648,6.923441
89.95661,-1.614256,2.498736,-1.662094,56.6911,95.69651,7.150493
89.96486,-1.608384,2.498381,-1.659566,56.71719,96.03568,7.309191
89.97225,-1.602583,2.498069,-1.657061,56.8017,96.35629,7.401715
89.98981,-1.59716,2.497627,-1.654513,56.86301,96.69299,7.493553
89.99767,-1.591956,2.497076,-1.652205,56.8403,97.07559,7.61125
90.00486,-1.586786,2.496405,-1.650029,56.77828,97.58635,7.842936
90.02314,-1.581558,2.495769,-1.647983,56.7342,98.28136,8.231598
90.03106,-1.576281,2.495301,-1.646012,56.80315,99.04382,8.702797
90.03832,-1.57117,2.494822,-1.644122,56.97151,99.7874,9.188293
90.04648,-1.566307,2.494413,-1.642254,57.25074,100.4204,9.592572
90.05761,-1.561883,2.493856,-1.640272,57.50616,100.9486,9.863064
90.07854,-1.557874,2.493253,-1.638289,57.73977,101.3445,10.02574
90.08635,-1.554087,2.49267,-1.636087,57.91822,101.7779,10.16885
90.09336,-1.550591,2.492081,-1.633847,58.04647,102.2725,10.39645
90.11184,-1.546711,2.491621,-1.631725,58.09791,102.8204,10.75848
90.1195,-1.542547,2.491226,-1.62963,57.99099,103.3424,11.1526
90.12646,-1.538188,2.490843,-1.627615,57.83158,103.7481,11.49929
90.13525,-1.533706,2.490437,-1.625665,57.64786,103.8684,11.69763
90.14653,-1.529573,2.489991,-1.623712,57.58327,103.8543,11.69694
90.15764,-1.525691,2.489457,-1.621837,57.6022,103.8305,11.65271
90.16874,-1.522336,2.488932,-1.620092,57.7571,103.8042,11.51016
90.18959,-1.519218,2.488425,-1.618415,57.95901,103.9626,11.42539
90.19727,-1.516387,2.487994,-1.616713,58.18118,104.3087,11.4442
90.20424,-1.51388,2.487405,-1.61511,58.38075,104.7432,11.52807
90.21287,-1.51172,2.487097,-1.613344,58.59639,105.2114,11.69684
90.22413,-1.509518,2.486783,-1.611478,58.82588,105.5977,11.89429
90.24509,-1.507276,2.486745,-1.609578,59.07659,105.8658,12.08533
90.25271,-1.50488,2.486768,-1.607692,59.26327,106.0744,12.30744
90.25961,-1.502504,2.486938,-1.605838,59.38965,106.2464,12.58555
90.26834,-1.500081,2.487129,-1.603943,59.47227,106.4593,12.90976
90.27954,-1.497465,2.487227,-1.602081,59.45679,106.7074,13.22907
90.29057,-1.494758,2.487256,-1.600203,59.3933,106.9576,13.50271
90.30177,-1.492302,2.487262,-1.598206,59.30771,107.1487,13.5774
90.31285,-1.490167,2.487203,-1.596116,59.31734,107.3437,13.54942
90.324,-1.488358,2.487062,-1.593996,59.44246,107.6275,13.58253
90.33501,-1.486918,2.486989,-1.591858,59.69696,108.0327,13.73266
90.3462,-1.485573,2.486958,-1.589785,59.95,108.55,14.05737
90.35712,-1.484322,2.486906,-1.587956,60.2025,109.1486,14.58562
90.3683,-1.482961,2.486827,-1.586239,60.38827,109.7444,15.15426
90.37938,-1.481403,2.486587,-1.58459,60.42198,110.2072,15.69946
90.39044,-1.479701,2.486373,-1.582763,60.33133,110.549,16.12743
90.4016,-1.478012,2.4859,-1.580897,60.07926,110.6961,16.32598
90.41267,-1.476592,2.485211,-1.579025,59.85558,110.8246,16.4147
90.42378,-1.475471,2.484294,-1.577019,59.67924,111.0017,16.48346
90.44494,-1.474436,2.483434,-1.575009,59.63932,111.2447,16.63927
90.45272,-1.473609,2.482545,-1.57302,59.72095,111.601,16.93047
90.45963,-1.4727,2.481695,-1.571072,59.85468,111.933,17.28219
90.46848,-1.4716,2.480896,-1.569095,59.87391,112.0885,17.4926
90.47939,-1.470356,2.480026,-1.567026,59.77913,111.9508,17.42348
90.49061,-1.469237,2.479158,-1.564783,59.6826,111.6481,17.1688
90.50178,-1.468174,2.478182,-1.562514,59.63854,111.2151,16.79037
90.51289,-1.467279,2.477252,-1.560332,59.67018,110.8733,16.50289
90.52394,-1.466596,2.476296,-1.558264,59.75229,110.7736,16.53999
90.53501,-1.46606,2.475329,-1.556399,59.84441,110.8236,16.82032
90.54626,-1.465557,2.474447,-1.554832,59.92706,110.9056,17.24247
90.55727,-1.464937,2.473648,-1.553332,59.99388,111.0169,17.68453
90.56828,-1.464219,2.473032,-1.552051,60.08372,111.0835,18.02093
90.57935,-1.463514,2.47249,-1.550753,60.18218,111.0736,18.13437
90.59045,-1.462747,2.471899,-1.549564,60.23095,111.0316,18.12165
90.60167,-1.462033,2.471315,-1.548334,60.19535,110.953,18.05776
90.61273,-1.46111,2.470737,-1.547212,60.06559,111.0144,18.0697
90.62389,-1.460019,2.470107,-1.546263,59.85995,111.099,18.18439
90.63515,-1.458558,2.469521,-1.545402,59.51675,111.2287,18.46224
90.64621,-1.456668,2.468817,-1.544671,59.06091,111.2899,18.79303
90.65718,-1.454881,2.467921,-1.543983,58.61335,111.2648,19.06094
90.66844,-1.45329,2.466797,-1.543448,58.29642,111.1237,19.2068
90.68922,-1.452047,2.465452,-1.542879,58.15758,111.0107,19.21106
90.69687,-1.451205,2.463802,-1.542338,58.20512,110.8942,19.03121
90.70408,-1.45049,2.462098,-1.54178,58.31527,110.81,18.80336
90.7225,-1.449869,2.460446,-1.541022,58.38904,110.8743,18.62805
90.73022,-1.449234,2.458973,-1.540219,58.39146,111.0177,18.65211
90.73733,-1.448402,2.457541,-1.539409,58.38826,111.1309,18.82462
90.74609,-1.447535,2.456221,-1.538643,58.28005,111.1118,19.00475
90.75719,-1.446715,2.454726,-1.537866,58.04578,110.8601,19.0844
90.76833,-1.446042,2.453186,-1.537081,57.82407,110.5277,19.06547
90.78925,-1.445524,2.451514,-1.536335,57.68727,110.2581,19.04066
90.79692,-1.445109,2.449974,-1.535413,57.67484,110.1409,19.04092
90.80392,-1.444661,2.448614,-1.534433,57.73283,110.1708,19.09178
90.81271,-1.444263,2.447448,-1.533414,57.80102,110.3373,19.1965
90.8239,-1.443849,2.446343,-1.532349,57.77479,110.4791,19.35158
90.83521,-1.44336,2.44527,-1.531405,57.73789,110.4555,19.54263
90.8559,-1.44267,2.444375,-1.530382,57.72369,110.3575,19.70191
90.86357,-1.441797,2.443614,-1.529396,57.67327,110.1049,19.79239
90.87074,-1.440939,2.442737,-1.528566,57.53854,109.7499,19.75951
90.87931,-1.439887,2.441982,-1.527814,57.35305,109.4298,19.69789
90.89058,-1.438822,2.441248,-1.527124,57.2519,109.2945,19.72614
90.91142,-1.437737,2.440705,-1.526423,57.22937,109.3613,19.85988
90.91918,-1.43673,2.440092,-1.525799,57.20674,109.4943,20.01793
90.92625,-1.435688,2.439555,-1.525142,57.12516,109.5829,20.18539
90.93489,-1.434522,2.439085,-1.524507,57.03403,109.494,20.23196
90.94625,-1.433397,2.438682,-1.523803,57.01043,109.2846,20.19939
