time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
89.20272,-2.235553,1.994383,-1.345403,351.3707,295.4722,163.2911
89.21663,-2.233432,1.993027,-1.357905,351.9717,295.0599,163.0879
89.22842,-2.231067,1.99226,-1.36953,351.8386,293.9868,163.0467
89.2375,-2.229017,1.991324,-1.38038,351.7125,293.4308,162.8358
89.25781,-2.225344,1.99056,-1.39949,351.7271,293.4415,161.8535
89.26611,-2.225344,1.99056,-1.39949,351.7271,293.4415,161.8535
89.27378,-2.223923,1.990672,-1.407912,352.454,293.0893,161.3223
89.28176,-2.222846,1.991224,-1.416559,353.4133,292.8356,160.9316
89.29192,-2.222209,1.992399,-1.425641,354.3316,292.6999,160.3077
89.3029,-2.221353,1.993867,-1.435022,354.8104,292.1884,159.7018
89.31415,-2.220347,1.995748,-1.444408,354.9124,290.9277,159.2338
89.32506,-2.220128,1.997857,-1.453917,354.3112,289.9579,158.9957
89.33619,-2.219688,1.999577,-1.463529,353.4985,289.2642,158.8818
89.34732,-2.219164,2.001146,-1.473084,352.2659,288.3416,159.0882
89.35844,-2.218505,2.002212,-1.481903,351.4643,287.0038,159.3495
89.3794,-2.21688,2.003962,-1.497297,352.4087,285.407,159.3942
89.38756,-2.21688,2.003962,-1.497297,352.4087,285.407,159.3942
89.39512,-2.215804,2.00503,-1.503855,354.1395,285.1681,159.3779
89.40292,-2.214363,2.006114,-1.510664,355.3969,284.7709,159.4651
89.41489,-2.212796,2.00804,-1.516902,356.4051,284.3784,159.8997
89.43496,-2.209145,2.012784,-1.52846,355.6941,283.0151,161.1826
89.44299,-2.209145,2.012784,-1.52846,355.6941,283.0151,161.1826
89.4502,-2.207201,2.015147,-1.533817,354.2424,282.4704,161.7568
89.45773,-2.205425,2.017261,-1.539116,352.9124,281.9783,162.2553
89.46906,-2.203852,2.019084,-1.544393,352.1216,281.2446,162.719
89.48982,-2.200726,2.022058,-1.554933,352.2624,279.7401,163.3914
89.4975,-2.200726,2.022058,-1.554933,352.2624,279.7401,163.3914
89.50438,-2.198963,2.023017,-1.559912,352.7425,279.1815,163.4763
89.51313,-2.197042,2.02367,-1.564775,352.9157,278.6914,163.4682
89.52419,-2.194991,2.024036,-1.569451,352.7652,278.1379,163.4509
89.53544,-2.192961,2.024444,-1.574135,352.6084,277.6334,163.4512
89.54656,-2.190854,2.024475,-1.578518,352.4593,277.2535,163.3641
89.55768,-2.188821,2.024504,-1.582801,352.5038,276.9327,163.2456
89.56868,-2.186737,2.024635,-1.586703,352.6849,276.3002,163.1711
89.57993,-2.184693,2.024941,-1.590391,352.8396,275.606,163.108
89.5909,-2.182463,2.025382,-1.593454,352.8445,275.048,162.9813
89.6019,-2.179965,2.02593,-1.596312,352.4629,274.7627,162.7641
89.61318,-2.177049,2.026407,-1.599176,351.735,274.6252,162.5275
89.62421,-2.174346,2.026804,-1.602383,351.2202,274.3095,162.3638
89.63541,-2.170669,2.026895,-1.604797,350.2407,274.1442,162.1723
89.64652,-2.167146,2.026836,-1.607208,349.8313,274.0031,162.003
89.65762,-2.163428,2.026572,-1.609444,349.685,273.9965,161.8472
89.66881,-2.159577,2.026143,-1.611268,349.6538,273.7836,161.7024
89.67974,-2.155669,2.025626,-1.612598,349.6028,273.5732,161.5461
89.69104,-2.152432,2.025162,-1.613581,349.5152,273.7016,161.255
89.70213,-2.148625,2.024534,-1.614528,349.5179,273.9872,160.9452
