time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-1.982019,2.666778,-1.584911,59.51686,102.4835,5.935087
61.12264,-1.979977,2.666353,-1.584604,59.54122,102.1497,5.912867
61.13535,-1.977901,2.665881,-1.584216,59.57416,101.8316,5.877293
61.14911,-1.975757,2.665347,-1.583844,59.64027,101.5805,5.884562
61.16418,-1.973785,2.664736,-1.583333,59.6839,101.3951,5.923399
61.17216,-1.969606,2.663483,-1.582091,59.72211,101.0636,5.957121
61.18238,-1.967628,2.662859,-1.581412,59.7479,100.9928,6.000678
61.19348,-1.96557,2.662152,-1.580547,59.78296,100.9328,6.07416
61.20461,-1.963636,2.661568,-1.579654,59.87419,100.8921,6.171571
61.21577,-1.96149,2.661116,-1.578677,60.00462,100.9582,6.369218
61.22686,-1.95928,2.660808,-1.577517,60.19483,101.0069,6.590669
61.23778,-1.957103,2.660552,-1.576468,60.3897,101.0205,6.778093
61.24895,-1.954891,2.660493,-1.575294,60.51788,101.03,7.018007
61.26003,-1.95251,2.66054,-1.574061,60.58945,101.0085,7.219871
61.27118,-1.950006,2.660546,-1.572879,60.63602,100.9448,7.357862
61.28224,-1.947454,2.660749,-1.571739,60.631,100.9568,7.576731
61.29335,-1.94483,2.660908,-1.5705,60.59621,100.993,7.784709
61.30454,-1.942222,2.661026,-1.569231,60.50731,101.058,8.005435
61.31559,-1.939732,2.661132,-1.567942,60.46888,101.115,8.195694
61.32668,-1.937356,2.66115,-1.566576,60.43084,101.2166,8.420129
61.3378,-1.935061,2.661117,-1.56543,60.4108,101.2829,8.645949
61.34891,-1.932785,2.661082,-1.56416,60.41808,101.3474,8.89042
61.35995,-1.930585,2.661129,-1.562958,60.47025,101.4102,9.112263
61.37128,-1.928353,2.661125,-1.561644,60.51441,101.4592,9.341762
61.38224,-1.926171,2.66106,-1.560331,60.56794,101.5271,9.561002
61.39329,-1.923946,2.661108,-1.559046,60.58183,101.6057,9.762565
61.40451,-1.921765,2.661149,-1.557791,60.55625,101.671,9.907431
61.41561,-1.919533,2.661184,-1.556503,60.49535,101.7321,10.02623
61.42669,-1.917217,2.661261,-1.555167,60.40205,101.7834,10.08942
61.43775,-1.915052,2.661346,-1.553813,60.27893,101.8201,10.158
61.44893,-1.912844,2.661409,-1.552445,60.17061,101.9081,10.23969
61.46012,-1.91073,2.661485,-1.551127,60.10848,102.0093,10.34505
61.47109,-1.908829,2.661631,-1.549927,60.09449,102.1171,10.44982
61.48228,-1.906909,2.661741,-1.548631,60.09908,102.2365,10.55726
61.49336,-1.904953,2.661811,-1.547369,60.12455,102.3751,10.66985
61.50452,-1.903104,2.662011,-1.54617,60.11807,102.5253,10.79349
61.51563,-1.901286,2.662243,-1.544895,60.09614,102.7035,10.88217
61.52706,-1.899331,2.66249,-1.543681,60.03877,102.8754,10.97887
61.53837,-1.897429,2.662766,-1.542535,59.91994,103.0711,11.05663
61.54988,-1.895486,2.663087,-1.541453,59.75351,103.2302,11.10259
61.56109,-1.893545,2.663331,-1.540372,59.57427,103.3831,11.16731
61.57256,-1.891576,2.663423,-1.539356,59.38204,103.4872,11.19536
61.58396,-1.889712,2.663516,-1.538392,59.22589,103.5904,11.24456
61.59525,-1.887949,2.66352,-1.537507,59.09311,103.6552,11.27983
61.61466,-1.886194,2.663519,-1.536702,59.03602,103.7399,11.37831
61.62223,-1.884492,2.663469,-1.535955,59.06141,103.8334,11.50011
61.62961,-1.882795,2.663469,-1.535207,59.11572,103.9501,11.65623
61.63783,-1.881163,2.663574,-1.534611,59.22068,103.9988,11.78495
61.64917,-1.879503,2.663634,-1.534049,59.30009,104.0825,11.94422
61.66008,-1.877789,2.663717,-1.533617,59.35243,104.1401,12.08346
61.67122,-1.875949,2.663904,-1.533282,59.39542,104.1969,12.1797
61.68245,-1.87401,2.664155,-1.532976,59.41038,104.2587,12.30139
61.69337,-1.871938,2.664495,-1.532697,59.38466,104.3226,12.39423
61.70448,-1.86991,2.664777,-1.532494,59.34671,104.3821,12.50539
61.71562,-1.867871,2.665051,-1.532363,59.27438,104.4064,12.56961
61.72683,-1.865804,2.665238,-1.532286,59.19732,104.3931,12.59707
61.73785,-1.863767,2.665464,-1.532272,59.1389,104.3291,12.59995
61.74897,-1.861635,2.665644,-1.532326,59.06884,104.2318,12.57942
61.76006,-1.859434,2.665867,-1.532402,59.02131,104.1405,12.58221
61.77126,-1.857338,2.666047,-1.532489,58.97355,104.033,12.51312
61.7824,-1.8552,2.666035,-1.532763,58.92463,103.9104,12.50079
61.79341,-1.853002,2.666077,-1.533031,58.89705,103.7404,12.45863
61.8047,-1.850809,2.665939,-1.533473,58.86329,103.5973,12.44402
61.81569,-1.848597,2.665911,-1.533846,58.84061,103.4339,12.43065
61.82682,-1.846292,2.665621,-1.534476,58.82514,103.2222,12.4029
