time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-2.030879,1.862752,-1.248551,44.58667,78.58561,323.0199
61.12264,-2.031141,1.862037,-1.248932,44.65802,78.25622,323.0081
61.13535,-2.031095,1.861394,-1.249229,44.73546,78.05791,322.9962
61.14911,-2.03088,1.860028,-1.249881,44.86677,77.68102,322.9726
61.16418,-2.030551,1.859309,-1.250116,44.93406,77.47063,322.9566
61.17216,-2.030063,1.857847,-1.250639,45.0476,77.11833,322.9527
61.18238,-2.029204,1.856696,-1.251062,45.11442,76.88921,322.9998
61.19348,-2.028171,1.855489,-1.251419,45.16563,76.68991,323.0725
61.20461,-2.027117,1.854131,-1.25197,45.19429,76.51891,323.1558
61.21577,-2.025857,1.852827,-1.252491,45.22765,76.33427,323.2329
61.22686,-2.024264,1.851403,-1.252921,45.25211,76.15621,323.3546
61.23778,-2.022706,1.850042,-1.253457,45.31021,75.99815,323.4937
61.24895,-2.021175,1.848822,-1.25394,45.38786,75.84977,323.5702
61.26003,-2.019594,1.847573,-1.254596,45.52325,75.80952,323.6553
61.27118,-2.018022,1.846361,-1.25542,45.68258,75.778,323.701
61.28224,-2.016042,1.845375,-1.256099,45.81909,75.71905,323.7325
61.29335,-2.013926,1.844577,-1.256765,45.90339,75.57498,323.7555
61.30454,-2.011426,1.84394,-1.257235,45.92321,75.31767,323.8109
61.31559,-2.008957,1.843355,-1.257808,45.91791,75.05672,323.8911
61.32668,-2.005978,1.842791,-1.258452,45.85017,74.7636,324.0221
61.3378,-2.002787,1.842403,-1.259262,45.7415,74.51387,324.1504
61.34891,-1.999465,1.842174,-1.260098,45.58086,74.2776,324.3434
61.35995,-1.996117,1.841766,-1.261258,45.40736,74.18109,324.5788
61.37128,-1.992455,1.84159,-1.262601,45.19729,74.20632,324.89
61.38224,-1.988984,1.841197,-1.263866,45.03592,74.27238,325.2119
61.39329,-1.985274,1.840985,-1.265691,44.87329,74.55072,325.5834
61.40451,-1.981601,1.840727,-1.267677,44.75368,74.94075,325.955
61.41561,-1.977947,1.840415,-1.269779,44.66124,75.38126,326.338
61.42669,-1.97429,1.840108,-1.272195,44.61382,76.0248,326.7275
61.43775,-1.97051,1.839717,-1.274701,44.5875,76.73245,327.1476
61.44893,-1.966684,1.839283,-1.277207,44.56168,77.42862,327.5948
61.46012,-1.96278,1.838902,-1.2797,44.5158,78.05669,328.0084
61.47109,-1.958845,1.838493,-1.282261,44.46772,78.72363,328.4139
61.48228,-1.95485,1.838104,-1.284741,44.39579,79.43089,328.7854
61.49336,-1.950887,1.837797,-1.287155,44.31344,80.13255,329.1015
61.50452,-1.946883,1.837513,-1.289585,44.21725,80.86861,329.4037
61.51563,-1.942904,1.837513,-1.291896,44.11557,81.5482,329.6523
61.52706,-1.938724,1.837339,-1.294188,44.02395,82.18735,329.9056
61.53837,-1.934526,1.837357,-1.296225,43.91471,82.75568,330.1198
61.54988,-1.93017,1.837514,-1.298108,43.78509,83.2466,330.3763
61.56109,-1.925958,1.83752,-1.299936,43.61821,83.65026,330.6586
61.57256,-1.921535,1.837671,-1.301532,43.42217,83.98589,330.9771
61.58396,-1.917041,1.83771,-1.30324,43.23184,84.34596,331.313
61.59525,-1.912469,1.837779,-1.304576,42.98989,84.63749,331.6393
61.61466,-1.904907,1.837953,-1.30715,42.63388,85.34779,331.9926
61.62223,-1.901897,1.83801,-1.308186,42.5013,85.69703,332.0784
61.62961,-1.899235,1.838113,-1.309171,42.39185,86.06306,332.1538
61.63783,-1.896264,1.838135,-1.310304,42.28409,86.48134,332.1954
61.64917,-1.892331,1.838228,-1.311712,42.16836,87.10363,332.2221
61.66008,-1.888448,1.838392,-1.312898,42.05567,87.59795,332.2626
61.67122,-1.884521,1.838715,-1.313825,41.94251,87.92651,332.2917
61.68245,-1.880422,1.83924,-1.314715,41.807,88.18278,332.3281
61.69337,-1.87646,1.839818,-1.315059,41.61256,88.13472,332.288
61.70448,-1.872278,1.840274,-1.315641,41.42392,88.07742,332.2657
61.71562,-1.868196,1.841044,-1.315425,41.17503,87.62809,332.3015
61.72683,-1.864211,1.841736,-1.315399,40.95496,87.3163,332.3532
61.73785,-1.860295,1.842403,-1.315543,40.74539,87.11178,332.3961
61.74897,-1.856498,1.843068,-1.315686,40.5502,86.91103,332.4282
61.76006,-1.852752,1.843627,-1.315764,40.36573,86.79681,332.4789
61.77126,-1.848978,1.844307,-1.315922,40.18952,86.64679,332.5504
61.7824,-1.845954,1.846004,-1.31629,39.99745,86.56469,332.6417
61.79341,-1.842434,1.846586,-1.316596,39.8139,86.47317,332.6888
61.8047,-1.839185,1.847063,-1.316965,39.59875,86.41451,332.7319
61.81569,-1.835805,1.847592,-1.317326,39.39849,86.35213,332.7622
61.82682,-1.832626,1.848142,-1.317847,39.21009,86.32999,332.7899
61.83781,-1.829613,1.848557,-1.318493,39.02044,86.38346,332.7649
61.84891,-1.826829,1.848716,-1.31928,38.84891,86.49558,332.7236
61.85999,-1.824043,1.848945,-1.319949,38.71521,86.56824,332.676
61.87118,-1.821391,1.849136,-1.320517,38.6271,86.54677,332.6093
61.88224,-1.818628,1.849232,-1.3209,38.57945,86.44046,332.5897
61.89331,-1.816098,1.849508,-1.321187,38.50264,86.23618,332.5386
61.90443,-1.813618,1.849741,-1.321491,38.40698,85.99336,332.458
61.9156,-1.811184,1.850021,-1.321692,38.30344,85.71196,332.3893
61.9267,-1.808841,1.850104,-1.321918,38.19996,85.30602,332.2937
61.93781,-1.80669,1.850284,-1.321918,38.12477,84.83246,332.1691
61.94887,-1.804717,1.85046,-1.321917,38.10353,84.32858,332.0165
61.96003,-1.802729,1.850557,-1.322027,38.08452,83.85371,331.8804
61.97106,-1.800979,1.850541,-1.322143,38.13544,83.34136,331.7613
61.99199,-1.798097,1.850693,-1.322448,38.25228,82.43129,331.6284
61.99974,-1.797002,1.850806,-1.322663,38.27539,82.08627,331.5973
62.00662,-1.796078,1.850918,-1.322904,38.29671,81.77847,331.5842
62.0154,-1.794951,1.851169,-1.323214,38.30122,81.37944,331.5497
62.02648,-1.79347,1.851436,-1.323573,38.29684,80.88571,331.4729
62.04754,-1.79078,1.851641,-1.324748,38.30695,79.97967,331.2608
62.05499,-1.790041,1.851575,-1.325322,38.31932,79.69247,331.1755
62.0618,-1.78929,1.851504,-1.325854,38.34979,79.4549,331.0903
62.07088,-1.788331,1.851402,-1.326582,38.39069,79.14453,330.9759
62.08206,-1.787182,1.851239,-1.32752,38.45278,78.81347,330.8127
62.09311,-1.785985,1.851077,-1.328584,38.53706,78.48293,330.669
62.10426,-1.785128,1.85067,-1.329848,38.6825,78.2299,330.512
62.11533,-1.784032,1.850477,-1.330817,38.75886,77.88824,330.3714
62.12641,-1.782926,1.850284,-1.331798,38.83538,77.54217,330.2285
62.13749,-1.782446,1.849216,-1.333155,39.11823,77.24755,329.9454
62.14864,-1.781712,1.848827,-1.33413,39.21679,76.79683,329.6828
62.15977,-1.780919,1.848445,-1.335087,39.34624,76.32449,329.399
62.17085,-1.78022,1.848166,-1.335883,39.47245,75.74327,329.0711
62.18192,-1.779413,1.847803,-1.336689,39.55133,75.13125,328.781
62.193,-1.778887,1.847953,-1.33729,39.60896,74.31318,328.4874
62.20409,-1.778218,1.847996,-1.337929,39.68733,73.53896,328.2007
62.21539,-1.777652,1.84841,-1.338433,39.72511,72.63171,327.9379
62.22633,-1.777448,1.848558,-1.339592,39.7284,71.71431,327.717
