time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-2.30928,2.172796,-1.432026,346.4123,295.4713,338.3907
61.12264,-2.308173,2.172322,-1.434495,346.4425,295.253,338.1786
61.13535,-2.307063,2.17156,-1.437554,346.5324,295.0509,337.9559
61.14911,-2.305878,2.170915,-1.440101,346.6375,294.8409,337.7382
61.16418,-2.302747,2.168952,-1.445457,346.8663,294.306,337.3175
61.17216,-2.300852,2.168083,-1.447518,347.0131,294.1376,337.113
61.18238,-2.299048,2.167112,-1.450009,347.1178,294.0256,336.8752
61.19348,-2.296957,2.16594,-1.45378,347.1597,294.0602,336.6301
61.20461,-2.295024,2.164986,-1.456357,347.1705,293.9828,336.4471
61.21577,-2.292971,2.16437,-1.458405,347.2325,293.9205,336.2796
61.22686,-2.291043,2.164066,-1.460159,347.3667,294.1742,336.0771
61.23778,-2.289093,2.163799,-1.4623,347.4359,294.396,335.9335
61.24895,-2.287242,2.163982,-1.463587,347.459,294.44,335.9961
61.26003,-2.285067,2.164248,-1.464638,347.5262,294.2727,336.2193
61.27118,-2.283167,2.164312,-1.46655,347.6323,294.1304,336.3513
61.28224,-2.281031,2.164237,-1.468116,347.7196,293.8936,336.5041
61.29335,-2.278974,2.164309,-1.469578,347.7383,293.7516,336.5628
61.30454,-2.276647,2.164427,-1.470601,347.8644,293.7313,336.5345
61.31559,-2.273809,2.164347,-1.471808,348.0411,293.8856,336.5399
61.32668,-2.271574,2.164378,-1.473148,348.148,293.8628,336.5706
61.3378,-2.268864,2.16446,-1.473595,348.2891,294.1451,336.5124
61.34891,-2.266188,2.164361,-1.474216,348.3905,294.5546,336.3533
61.35995,-2.263635,2.164135,-1.475051,348.4238,294.7876,336.2491
61.37128,-2.260832,2.163446,-1.475706,348.4487,294.8011,336.1484
61.38224,-2.25836,2.163072,-1.476636,348.4885,294.8755,336.072
61.39329,-2.256386,2.162206,-1.478868,348.4474,294.7816,336.0599
61.40451,-2.254304,2.161707,-1.479785,348.4637,294.8358,335.9573
61.41561,-2.251929,2.161556,-1.4805,348.6304,294.915,335.894
61.42669,-2.250099,2.161083,-1.481419,348.8029,294.7459,335.9094
61.43775,-2.247913,2.160692,-1.482354,348.8972,294.7594,335.8621
61.44893,-2.24573,2.160301,-1.483288,348.9915,294.7728,335.815
61.46012,-2.243547,2.15991,-1.484222,349.0858,294.7861,335.7679
61.47109,-2.241362,2.159518,-1.485157,349.1802,294.7993,335.7208
61.48228,-2.238628,2.158676,-1.484017,349.449,293.6721,335.706
61.49336,-2.237441,2.157972,-1.483842,349.5927,293.836,335.5043
61.50452,-2.235538,2.157394,-1.484425,349.7831,293.8205,335.3512
61.51563,-2.233568,2.156823,-1.485014,349.9143,293.6994,335.2378
61.52706,-2.231562,2.156254,-1.485616,350.0639,293.615,335.1322
61.53837,-2.228195,2.159273,-1.467523,350.2073,293.6523,334.8818
61.54988,-2.226786,2.158391,-1.467301,350.3925,293.7283,334.7173
61.56109,-2.224784,2.158178,-1.467563,350.5785,293.7216,334.634
61.57256,-2.223343,2.156938,-1.46823,350.6542,293.8974,334.5765
61.58396,-2.221344,2.157006,-1.468527,350.7159,293.8241,334.6034
61.59525,-2.219485,2.156694,-1.468953,350.77,293.7545,334.6747
61.61466,-2.215867,2.155787,-1.469694,350.879,293.8106,334.5046
61.62223,-2.215867,2.155787,-1.469694,350.879,293.8106,334.5046
61.62961,-2.21387,2.155438,-1.470089,350.9926,293.6817,334.3867
61.63783,-2.211998,2.155154,-1.470826,351.1415,293.4827,334.282
61.64917,-2.210374,2.154624,-1.471777,351.3102,293.0833,334.214
61.66008,-2.208488,2.154548,-1.472819,351.4749,292.769,334.084
61.67122,-2.206545,2.154672,-1.474002,351.561,292.6035,333.9576
61.68245,-2.204361,2.154544,-1.474768,351.5598,292.4459,333.8304
61.69337,-2.202408,2.154741,-1.475961,351.5262,292.2298,333.7299
61.70448,-2.200709,2.154727,-1.477123,351.562,292.0549,333.6548
61.71562,-2.199026,2.15486,-1.478725,351.5988,291.8094,333.5655
61.72683,-2.197269,2.154858,-1.480192,351.6845,291.5998,333.4165
61.73785,-2.195188,2.15449,-1.481236,351.7829,291.3691,333.357
61.74897,-2.193451,2.154367,-1.482828,351.8216,291.0143,333.2127
61.76006,-2.191491,2.154169,-1.484483,351.814,290.6601,333.114
61.77126,-2.189708,2.154036,-1.486223,351.8159,290.3822,332.9641
61.7824,-2.188385,2.155013,-1.488782,351.8339,290.0718,332.8338
61.79341,-2.186607,2.1549,-1.490625,351.8108,289.7244,332.7311
61.8047,-2.184782,2.154967,-1.492729,351.7743,289.2534,332.7107
61.81569,-2.182858,2.154763,-1.494651,351.7424,288.8705,332.7177
61.82682,-2.180757,2.154652,-1.496649,351.7852,288.5697,332.7224
61.83781,-2.178803,2.154806,-1.498822,351.8338,288.2779,332.7273
61.84891,-2.176555,2.154693,-1.500855,351.8575,287.9329,332.7982
61.85999,-2.174343,2.154681,-1.50306,351.7456,287.5012,332.9158
61.87118,-2.171824,2.154506,-1.504899,351.6447,287.1992,332.9947
61.88224,-2.169409,2.154253,-1.506717,351.6324,286.9929,333.0341
61.89331,-2.166838,2.154122,-1.508478,351.7099,286.91,333.0625
61.90443,-2.164372,2.154032,-1.510491,351.7876,286.7271,333.1023
61.9156,-2.16189,2.15413,-1.512646,351.8075,286.377,333.1965
61.9267,-2.159197,2.154012,-1.514709,351.8062,286.0366,333.2655
61.93781,-2.156548,2.15366,-1.516708,351.7964,285.7333,333.3353
61.94887,-2.153772,2.153505,-1.518914,351.8135,285.4022,333.3707
61.96003,-2.151002,2.153373,-1.521129,351.8672,285.0955,333.3914
61.97106,-2.147978,2.153304,-1.523622,351.953,284.7809,333.413
61.99199,-2.141989,2.153303,-1.528761,351.8761,284.1198,333.4499
61.99974,-2.141989,2.153303,-1.528761,351.8761,284.1198,333.4499
62.00662,-2.13883,2.153254,-1.531463,351.7642,283.869,333.3745
62.0154,-2.135788,2.153244,-1.534323,351.7186,283.6395,333.3433
62.02648,-2.132463,2.152886,-1.536979,351.6969,283.2822,333.3905
62.04754,-2.126067,2.152602,-1.543592,351.5515,282.5024,333.6175
62.05499,-2.126067,2.152602,-1.543592,351.5515,282.5024,333.6175
62.0618,-2.122885,2.152453,-1.546916,351.5079,282.1653,333.722
62.07088,-2.119479,2.152034,-1.550722,351.511,281.7388,333.8513
62.08206,-2.11608,2.151748,-1.554427,351.5319,281.343,333.966
62.09311,-2.112433,2.151404,-1.558358,351.5159,280.9204,334.0799
62.10426,-2.108538,2.150756,-1.562073,351.4632,280.4147,334.2301
62.11533,-2.104304,2.150194,-1.565973,351.3473,279.9531,334.3891
62.12641,-2.100225,2.149788,-1.569989,351.2417,279.5316,334.5203
62.13749,-2.09596,2.149036,-1.573851,351.22,279.0746,334.6526
62.14864,-2.091736,2.148654,-1.577945,351.226,278.6642,334.7498
62.15977,-2.087877,2.148383,-1.582241,351.2489,278.2414,334.865
62.17085,-2.083304,2.147918,-1.586535,351.8057,277.7704,334.9479
62.18192,-2.07859,2.147459,-1.590583,351.9096,277.4158,335.0419
62.193,-2.07391,2.147371,-1.594671,351.5639,277.0633,335.0887
62.20409,-2.069742,2.148019,-1.598917,351.0476,276.5473,335.0864
62.21539,-2.065634,2.148535,-1.602961,350.926,276.0746,335.0583
62.22633,-2.061567,2.148946,-1.606321,351.0337,275.7689,334.9358
62.23741,-2.057606,2.149604,-1.609338,351.4622,275.9939,334.5803
62.24863,-2.053499,2.149967,-1.612766,351.5541,275.9893,334.3828
62.25966,-2.049398,2.150268,-1.616304,351.4966,276.1931,334.0709
62.27076,-2.045283,2.150556,-1.619858,351.5193,276.0608,333.9245
62.28199,-2.041147,2.150845,-1.623429,351.5418,275.9277,333.7773
62.29297,-2.036982,2.151136,-1.627023,351.5641,275.7938,333.6291
62.30406,-2.032873,2.151423,-1.630571,351.5858,275.6615,333.4827
62.31524,-2.034348,2.148032,-1.638943,351.4254,272.3254,334.912
62.32632,-2.030615,2.149376,-1.64168,351.1397,271.5753,334.9877
62.33752,-2.028133,2.149344,-1.645673,350.993,270.9411,335.0561
62.34852,-2.026721,2.149862,-1.64957,350.8888,270.2845,335.0476
62.35953,-2.024538,2.150184,-1.653474,350.7742,269.5128,335.1265
