time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.1097,-2.232186,1.12029,-1.609882,305.2249,143.8098,180.5841
61.12264,-2.232132,1.120229,-1.609898,305.2148,143.7858,180.5756
61.13535,-2.232152,1.120302,-1.609923,305.2064,143.776,180.5671
61.14911,-2.232154,1.120296,-1.609903,305.1902,143.7433,180.5788
61.16418,-2.232023,1.120485,-1.610054,305.1488,143.7319,180.5379
61.17216,-2.232117,1.120511,-1.610198,305.1437,143.7525,180.4828
61.18238,-2.232172,1.120618,-1.610436,305.2786,143.9243,180.2951
61.19348,-2.23235,1.120711,-1.610673,305.3362,143.9961,180.1933
61.20461,-2.232604,1.120649,-1.610924,305.3748,144.0535,180.081
61.21577,-2.232805,1.120649,-1.611115,305.42,144.2224,179.864
61.22686,-2.23258,1.120523,-1.610998,305.4582,144.2738,179.8227
61.23778,-2.232507,1.120525,-1.610975,305.4405,144.1513,179.9372
61.24895,-2.232348,1.120476,-1.61092,305.4138,144.138,179.9763
61.26003,-2.232244,1.120405,-1.610969,305.3992,143.9583,180.1613
61.27118,-2.232615,1.120547,-1.610757,305.3728,143.9016,180.1996
61.28224,-2.23258,1.120595,-1.610896,305.3404,143.8509,180.235
61.29335,-2.232695,1.120628,-1.611016,305.2832,143.8025,180.1974
61.30454,-2.232773,1.120671,-1.611095,305.221,143.7722,180.1892
61.31559,-2.232681,1.120787,-1.611221,305.1777,143.7416,180.1808
61.32668,-2.232838,1.120716,-1.611249,305.2241,143.7794,180.1216
61.3378,-2.232858,1.120799,-1.611272,305.2244,143.7912,180.09
61.34891,-2.232957,1.12091,-1.6114,305.2177,143.748,180.089
61.35995,-2.23297,1.121073,-1.611478,305.1934,143.7153,180.0788
61.37128,-2.232973,1.121113,-1.611502,305.1556,143.651,180.109
61.38224,-2.232965,1.121007,-1.611447,305.1169,143.5256,180.203
61.39329,-2.232923,1.121048,-1.61148,305.0953,143.4496,180.2635
61.40451,-2.232894,1.121044,-1.611544,305.0809,143.2834,180.4037
61.41561,-2.232749,1.121201,-1.611749,305.1158,143.2099,180.4372
61.42669,-2.233032,1.121257,-1.612598,305.3491,143.2362,180.3817
61.43775,-2.232866,1.121504,-1.613154,305.6354,143.4655,180.1184
61.44893,-2.232852,1.122112,-1.614299,306.0695,143.2841,180.1221
61.46012,-2.232745,1.122808,-1.615298,306.5948,143.8434,179.4471
61.47109,-2.232406,1.123694,-1.616918,307.3419,144.2364,178.9183
61.48228,-2.231761,1.124783,-1.618817,308.391,145.294,177.8538
61.49336,-2.230597,1.125828,-1.620528,309.4587,145.0801,177.9365
61.50452,-2.22909,1.127316,-1.623199,311.3528,144.8872,178.1818
61.51563,-2.227431,1.128951,-1.625961,313.147,145.2997,177.9155
61.52706,-2.224606,1.130582,-1.629435,315.7545,145.4012,178.1915
61.53837,-2.222169,1.132315,-1.632655,318.3845,145.2895,178.5015
61.54988,-2.218737,1.134758,-1.636883,321.6365,145.516,178.6022
61.56109,-2.215657,1.137166,-1.639995,324.5483,145.6571,178.7909
61.57256,-2.212659,1.140811,-1.642428,326.2626,144.7489,179.6715
61.58396,-2.20949,1.144543,-1.644855,327.4752,143.7905,180.4272
61.59525,-2.205083,1.14939,-1.646174,327.6097,141.0712,182.3833
61.61466,-2.195988,1.156957,-1.649971,329.4647,135.9229,185.5622
61.62223,-2.195988,1.156957,-1.649971,329.4647,135.9229,185.5622
61.62961,-2.190562,1.160471,-1.652744,329.9274,133.1777,186.9064
61.63783,-2.184188,1.162587,-1.657837,329.3267,131.7839,186.4865
61.64917,-2.176221,1.163906,-1.662606,329.0216,130.483,185.6329
61.66008,-2.167662,1.16574,-1.668111,328.2552,129.734,183.5472
61.67122,-2.157719,1.16598,-1.674238,326.0874,129.3921,181.4103
61.68245,-2.147712,1.165669,-1.680155,324.9714,128.3261,180.2702
61.69337,-2.135832,1.163889,-1.686566,323.7236,127.0441,179.5389
61.70448,-2.124618,1.163026,-1.692792,322.6165,126.2145,178.8004
61.71562,-2.112124,1.16011,-1.700702,321.1463,125.998,178.098
61.72683,-2.098561,1.156855,-1.708848,319.5016,126.1819,177.7372
61.73785,-2.085589,1.154729,-1.715638,318.1363,125.6818,177.5391
61.74897,-2.071805,1.151338,-1.722643,316.9226,124.8794,178.0543
61.76006,-2.057411,1.148713,-1.730346,315.5002,123.9048,178.7711
61.77126,-2.043345,1.146268,-1.737944,314.0192,123.1789,179.1748
61.7824,-2.028661,1.144549,-1.745677,312.1593,122.8965,179.2217
61.79341,-2.013706,1.143006,-1.753217,310.131,122.8064,178.904
61.8047,-1.998763,1.141876,-1.760399,308.1341,122.6978,178.5644
61.81569,-1.983852,1.140583,-1.767573,306.3832,122.4736,178.3341
61.82682,-1.967869,1.139933,-1.774762,304.7499,122.3456,177.8824
61.83781,-1.95247,1.138816,-1.780688,303.3018,122.183,177.3601
61.84891,-1.937154,1.138091,-1.786442,302.022,122.1371,176.5562
61.85999,-1.922137,1.137915,-1.791685,301.0621,121.8881,175.7352
61.87118,-1.906938,1.137328,-1.797022,300.1321,121.3674,175.1515
61.88224,-1.890928,1.13804,-1.801454,299.7537,120.3304,174.7744
61.89331,-1.876698,1.138855,-1.804466,299.3024,118.8807,174.7709
61.90443,-1.86342,1.140682,-1.807019,298.5244,117.6323,174.5553
61.9156,-1.850361,1.142435,-1.809396,297.3191,116.758,174.0173
61.9267,-1.838403,1.145172,-1.810421,295.8416,116.0729,173.1993
61.93781,-1.826925,1.147436,-1.810781,294.4003,115.2295,172.5485
61.94887,-1.815886,1.149453,-1.810728,293.3308,114.1994,172.1685
61.96003,-1.804244,1.151498,-1.811158,292.507,113.3545,171.704
61.97106,-1.794548,1.152825,-1.809983,292.2549,113.0772,170.7617
61.99199,-1.775942,1.154958,-1.808258,291.7581,111.4397,169.8382
