time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
106.7169,-1.76709,2.240366,-1.78451,352.6663,100.139,27.65891
106.7297,-1.765575,2.23945,-1.786426,352.7143,99.91807,27.55679
106.7401,-1.764362,2.238574,-1.788171,352.7357,99.72011,27.48071
106.7512,-1.762803,2.237743,-1.789996,352.7643,99.46601,27.37429
106.7719,-1.760081,2.236122,-1.793594,352.8373,98.99197,27.13577
106.7793,-1.759004,2.235585,-1.794924,352.8697,98.84704,27.03832
106.7908,-1.757931,2.235094,-1.796193,352.8915,98.69701,26.93834
106.7993,-1.756163,2.234367,-1.798335,352.9318,98.46447,26.71716
106.816,-1.753193,2.233403,-1.801722,352.9441,98.10838,26.36741
106.8232,-1.752048,2.233195,-1.803173,352.8799,97.96534,26.19253
106.8302,-1.750849,2.232874,-1.804299,352.8404,97.79182,26.06146
106.8388,-1.749409,2.232522,-1.805865,352.8069,97.57836,25.91114
106.8501,-1.74744,2.23223,-1.807864,352.7014,97.24453,25.69951
106.8611,-1.745322,2.23193,-1.809775,352.6008,96.87142,25.49354
106.8723,-1.74368,2.231541,-1.81209,352.4453,96.43792,25.20412
106.8834,-1.741541,2.231313,-1.814081,352.2748,95.99609,24.96813
106.8945,-1.73954,2.231123,-1.816165,352.135,95.57683,24.79063
106.9056,-1.737428,2.230861,-1.818107,351.9922,95.1907,24.60688
106.9166,-1.735312,2.230568,-1.820179,351.8387,94.80038,24.45037
106.9278,-1.733072,2.23024,-1.822294,351.7796,94.382,24.40499
106.9389,-1.73092,2.229707,-1.8244,351.8382,93.9217,24.44734
106.9538,-1.728704,2.229299,-1.826494,351.8802,93.45397,24.44665
106.9611,-1.726779,2.229143,-1.828725,351.9423,92.98502,24.34321
106.9722,-1.724871,2.229214,-1.831112,351.916,92.5623,24.15006
106.9833,-1.722908,2.229413,-1.833489,351.8167,92.18084,23.90641
106.9945,-1.721145,2.229936,-1.835975,351.6202,91.81583,23.6494
107.0056,-1.719434,2.23069,-1.838464,351.3174,91.50505,23.44648
107.0167,-1.717703,2.231157,-1.841137,351.0168,91.19138,23.28472
