time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
128.0176,-2.222054,1.122617,-1.722916,303.9378,111.3326,343.2479
128.0307,-2.222019,1.122623,-1.722898,303.9524,111.3438,343.2403
128.0498,-2.222004,1.122625,-1.723159,303.9779,111.3622,343.2306
128.0582,-2.222004,1.122625,-1.723159,303.9779,111.3622,343.2306
128.0657,-2.221972,1.122625,-1.72316,303.992,111.3512,343.2312
128.073,-2.22191,1.122559,-1.723101,304.009,111.3514,343.2358
128.0841,-2.221927,1.122589,-1.723139,304.025,111.3538,343.2335
128.0952,-2.221865,1.122591,-1.723147,304.0479,111.3391,343.247
128.1064,-2.22179,1.122562,-1.723189,304.0845,111.3479,343.2277
128.1174,-2.221728,1.12255,-1.723184,304.0951,111.3361,343.228
128.1285,-2.221703,1.122511,-1.723244,304.1148,111.3339,343.2271
128.1398,-2.221624,1.122429,-1.723296,304.1401,111.3294,343.2382
128.1611,-2.221642,1.12231,-1.723308,304.1991,111.3101,343.2473
128.1696,-2.221642,1.12231,-1.723308,304.1991,111.3101,343.2473
128.1767,-2.221554,1.122278,-1.723297,304.2258,111.3069,343.2591
128.1839,-2.221583,1.122232,-1.723318,304.2748,111.2998,343.2645
128.195,-2.221493,1.122225,-1.723325,304.3074,111.3478,343.2095
128.2061,-2.221376,1.122158,-1.723404,304.3551,111.37,343.1931
128.2173,-2.221299,1.122154,-1.723413,304.3923,111.4069,343.1628
128.2285,-2.22134,1.122176,-1.72348,304.4413,111.4311,343.1546
128.2395,-2.221329,1.122191,-1.723536,304.4716,111.4327,343.146
128.2507,-2.221216,1.122218,-1.723577,304.5171,111.4723,343.1058
128.2618,-2.221191,1.12225,-1.723646,304.5682,111.5027,343.0806
128.2728,-2.220933,1.122273,-1.723661,304.5964,111.5004,343.1115
128.2839,-2.220762,1.12229,-1.723674,304.6731,111.4985,343.1356
128.295,-2.22063,1.122292,-1.723694,304.7202,111.4954,343.1566
128.3062,-2.220486,1.122324,-1.723636,304.7859,111.5043,343.168
128.3172,-2.220126,1.122454,-1.723601,304.8797,111.5164,343.1827
128.3283,-2.219954,1.12251,-1.72376,305.0046,111.5631,343.1528
128.3395,-2.219635,1.122594,-1.723789,305.2029,111.5542,343.1833
128.3505,-2.219218,1.122724,-1.723768,305.4279,111.4594,343.2662
