time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.06933,-2.148862,1.808969,-1.400172,45.11404,84.67277,334.9818
72.08266,-2.142786,1.807789,-1.399013,45.10569,84.71538,335.0051
72.09166,-2.138872,1.807064,-1.398258,45.08873,84.74863,335.0367
72.10028,-2.13481,1.806306,-1.397552,45.0402,84.77821,335.0894
72.10809,-2.130905,1.80571,-1.396847,44.97543,84.8015,335.1512
72.11754,-2.12659,1.804904,-1.396169,44.89716,84.84388,335.2358
72.12852,-2.121208,1.803921,-1.395202,44.78702,84.91889,335.3583
72.15031,-2.110218,1.801669,-1.393599,44.61534,85.23286,335.6049
72.15983,-2.104995,1.800584,-1.392951,44.57591,85.47433,335.748
72.16789,-2.10043,1.799647,-1.392344,44.55273,85.6805,335.8486
72.17556,-2.096368,1.798829,-1.391731,44.54638,85.83474,335.9256
72.18388,-2.092235,1.798097,-1.39114,44.56702,86.01495,335.9695
72.19509,-2.086025,1.797029,-1.390376,44.67587,86.29269,335.9761
72.21599,-2.075645,1.795395,-1.389233,45.09322,86.96183,336.0019
72.22398,-2.071628,1.794845,-1.388758,45.21012,87.21136,336.0584
72.23174,-2.067531,1.794456,-1.388363,45.37591,87.53658,336.1355
72.2393,-2.063357,1.794361,-1.388036,45.51207,87.87022,336.2477
72.25048,-2.057086,1.79393,-1.38745,45.63984,88.28937,336.3831
72.2615,-2.051115,1.793918,-1.386956,45.69168,88.68198,336.5353
72.27264,-2.044919,1.794175,-1.386474,45.68474,88.98403,336.6417
72.28368,-2.038238,1.794424,-1.3859,45.72148,89.34903,336.7363
72.29478,-2.031775,1.794964,-1.385557,45.6907,89.63728,336.803
72.3059,-2.025076,1.795401,-1.38488,45.66431,90.02011,336.907
72.31712,-2.01777,1.796051,-1.384573,45.57732,90.55047,337.0688
72.32809,-2.011122,1.796668,-1.384409,45.46404,91.07491,337.2574
72.33929,-2.003485,1.797453,-1.384596,45.23669,91.91043,337.642
72.36012,-1.990198,1.798357,-1.384803,44.89111,93.31723,338.2155
72.36817,-1.984993,1.798558,-1.384982,44.69459,93.97271,338.4017
72.37572,-1.980067,1.798922,-1.38498,44.53537,94.49635,338.5458
72.38361,-1.974815,1.798968,-1.385312,44.32618,95.0835,338.5947
72.39484,-1.967846,1.799224,-1.385444,44.09702,95.81763,338.6554
72.41573,-1.953593,1.799645,-1.385326,43.61581,97.14674,338.548
72.42352,-1.948475,1.799713,-1.38512,43.43619,97.52487,338.4666
72.43108,-1.943364,1.799814,-1.384819,43.26694,97.81622,338.3506
72.43894,-1.938156,1.800269,-1.384274,43.12437,97.90437,338.1481
72.45012,-1.931233,1.800751,-1.383793,42.92382,98.08763,337.9305
72.46121,-1.923792,1.801391,-1.382818,42.73271,98.00779,337.6486
72.47227,-1.917018,1.802082,-1.381961,42.55463,97.89729,337.441
72.48335,-1.910402,1.802975,-1.380868,42.41199,97.4985,337.2777
72.49449,-1.903295,1.804069,-1.379998,42.23168,97.1338,337.165
72.50554,-1.896799,1.805143,-1.379283,42.05233,96.78629,337.1189
72.51668,-1.890603,1.8062,-1.378599,41.84264,96.422,337.2068
72.52773,-1.883431,1.807328,-1.378065,41.60028,96.11003,337.2807
72.5388,-1.877272,1.808542,-1.377818,41.31004,95.8133,337.605
72.54996,-1.870445,1.809808,-1.377757,41.01116,95.53624,337.8626
72.56105,-1.864567,1.811227,-1.377846,40.69467,95.29553,338.165
72.57211,-1.858872,1.812417,-1.378169,40.39542,95.10433,338.4091
72.58331,-1.85263,1.813508,-1.378264,40.09858,94.91006,338.6212
72.59443,-1.847214,1.814694,-1.378878,39.8605,94.89986,338.8456
72.60543,-1.842149,1.815728,-1.379595,39.63844,94.97293,339.0311
72.61665,-1.836825,1.816683,-1.38062,39.40186,95.16276,339.1956
72.62775,-1.832234,1.817506,-1.381644,39.217,95.41762,339.2949
72.63876,-1.827315,1.818454,-1.382781,39.00957,95.64233,339.3634
72.64996,-1.823083,1.819218,-1.383871,38.86574,95.91409,339.2963
72.66114,-1.819245,1.81982,-1.384935,38.76405,96.10245,339.2033
72.67227,-1.815125,1.820295,-1.386042,38.69701,96.20692,339.1317
72.68328,-1.811434,1.820634,-1.386889,38.67965,96.23256,339.0943
72.69435,-1.808012,1.820911,-1.387598,38.67414,96.18965,339.0348
72.70551,-1.804176,1.82119,-1.388327,38.64137,96.12224,338.962
72.72667,-1.798061,1.821577,-1.389335,38.60338,95.78207,338.8479
72.73428,-1.795841,1.821694,-1.389529,38.58115,95.58643,338.8107
72.74158,-1.793602,1.821757,-1.389768,38.55782,95.37769,338.7688
72.74976,-1.791638,1.821799,-1.389906,38.54262,95.11711,338.7029
72.76094,-1.788572,1.821819,-1.390005,38.54293,94.66797,338.5653
72.77195,-1.785879,1.821837,-1.389975,38.54999,94.24002,338.4214
72.78317,-1.783458,1.821816,-1.389827,38.57153,93.71413,338.2326
72.79441,-1.78086,1.821851,-1.389607,38.58899,93.17157,338.0661
72.80534,-1.778798,1.821994,-1.38946,38.59825,92.66669,337.935
72.81655,-1.776634,1.822135,-1.389187,38.61947,92.11904,337.7627
72.82765,-1.775009,1.822332,-1.388963,38.66605,91.58398,337.5627
72.83875,-1.773483,1.822445,-1.388646,38.76297,91.01669,337.3556
72.85976,-1.770691,1.822836,-1.387863,39.02325,89.93557,336.922
72.86727,-1.769955,1.823021,-1.387627,39.1531,89.63007,336.7708
72.87479,-1.769253,1.823013,-1.38745,39.32779,89.33497,336.6233
72.88326,-1.768181,1.823159,-1.387267,39.45909,88.95995,336.4654
72.89457,-1.766994,1.823117,-1.387073,39.64335,88.57076,336.3664
72.90551,-1.76572,1.823047,-1.386875,39.7504,88.1903,336.3235
72.9167,-1.764266,1.822977,-1.386656,39.85078,87.74194,336.2442
72.92773,-1.762828,1.82304,-1.386435,39.84247,87.30971,336.1973
72.93885,-1.761467,1.823309,-1.386128,39.81308,86.79801,336.0898
72.9501,-1.760302,1.823813,-1.385897,39.7872,86.3771,335.9988
72.96104,-1.759204,1.824379,-1.385683,39.8112,86.05554,335.9707
72.97209,-1.758024,1.825068,-1.38551,39.88557,85.79287,335.9906
72.98324,-1.756912,1.825752,-1.385381,39.94477,85.55387,336.0144
72.99437,-1.755786,1.826656,-1.385248,39.89267,85.42451,336.1436
73.00525,-1.754535,1.82771,-1.384979,39.80311,85.12854,336.1978
73.01638,-1.753092,1.828757,-1.38452,39.60484,84.79185,336.2681
73.02746,-1.751699,1.829971,-1.38399,39.37433,84.35847,336.3494
73.03857,-1.750586,1.831038,-1.38349,39.20462,83.98683,336.4279
73.04966,-1.749408,1.832052,-1.382847,39.06852,83.59568,336.5062
73.06085,-1.748417,1.832844,-1.382183,39.03561,83.23048,336.5589
73.07195,-1.747444,1.833429,-1.38154,39.04799,82.90884,336.5876
73.08306,-1.746758,1.833489,-1.380879,39.26867,82.64198,336.5342
73.09428,-1.745888,1.833927,-1.3802,39.3945,82.32051,336.5244
73.10543,-1.745157,1.833812,-1.379495,39.6221,82.03304,336.5042
73.12638,-1.743369,1.833534,-1.377918,40.00774,81.40507,336.4821
73.1339,-1.742823,1.833378,-1.377401,40.14118,81.17803,336.4586
73.14114,-1.7422,1.833127,-1.376772,40.28333,80.99394,336.4441
73.14981,-1.74142,1.832714,-1.376088,40.47334,80.78083,336.4243
73.16089,-1.740574,1.832232,-1.375289,40.72247,80.55457,336.3908
73.17192,-1.739473,1.831417,-1.374542,41.03421,80.41235,336.3206
73.18314,-1.738167,1.830494,-1.373666,41.36906,80.28959,336.262
73.19434,-1.736808,1.829487,-1.372818,41.65401,80.22104,336.2429
73.20525,-1.734845,1.828464,-1.371712,41.94066,80.13649,336.2335
73.21643,-1.733152,1.827443,-1.370885,42.17432,80.08087,336.2078
73.22749,-1.731473,1.826458,-1.36997,42.39853,80.01849,336.1915
73.23859,-1.729303,1.825051,-1.368914,42.61934,79.96872,336.2003
73.24972,-1.726908,1.823754,-1.367838,42.78466,79.93708,336.2289
73.26086,-1.724565,1.822706,-1.366721,42.94984,79.91381,336.2559
73.27188,-1.721746,1.821373,-1.365509,43.07709,79.94091,336.3175
73.28298,-1.71877,1.820195,-1.364311,43.14061,79.98202,336.3915
73.29413,-1.715323,1.818926,-1.362953,43.16974,80.02716,336.4716
73.31511,-1.708941,1.816735,-1.360426,43.15527,80.05663,336.6482
73.32268,-1.706368,1.815653,-1.359338,43.13318,80.05001,336.7374
73.32997,-1.703934,1.814822,-1.35835,43.098,80.03165,336.8223
73.3484,-1.697345,1.812456,-1.355384,43.02077,79.95189,337.0512
73.35595,-1.694346,1.811553,-1.354092,42.94755,79.84808,337.1535
73.36336,-1.691883,1.810898,-1.353043,42.91946,79.7833,337.2169
73.37179,-1.688725,1.810011,-1.351643,42.88405,79.66418,337.2773
73.38306,-1.684614,1.808961,-1.349692,42.90543,79.54867,337.3225
73.40405,-1.677413,1.806859,-1.346856,43.20747,79.84196,337.4231
73.41191,-1.67463,1.806046,-1.345833,43.29876,79.97603,337.4829
73.4196,-1.671705,1.805241,-1.344998,43.39269,80.22691,337.5611
73.42752,-1.66854,1.804471,-1.34395,43.43428,80.45105,337.6236
73.4387,-1.664149,1.803572,-1.342518,43.40303,80.69398,337.6746
73.44965,-1.659326,1.802886,-1.340968,43.28733,80.86058,337.6516
73.46094,-1.654775,1.802351,-1.339498,43.15451,80.93424,337.6052
73.47195,-1.649973,1.801895,-1.337908,43.05504,81.02631,337.5669
73.48303,-1.645519,1.80175,-1.336593,43.00301,81.13066,337.5294
73.49414,-1.64113,1.801619,-1.335408,43.01982,81.3158,337.547
73.50522,-1.636387,1.801554,-1.334276,43.04474,81.59538,337.6201
73.51644,-1.631972,1.801353,-1.33335,43.06298,81.87215,337.7177
73.52746,-1.627354,1.80132,-1.332509,43.03101,82.20778,337.8953
73.54836,-1.617711,1.801793,-1.330862,42.68959,82.86533,338.2631
73.55591,-1.614296,1.801866,-1.330282,42.56361,83.08984,338.3702
73.56329,-1.61118,1.802016,-1.329867,42.39825,83.32912,338.4839
73.58161,-1.603007,1.802204,-1.328722,42.03981,84.03011,338.6292
73.58926,-1.599605,1.802341,-1.328174,41.9059,84.29558,338.6411
73.59669,-1.596627,1.802456,-1.327741,41.79351,84.51007,338.6557
73.60505,-1.592816,1.802794,-1.327188,41.67706,84.772,338.6267
73.61631,-1.588239,1.803224,-1.326407,41.53479,85.00629,338.6217
73.63721,-1.579235,1.804216,-1.324799,41.23086,85.30482,338.7006
