time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.06933,-2.098183,1.846927,-1.941261,38.47007,98.31763,21.01666
72.08266,-2.092882,1.846736,-1.940774,38.44586,98.33765,21.13628
72.09166,-2.088871,1.846303,-1.940872,38.45116,98.41519,21.16674
72.10028,-2.085294,1.846183,-1.94041,38.4672,98.43491,21.24631
72.10809,-2.082107,1.846133,-1.940082,38.45872,98.45625,21.30933
72.11754,-2.078439,1.846398,-1.938738,38.49062,98.58885,21.44891
72.12852,-2.074018,1.846398,-1.938176,38.47002,98.67597,21.56493
72.15031,-2.065151,1.846992,-1.936889,38.32271,99.09902,21.91898
72.15983,-2.061112,1.847398,-1.936477,38.22721,99.3534,22.06011
72.16789,-2.057227,1.847613,-1.936866,38.20215,99.50323,22.10476
72.17556,-2.054118,1.848243,-1.936703,38.11694,99.81324,22.20706
72.18388,-2.050977,1.848693,-1.936463,38.0516,100.0389,22.30112
72.19509,-2.046661,1.849731,-1.936282,38.0147,100.5575,22.39952
72.21599,-2.039141,1.851804,-1.935233,38.01013,101.4576,22.72721
72.22398,-2.036335,1.852577,-1.934951,38.00016,101.782,22.84188
72.23174,-2.033706,1.853481,-1.93458,38.01566,102.1298,22.96605
72.2393,-2.031116,1.854452,-1.934189,38.03745,102.47,23.0706
72.25048,-2.027274,1.855943,-1.933522,38.07007,102.9131,23.2107
72.2615,-2.023664,1.857151,-1.932771,38.0968,103.2361,23.28346
72.27264,-2.020062,1.858799,-1.931336,38.12092,103.5609,23.39281
72.28368,-2.016248,1.860263,-1.930119,38.13962,103.7885,23.4961
72.29478,-2.012895,1.861767,-1.928993,38.17181,103.978,23.60687
72.3059,-2.009527,1.862722,-1.928147,38.24716,104.0105,23.70069
72.31712,-2.00608,1.864093,-1.926355,38.36437,103.9981,23.85204
72.32809,-2.002702,1.865355,-1.924981,38.41703,104.017,23.93999
72.33929,-1.999078,1.866759,-1.923813,38.41833,104.0838,23.97939
72.36012,-1.992052,1.868953,-1.921619,38.26947,104.3052,23.88793
72.36817,-1.989362,1.869788,-1.920906,38.16772,104.45,23.81453
72.37572,-1.986802,1.870721,-1.920192,38.09593,104.6021,23.78961
72.38361,-1.984133,1.871485,-1.919591,37.97703,104.8021,23.71811
72.39484,-1.980463,1.872895,-1.918168,37.81473,105.1235,23.7169
72.41573,-1.973484,1.874913,-1.916352,37.51511,105.587,23.68798
72.42352,-1.970978,1.875595,-1.915741,37.39282,105.7186,23.6669
72.43108,-1.968744,1.876194,-1.915487,37.27192,105.7613,23.59875
72.43894,-1.96648,1.876923,-1.914877,37.17045,105.7963,23.60169
72.45012,-1.963321,1.877847,-1.914033,37.08745,105.9027,23.60023
72.46121,-1.959993,1.878807,-1.913143,37.049,106.021,23.58907
72.47227,-1.9573,1.879409,-1.912699,37.17452,106.0877,23.56495
72.48335,-1.95453,1.880244,-1.911973,37.2291,106.1976,23.5265
72.49449,-1.95134,1.88122,-1.91115,37.3572,106.2635,23.46663
72.50554,-1.948306,1.88206,-1.909891,37.41783,106.2958,23.46363
72.51668,-1.945478,1.882584,-1.909143,37.4709,106.2385,23.41863
72.52773,-1.942328,1.883255,-1.908286,37.49804,106.1586,23.37801
72.5388,-1.93959,1.883589,-1.907575,37.51822,105.958,23.37132
72.54996,-1.936512,1.883972,-1.906793,37.56533,105.7419,23.36659
72.56105,-1.933714,1.884194,-1.90624,37.63793,105.5771,23.33908
72.57211,-1.931164,1.884348,-1.906001,37.70465,105.3912,23.27671
72.58331,-1.928131,1.884567,-1.905538,37.78467,105.2248,23.2625
72.59443,-1.925318,1.88455,-1.905309,37.83411,105.0736,23.30019
72.60543,-1.922219,1.884816,-1.905055,37.88526,104.9218,23.30161
72.61665,-1.919023,1.884855,-1.905096,37.90588,104.876,23.3373
72.62775,-1.916298,1.884623,-1.905321,37.92931,104.9177,23.36159
72.63876,-1.913104,1.884508,-1.90574,37.97998,105.0588,23.34718
72.64996,-1.909796,1.8844,-1.905924,38.06589,105.1987,23.28851
72.66114,-1.906565,1.884044,-1.906335,38.15625,105.2921,23.20044
72.67227,-1.903107,1.883368,-1.907152,38.22726,105.3053,23.10699
72.68328,-1.899864,1.882743,-1.907388,38.26725,105.2136,23.06868
72.69435,-1.896425,1.882137,-1.907626,38.30587,105.1178,23.02614
72.70551,-1.892356,1.881191,-1.907774,38.33031,104.8668,22.98967
72.72667,-1.885123,1.879546,-1.907744,38.41842,104.3467,22.8029
72.73428,-1.88228,1.878814,-1.907757,38.47893,104.0827,22.67374
72.74158,-1.879487,1.878138,-1.907805,38.53286,103.8523,22.54683
72.74976,-1.876604,1.877469,-1.90788,38.59761,103.5517,22.38294
72.76094,-1.871924,1.87629,-1.907982,38.65744,103.1234,22.13974
72.77195,-1.867352,1.875464,-1.908046,38.68711,102.784,21.9825
72.78317,-1.862684,1.874486,-1.908612,38.64457,102.4322,21.83152
72.79441,-1.857431,1.873565,-1.909145,38.55594,102.1355,21.68166
72.80534,-1.85256,1.872829,-1.909739,38.46948,101.8994,21.54534
72.81655,-1.847172,1.872095,-1.910492,38.3723,101.6808,21.39901
72.82765,-1.842602,1.871171,-1.911437,38.31433,101.4578,21.25358
72.83875,-1.837678,1.870753,-1.912299,38.27527,101.3139,21.18466
72.85976,-1.827682,1.869775,-1.913859,38.27625,100.9844,21.05261
72.86727,-1.82443,1.869639,-1.914307,38.26203,100.8618,21.01611
72.87479,-1.820522,1.869344,-1.914847,38.22046,100.7222,20.96101
