time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.06933,-2.397234,2.161108,-1.678212,4.92186,269.758,108.6529
72.08266,-2.392775,2.160433,-1.676711,5.128096,270.0138,108.5996
72.09166,-2.388024,2.159589,-1.675259,5.373917,270.309,108.5136
72.10028,-2.388024,2.159589,-1.675259,5.373917,270.309,108.5136
72.10809,-2.383449,2.158772,-1.673681,5.560382,270.5978,108.4732
72.11754,-2.378742,2.157764,-1.671892,5.648983,270.7527,108.3965
72.12852,-2.373726,2.156827,-1.67013,5.899005,271.0755,108.448
72.15031,-2.362756,2.155664,-1.665812,6.166994,271.4218,108.4846
72.15983,-2.35788,2.154636,-1.663934,6.114124,271.619,108.4625
72.16789,-2.35788,2.154636,-1.663934,6.114124,271.619,108.4625
72.17556,-2.352957,2.15414,-1.662144,5.976514,271.8177,108.4688
72.18388,-2.34804,2.154116,-1.660352,5.704152,272.3015,108.6168
72.19509,-2.34292,2.154354,-1.658797,5.714635,272.6013,108.7361
72.21599,-2.332449,2.155014,-1.65595,6.093927,272.2342,108.7215
72.22398,-2.332449,2.155014,-1.65595,6.093927,272.2342,108.7215
72.23174,-2.327345,2.155042,-1.653986,6.205843,271.7691,108.4509
72.2393,-2.321678,2.155269,-1.651749,6.203849,271.782,108.247
72.25048,-2.316472,2.155509,-1.649939,6.28153,271.855,108.0934
72.2615,-2.311227,2.156171,-1.648037,6.41124,272.3616,107.6917
72.27264,-2.306188,2.156936,-1.646264,6.525184,272.7651,107.4491
72.28368,-2.301479,2.158285,-1.644641,6.491509,273.0052,107.2424
72.29478,-2.296703,2.159294,-1.643121,6.391867,273.1696,107.0437
72.3059,-2.291763,2.159866,-1.642219,5.981362,273.1937,106.9323
72.31712,-2.287129,2.161116,-1.64062,5.394325,273.1451,106.8537
72.32809,-2.282838,2.161995,-1.63951,4.658366,273.2113,106.8408
72.33929,-2.278926,2.162636,-1.638492,4.066255,273.3167,106.8458
72.36012,-2.271036,2.163686,-1.63597,2.708904,273.703,106.956
72.36817,-2.271036,2.163686,-1.63597,2.708904,273.703,106.956
72.37572,-2.267245,2.163599,-1.6352,2.319919,274.0339,107.1035
72.38361,-2.263484,2.163695,-1.633974,2.06906,274.3607,107.2052
72.39484,-2.260076,2.163506,-1.632865,2.22783,274.7109,107.3215
72.41573,-2.253337,2.163446,-1.630826,2.867616,275.0833,107.3739
72.42352,-2.253337,2.163446,-1.630826,2.867616,275.0833,107.3739
72.43108,-2.250715,2.163534,-1.630466,4.65331,274.8279,107.257
72.43894,-2.247531,2.163931,-1.630054,5.751559,274.5411,107.0682
72.45012,-2.244478,2.164693,-1.629872,6.64864,273.8986,106.7239
72.46121,-2.241254,2.165275,-1.629455,7.132901,273.5115,106.4918
72.47227,-2.237977,2.166084,-1.62922,7.246219,273.2788,106.2681
72.48335,-2.234416,2.166951,-1.629012,6.953777,273.4143,106.1194
72.49449,-2.230669,2.167821,-1.628907,6.284284,273.765,106.0093
72.50554,-2.226198,2.1701,-1.626454,5.572777,274.0644,105.9022
72.51668,-2.222437,2.171134,-1.626336,4.659647,274.2348,105.9401
72.52773,-2.219108,2.172291,-1.626872,3.891762,274.2574,106.0344
72.5388,-2.215658,2.172627,-1.626511,3.342285,274.2318,106.0455
72.54996,-2.212955,2.172612,-1.626665,2.851651,274.2108,106.1008
72.56105,-2.209267,2.173846,-1.627077,2.432705,274.1674,106.1558
72.57211,-2.205763,2.17443,-1.62731,2.296193,274.1456,106.1789
72.58331,-2.202273,2.174544,-1.627301,2.205,274.1298,106.1801
72.59443,-2.198796,2.175016,-1.627622,2.184327,274.0491,106.1783
72.60543,-2.195313,2.175674,-1.62827,2.397216,273.9382,106.109
72.61665,-2.191777,2.17587,-1.628979,2.642774,273.664,106.1156
72.62775,-2.188159,2.175873,-1.629917,2.906669,273.2538,106.1616
72.63876,-2.184532,2.176104,-1.630563,2.979288,273.0405,106.18
72.64996,-2.180768,2.176408,-1.632559,2.954646,272.8108,106.2481
72.66114,-2.176522,2.175868,-1.632998,2.967517,272.6536,106.3037
72.67227,-2.172592,2.176145,-1.633405,2.832737,272.5435,106.3978
72.68328,-2.168126,2.175018,-1.634054,2.704895,272.4843,106.5188
72.69435,-2.163958,2.174666,-1.63491,2.716455,272.4064,106.6197
72.70551,-2.159701,2.174147,-1.635695,2.837934,272.3788,106.7546
72.72667,-2.150759,2.172757,-1.637131,3.385482,272.4395,107.0738
72.73428,-2.150759,2.172757,-1.637131,3.385482,272.4395,107.0738
72.74158,-2.14593,2.172293,-1.63809,3.759667,272.5692,107.2664
72.74976,-2.14204,2.171185,-1.640653,4.033181,272.6878,107.4712
72.76094,-2.137744,2.170512,-1.642099,4.271037,272.853,107.6955
72.77195,-2.133215,2.169894,-1.643352,4.338335,272.8147,107.8561
72.78317,-2.12882,2.168789,-1.644274,4.391996,272.4849,108.0047
72.79441,-2.124465,2.167921,-1.645955,4.416886,272.119,108.2217
72.80534,-2.120095,2.167652,-1.64758,4.427209,271.8873,108.3975
72.81655,-2.115844,2.167454,-1.648921,4.417937,271.7271,108.4337
72.82765,-2.11161,2.167281,-1.650284,4.548195,271.6248,108.4605
72.83875,-2.107445,2.1674,-1.651864,4.838713,271.4576,108.3449
72.85976,-2.099148,2.167757,-1.656108,4.840658,270.6092,108.1537
72.86727,-2.099148,2.167757,-1.656108,4.840658,270.6092,108.1537
72.87479,-2.094966,2.168025,-1.658373,4.483438,269.9314,108.0981
