time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.06933,-1.98221,1.123362,-1.554488,301.6134,77.36053,7.347984
72.08266,-1.976962,1.122762,-1.556518,301.3448,77.95753,6.849205
72.09166,-1.972569,1.121457,-1.558339,302.4693,78.18089,6.963918
72.10028,-1.972569,1.121457,-1.558339,302.4693,78.18089,6.963918
72.10809,-1.969898,1.119107,-1.560696,302.9839,78.06013,7.438499
72.11754,-1.969373,1.116736,-1.563656,303.789,79.07624,6.996744
72.12852,-1.968804,1.114299,-1.566604,304.4169,80.57098,6.236961
72.15031,-1.969046,1.106639,-1.57117,306.1667,84.39381,4.743438
72.15983,-1.965912,1.10754,-1.568136,308.1267,84.00681,4.802286
72.16789,-1.965912,1.10754,-1.568136,308.1267,84.00681,4.802286
72.17556,-1.964,1.108121,-1.563177,306.7808,81.81474,5.546748
72.18388,-1.963804,1.107571,-1.561528,308.1838,79.9248,6.083634
72.19509,-1.963359,1.108876,-1.562746,308.3238,80.64507,5.530682
72.21599,-1.963046,1.108366,-1.566184,306.7928,83.74333,3.460156
72.22398,-1.963046,1.108366,-1.566184,306.7928,83.74333,3.460156
72.23174,-1.962986,1.108582,-1.564447,307.9254,82.16303,4.786235
72.2393,-1.964302,1.108938,-1.564595,307.2411,82.06601,4.72226
72.25048,-1.964825,1.108434,-1.565798,307.7282,82.16421,4.677915
72.2615,-1.964476,1.108787,-1.564644,307.2493,82.47773,4.242146
72.27264,-1.965323,1.108731,-1.565058,307.4354,82.42284,4.2999
72.28368,-1.965331,1.108402,-1.564973,307.175,82.79756,3.98437
72.29478,-1.965544,1.108349,-1.564861,307.2498,82.51978,4.297204
72.3059,-1.965925,1.108061,-1.564603,307.2707,82.44466,4.411249
72.31712,-1.966007,1.107983,-1.564517,307.222,82.47321,4.431684
72.32809,-1.965977,1.107803,-1.564122,307.2652,82.42651,4.517406
72.33929,-1.965991,1.107658,-1.5639,307.283,82.31489,4.686924
72.36012,-1.965923,1.10759,-1.563907,307.3219,82.30579,4.7061
72.36817,-1.965923,1.10759,-1.563907,307.3219,82.30579,4.7061
72.37572,-1.965778,1.107418,-1.563829,307.2892,82.29435,4.700486
72.38361,-1.965872,1.107417,-1.563918,307.2898,82.24337,4.739829
72.39484,-1.965851,1.107415,-1.563851,307.2657,82.32874,4.653837
72.41573,-1.965896,1.107335,-1.563626,307.2932,82.24435,4.772881
72.42352,-1.965896,1.107335,-1.563626,307.2932,82.24435,4.772881
72.43108,-1.965702,1.107449,-1.563534,307.327,82.17646,4.8323
72.43894,-1.965641,1.107377,-1.563463,307.3497,82.16057,4.836507
72.45012,-1.965645,1.107352,-1.563559,307.3559,82.22603,4.741885
72.46121,-1.965637,1.107333,-1.563617,307.3565,82.27686,4.672761
72.47227,-1.965629,1.107296,-1.563738,307.3394,82.34497,4.568757
72.48335,-1.965628,1.10726,-1.563827,307.3328,82.38454,4.517553
72.49449,-1.965616,1.10727,-1.563843,307.3257,82.39025,4.503651
72.50554,-1.965623,1.10727,-1.563872,307.3329,82.40169,4.487215
72.51668,-1.965681,1.107307,-1.563837,307.3098,82.39165,4.510981
72.52773,-1.965707,1.107267,-1.563778,307.3053,82.37976,4.529318
72.5388,-1.96561,1.107338,-1.563716,307.3146,82.38992,4.544139
72.54996,-1.965552,1.107318,-1.563656,307.3225,82.36294,4.574784
72.56105,-1.965539,1.107371,-1.563679,307.3276,82.37323,4.575872
72.57211,-1.965644,1.107492,-1.563724,307.3234,82.38473,4.555575
72.58331,-1.9658,1.107358,-1.563727,307.3187,82.37762,4.579671
72.59443,-1.965833,1.107439,-1.563789,307.3107,82.3769,4.593684
72.60543,-1.965895,1.107442,-1.563741,307.3075,82.39033,4.585571
72.61665,-1.965853,1.107397,-1.563805,307.307,82.37724,4.596908
72.62775,-1.965852,1.107407,-1.563743,307.31,82.38382,4.592627
72.63876,-1.965802,1.107491,-1.563663,307.3117,82.37441,4.615868
72.64996,-1.965752,1.10739,-1.563634,307.2906,82.37923,4.604108
72.66114,-1.9658,1.107422,-1.563678,307.3017,82.41678,4.555479
72.67227,-1.965928,1.107358,-1.563714,307.302,82.42928,4.539378
72.68328,-1.966091,1.107494,-1.563661,307.3005,82.45407,4.511434
72.69435,-1.966049,1.107453,-1.563726,307.3078,82.45541,4.51725
72.70551,-1.966112,1.107526,-1.563661,307.3018,82.4286,4.547519
72.72667,-1.966265,1.107473,-1.563503,307.3059,82.40543,4.61597
72.73428,-1.966265,1.107473,-1.563503,307.3059,82.40543,4.61597
72.74158,-1.966208,1.107402,-1.563479,307.3313,82.35985,4.704401
72.74976,-1.966128,1.107366,-1.563303,307.3508,82.30107,4.80067
72.76094,-1.966172,1.107449,-1.563192,307.3687,82.23255,4.923573
72.77195,-1.966156,1.107465,-1.563078,307.391,82.15063,5.062248
72.78317,-1.965933,1.107564,-1.562934,307.404,82.08454,5.185864
72.79441,-1.96581,1.107581,-1.562857,307.429,82.02451,5.297499
