time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
80.06677,-1.826399,1.860196,-2.070474,16.18898,82.78187,24.72388
80.08066,-1.825411,1.861002,-2.070663,16.06888,82.89832,24.71154
80.09584,-1.82457,1.861511,-2.070684,16.00659,82.97208,24.7303
80.10467,-1.823267,1.862162,-2.070784,15.91572,83.08018,24.71651
80.11377,-1.8222,1.862633,-2.070861,15.88901,83.15154,24.64955
80.12571,-1.8211,1.863108,-2.070919,15.87844,83.2349,24.59593
80.13609,-1.820114,1.863554,-2.070979,15.85687,83.31129,24.5878
80.14724,-1.818993,1.864022,-2.071004,15.82844,83.34936,24.66802
80.1686,-1.817112,1.864885,-2.071163,15.71706,83.4438,24.75674
80.1773,-1.816048,1.865388,-2.071135,15.69816,83.48563,24.79096
80.18511,-1.815127,1.865724,-2.071043,15.68024,83.52856,24.82355
80.19352,-1.814204,1.866109,-2.070924,15.64863,83.59524,24.82873
80.20284,-1.813088,1.866518,-2.070796,15.60341,83.66184,24.84572
80.21408,-1.811655,1.866972,-2.070355,15.53512,83.7401,24.89108
80.236,-1.808795,1.867898,-2.069642,15.44106,83.85084,24.98029
80.24448,-1.807523,1.868232,-2.069332,15.41462,83.89902,25.02689
80.25265,-1.8063,1.86825,-2.068853,15.47166,83.89685,25.07969
80.26052,-1.805146,1.868397,-2.068421,15.50586,83.89696,25.11304
80.2695,-1.803844,1.868538,-2.067975,15.52495,83.88905,25.13531
80.28067,-1.802123,1.868798,-2.067227,15.54577,83.88231,25.18586
80.29189,-1.800331,1.869177,-2.066484,15.57038,83.91028,25.20321
80.30284,-1.798202,1.869485,-2.065588,15.5966,83.98185,25.18272
80.31397,-1.796174,1.869819,-2.064749,15.60861,84.04386,25.15162
80.325,-1.793965,1.870281,-2.063909,15.62135,84.10824,25.07498
80.33611,-1.791531,1.870775,-2.062838,15.60551,84.16714,24.96539
80.34724,-1.789073,1.871342,-2.061565,15.56481,84.20332,24.88327
80.35838,-1.786416,1.87188,-2.060324,15.51064,84.21647,24.83915
80.36952,-1.783861,1.872385,-2.059058,15.3961,84.2287,24.84153
80.3908,-1.77843,1.873299,-2.056566,15.19947,84.2393,24.87426
80.40002,-1.775901,1.873618,-2.055449,15.13871,84.26078,24.88783
80.40891,-1.773256,1.873809,-2.054289,15.13704,84.31108,24.9041
80.41664,-1.771001,1.874035,-2.053343,15.1079,84.34254,24.90874
80.43477,-1.765473,1.874163,-2.051177,15.08801,84.48651,24.8255
80.44329,-1.762548,1.874187,-2.050059,15.10211,84.5667,24.81983
80.45107,-1.759937,1.874265,-2.049054,15.11741,84.63563,24.8561
80.45929,-1.757165,1.87429,-2.047985,15.13778,84.6829,24.90996
80.46945,-1.753581,1.874402,-2.046614,15.13255,84.74409,24.9599
80.48064,-1.74949,1.874542,-2.045029,15.10465,84.77934,25.01097
80.49178,-1.745247,1.874753,-2.043467,15.06854,84.83727,25.07156
80.50275,-1.74078,1.874771,-2.0419,15.05779,84.94328,25.15181
80.51397,-1.736302,1.874788,-2.040289,15.09737,85.08499,25.22469
80.52512,-1.731765,1.874746,-2.03914,15.16843,85.27959,25.25945
80.53609,-1.72714,1.874836,-2.037765,15.26142,85.51398,25.2601
80.55717,-1.718086,1.874931,-2.035086,15.41026,85.98883,25.32945
80.56564,-1.714156,1.875238,-2.033954,15.47306,86.23012,25.43191
80.57362,-1.710636,1.875272,-2.032892,15.53234,86.41599,25.50014
80.58184,-1.706949,1.875177,-2.03211,15.62758,86.58588,25.59445
80.59163,-1.702541,1.875395,-2.030807,15.73672,86.74737,25.70483
80.60275,-1.697297,1.875486,-2.028888,15.87632,86.85083,25.78794
80.61382,-1.692127,1.875762,-2.027012,15.96786,86.9255,25.74266
80.62487,-1.687033,1.876102,-2.025065,16.03587,86.97432,25.70458
80.63602,-1.681656,1.876421,-2.022962,16.10016,86.95524,25.66259
80.64702,-1.676287,1.876801,-2.020794,16.19217,86.87988,25.66618
80.65845,-1.670837,1.877087,-2.01861,16.29444,86.87665,25.72281
80.66911,-1.665883,1.877425,-2.016554,16.40775,86.90434,25.76011
80.68043,-1.660597,1.87782,-2.014526,16.53483,86.96432,25.78397
80.69132,-1.655525,1.878365,-2.01241,16.69038,87.11205,25.85944
80.70244,-1.650408,1.878945,-2.010588,16.80081,87.26758,25.91854
80.71358,-1.645432,1.879545,-2.008925,16.86773,87.54083,26.03549
80.7247,-1.640036,1.880507,-2.007044,16.90422,87.84057,26.14745
80.74564,-1.630733,1.882298,-2.004912,16.78017,88.84205,26.30792
80.75377,-1.62719,1.883007,-2.004091,16.76014,89.3032,26.32309
80.76134,-1.624117,1.883561,-2.003336,16.77396,89.76617,26.28762
80.76901,-1.620968,1.884164,-2.002658,16.79811,90.23373,26.23925
80.78016,-1.616678,1.884934,-2.001674,16.83962,90.8454,26.2202
80.79104,-1.61243,1.885683,-2.000662,16.88318,91.43668,26.27291
80.80215,-1.608516,1.88629,-1.999598,16.90275,91.96345,26.45313
80.81315,-1.604526,1.8869,-1.998269,16.92988,92.39444,26.68647
80.82441,-1.600793,1.887448,-1.996789,16.97508,92.73651,26.92093
80.83533,-1.597234,1.887748,-1.995196,17.05498,92.9248,27.20954
80.8465,-1.593579,1.888037,-1.993752,17.14931,93.2473,27.4196
80.85752,-1.59031,1.888341,-1.992205,17.27777,93.54067,27.66245
80.86877,-1.586975,1.888577,-1.990796,17.41243,93.86449,27.85531
80.87991,-1.583644,1.888886,-1.989394,17.51563,94.20882,28.01974
80.89088,-1.580405,1.889319,-1.987989,17.54524,94.5214,28.11106
80.90198,-1.577337,1.889869,-1.986329,17.51767,94.7869,28.12934
80.91317,-1.574053,1.890569,-1.984617,17.46797,94.95995,28.1106
80.9243,-1.57097,1.891402,-1.982823,17.37965,95.053,28.09209
80.93529,-1.567896,1.891944,-1.980946,17.31825,95.13275,28.10986
80.94637,-1.564686,1.892513,-1.978904,17.23451,95.07174,28.11055
