time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
139.9464,-1.783395,2.006293,-1.519894,352.7568,92.81657,336.7353
139.9718,-1.782815,2.006471,-1.519447,352.7746,92.66137,336.4651
139.9812,-1.782397,2.006821,-1.519086,352.7507,92.51825,336.3367
139.9917,-1.782001,2.007045,-1.518742,352.7184,92.38091,336.236
140.0119,-1.781408,2.007798,-1.51786,352.6201,92.1004,336.096
140.0203,-1.780994,2.008309,-1.5176,352.5728,91.99181,336.1028
140.028,-1.780802,2.008693,-1.517338,352.5131,91.91821,336.0728
140.0362,-1.780467,2.009058,-1.517079,352.4638,91.84029,336.0349
140.0464,-1.779978,2.009722,-1.51669,352.334,91.76792,336.0316
140.0575,-1.779386,2.010252,-1.516278,352.2025,91.72183,336.0104
140.0697,-1.778688,2.010779,-1.515991,352.0924,91.68699,335.9464
140.0898,-1.777355,2.011559,-1.515518,351.898,91.68099,335.7933
140.0983,-1.776815,2.011898,-1.515334,351.8252,91.69112,335.7223
140.1112,-1.776369,2.012036,-1.515221,351.7503,91.68849,335.6519
140.1206,-1.775411,2.012448,-1.515057,351.6589,91.72799,335.5463
140.1282,-1.774613,2.012605,-1.514938,351.6032,91.75978,335.5213
140.1362,-1.773933,2.012805,-1.514837,351.5524,91.7741,335.4934
140.1464,-1.773062,2.01304,-1.514659,351.4719,91.802,335.4547
140.1673,-1.771071,2.013449,-1.514433,351.3073,91.83755,335.4104
140.1756,-1.7702,2.013653,-1.514228,351.2418,91.85368,335.3841
140.1832,-1.769257,2.013711,-1.51413,351.1696,91.88336,335.392
140.1912,-1.768289,2.013696,-1.514012,351.1153,91.90416,335.3721
140.2019,-1.767067,2.01378,-1.513802,351.0176,91.95127,335.3651
140.213,-1.765556,2.013701,-1.513666,350.9389,91.97382,335.3431
140.2241,-1.764156,2.013678,-1.513556,350.855,92.00341,335.3166
140.2353,-1.76271,2.013555,-1.513341,350.807,92.00504,335.3246
140.2563,-1.759532,2.01324,-1.513025,350.7437,92.01749,335.3706
140.2684,-1.75818,2.013035,-1.512879,350.7146,92.02283,335.3915
140.2765,-1.756249,2.01271,-1.512719,350.6859,92.05176,335.4143
140.2842,-1.754918,2.012532,-1.512588,350.6757,92.0798,335.4283
140.2922,-1.753534,2.012193,-1.512466,350.6598,92.0937,335.4507
140.3019,-1.751826,2.011893,-1.512355,350.6444,92.10162,335.5076
140.3229,-1.748009,2.011177,-1.512162,350.6732,92.14851,335.6259
140.3311,-1.746252,2.010648,-1.511974,350.7177,92.19094,335.6958
140.3389,-1.744785,2.010322,-1.511863,350.7378,92.21891,335.7484
140.356,-1.741105,2.009464,-1.51163,350.7997,92.31487,335.8488
140.3644,-1.739318,2.009074,-1.511496,350.8203,92.35106,335.8998
140.372,-1.737546,2.008687,-1.511287,350.8224,92.38413,335.9603
140.38,-1.735685,2.008278,-1.511145,350.8404,92.43199,336.017
140.3907,-1.733222,2.007656,-1.510992,350.8739,92.50027,336.0839
140.4019,-1.730371,2.007035,-1.510759,350.9482,92.58987,336.161
140.4129,-1.72763,2.006212,-1.510555,351.0373,92.69586,336.2215
140.4277,-1.724642,2.005037,-1.510549,351.1469,92.83359,336.2793
140.4356,-1.721443,2.004031,-1.510131,351.2542,92.96999,336.3758
140.4462,-1.718574,2.003175,-1.509797,351.3663,93.09181,336.4342
140.4671,-1.712531,2.001168,-1.50892,351.5987,93.30968,336.4899
140.4754,-1.709827,2.000258,-1.508593,351.7043,93.40451,336.5335
140.4829,-1.707588,1.999418,-1.508372,351.7888,93.50494,336.5807
140.491,-1.705074,1.998574,-1.507998,351.8732,93.58874,336.6277
140.5019,-1.701369,1.997385,-1.507499,351.9855,93.70023,336.6974
140.5129,-1.697525,1.996276,-1.506886,352.0857,93.80916,336.7964
140.5239,-1.693726,1.995053,-1.506173,352.1747,93.88278,336.9081
140.5351,-1.689768,1.99402,-1.505343,352.2643,93.93487,337.0666
140.5462,-1.685815,1.992761,-1.504477,352.3864,93.98033,337.1678
140.5572,-1.681623,1.991246,-1.503412,352.5819,94.03154,337.174
140.5781,-1.674044,1.988328,-1.501358,353.1748,94.08216,337.0305
140.5902,-1.671015,1.987276,-1.50043,353.4938,94.09052,336.9756
140.5981,-1.66665,1.986019,-1.499078,353.8523,94.08081,336.961
140.6057,-1.66377,1.985219,-1.498261,354.0721,94.06332,336.9677
140.6138,-1.660689,1.98462,-1.497376,354.2587,94.00105,337.0191
140.6239,-1.656785,1.984376,-1.496435,354.3689,93.88602,337.2038
140.6447,-1.648913,1.983733,-1.49453,354.3994,93.79831,337.5945
140.6535,-1.645639,1.983592,-1.493755,354.4384,93.82999,337.7237
140.6612,-1.642633,1.983505,-1.493171,354.3453,94.00452,337.7511
140.6691,-1.639629,1.983078,-1.492617,354.3469,94.18185,337.7607
140.6794,-1.635836,1.982371,-1.491969,354.3623,94.46108,337.6867
140.7003,-1.628,1.980682,-1.490338,354.4376,94.91161,337.4407
140.7087,-1.624867,1.980017,-1.48958,354.4691,95.04042,337.3423
140.7166,-1.621812,1.979378,-1.488871,354.5099,95.09362,337.2858
140.7245,-1.61868,1.978679,-1.487805,354.5694,95.1077,337.2774
140.7351,-1.614622,1.977666,-1.486516,354.6556,95.10034,337.3114
140.7598,-1.606426,1.975568,-1.483495,354.9126,94.7434,337.5755
140.768,-1.601818,1.974605,-1.481891,355.0195,94.53007,337.7046
140.7761,-1.598711,1.973806,-1.480587,355.0782,94.39306,337.7839
140.7836,-1.595875,1.9732,-1.479257,355.0996,94.26174,337.8503
140.7916,-1.592786,1.97253,-1.477933,355.1172,94.15235,337.8955
140.8016,-1.58906,1.971644,-1.47629,355.1542,94.02964,337.949
140.8225,-1.581684,1.969919,-1.472855,355.2122,93.869,338.0157
140.8306,-1.578966,1.969172,-1.471395,355.2411,93.81976,338.027
140.8381,-1.57632,1.968515,-1.470094,355.2859,93.7496,338.0439
140.8457,-1.5737,1.967833,-1.468648,355.3534,93.65627,338.0671
140.857,-1.570021,1.966423,-1.466534,355.4634,93.47964,338.1392
