time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
139.9464,-2.292269,2.001953,-1.783692,355.3941,266.9785,157.1987
139.9718,-2.290603,2.001191,-1.784351,355.7964,267.0386,157.1434
139.9812,-2.289622,2.001044,-1.784696,355.8357,267.0199,157.1754
139.9917,-2.288586,2.000748,-1.784996,355.8438,267.0659,157.1447
140.0119,-2.286596,2.00012,-1.785345,355.7878,267.2063,157.032
140.0203,-2.286596,2.00012,-1.785345,355.7878,267.2063,157.032
140.028,-2.285469,1.999824,-1.785533,355.8312,267.2847,157.0497
140.0362,-2.284337,1.999388,-1.785626,355.8473,267.444,156.8681
140.0464,-2.282957,1.99871,-1.785681,356.0454,267.4734,156.8909
140.0575,-2.28168,1.998187,-1.785569,356.2104,267.5873,156.8017
140.0697,-2.280141,1.997521,-1.785168,356.4465,267.7695,156.7121
140.0898,-2.277082,1.995931,-1.784364,357.0102,268.1895,156.5523
140.0983,-2.277082,1.995931,-1.784364,357.0102,268.1895,156.5523
140.1112,-2.274018,1.994651,-1.783551,357.5624,268.4565,156.4554
140.1206,-2.274018,1.994651,-1.783551,357.5624,268.4565,156.4554
140.1282,-2.272543,1.993928,-1.783085,357.823,268.526,156.4595
140.1362,-2.27105,1.993424,-1.782759,358.0378,268.6281,156.4579
140.1464,-2.269228,1.992777,-1.782117,358.1659,268.8677,156.4636
140.1673,-2.265584,1.991217,-1.781083,358.4402,269.3132,156.4669
140.1756,-2.265584,1.991217,-1.781083,358.4402,269.3132,156.4669
140.1832,-2.263747,1.990306,-1.780427,358.5771,269.4482,156.4428
140.1912,-2.261802,1.989371,-1.779684,358.7552,269.5609,156.4031
140.2019,-2.259793,1.988603,-1.77883,358.9894,269.7109,156.3646
140.213,-2.257658,1.987916,-1.778043,359.3055,269.8911,156.2956
140.2241,-2.255666,1.987129,-1.777148,359.6699,270.0966,156.2011
140.2353,-2.25353,1.986352,-1.776321,359.9926,270.348,156.1057
140.2563,-2.249193,1.985528,-1.77448,0.481552,270.7096,155.8317
140.2684,-2.24703,1.98523,-1.77358,0.623877,270.7937,155.7169
140.2765,-2.244681,1.985305,-1.772316,0.595334,270.8907,155.6034
140.2842,-2.244681,1.985305,-1.772316,0.595334,270.8907,155.6034
140.2922,-2.242319,1.985223,-1.771203,0.501365,271.1657,155.4807
140.3019,-2.240093,1.985127,-1.769991,0.396919,271.4732,155.3912
140.3229,-2.235131,1.98514,-1.767586,359.8864,272.0974,155.329
140.3311,-2.235131,1.98514,-1.767586,359.8864,272.0974,155.329
140.3389,-2.2327,1.985019,-1.766685,359.7206,272.2796,155.3377
140.356,-2.227895,1.984769,-1.764523,359.7125,272.688,155.3423
140.3644,-2.227895,1.984769,-1.764523,359.7125,272.688,155.3423
140.372,-2.225501,1.984721,-1.763484,359.9271,272.8883,155.3083
140.38,-2.223042,1.984721,-1.762097,0.191279,273.0179,155.2395
140.3907,-2.220651,1.984897,-1.760888,0.378826,273.1534,155.1593
140.4019,-2.218399,1.984932,-1.759424,0.55278,273.3425,155.0469
140.4129,-2.215647,1.985347,-1.757835,0.546592,273.6169,154.8941
140.4277,-2.212817,1.98572,-1.756446,0.27487,273.8586,154.7914
140.4356,-2.209805,1.986044,-1.755026,359.852,273.9999,154.6701
140.4462,-2.206879,1.986373,-1.753762,359.5468,274.1353,154.5548
140.4671,-2.200763,1.986786,-1.751133,359.143,274.62,154.285
140.4754,-2.200763,1.986786,-1.751133,359.143,274.62,154.285
140.4829,-2.197578,1.986796,-1.749395,359.1189,274.9041,154.0368
140.491,-2.194482,1.986958,-1.747883,359.1249,275.1383,153.7982
140.5019,-2.191377,1.987065,-1.746147,359.0979,275.3705,153.5432
140.5129,-2.18821,1.987296,-1.744437,359.0773,275.6252,153.3006
140.5239,-2.184975,1.987541,-1.742247,358.8616,275.7343,153.1205
140.5351,-2.182019,1.987667,-1.740005,358.4095,275.6851,152.9755
140.5462,-2.179336,1.987714,-1.737862,357.7058,275.7962,152.9995
140.5572,-2.176665,1.987921,-1.736389,357.4279,275.9125,153.326
140.5781,-2.172563,1.989861,-1.73486,357.6701,275.2359,153.9511
140.5902,-2.171199,1.991851,-1.734951,358.089,275.5482,154.3048
140.5981,-2.171199,1.991851,-1.734951,358.089,275.5482,154.3048
140.6057,-2.169116,1.993998,-1.735115,357.9448,276.2326,154.5471
140.6138,-2.166923,1.995604,-1.734684,357.4707,276.1818,154.6509
140.6239,-2.164749,1.997592,-1.733841,356.6387,275.7883,154.6296
140.6447,-2.16026,2.000447,-1.731306,354.7401,275.3781,154.5342
140.6535,-2.16026,2.000447,-1.731306,354.7401,275.3781,154.5342
140.6612,-2.157677,2.001558,-1.729677,353.9438,275.3254,154.369
140.6691,-2.155088,2.002817,-1.72791,353.35,275.3388,154.2055
140.6794,-2.152241,2.003458,-1.725213,353.0073,275.5186,154.0671
140.7003,-2.146338,2.004569,-1.720463,352.8214,276.1495,153.6124
140.7087,-2.146338,2.004569,-1.720463,352.8214,276.1495,153.6124
140.7166,-2.143652,2.005568,-1.718302,352.6583,276.4229,153.4314
140.7245,-2.141156,2.006385,-1.716277,352.5763,276.5361,153.4098
140.7351,-2.13866,2.007695,-1.71441,352.368,276.5103,153.4204
140.7598,-2.133204,2.009856,-1.711895,351.9268,276.2957,153.8313
140.768,-2.130143,2.011055,-1.710648,351.4685,276.2796,154.0036
140.7761,-2.127085,2.011817,-1.709701,350.8853,276.2187,154.0796
140.7836,-2.127085,2.011817,-1.709701,350.8853,276.2187,154.0796
140.7916,-2.124196,2.012455,-1.708316,350.436,276.1309,153.9701
140.8016,-2.121225,2.01305,-1.706998,350.0767,276.0316,153.856
140.8225,-2.114932,2.013554,-1.703463,349.6286,275.9698,153.3667
140.8306,-2.114932,2.013554,-1.703463,349.6286,275.9698,153.3667
140.8381,-2.111501,2.013554,-1.701394,349.5286,276.1163,153.0426
140.8457,-2.107598,2.013168,-1.698952,349.5475,276.3567,152.7605
140.857,-2.103721,2.013255,-1.696917,349.5633,276.4834,152.5379
140.8779,-2.09495,2.013254,-1.692988,349.8846,276.5074,152.2367
140.8859,-2.09495,2.013254,-1.692988,349.8846,276.5074,152.2367
140.8972,-2.090676,2.013578,-1.691505,349.851,276.2734,152.2457
140.9111,-2.081885,2.014429,-1.688911,349.3196,275.8666,152.397
140.919,-2.081885,2.014429,-1.688911,349.3196,275.8666,152.397
140.9266,-2.077144,2.014682,-1.687679,348.9552,275.8471,152.4585
140.9461,-2.067411,2.014956,-1.684568,348.3859,276.0714,152.333
140.9566,-2.062275,2.014863,-1.683167,348.2045,275.995,152.3157
140.9677,-2.057259,2.01476,-1.681679,348.0425,275.7983,152.3562
140.9788,-2.052217,2.014489,-1.680058,348.0104,275.441,152.4884
140.9901,-2.047354,2.014304,-1.678548,348.0667,275.1499,152.6374
141.0011,-2.042314,2.014057,-1.676912,348.2811,274.8189,152.8156
141.0122,-2.037671,2.013787,-1.675378,348.8672,274.3652,153.0404
141.0233,-2.0328,2.013641,-1.673757,349.5048,274.027,153.1742
141.0343,-2.02823,2.013244,-1.672112,349.9388,274.0012,153.1453
141.0455,-2.02372,2.012946,-1.670314,350.1069,274.0348,153.1407
141.0702,-2.015214,2.012217,-1.66631,349.891,274.2201,153.238
141.078,-2.011296,2.01194,-1.664043,349.7874,274.2214,153.44
141.0856,-2.011296,2.01194,-1.664043,349.7874,274.2214,153.44
141.0926,-2.007193,2.011635,-1.661976,349.8039,274.2059,153.5993
141.1009,-2.003399,2.01133,-1.659387,349.9153,274.2132,154.0874
141.1121,-1.99975,2.010958,-1.657166,350.1265,274.1679,154.5239
141.1232,-1.995965,2.010352,-1.655141,350.3089,274.1208,154.8631
141.1442,-1.988557,2.007816,-1.651233,351.1131,274.3791,155.5746
141.1518,-1.988557,2.007816,-1.651233,351.1131,274.3791,155.5746
141.1593,-1.985056,2.006584,-1.649858,351.4955,274.6937,155.666
141.1775,-1.978582,2.004968,-1.647043,352.8836,274.6215,155.8273
141.1851,-1.978582,2.004968,-1.647043,352.8836,274.6215,155.8273
141.1926,-1.975485,2.004821,-1.646142,353.6974,274.4023,155.7831
141.2009,-1.972069,2.004476,-1.645137,354.5081,274.1587,155.633
141.216,-1.968579,2.004246,-1.644042,355.2855,273.8704,155.3916
141.233,-1.961057,2.003903,-1.641138,356.2501,273.4305,154.6196
141.2405,-1.961057,2.003903,-1.641138,356.2501,273.4305,154.6196
141.2479,-1.95682,2.004039,-1.639232,355.4503,273.9299,154.1185
141.2566,-1.95272,2.003381,-1.637733,354.3969,274.4087,153.7793
141.2677,-1.948643,2.002738,-1.636352,353.185,274.5945,153.5393
141.2787,-1.944707,2.001518,-1.635445,352.2553,274.5496,153.5212
141.29,-1.940962,2.000427,-1.634625,351.9945,274.4886,153.6246
141.3011,-1.937438,1.998915,-1.634054,352.4867,274.3544,153.7928
141.3123,-1.933874,1.99735,-1.63338,353.2318,274.2458,153.9648
141.3332,-1.926553,1.993111,-1.633439,356.741,273.848,154.5532
141.3409,-1.926553,1.993111,-1.633439,356.741,273.848,154.5532
141.3487,-1.922663,1.990648,-1.633554,358.1074,273.4836,154.7303
141.3566,-1.918908,1.988114,-1.633714,359.4219,273.0119,154.8716
141.3716,-1.914919,1.985768,-1.634154,0.38253,272.6902,154.9398
141.3892,-1.906694,1.980571,-1.635512,1.074542,272.1763,154.9585
141.3974,-1.906694,1.980571,-1.635512,1.074542,272.1763,154.9585
141.4049,-1.902334,1.978191,-1.63623,1.090366,271.8631,154.9078
141.4229,-1.893575,1.973422,-1.637926,1.22965,271.2711,154.8506
141.4319,-1.889044,1.970859,-1.638981,1.230509,270.9584,154.9151
141.4396,-1.889044,1.970859,-1.638981,1.230509,270.9584,154.9151
141.4475,-1.884632,1.968381,-1.640174,1.146037,270.5456,155.0465
141.4568,-1.880155,1.965872,-1.641207,1.057922,270.1474,155.1822
141.468,-1.875836,1.963252,-1.642661,0.908563,269.7477,155.3823
141.4888,-1.867034,1.957847,-1.645173,1.209988,268.9869,155.7652
141.4968,-1.867034,1.957847,-1.645173,1.209988,268.9869,155.7652
141.5049,-1.862724,1.954905,-1.646245,1.86894,268.7113,155.8875
141.5223,-1.854354,1.949654,-1.648163,3.400435,268.4979,156.0547
141.5344,-1.850241,1.947365,-1.649143,4.463104,268.4546,156.1731
141.5426,-1.846314,1.945258,-1.650128,5.616007,268.3659,156.2919
141.5502,-1.846314,1.945258,-1.650128,5.616007,268.3659,156.2919
