time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.93642,-2.068632,1.10276,-1.765817,300.7428,115.4876,343.8754
35.95669,-2.068454,1.102671,-1.765772,300.7782,115.4174,343.9468
35.96576,-2.068384,1.102673,-1.765713,300.799,115.4078,343.9733
35.97425,-2.068384,1.102673,-1.765713,300.799,115.4078,343.9733
35.98188,-2.068326,1.102649,-1.76563,300.7982,115.3483,344.0507
35.99106,-2.068323,1.102572,-1.765691,300.8001,115.2983,344.0986
36.00163,-2.06829,1.102588,-1.765742,300.7947,115.383,344.0262
36.01271,-2.06828,1.102591,-1.765719,300.8067,115.3749,344.0381
36.03397,-2.068164,1.102642,-1.765884,300.8883,115.4944,343.8988
36.04223,-2.068164,1.102642,-1.765884,300.8883,115.4944,343.8988
36.05543,-2.067921,1.102583,-1.766098,301.0352,115.736,343.6676
36.06865,-2.06787,1.102519,-1.766163,301.0786,115.7219,343.6792
36.07692,-2.067783,1.10247,-1.766115,301.1215,115.8442,343.588
36.0843,-2.067783,1.10247,-1.766115,301.1215,115.8442,343.588
36.09209,-2.06773,1.102423,-1.766104,301.1633,115.8191,343.6383
36.10163,-2.067674,1.102431,-1.766187,301.2431,115.8926,343.5999
36.11258,-2.067611,1.102384,-1.766253,301.3015,115.9305,343.5866
36.13365,-2.067387,1.102384,-1.766469,301.4532,116.0082,343.5697
36.14188,-2.067387,1.102384,-1.766469,301.4532,116.0082,343.5697
36.14917,-2.067135,1.102406,-1.766602,301.5123,116.0235,343.6006
36.1571,-2.066964,1.102387,-1.76667,301.5967,116.0792,343.6262
36.16823,-2.066818,1.102345,-1.766667,301.6456,115.9173,343.8598
36.17935,-2.066697,1.102251,-1.76675,301.7275,116.0215,343.8157
36.1904,-2.066544,1.102274,-1.766844,301.8459,116.0489,343.8277
36.20169,-2.066406,1.102224,-1.766997,301.9508,116.0362,343.8539
36.21654,-2.066258,1.102201,-1.767129,302.0714,116.1097,343.8189
36.23426,-2.065841,1.102183,-1.767277,302.227,116.0059,344.0317
36.24234,-2.065841,1.102183,-1.767277,302.227,116.0059,344.0317
36.24987,-2.065901,1.102084,-1.767458,302.2555,116.1061,343.9734
36.25768,-2.065865,1.102055,-1.767425,302.2695,116.1209,343.9826
36.26839,-2.065822,1.102005,-1.767376,302.2758,116.115,344.0352
36.27932,-2.065836,1.101995,-1.767383,302.2849,116.0912,344.0924
36.29051,-2.065823,1.101963,-1.767359,302.2644,116.0079,344.2222
36.31151,-2.065673,1.101874,-1.767218,302.2185,115.7949,344.5534
36.31973,-2.065673,1.101874,-1.767218,302.2185,115.7949,344.5534
36.32737,-2.065664,1.101811,-1.767134,302.2266,115.7218,344.6764
36.34494,-2.065648,1.101767,-1.767012,302.2129,115.6291,344.8594
36.35334,-2.065648,1.101767,-1.767012,302.2129,115.6291,344.8594
36.36474,-2.065791,1.101752,-1.766906,302.1235,115.5087,345.0913
36.37864,-2.065754,1.101807,-1.766821,302.0907,115.41,345.2743
36.38701,-2.065754,1.101807,-1.766821,302.0907,115.41,345.2743
36.39465,-2.065822,1.10174,-1.766743,302.0705,115.3014,345.45
36.40262,-2.065791,1.101752,-1.766711,302.072,115.2466,345.5404
36.41297,-2.065737,1.101767,-1.766741,302.1306,115.2758,345.5536
36.42388,-2.065579,1.101836,-1.766746,302.1651,115.1924,345.6656
36.44503,-2.065521,1.101885,-1.766656,302.2416,115.1855,345.7553
36.45336,-2.065521,1.101885,-1.766656,302.2416,115.1855,345.7553
36.46103,-2.065456,1.101909,-1.766614,302.2831,115.1417,345.845
36.46914,-2.06549,1.101978,-1.766691,302.356,115.2224,345.8267
36.47955,-2.065513,1.102052,-1.766757,302.4862,115.244,345.8461
36.49055,-2.065254,1.102044,-1.766863,302.5906,115.2201,345.9542
36.50168,-2.06502,1.102242,-1.766892,302.7473,115.112,346.1369
36.5227,-2.064384,1.102433,-1.766932,303.0774,114.9133,346.4798
36.53485,-2.063823,1.10265,-1.766733,303.4092,114.8286,346.6651
36.543,-2.063057,1.102833,-1.766561,303.7531,114.4127,347.2429
36.55068,-2.063057,1.102833,-1.766561,303.7531,114.4127,347.2429
36.55864,-2.062422,1.103053,-1.766386,304.1257,114.0996,347.7009
36.56842,-2.061934,1.103055,-1.766622,304.5168,113.9614,347.9501
36.57944,-2.061532,1.103241,-1.766751,304.8811,113.8258,348.108
36.60049,-2.060761,1.103547,-1.767001,305.4203,113.8383,348.16
36.60875,-2.060761,1.103547,-1.767001,305.4203,113.8383,348.16
36.61635,-2.0606,1.103616,-1.76705,305.622,113.7608,348.2267
36.62431,-2.060285,1.103618,-1.76713,305.8201,113.8159,348.1869
36.6349,-2.060037,1.103549,-1.767232,306.0236,113.8438,348.1321
36.64598,-2.059824,1.103644,-1.767306,306.2346,113.891,348.0846
36.65707,-2.059578,1.10363,-1.767558,306.484,114.0397,347.894
36.66814,-2.059374,1.103636,-1.767913,306.7633,114.2019,347.6726
36.67932,-2.059135,1.103673,-1.76834,307.1461,114.5832,347.2183
36.69428,-2.058831,1.103676,-1.7689,307.5323,114.9108,346.7916
36.70207,-2.058612,1.10376,-1.769487,307.929,115.22,346.3891
36.71251,-2.058104,1.103896,-1.770056,308.4251,115.5419,345.9953
36.72371,-2.057443,1.104138,-1.770365,308.9479,115.5875,345.9228
36.73476,-2.056596,1.104283,-1.770421,309.4764,115.1695,346.3199
36.75575,-2.054837,1.104705,-1.770737,310.7974,114.8425,346.78
36.76377,-2.054837,1.104705,-1.770737,310.7974,114.8425,346.78
36.77135,-2.053795,1.105033,-1.770983,311.6083,114.6208,347.0504
36.7791,-2.052618,1.105323,-1.771435,312.5571,114.4987,347.2029
36.79014,-2.051235,1.105591,-1.772024,313.7338,114.3117,347.4171
36.80122,-2.049212,1.106062,-1.772525,315.1865,114.056,347.7047
36.81231,-2.047053,1.106434,-1.773007,316.6931,113.7191,348.0387
36.82333,-2.043985,1.107024,-1.773741,318.883,113.4716,348.3332
36.83485,-2.040684,1.107589,-1.774382,321.125,113.0226,348.7836
36.84928,-2.036266,1.108322,-1.775311,324.308,112.3717,349.4481
36.85679,-2.031008,1.108863,-1.776407,327.9786,112.0076,349.9342
36.8679,-2.024877,1.109521,-1.777736,332.2945,111.5159,350.5925
36.8888,-2.010959,1.111187,-1.780767,342.026,111.0135,351.7618
36.89633,-2.010959,1.111187,-1.780767,342.026,111.0135,351.7618
36.90388,-2.002463,1.113266,-1.782442,347.6324,111.2033,352.2536
36.91204,-1.993883,1.117338,-1.784051,352.4769,111.3361,352.8647
36.92336,-1.984452,1.124354,-1.786002,355.6628,111.6273,353.712
36.94427,-1.960808,1.142637,-1.788548,358.418,112.3355,355.5634
36.952,-1.960808,1.142637,-1.788548,358.418,112.3355,355.5634
36.95963,-1.948121,1.151202,-1.790232,358.978,112.5794,356.3679
36.96762,-1.930341,1.158305,-1.795599,356.6289,114.9124,357.7386
36.97879,-1.911355,1.165976,-1.801242,354.1169,117.4239,359.8258
36.98991,-1.884529,1.170023,-1.805684,349.0185,117.213,2.535413
37.00477,-1.862096,1.17489,-1.8099,346.1342,116.7243,3.800957
37.02242,-1.810081,1.17259,-1.817185,340.3232,115.1943,4.329001
37.03028,-1.810081,1.17259,-1.817185,340.3232,115.1943,4.329001
37.03766,-1.784227,1.171231,-1.821143,337.9174,115.3152,3.751738
37.05544,-1.726718,1.167966,-1.829036,332.4515,115.2463,0.308338
37.06305,-1.726718,1.167966,-1.829036,332.4515,115.2463,0.308338
37.07066,-1.695765,1.164519,-1.832433,329.1198,114.6458,358.4973
37.07868,-1.664508,1.161631,-1.835822,325.5698,114.4173,356.7214
37.08993,-1.633647,1.159607,-1.839382,321.9834,114.4607,355.0449
37.10095,-1.601514,1.158972,-1.842266,318.2877,114.6971,353.3951
37.11211,-1.56947,1.158194,-1.846066,314.779,115.0922,351.6856
37.13293,-1.506721,1.158026,-1.852779,308.1314,116.0569,348.1918
37.14064,-1.506721,1.158026,-1.852779,308.1314,116.0569,348.1918
37.15238,-1.478243,1.158862,-1.856119,305.7701,115.8128,346.706
37.16679,-1.422168,1.160325,-1.861466,302.9276,115.917,343.4235
37.17497,-1.422168,1.160325,-1.861466,302.9276,115.917,343.4235
37.18242,-1.395176,1.159962,-1.863645,302.0816,115.3954,342.5598
37.19022,-1.371394,1.159897,-1.86593,302.6374,113.4677,343.3449
37.20124,-1.348828,1.160249,-1.866779,303.379,110.8638,345.0139
37.21217,-1.32888,1.160632,-1.867316,303.6753,108.4649,346.5777
37.22337,-1.311277,1.162212,-1.867597,303.8974,106.3976,347.9868
37.24427,-1.282512,1.164873,-1.868121,303.1647,104.8869,348.5257
37.25222,-1.282512,1.164873,-1.868121,303.1647,104.8869,348.5257
37.26001,-1.270056,1.165522,-1.868595,302.8335,105.7631,347.0974
37.26772,-1.256799,1.1659,-1.869008,302.685,106.0626,346.2177
37.27903,-1.246261,1.164758,-1.869509,302.9975,106.69,345.1729
37.29014,-1.235211,1.163901,-1.87003,303.4626,106.7425,344.7424
37.30124,-1.226261,1.161854,-1.87032,304.3006,106.6953,344.6448
37.31599,-1.218677,1.160576,-1.870547,304.854,106.0114,345.2281
37.32385,-1.210617,1.159338,-1.870141,305.028,105.2328,345.8618
37.33489,-1.206128,1.15841,-1.869366,304.6584,103.9101,347.0891
37.34561,-1.199211,1.156843,-1.868626,304.5782,103.0582,347.7151
37.35682,-1.194224,1.155651,-1.867267,304.3856,101.7343,348.575
37.36792,-1.189227,1.1537,-1.866571,304.2163,101.0772,348.6475
37.37899,-1.184157,1.151448,-1.865579,304.2179,100.6631,348.4248
37.39983,-1.17549,1.146675,-1.864031,304.766,100.4464,347.7422
37.40784,-1.17549,1.146675,-1.864031,304.766,100.4464,347.7422
37.41584,-1.171773,1.144341,-1.86335,304.9884,100.1959,347.7058
37.42385,-1.168181,1.14196,-1.862883,305.3088,99.70377,348.0778
37.43459,-1.164752,1.139172,-1.861842,305.6675,99.13605,348.5224
37.44576,-1.162269,1.135809,-1.861005,306.3554,98.70591,348.9639
37.45791,-1.159345,1.132766,-1.860453,307.1328,98.85907,348.6837
37.47162,-1.156926,1.129466,-1.859667,307.9323,99.26028,348.0687
37.48115,-1.15639,1.125664,-1.858582,309.1243,99.96606,346.8914
37.50016,-1.156303,1.118972,-1.855826,310.1552,98.89521,346.8906
37.50866,-1.156303,1.118972,-1.855826,310.1552,98.89521,346.8906
37.51642,-1.157346,1.115797,-1.854381,310.5186,97.77001,347.4607
37.52471,-1.158571,1.112265,-1.853335,310.8957,96.7233,348.1278
37.53455,-1.159571,1.108592,-1.852539,311.5516,96.14104,348.4578
37.54562,-1.161248,1.10457,-1.852057,312.5589,95.92898,348.6281
37.55683,-1.162308,1.104409,-1.849775,313.6341,96.5542,349.1918
37.57784,-1.168024,1.106435,-1.85377,299.3553,96.76148,349.5067
37.58621,-1.168024,1.106435,-1.85377,299.3553,96.76148,349.5067
37.59381,-1.164738,1.103706,-1.854961,309.2114,100.5349,346.0279
37.60171,-1.16823,1.106641,-1.854521,305.2153,99.59846,347.438
37.61223,-1.166582,1.104545,-1.853242,303.9566,98.86919,348.0614
37.62687,-1.168379,1.105101,-1.852326,304.8667,97.95055,349.3923
37.63472,-1.16839,1.104781,-1.851859,303.6669,97.85515,349.7365
37.64587,-1.169233,1.104808,-1.851332,303.3859,97.05446,350.6157
37.65651,-1.169145,1.105227,-1.851287,303.3625,97.12708,350.7253
37.66764,-1.168657,1.105454,-1.851025,303.4011,96.75237,351.1255
37.67874,-1.168554,1.10525,-1.85098,303.494,96.45525,351.5471
37.68992,-1.167993,1.105542,-1.851137,303.6352,96.25792,351.9905
37.71085,-1.16701,1.105676,-1.850615,303.8137,96.2406,352.3937
37.71866,-1.16701,1.105676,-1.850615,303.8137,96.2406,352.3937
37.72643,-1.166908,1.105808,-1.850225,303.825,96.02,352.743
37.7342,-1.166804,1.105886,-1.849958,303.8557,95.81508,352.9903
37.74514,-1.167083,1.105885,-1.850024,303.804,95.65779,353.1439
37.76622,-1.166383,1.105778,-1.850253,303.9414,96.12179,352.8265
37.77765,-1.166138,1.105673,-1.850344,303.9307,96.05922,352.911
37.78858,-1.165995,1.105626,-1.85057,304.0993,96.27335,352.7119
37.79602,-1.165995,1.105626,-1.85057,304.0993,96.27335,352.7119
37.80351,-1.165888,1.105613,-1.85071,304.1637,96.39038,352.584
37.81149,-1.165788,1.105503,-1.850678,304.1761,96.42649,352.5965
37.82277,-1.165659,1.105438,-1.850535,304.1608,96.44849,352.6727
37.83371,-1.165592,1.105301,-1.850311,304.126,96.27897,352.9402
37.84494,-1.165603,1.105268,-1.850169,304.1209,96.23338,353.0779
37.85587,-1.165485,1.105228,-1.850274,304.2221,96.23228,353.1148
37.86689,-1.16544,1.105241,-1.850208,304.2656,96.11188,353.2083
37.87815,-1.165385,1.105182,-1.850418,304.2518,96.08855,353.2238
37.88915,-1.165655,1.105111,-1.85032,304.13,96.06374,353.2196
37.90026,-1.166233,1.105102,-1.850176,303.7953,95.90202,353.3557
37.91137,-1.166725,1.104793,-1.849966,303.3108,95.83057,353.5131
37.9225,-1.166795,1.104651,-1.849558,303.0447,95.94191,353.5671
37.9459,-1.166669,1.104363,-1.849147,302.933,95.55489,354.0927
37.95375,-1.166543,1.104308,-1.849349,303.0046,95.44007,354.1063
37.96053,-1.166543,1.104308,-1.849349,303.0046,95.44007,354.1063
37.96764,-1.166619,1.10411,-1.849524,302.9348,95.5935,353.9154
37.97785,-1.166975,1.104073,-1.849807,302.8224,95.65506,353.7327
37.98895,-1.167603,1.104051,-1.849932,302.435,96.00272,353.3158
38.00004,-1.168461,1.103946,-1.850049,301.9245,95.82497,353.404
38.01115,-1.16975,1.103597,-1.850538,301.1166,95.82172,353.2833
38.02226,-1.169436,1.103407,-1.851031,300.8037,97.43506,351.7844
38.03349,-1.169056,1.103507,-1.850883,301.0096,97.1374,351.9629
38.04454,-1.168735,1.103343,-1.851182,301.3636,96.78799,352.2577
38.05565,-1.168543,1.103434,-1.851022,301.5926,96.93128,352.0596
38.0667,-1.168797,1.103398,-1.851229,301.5736,96.98342,351.9406
38.078,-1.169016,1.103353,-1.851257,301.421,96.99528,351.847
38.09296,-1.169355,1.103234,-1.851359,301.2089,97.08966,351.6974
38.10017,-1.169628,1.103196,-1.851492,300.9853,96.97099,351.7222
