time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
107.8292,-2.119634,1.110619,-1.750001,307.2321,130.6462,340.5041
107.8432,-2.119637,1.110431,-1.750225,307.195,130.5714,340.6173
107.8524,-2.119637,1.110431,-1.750225,307.195,130.5714,340.6173
107.8665,-2.119625,1.10991,-1.750803,307.254,130.4595,340.7963
107.8745,-2.119625,1.10991,-1.750803,307.254,130.4595,340.7963
107.883,-2.12003,1.109752,-1.751205,307.2374,130.5496,340.6906
107.9003,-2.119623,1.109902,-1.751104,307.1951,130.665,340.7221
107.9095,-2.119523,1.110036,-1.750774,307.1246,130.2049,341.1486
107.9173,-2.119523,1.110036,-1.750774,307.1246,130.2049,341.1486
107.9259,-2.119488,1.110103,-1.750648,307.1073,130.2904,341.1104
107.9345,-2.119128,1.110062,-1.750629,307.0611,130.1627,341.256
107.9458,-2.119051,1.11009,-1.750609,307.0604,130.2098,341.2502
107.9568,-2.118705,1.110133,-1.750556,307.0368,130.1638,341.3636
107.968,-2.117969,1.110185,-1.750264,307.0052,130.1184,341.4738
107.9889,-2.116747,1.110187,-1.749621,306.8517,129.9344,341.8794
107.9969,-2.116747,1.110187,-1.749621,306.8517,129.9344,341.8794
108.0053,-2.116495,1.110215,-1.749359,306.7401,129.903,341.995
108.0132,-2.116105,1.11027,-1.748986,306.6216,129.7789,342.1472
108.0234,-2.115986,1.110305,-1.748995,306.6091,129.5247,342.3874
108.0346,-2.115778,1.110427,-1.748914,306.8796,129.5028,342.4032
108.0456,-2.115414,1.110507,-1.748776,306.8469,129.4469,342.4741
108.0567,-2.115344,1.110572,-1.748766,306.8561,129.4628,342.4613
108.068,-2.115225,1.110597,-1.748755,306.8643,129.5435,342.3966
108.0789,-2.115052,1.110642,-1.748692,306.8746,129.6017,342.3678
108.09,-2.114666,1.110694,-1.74849,306.8415,129.5872,342.4393
108.1012,-2.114447,1.11073,-1.748308,306.7888,129.5866,342.5175
108.1122,-2.114018,1.110825,-1.748232,306.7501,129.583,342.5859
108.1233,-2.113632,1.111002,-1.748017,306.7569,129.717,342.511
108.1344,-2.112886,1.111153,-1.747782,306.8378,129.6945,342.5967
108.1456,-2.112697,1.111207,-1.747709,306.9398,129.6113,342.741
108.1566,-2.1123,1.111179,-1.747642,307.1143,129.4772,342.9487
108.1678,-2.111834,1.111383,-1.747552,307.2798,129.4953,343.0113
108.1789,-2.111036,1.111592,-1.747526,307.6567,129.5988,343.1047
108.2001,-2.108735,1.112489,-1.746964,308.7751,129.0769,343.8587
108.2084,-2.108735,1.112489,-1.746964,308.7751,129.0769,343.8587
108.216,-2.107591,1.112991,-1.74661,309.3202,128.8323,344.2642
108.2241,-2.105303,1.114062,-1.745931,310.4902,127.7114,345.7167
108.2344,-2.103155,1.115081,-1.745656,311.7308,126.9594,346.76
108.2555,-2.09826,1.117069,-1.745682,314.6398,125.6058,348.4007
108.2635,-2.09826,1.117069,-1.745682,314.6398,125.6058,348.4007
108.2716,-2.095461,1.118316,-1.746047,316.5566,125.3165,348.9244
108.2889,-2.089556,1.121297,-1.74649,320.6454,123.7084,351.0651
108.2971,-2.089556,1.121297,-1.74649,320.6454,123.7084,351.0651
108.3053,-2.086046,1.12298,-1.746879,323.0913,122.7541,352.2132
108.3134,-2.081374,1.124857,-1.746952,325.2896,121.8406,353.6212
108.3232,-2.076674,1.126873,-1.746822,327.6921,120.9444,355.2826
108.3343,-2.071888,1.129016,-1.746719,330.2995,120.3101,356.775
108.3455,-2.066504,1.131249,-1.747692,333.4647,120.3123,358.2381
108.3665,-2.053055,1.142883,-1.746722,338.3407,121.2345,0.20316
108.3747,-2.053055,1.142883,-1.746722,338.3407,121.2345,0.20316
108.3827,-2.046395,1.148314,-1.746608,340.2492,122.0559,1.031704
108.3909,-2.037431,1.154004,-1.746096,342.118,123.0865,2.005456
108.401,-2.026854,1.160623,-1.744973,343.7574,123.1582,3.311178
108.412,-2.014852,1.168222,-1.745153,343.0572,123.7883,3.239156
108.4232,-2.000525,1.173782,-1.745153,341.6611,125.6652,1.534002
108.4443,-1.96877,1.182512,-1.743116,341.7587,125.4993,358.639
108.4525,-1.96877,1.182512,-1.743116,341.7587,125.4993,358.639
108.4604,-1.951358,1.184443,-1.743178,339.8589,123.1973,357.6591
108.4685,-1.937363,1.184736,-1.745362,339.4832,123.3244,355.8994
108.4887,-1.899035,1.184217,-1.748985,337.8906,124.1594,352.8909
108.4969,-1.899035,1.184217,-1.748985,337.8906,124.1594,352.8909
108.505,-1.883462,1.18138,-1.75371,336.6508,124.6096,351.8567
108.5129,-1.870965,1.178121,-1.759628,335.3249,124.5835,351.044
108.5231,-1.848578,1.175097,-1.763011,333.6832,124.3199,350.6299
108.5442,-1.807672,1.168649,-1.77381,329.6934,125.0891,348.879
108.5523,-1.807672,1.168649,-1.77381,329.6934,125.0891,348.879
108.5602,-1.783897,1.165353,-1.778348,327.5606,125.3528,348.1478
108.5682,-1.757599,1.16328,-1.782144,325.6696,125.6766,347.335
108.5786,-1.729376,1.162169,-1.784583,323.6806,126.1315,346.3549
108.5897,-1.704511,1.15967,-1.789424,321.2715,126.7247,345.2104
108.6009,-1.679588,1.157253,-1.794314,318.9751,127.4317,343.8324
108.6218,-1.615361,1.156699,-1.797657,315.1667,128.738,340.8606
108.6297,-1.615361,1.156699,-1.797657,315.1667,128.738,340.8606
108.6376,-1.581755,1.15795,-1.798048,313.412,128.9702,339.4619
108.6551,-1.530576,1.155158,-1.807725,309.8113,128.7622,337.3531
108.663,-1.530576,1.155158,-1.807725,309.8113,128.7622,337.3531
108.671,-1.504576,1.154256,-1.812095,308.4476,128.553,336.7138
108.6788,-1.480022,1.153989,-1.817611,307.4781,128.5125,336.4234
108.6895,-1.45603,1.154272,-1.822299,306.1259,128.8335,335.7567
108.7107,-1.412074,1.156211,-1.831869,303.6964,131.1395,333.376
108.7186,-1.412074,1.156211,-1.831869,303.6964,131.1395,333.376
108.7264,-1.39218,1.157938,-1.83607,302.7393,132.8594,331.5287
108.7343,-1.372122,1.15865,-1.840461,301.9461,134.2728,329.7821
108.7452,-1.353723,1.159505,-1.84376,301.5913,135.2628,328.3731
108.7562,-1.335944,1.159757,-1.847081,301.6064,135.65,327.5615
108.7673,-1.318181,1.160007,-1.849879,301.6039,136.0134,326.7633
108.7783,-1.302565,1.159998,-1.851973,302.0584,135.4876,326.7231
108.7995,-1.276302,1.159804,-1.854411,302.0111,134.0275,326.9604
108.8074,-1.276302,1.159804,-1.854411,302.0111,134.0275,326.9604
108.8152,-1.265236,1.159284,-1.855526,301.6736,133.9289,326.5305
108.8229,-1.253948,1.15912,-1.857017,301.5285,134.2944,325.7074
108.834,-1.245142,1.157997,-1.858651,301.7887,135.525,324.1825
108.8449,-1.236858,1.156143,-1.860011,302.2183,137.0156,322.4796
108.8561,-1.227677,1.154259,-1.861447,302.6063,137.8412,321.4298
108.8671,-1.220514,1.151492,-1.861977,303.1303,137.2561,321.7821
108.8783,-1.213907,1.148675,-1.86156,303.47,135.4312,323.3814
108.8893,-1.207677,1.146251,-1.860285,303.3088,132.4306,326.2833
108.9005,-1.201637,1.144296,-1.858855,302.5463,129.8617,328.7068
108.9214,-1.195499,1.14062,-1.856627,300.1716,127.9908,329.88
108.9292,-1.195499,1.14062,-1.856627,300.1716,127.9908,329.88
108.9377,-1.192544,1.138594,-1.856379,298.8935,131.1796,326.1571
