time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.4355,-2.017378,1.791903,-1.355685,27.39283,90.90431,314.1308
118.4563,-2.013441,1.789633,-1.354219,27.79016,90.50726,314.082
118.4695,-2.013391,1.786976,-1.354908,28.30741,90.52998,314.0699
118.4796,-2.012223,1.785482,-1.354941,28.62184,90.61945,314.3006
118.4909,-2.010727,1.783972,-1.35491,28.8816,90.59187,314.5076
118.5114,-2.008007,1.781135,-1.354921,29.10329,90.12518,314.5376
118.5199,-2.006355,1.780053,-1.354682,29.20322,89.91837,314.5195
118.5281,-2.003267,1.779212,-1.353915,29.23146,89.54488,314.3818
118.5447,-1.999811,1.77706,-1.353619,29.37634,88.99606,314.36
118.5531,-1.99757,1.775826,-1.353419,29.48503,88.75535,314.4219
118.561,-1.994961,1.774657,-1.353231,29.58779,88.53598,314.6729
118.5779,-1.989696,1.771823,-1.35298,29.88161,88.17595,315.1576
118.5862,-1.987508,1.770484,-1.353017,30.06629,88.0909,315.3377
118.5941,-1.985864,1.768756,-1.353344,30.25866,88.06583,315.4835
118.6022,-1.9828,1.767328,-1.353388,30.39253,88.05839,315.6082
118.6132,-1.978465,1.765931,-1.353257,30.4293,88.10361,315.7472
118.6252,-1.973502,1.764501,-1.352917,30.36272,88.10138,315.8954
118.6354,-1.970925,1.762738,-1.353517,30.33367,88.01155,315.8147
118.6462,-1.965557,1.760939,-1.353049,30.44531,87.86227,315.714
118.6575,-1.961366,1.75842,-1.353135,30.68594,87.58595,315.6761
118.6684,-1.954823,1.756558,-1.352106,30.93198,87.31368,315.8121
118.6796,-1.949033,1.754301,-1.351478,31.23308,86.95275,316.1574
118.6907,-1.944743,1.752192,-1.351436,31.42254,86.7022,316.5585
118.7019,-1.938039,1.75075,-1.350541,31.49992,86.47842,316.9642
118.7229,-1.926591,1.747932,-1.349248,31.22661,85.76465,317.4107
118.7315,-1.92127,1.746912,-1.348216,30.99558,85.30216,317.2608
118.7394,-1.916937,1.745511,-1.34761,30.96866,84.97145,317.2169
118.7476,-1.91242,1.744312,-1.346731,30.9787,84.55213,317.0355
118.7576,-1.905339,1.742982,-1.345007,31.25553,84.01608,317.0009
118.7785,-1.893228,1.739009,-1.342726,32.18883,83.09192,317.3045
118.7909,-1.886806,1.737067,-1.341759,32.77497,82.75282,317.428
118.8018,-1.879461,1.735828,-1.340692,33.1367,82.49752,317.4047
118.8129,-1.873104,1.735263,-1.340046,33.2711,82.4353,317.3113
118.8241,-1.86582,1.734898,-1.339195,33.38395,82.40104,317.2412
118.8351,-1.858702,1.734647,-1.338649,33.4793,82.48995,317.1399
118.8462,-1.851027,1.735003,-1.338161,33.54024,82.84718,316.9094
118.8574,-1.842012,1.735796,-1.337826,33.66204,83.24687,316.5898
118.8685,-1.836555,1.735915,-1.338096,33.76009,83.36454,316.3303
118.8795,-1.829189,1.736692,-1.337415,33.79299,83.2514,316.0256
118.8907,-1.82077,1.737954,-1.336575,33.70175,83.06385,315.8697
118.9018,-1.813936,1.739324,-1.336235,33.55534,82.87863,315.8914
118.923,-1.799152,1.742439,-1.334713,33.15219,82.70689,316.0026
118.9314,-1.793894,1.743557,-1.334435,32.98301,82.81934,315.9808
118.9431,-1.786079,1.744906,-1.3341,32.82812,83.01485,315.8664
118.9513,-1.780393,1.745762,-1.334089,32.77183,83.31935,315.7343
118.9596,-1.775737,1.746239,-1.334444,32.86949,83.82584,315.6351
118.9683,-1.770459,1.746874,-1.334739,32.97279,84.32629,315.6341
118.9896,-1.758459,1.748027,-1.336011,33.55848,85.66586,316.046
118.998,-1.753644,1.748637,-1.336332,33.81962,86.1573,316.2675
119.0057,-1.749484,1.748999,-1.336556,34.08352,86.51093,316.3556
119.0227,-1.74013,1.750199,-1.336763,34.41215,86.92146,316.0972
119.0311,-1.735407,1.750988,-1.336641,34.36931,86.9636,315.7001
119.039,-1.731144,1.751745,-1.336625,34.28477,87.06853,315.4503
119.0471,-1.726884,1.752453,-1.336675,34.24625,87.23728,315.2998
119.0573,-1.721664,1.753371,-1.336892,34.08984,87.515,315.2877
119.0782,-1.711008,1.754269,-1.33806,34.25326,88.34528,315.2972
119.0868,-1.706611,1.754322,-1.338583,34.44197,88.70488,315.3385
119.0987,-1.701543,1.754317,-1.339419,34.66897,89.04272,315.6259
119.1069,-1.697237,1.754442,-1.339447,34.72865,89.12057,315.8295
119.1151,-1.692676,1.754432,-1.339406,34.61125,88.94188,315.9637
119.1239,-1.688135,1.75456,-1.339481,34.53889,88.91959,316.0153
119.145,-1.678821,1.754186,-1.339525,34.105,88.38515,315.3844
119.1534,-1.674601,1.753644,-1.339539,34.1234,88.21866,315.1229
119.1612,-1.670954,1.752925,-1.339661,34.21953,88.08726,314.9266
119.1694,-1.667127,1.752201,-1.339763,34.37323,87.96394,314.8218
119.1793,-1.662665,1.751227,-1.340148,34.5564,87.80444,314.7746
119.1908,-1.65733,1.749621,-1.340716,34.8418,87.58027,315.1657
119.2015,-1.652208,1.748626,-1.340995,34.98132,87.3367,315.3831
119.2128,-1.646736,1.747361,-1.341534,35.00896,86.9978,315.5414
119.2239,-1.641164,1.7466,-1.341927,34.94028,86.75031,315.4918
119.235,-1.636111,1.745858,-1.342755,34.78983,86.57606,315.3482
119.246,-1.631776,1.744775,-1.34426,34.73891,86.4493,315.1256
119.2579,-1.626529,1.743783,-1.345395,34.79028,86.3069,314.9167
119.2684,-1.621882,1.74307,-1.346737,34.93535,86.13824,314.7975
119.2793,-1.616227,1.74223,-1.348033,35.00944,85.87808,314.8873
119.2905,-1.610909,1.741545,-1.349469,35.02358,85.59383,315.2735
119.3115,-1.599178,1.740433,-1.352239,34.89687,85.18124,315.8706
119.3199,-1.593649,1.740228,-1.353071,34.75948,85.11197,316.158
119.3277,-1.589733,1.73962,-1.354452,34.65085,85.04394,316.3733
119.3357,-1.584846,1.739118,-1.355739,34.54309,84.94843,316.5805
119.3459,-1.579019,1.738552,-1.357467,34.33234,85.01938,316.5996
119.357,-1.573161,1.737548,-1.359817,34.22467,85.19267,316.4648
119.3782,-1.56096,1.735231,-1.364353,34.23604,85.4132,316.5184
119.3865,-1.55445,1.734456,-1.365595,34.37218,85.35244,316.6711
119.3942,-1.549735,1.7331,-1.367109,34.67623,85.18157,317.0031
119.4026,-1.544786,1.732094,-1.368538,34.81184,85.12698,317.2042
119.4144,-1.537549,1.730073,-1.370925,35.24851,84.92848,317.6289
119.4239,-1.531244,1.728642,-1.37277,35.46919,84.81249,318.0189
119.4347,-1.524124,1.727283,-1.375048,35.55357,84.84379,318.4026
119.4458,-1.51618,1.726417,-1.377574,35.34908,85.17941,318.4669
119.4667,-1.501051,1.725185,-1.383107,34.75714,85.92792,318.5051
119.4752,-1.4955,1.72482,-1.38501,34.58451,86.05662,318.4949
119.4829,-1.48993,1.724244,-1.386622,34.5655,86.02695,318.4614
119.4999,-1.477148,1.723005,-1.389836,34.72374,85.66945,318.4446
119.508,-1.471703,1.722673,-1.390859,34.82182,85.20273,318.5572
119.516,-1.466233,1.722401,-1.39195,34.86383,84.81215,318.6928
119.5333,-1.452747,1.72276,-1.393623,34.89862,83.54744,318.62
119.5445,-1.445257,1.724218,-1.394454,34.98786,82.23957,318.0607
119.5523,-1.44024,1.72501,-1.395229,35.06561,81.50804,317.6814
119.5595,-1.436013,1.726368,-1.395812,35.18153,80.70847,317.0023
119.5708,-1.428297,1.728562,-1.397106,35.2373,79.53512,316.3963
119.5787,-1.422866,1.730283,-1.398176,35.12352,78.87453,316.3863
119.5897,-1.415192,1.732951,-1.399916,34.84764,78.19418,316.823
119.6007,-1.406881,1.735928,-1.402315,34.53161,78.02784,317.4039
119.6118,-1.397082,1.737658,-1.404664,34.43557,78.22956,317.6537
119.623,-1.38966,1.741398,-1.408441,34.24866,79.83356,318.0844
119.6343,-1.380782,1.744754,-1.410837,33.98258,80.33379,318.3446
119.645,-1.373394,1.749779,-1.413382,33.26523,81.18736,318.6518
119.6562,-1.365162,1.755228,-1.413974,32.41261,80.82657,318.4859
119.6674,-1.35745,1.76052,-1.413828,31.63812,79.49215,317.8436
119.6786,-1.350908,1.764395,-1.412118,31.1783,77.20348,317.0247
119.6899,-1.34393,1.768255,-1.411701,30.65839,75.79978,316.801
119.7011,-1.335804,1.771374,-1.410655,30.18128,74.64207,316.8718
119.7125,-1.330271,1.773706,-1.410742,29.81812,73.82048,316.7893
119.7245,-1.324807,1.77452,-1.411814,29.8493,73.60954,316.2812
119.7348,-1.320392,1.775358,-1.412607,29.87229,73.44313,315.8864
119.7556,-1.309013,1.778753,-1.412339,29.32968,72.75556,315.237
119.7644,-1.307015,1.780041,-1.413617,28.98976,72.21605,314.9394
119.7721,-1.303869,1.781745,-1.413279,28.53819,71.45032,314.58
119.7805,-1.2856,1.789515,-1.406165,28.13364,70.54569,314.1358
119.7999,-1.27873,1.793752,-1.404261,27.52979,67.87617,312.9066
119.8082,-1.276248,1.795275,-1.403503,27.50843,66.75417,312.6042
119.8165,-1.27276,1.79728,-1.402475,27.59205,65.65918,312.4645
119.8334,-1.266843,1.799812,-1.401663,27.86121,64.15535,312.465
119.842,-1.263542,1.801142,-1.402163,27.97281,64.04579,312.2841
119.8497,-1.260427,1.802318,-1.402735,27.87791,64.03907,312.0704
119.8666,-1.252816,1.806042,-1.405258,27.2687,64.26798,312.0947
119.8785,-1.247759,1.808487,-1.406467,26.75416,64.56371,312.3735
119.8868,-1.244529,1.809768,-1.407161,26.51586,64.76089,312.4781
119.8945,-1.241402,1.810826,-1.407723,26.32723,64.94814,312.5673
119.9025,-1.238521,1.81135,-1.407965,26.21961,64.9623,312.6656
119.9125,-1.234959,1.812027,-1.408116,26.18188,64.87909,312.7178
119.9333,-1.227838,1.811193,-1.407021,26.96158,63.75297,312.5788
119.9417,-1.22534,1.810432,-1.406424,27.37355,63.28145,312.6667
119.9495,-1.222782,1.809745,-1.405804,27.67668,62.94347,312.8886
119.9576,-1.220112,1.80938,-1.405352,27.8698,62.68895,313.0431
119.9677,-1.216689,1.808914,-1.404652,27.96432,62.65705,313.3023
119.979,-1.212839,1.808482,-1.404101,27.88755,62.7808,313.2014
119.9901,-1.208397,1.807896,-1.403296,27.82164,62.88857,312.8515
120.001,-1.204553,1.807347,-1.402461,27.765,62.8862,312.6422
120.0122,-1.200357,1.806809,-1.401126,27.712,62.74053,312.6768
120.0233,-1.19578,1.805792,-1.399361,27.77691,62.33347,313.0562
120.0349,-1.191358,1.804215,-1.397196,28.06592,61.72234,313.7333
120.0455,-1.187442,1.802742,-1.39533,28.40295,61.21423,314.2484
120.0567,-1.183464,1.801076,-1.393411,28.60691,60.88199,314.4277
120.0776,-1.175461,1.798886,-1.389748,28.31612,60.65805,313.9782
120.0857,-1.171498,1.797962,-1.387857,27.99312,60.75032,313.7672
120.0938,-1.168055,1.797052,-1.386124,27.85315,60.74978,313.7449
120.111,-1.160777,1.794656,-1.382272,27.69225,60.6917,313.6735
120.1191,-1.156849,1.793241,-1.38011,27.63108,60.56258,313.6604
120.1272,-1.153539,1.791779,-1.377923,27.62313,60.27281,313.8259
120.1351,-1.150169,1.790313,-1.375643,27.65766,59.90144,314.2031
120.1455,-1.145619,1.788258,-1.372499,27.72249,59.42879,314.7317
120.1565,-1.141062,1.785856,-1.369335,27.9067,59.04235,314.9673
120.1676,-1.135986,1.783269,-1.366039,28.09968,58.85959,314.7888
120.1788,-1.131021,1.781178,-1.362892,28.07638,58.87939,314.6676
120.1999,-1.120698,1.777032,-1.355809,27.9372,58.68684,314.688
120.208,-1.116926,1.775396,-1.35288,27.89192,58.48883,314.6455
120.216,-1.11311,1.773818,-1.34983,27.8823,58.20049,314.5382
120.2242,-1.109287,1.772065,-1.346601,27.96836,57.83397,314.5525
120.2443,-1.099435,1.767021,-1.338402,28.61972,56.86546,315.0453
120.2523,-1.095553,1.764934,-1.33541,29.06681,56.59935,315.3876
120.2603,-1.090889,1.762577,-1.332021,29.65527,56.42965,315.9423
120.2683,-1.086847,1.760661,-1.329094,30.01801,56.25862,316.245
120.2887,-1.074809,1.756961,-1.322039,30.50557,56.60994,315.9226
120.2969,-1.069418,1.755471,-1.318899,30.60117,56.76862,315.7894
