time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.4355,-2.331487,2.100259,-1.546537,348.5521,272.41,33.69047
118.4563,-2.324511,2.099307,-1.54731,348.5976,272.342,33.63443
118.4695,-2.320919,2.098819,-1.547872,348.4534,272.279,33.60828
118.4796,-2.317004,2.0983,-1.54795,348.1832,272.2343,33.6054
118.4909,-2.312403,2.097516,-1.548097,347.9763,272.4272,33.49132
118.5114,-2.303639,2.095604,-1.54838,348.0584,272.7725,33.29395
118.5199,-2.303639,2.095604,-1.54838,348.0584,272.7725,33.29395
118.5281,-2.299086,2.094547,-1.548431,348.2151,272.926,33.16836
118.5447,-2.288653,2.092194,-1.548661,348.9391,273.3589,32.86029
118.5531,-2.288653,2.092194,-1.548661,348.9391,273.3589,32.86029
118.561,-2.283246,2.091012,-1.548925,349.2072,273.758,32.73808
118.5779,-2.27117,2.088972,-1.549892,349.195,273.9208,32.68446
118.5862,-2.27117,2.088972,-1.549892,349.195,273.9208,32.68446
118.5941,-2.265014,2.088088,-1.550235,348.9117,273.8088,32.68691
118.6022,-2.259104,2.087208,-1.550481,348.7347,273.9207,32.61902
118.6132,-2.252587,2.085922,-1.550466,348.5397,274.1454,32.53929
118.6252,-2.246016,2.084837,-1.550906,348.4532,274.4807,32.47646
118.6354,-2.239471,2.083617,-1.551222,348.5465,274.8281,32.39441
118.6462,-2.232316,2.082096,-1.551694,348.9448,275.2032,32.39039
118.6575,-2.225042,2.080347,-1.552096,349.2025,274.897,32.42872
118.6684,-2.217651,2.078851,-1.55224,349.219,274.0876,32.63156
118.6796,-2.210189,2.07735,-1.552342,349.2332,274.078,32.64297
118.6907,-2.201662,2.075694,-1.552143,349.0854,275.3951,32.39218
118.7019,-2.193569,2.074164,-1.55206,349.0504,275.9569,32.24508
118.7229,-2.176104,2.071152,-1.551908,349.4642,275.5685,32.6261
118.7315,-2.176104,2.071152,-1.551908,349.4642,275.5685,32.6261
118.7394,-2.167422,2.070189,-1.551566,349.4964,275.2986,33.05128
118.7476,-2.159167,2.069591,-1.551643,349.377,275.3558,33.50784
118.7576,-2.151061,2.069671,-1.551835,349.2041,275.8703,34.12868
118.7785,-2.135391,2.070065,-1.554189,348.811,274.7866,35.54459
118.7909,-2.127954,2.069776,-1.555512,348.6657,273.4717,35.9729
118.8018,-2.120303,2.069374,-1.556525,348.8891,272.6579,36.29758
118.8129,-2.112353,2.068757,-1.557143,350.0465,271.8145,36.16497
118.8241,-2.10402,2.06841,-1.557257,350.6287,271.1965,36.09861
118.8351,-2.09545,2.068283,-1.556901,351.2023,270.691,35.85714
118.8462,-2.086574,2.068882,-1.556631,351.5451,270.6934,35.64763
118.8574,-2.077899,2.069038,-1.556163,351.6667,270.8267,35.42984
118.8685,-2.069693,2.069542,-1.555839,351.27,271.1722,35.13328
118.8795,-2.06206,2.070236,-1.555534,350.9095,271.229,34.98786
118.8907,-2.054511,2.070654,-1.555439,350.8617,271.0275,35.01009
118.9018,-2.047635,2.071453,-1.555256,351.2002,270.6954,35.23142
118.923,-2.034654,2.073748,-1.554037,351.8785,270.1022,35.84288
118.9314,-2.034654,2.073748,-1.554037,351.8785,270.1022,35.84288
118.9431,-2.021246,2.075804,-1.552068,351.4857,270.0493,35.74548
118.9513,-2.021246,2.075804,-1.552068,351.4857,270.0493,35.74548
118.9596,-2.014495,2.076767,-1.551229,351.3275,270.0651,35.47093
118.9683,-2.007592,2.077875,-1.550697,351.4328,270.1618,34.79958
118.9896,-1.994309,2.081275,-1.55004,352.2493,270.4553,33.92325
118.998,-1.994309,2.081275,-1.55004,352.2493,270.4553,33.92325
119.0057,-1.988021,2.082787,-1.549868,352.2981,270.8197,33.75108
119.0227,-1.97491,2.085409,-1.549426,351.8784,270.751,33.90405
119.0311,-1.97491,2.085409,-1.549426,351.8784,270.751,33.90405
119.039,-1.968283,2.086551,-1.549143,351.7398,270.5284,33.94982
119.0471,-1.961773,2.087253,-1.548344,351.7372,270.5695,33.93562
119.0573,-1.955482,2.088185,-1.54833,351.8965,270.9239,33.76569
119.0782,-1.942538,2.088912,-1.548943,352.1982,270.8944,33.31658
119.0868,-1.942538,2.088912,-1.548943,352.1982,270.8944,33.31658
119.0987,-1.929724,2.089208,-1.550408,352.0699,270.4533,33.00543
119.1069,-1.929724,2.089208,-1.550408,352.0699,270.4533,33.00543
119.1151,-1.923502,2.088985,-1.551693,351.8307,270.2649,32.68529
119.1239,-1.917451,2.088427,-1.552796,351.7826,269.8745,32.58499
119.145,-1.904951,2.088086,-1.555316,352.5916,268.8689,32.58856
119.1534,-1.904951,2.088086,-1.555316,352.5916,268.8689,32.58856
119.1612,-1.898526,2.087919,-1.556575,352.9254,268.6741,32.60286
119.1694,-1.891936,2.087739,-1.55765,353.0363,268.6088,32.67785
119.1793,-1.884915,2.086868,-1.558294,352.6878,268.4725,32.74473
119.1908,-1.878107,2.085905,-1.558891,351.9999,268.1105,32.82691
119.2015,-1.871689,2.084801,-1.559614,351.4973,267.9011,32.98512
119.2128,-1.865109,2.083708,-1.560363,351.3871,267.9584,33.19387
119.2239,-1.858306,2.08244,-1.561437,352.0372,268.2878,33.48398
119.235,-1.85142,2.081318,-1.562311,352.7319,268.3282,33.85904
119.246,-1.844122,2.080381,-1.563384,353.9641,267.9362,34.2552
119.2579,-1.837062,2.079732,-1.564587,354.3773,267.9183,34.43719
119.2684,-1.82946,2.078694,-1.565504,354.3001,268.4114,34.48096
119.2793,-1.822156,2.078045,-1.567041,353.9613,268.8218,34.45646
119.2905,-1.814551,2.077208,-1.568362,353.8728,268.6786,34.50021
119.3115,-1.799345,2.075412,-1.572006,354.078,268.3439,34.47343
119.3199,-1.799345,2.075412,-1.572006,354.078,268.3439,34.47343
119.3277,-1.791637,2.074422,-1.573867,354.1277,268.1687,34.50413
119.3357,-1.783877,2.073206,-1.576033,353.998,267.6991,34.48487
119.3459,-1.77645,2.0715,-1.578094,353.6597,267.2628,34.37946
119.357,-1.768876,2.069619,-1.580156,353.4777,266.9245,34.26286
119.3782,-1.753363,2.06525,-1.585532,353.7362,266.9421,34.03276
119.3865,-1.753363,2.06525,-1.585532,353.7362,266.9421,34.03276
119.3942,-1.744707,2.063065,-1.589189,354.9664,266.4424,34.21547
119.4026,-1.737272,2.059702,-1.592442,355.7313,265.5717,34.42553
