time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
118.4355,-1.960088,1.142975,-1.523035,299.0825,48.32579,21.12834
118.4563,-1.924571,1.146694,-1.526406,297.639,44.99534,25.45309
118.4695,-1.90828,1.14769,-1.528452,297.9845,44.48787,26.82218
118.4796,-1.890521,1.149155,-1.53006,297.8023,44.0664,27.88821
118.4909,-1.875776,1.150842,-1.53196,297.3533,44.51181,28.12259
118.5114,-1.847687,1.154918,-1.534162,296.3485,43.55392,29.69105
118.5199,-1.847687,1.154918,-1.534162,296.3485,43.55392,29.69105
118.5281,-1.834621,1.157184,-1.534132,295.8896,41.6469,31.6863
118.5447,-1.811424,1.160858,-1.535413,293.9789,40.1422,33.03387
118.5531,-1.811424,1.160858,-1.535413,293.9789,40.1422,33.03387
118.561,-1.800192,1.162186,-1.535741,293.0134,39.44598,33.49432
118.5779,-1.780265,1.16405,-1.535789,292.2369,36.31236,36.1511
118.5862,-1.780265,1.16405,-1.535789,292.2369,36.31236,36.1511
118.5941,-1.771621,1.164012,-1.535856,292.35,35.16503,37.20669
118.6022,-1.763258,1.163321,-1.536203,292.3322,35.42328,37.05474
118.6132,-1.754882,1.162226,-1.536586,292.3984,35.91863,36.78859
118.6252,-1.747903,1.157803,-1.537424,293.3534,39.66026,34.03414
118.6354,-1.741034,1.154314,-1.538429,294.8438,43.19091,31.37861
118.6462,-1.736546,1.149886,-1.539846,296.3432,47.93,28.08578
118.6575,-1.732914,1.146834,-1.540701,296.9234,51.40544,25.97683
118.6684,-1.734298,1.144719,-1.541449,296.477,52.13857,26.84851
118.6796,-1.73618,1.14226,-1.541845,294.586,50.86379,29.44932
118.6907,-1.737268,1.137396,-1.542023,294.6576,51.79142,29.67968
118.7019,-1.737924,1.132001,-1.542935,295.8347,54.11403,28.19661
118.7229,-1.735247,1.1201,-1.541919,301.236,58.4205,20.18698
118.7315,-1.735247,1.1201,-1.541919,301.236,58.4205,20.18698
118.7394,-1.724141,1.119455,-1.543867,302.4453,51.91092,23.33273
118.7476,-1.718766,1.117345,-1.545472,303.321,63.88165,12.65469
118.7576,-1.722346,1.113268,-1.54421,303.19,65.28191,12.58082
118.7785,-1.724374,1.113187,-1.544948,306.0066,57.79259,20.173
118.7909,-1.724315,1.11454,-1.543117,301.5446,64.03613,13.88591
118.8018,-1.723803,1.113521,-1.541886,303.7947,60.27856,17.25595
118.8129,-1.724227,1.112643,-1.542906,305.0877,59.14536,18.2568
118.8241,-1.723766,1.112562,-1.542894,303.5019,61.50179,16.25457
118.8351,-1.721923,1.110368,-1.542423,303.1674,63.70806,13.85939
118.8462,-1.720948,1.108507,-1.542673,304.89,62.75705,14.30658
118.8574,-1.721628,1.108315,-1.544107,306.1334,62.72499,14.22433
118.8685,-1.721793,1.10831,-1.54474,304.8224,63.98913,13.06696
118.8795,-1.721102,1.107793,-1.544284,304.0012,65.91485,11.81472
118.8907,-1.721331,1.10768,-1.542418,305.4267,64.37656,13.19862
118.9018,-1.721451,1.107309,-1.54213,306.1443,61.44759,15.71308
118.923,-1.721685,1.107983,-1.539975,306.1235,61.13312,16.62083
