time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
123.3213,-2.022792,2.591421,-0.95051,39.39511,147.0329,0.74911
123.3349,-2.019673,2.589175,-0.958449,39.40421,146.9373,1.041448
123.3435,-2.016263,2.586946,-0.966351,39.41455,146.8527,1.378764
123.3548,-2.01291,2.584752,-0.974346,39.44052,146.7778,1.686245
123.3659,-2.009262,2.582676,-0.982209,39.47963,146.6915,1.917435
123.3769,-2.005836,2.580647,-0.990022,39.54598,146.5759,2.056114
123.3882,-2.002216,2.578574,-0.997531,39.64518,146.4794,2.182115
123.4081,-1.998465,2.57653,-1.004821,39.78993,146.3952,2.302505
123.4142,-1.994892,2.574697,-1.012378,39.95821,146.2879,2.457489
123.4214,-1.991107,2.573089,-1.019878,40.13095,146.2178,2.6471
123.4325,-1.9874,2.571691,-1.027469,40.29161,146.1144,2.876378
123.4435,-1.983514,2.570305,-1.034953,40.44596,145.9776,3.094904
123.4547,-1.979825,2.569082,-1.042617,40.58872,145.8172,3.350645
123.4657,-1.975823,2.56815,-1.050214,40.71774,145.6079,3.686828
123.4769,-1.972051,2.567256,-1.05798,40.81992,145.4016,3.972758
123.4966,-1.968213,2.566579,-1.065885,40.88756,145.1862,4.230315
123.5019,-1.96435,2.566068,-1.074016,40.91904,144.98,4.430502
123.5101,-1.960635,2.565599,-1.082069,40.93267,144.7806,4.536127
123.5214,-1.956896,2.565434,-1.090102,40.99673,144.6379,4.658471
123.5324,-1.953077,2.56575,-1.098391,41.15549,144.5195,4.834314
123.5435,-1.948911,2.567021,-1.106788,41.4213,144.4181,4.988382
123.5636,-1.945039,2.568383,-1.115527,41.53149,144.2798,5.028372
123.5687,-1.941192,2.569835,-1.124165,41.52918,144.1093,5.026013
123.5767,-1.937522,2.571121,-1.132824,41.48232,143.9513,5.026219
123.5878,-1.933886,2.572315,-1.141085,41.41666,143.7684,5.079079
123.5991,-1.930565,2.573295,-1.149102,41.41447,143.622,5.168211
123.6101,-1.927795,2.574166,-1.156853,41.47498,143.5008,5.218797
123.6214,-1.925076,2.574867,-1.164182,41.58365,143.3203,5.219919
123.6323,-1.922722,2.575887,-1.171749,41.77272,143.1368,5.231574
123.6434,-1.920405,2.577085,-1.179288,41.98246,142.9561,5.267733
123.6545,-1.918075,2.57834,-1.187044,42.10825,142.7381,5.309353
123.6658,-1.915581,2.579494,-1.194753,42.10747,142.5244,5.317982
123.6768,-1.912959,2.580556,-1.202188,42.01037,142.2604,5.274979
123.6966,-1.91057,2.581623,-1.209896,41.9413,142.0195,5.304201
123.7057,-1.908129,2.582706,-1.217466,41.90934,141.6955,5.339934
123.7107,-1.905788,2.583811,-1.225034,41.94041,141.3582,5.42343
123.7213,-1.903287,2.584746,-1.232433,41.9793,141.0195,5.476171
123.736,-1.901154,2.585519,-1.239878,42.01853,140.6176,5.534942
123.7438,-1.89862,2.586197,-1.247023,42.07484,140.1853,5.58248
123.7544,-1.896432,2.586705,-1.254549,42.11497,139.7281,5.655004
123.7657,-1.893803,2.587247,-1.261835,42.16145,139.2418,5.699172
123.7767,-1.891217,2.587852,-1.269452,42.18076,138.6922,5.64295
123.7879,-1.88852,2.588485,-1.27718,42.18805,138.0277,5.378966
123.8076,-1.885668,2.58913,-1.28492,42.15838,137.3364,5.105382
123.813,-1.882807,2.58956,-1.29288,42.06172,136.543,4.730468
123.8298,-1.879683,2.589819,-1.300689,41.94213,135.7621,4.39802
123.8346,-1.8766,2.589945,-1.308675,41.80652,135.0555,4.101486
123.8432,-1.873698,2.589808,-1.316684,41.70039,134.401,3.853387
123.8544,-1.870672,2.589522,-1.324726,41.67538,133.7949,3.657069
123.8655,-1.867478,2.589143,-1.33269,41.75579,133.2117,3.475834
123.8765,-1.864125,2.588564,-1.340611,41.8605,132.6281,3.302684
123.8877,-1.860927,2.588164,-1.348785,41.89675,132.0386,3.117835
123.8988,-1.857429,2.587673,-1.356951,41.86237,131.472,2.985213
123.9098,-1.853976,2.587169,-1.365214,41.83795,130.8894,2.91038
123.921,-1.850346,2.586591,-1.373506,41.83162,130.2919,2.891651
123.9321,-1.846792,2.58589,-1.381791,41.8261,129.6801,2.844625
123.9518,-1.843134,2.585169,-1.390253,41.84386,129.0156,2.792635
123.9569,-1.839429,2.584369,-1.398777,41.83347,128.38,2.765348
123.9739,-1.835712,2.583334,-1.407342,41.77375,127.7581,2.778877
123.9787,-1.832132,2.582378,-1.415953,41.6512,127.1413,2.8336
123.9875,-1.828255,2.581618,-1.424611,41.56583,126.4898,2.899798
124.0075,-1.824126,2.580978,-1.433428,41.54514,125.7649,2.92725
124.0166,-1.819844,2.580481,-1.442081,41.53697,124.9503,2.879591
124.0215,-1.815565,2.579968,-1.450909,41.54929,124.0607,2.739584
124.0408,-1.810985,2.579547,-1.459887,41.55346,123.1498,2.578429
124.0459,-1.806629,2.579097,-1.469217,41.47739,122.3158,2.464695
124.0543,-1.801982,2.57848,-1.478246,41.30293,121.575,2.42732
124.0654,-1.797495,2.577727,-1.487269,40.94662,120.8723,2.454839
124.0764,-1.792964,2.576737,-1.496082,40.52098,120.0907,2.483074
124.0876,-1.788812,2.575394,-1.504688,40.02972,119.218,2.503338
124.1073,-1.784754,2.574249,-1.512771,39.76724,118.2523,2.498013
124.1126,-1.780666,2.573715,-1.520553,39.99706,117.1652,2.498935
124.1297,-1.777074,2.573299,-1.528521,40.47581,116.1076,2.542527
124.1346,-1.773612,2.57337,-1.535849,41.08321,115.1413,2.605718
124.1518,-1.770238,2.573804,-1.543262,41.45605,114.1694,2.789895
124.1567,-1.766117,2.575093,-1.550503,41.82417,113.0928,3.178872
124.1739,-1.762042,2.576278,-1.557909,41.96849,111.8181,3.530529
124.1828,-1.758005,2.577056,-1.564543,41.78421,110.3786,3.668196
124.1875,-1.754439,2.577496,-1.570771,41.47292,108.8581,3.495056
124.2073,-1.750945,2.577967,-1.576344,41.16638,107.2465,3.046563
124.2124,-1.747585,2.578612,-1.581999,41.02711,105.6984,2.600013
124.2208,-1.744478,2.579514,-1.587048,40.97258,104.261,1.974804
124.232,-1.741197,2.580413,-1.591917,40.94953,103.0851,1.166744
124.2431,-1.738369,2.581209,-1.597009,40.91393,102.1516,0.438081
124.2542,-1.7355,2.581965,-1.601871,40.95232,101.4364,359.7658
124.2652,-1.73285,2.582857,-1.606607,41.09449,100.82,359.3697
124.285,-1.730762,2.583388,-1.611117,41.39098,100.3295,359.1735
124.2901,-1.729078,2.583675,-1.615324,41.71513,99.86417,359.0669
124.2985,-1.728065,2.583582,-1.619255,42.16176,99.44037,359.0457
124.3185,-1.727616,2.583521,-1.623245,42.69071,98.97742,359.1375
124.3237,-1.727283,2.583444,-1.626531,43.40545,98.5123,359.4463
124.3319,-1.726911,2.583361,-1.629903,44.04861,97.9373,359.7312
124.3519,-1.72647,2.583352,-1.632635,44.51075,97.24406,359.9797
124.3569,-1.725714,2.583567,-1.635402,44.7937,96.35603,359.9648
124.3653,-1.725051,2.583861,-1.638121,45.01956,95.44733,359.856
124.3764,-1.724345,2.584065,-1.640733,45.20462,94.68169,359.7263
124.3961,-1.723618,2.584274,-1.643224,45.34118,94.0771,359.5903
124.4012,-1.72302,2.584615,-1.645506,45.4146,93.68201,359.4619
124.4098,-1.722516,2.584792,-1.647762,45.44559,93.49204,359.4291
124.4296,-1.721991,2.584932,-1.649925,45.49715,93.4397,359.3941
124.4348,-1.721403,2.584932,-1.652015,45.58626,93.38975,359.357
124.4429,-1.72092,2.584736,-1.653893,45.64771,93.36228,359.318
124.454,-1.720618,2.584284,-1.655808,45.73727,93.2653,359.284
124.4651,-1.720536,2.583499,-1.657539,45.86962,93.19086,359.3271
124.4762,-1.720681,2.58265,-1.659328,46.02543,93.13203,359.4797
124.4875,-1.720633,2.581883,-1.660992,46.20547,93.09188,359.7217
124.4986,-1.720564,2.581336,-1.662617,46.35057,93.07001,0.055265
124.5096,-1.720158,2.580931,-1.664196,46.34549,93.01418,0.368418
124.5296,-1.719587,2.580604,-1.665667,46.29979,92.87212,0.563717
124.5347,-1.718969,2.580288,-1.666845,46.17658,92.71784,0.677836
124.5517,-1.718397,2.579912,-1.668111,46.08742,92.51651,0.753759
124.5564,-1.717973,2.579583,-1.669454,46.05918,92.35583,0.832438
124.565,-1.7173,2.57953,-1.670657,46.17122,92.23291,0.918601
124.5761,-1.716577,2.579562,-1.671922,46.35192,92.14031,1.017553
124.5872,-1.715798,2.579693,-1.673201,46.60623,92.0984,1.114685
124.6071,-1.714923,2.579805,-1.674372,46.79633,92.01627,1.19886
124.6121,-1.713705,2.580126,-1.67558,46.96848,91.88355,1.31023
124.6292,-1.712134,2.580578,-1.676584,47.06969,91.71606,1.401118
124.6339,-1.710231,2.580992,-1.677845,46.96529,91.44128,1.388544
124.6514,-1.708209,2.581143,-1.679036,46.76309,91.158,1.359
124.66,-1.706063,2.581061,-1.680275,46.45228,90.89595,1.360198
124.6649,-1.703612,2.580828,-1.681416,46.19792,90.61695,1.439496
124.6848,-1.701136,2.580552,-1.682593,46.029,90.33377,1.549653
124.6898,-1.698492,2.580113,-1.683742,45.97879,90.02431,1.647177
124.7068,-1.696027,2.579602,-1.68473,46.0016,89.73697,1.703962
124.7116,-1.693406,2.578861,-1.68574,46.10022,89.41786,1.680505
124.7206,-1.690902,2.578154,-1.686696,46.19002,89.06317,1.630805
124.7319,-1.688298,2.577468,-1.687669,46.27455,88.71966,1.578323
124.7515,-1.685532,2.576854,-1.688455,46.36127,88.41525,1.499809
124.7566,-1.682541,2.57614,-1.689182,46.43124,88.13181,1.37138
124.7737,-1.679389,2.575522,-1.689813,46.50151,87.84141,1.237559
124.7785,-1.675977,2.574897,-1.690363,46.63193,87.57107,1.119731
124.7871,-1.67225,2.573771,-1.690483,46.7561,87.30734,1.052818
124.8071,-1.668806,2.57326,-1.690981,46.85099,87.06161,1.009615
124.8161,-1.664646,2.57302,-1.691071,46.94278,86.86364,1.018784
124.8208,-1.661085,2.572829,-1.691417,46.93801,86.71947,1.036763
124.8316,-1.657154,2.572653,-1.691685,46.8943,86.61461,1.086619
124.8428,-1.653197,2.572385,-1.69181,46.77243,86.52021,1.132089
124.8627,-1.648993,2.572094,-1.691802,46.6688,86.43261,1.174276
124.8676,-1.644791,2.571601,-1.691742,46.57621,86.28696,1.200219
124.876,-1.64051,2.570989,-1.691726,46.49746,86.12553,1.218997
124.8871,-1.636186,2.570313,-1.691675,46.46774,85.98006,1.249819
124.9069,-1.631805,2.569481,-1.691571,46.49537,85.85854,1.35553
124.912,-1.627435,2.568639,-1.691445,46.54439,85.74433,1.503938
124.9292,-1.623018,2.567612,-1.691255,46.55694,85.62228,1.697014
124.9341,-1.618609,2.566455,-1.691115,46.53753,85.5131,1.861883
124.9426,-1.614324,2.565105,-1.690724,46.55223,85.41219,1.991517
124.9632,-1.610027,2.563766,-1.69021,46.62832,85.35075,2.10527
124.9724,-1.606182,2.562447,-1.689679,46.76824,85.28713,2.122627
124.9774,-1.60212,2.561152,-1.68897,46.92081,85.20065,2.07909
124.9964,-1.598042,2.560041,-1.688134,47.02355,85.14122,2.037087
125.002,-1.593653,2.559191,-1.68728,47.04939,85.08228,2.06489
125.0183,-1.58922,2.558416,-1.686417,46.99695,85.03037,2.154959
125.0236,-1.584441,2.557758,-1.685348,46.83817,84.99795,2.317578
125.0319,-1.579635,2.556908,-1.684152,46.60893,84.91084,2.485139
125.0432,-1.575246,2.556084,-1.682968,46.4193,84.78317,2.655359
125.063,-1.570888,2.555221,-1.681691,46.36574,84.65113,2.844922
125.0689,-1.56675,2.554381,-1.680137,46.43367,84.47891,2.992078
125.085,-1.5627,2.553594,-1.678534,46.47892,84.29745,3.049835
125.09,-1.558601,2.553035,-1.676669,46.54242,84.11418,3.026012
125.1072,-1.554096,2.552842,-1.674715,46.59874,83.87563,2.924553
125.1121,-1.549222,2.552754,-1.672752,46.53948,83.65211,2.820573
125.1295,-1.544165,2.552583,-1.670725,46.36224,83.44331,2.719238
125.1384,-1.539044,2.552294,-1.668707,46.15229,83.25512,2.668675
125.1432,-1.533885,2.552277,-1.666751,46.02448,83.11449,2.715199
125.1625,-1.528481,2.552599,-1.664818,45.92285,82.9785,2.78266
125.1677,-1.522973,2.553063,-1.662956,45.72227,82.84013,2.812874
125.1846,-1.517408,2.553452,-1.661185,45.43165,82.66542,2.793203
125.1896,-1.511749,2.553787,-1.659422,45.10378,82.48419,2.790151
125.1984,-1.506354,2.554291,-1.657799,44.98628,82.31613,2.901786
125.2183,-1.501474,2.554857,-1.656401,45.1682,82.15812,3.047861
125.2238,-1.497254,2.555127,-1.655307,45.52787,82.03966,3.080356
125.2316,-1.493647,2.555024,-1.65431,45.8765,81.93133,3.047832
125.2428,-1.490191,2.554669,-1.653414,46.12941,81.83606,2.990168
125.2622,-1.486671,2.554269,-1.652623,46.29438,81.84837,3.035405
125.2673,-1.482414,2.554241,-1.651716,46.29354,81.91111,3.162464
125.2757,-1.477118,2.554694,-1.650779,46.13085,81.93503,3.234632
125.287,-1.471225,2.555492,-1.649812,45.91473,81.90263,3.255889
125.307,-1.465122,2.55654,-1.648873,45.74468,81.83585,3.223952
125.3124,-1.459192,2.557651,-1.648011,45.56628,81.7193,3.136158
125.3205,-1.453501,2.55864,-1.647138,45.38322,81.61984,3.045829
125.3318,-1.447961,2.559701,-1.646134,45.23491,81.55447,3.037981
125.3596,-1.442278,2.560885,-1.6451,45.13857,81.55451,3.123654
125.3651,-1.4306,2.563429,-1.642644,45.17665,81.53115,3.214614
125.376,-1.424529,2.564558,-1.64137,45.26815,81.47223,3.177111
125.3872,-1.418534,2.56571,-1.64011,45.40185,81.41429,3.212819
125.4072,-1.412652,2.566767,-1.63888,45.59974,81.37829,3.291899
125.4134,-1.406692,2.567624,-1.63759,45.72571,81.37514,3.384187
125.4204,-1.400676,2.568232,-1.636245,45.5948,81.44379,3.444198
125.4317,-1.394648,2.568681,-1.634813,45.35619,81.51447,3.466315
125.4431,-1.388306,2.569057,-1.633257,45.10726,81.57439,3.467688
125.4629,-1.381763,2.569278,-1.631538,44.90631,81.58923,3.387662
125.4682,-1.375342,2.569283,-1.629769,44.75103,81.55622,3.242689
125.4853,-1.369089,2.56891,-1.627942,44.59174,81.49724,3.027375
125.4907,-1.362834,2.568331,-1.626052,44.44156,81.4471,2.868999
125.4984,-1.356574,2.567348,-1.624154,44.30402,81.42815,2.7969
125.5185,-1.35027,2.566359,-1.622364,44.20607,81.39625,2.82103
125.5247,-1.343837,2.565048,-1.620611,44.18518,81.37281,2.976959
125.5318,-1.337244,2.563626,-1.618999,44.19054,81.30688,3.136675
125.5518,-1.330398,2.562066,-1.6174,44.19745,81.20991,3.353208
125.5572,-1.323335,2.560545,-1.615819,44.15233,81.11204,3.55118
125.5736,-1.316111,2.558814,-1.614332,43.99424,80.95761,3.699268
125.5849,-1.308808,2.556999,-1.612948,43.74893,80.79997,3.841921
125.5899,-1.301421,2.554953,-1.61154,43.53777,80.63809,3.952527
125.6069,-1.293975,2.552893,-1.610168,43.46959,80.4448,4.046463
125.6161,-1.286693,2.550912,-1.609018,43.55178,80.21472,4.109062
125.621,-1.27929,2.548943,-1.60807,43.82423,79.95965,4.151309
125.6315,-1.271808,2.546971,-1.607228,44.11198,79.73345,4.17681
125.6517,-1.264118,2.544963,-1.606659,44.38541,79.50021,4.159535
125.6569,-1.256029,2.542813,-1.606152,44.52545,79.28227,4.123972
125.6647,-1.247576,2.54067,-1.605779,44.41426,79.00527,3.989264
125.6845,-1.238748,2.538696,-1.605194,44.21318,78.68365,3.821431
125.6897,-1.229339,2.536888,-1.604661,43.92905,78.2685,3.515247
125.7066,-1.219751,2.535239,-1.603982,43.76285,77.87202,3.192889
125.7116,-1.21021,2.533741,-1.603471,43.73678,77.50783,2.900094
125.7289,-1.200436,2.532368,-1.602931,43.82271,77.19202,2.658603
125.7338,-1.19036,2.531096,-1.602471,44.01786,76.92076,2.519235
125.7423,-1.180176,2.52978,-1.602035,44.21154,76.68554,2.40856
125.7706,-1.169618,2.52869,-1.60168,44.32276,76.4831,2.316769
125.795,-1.133266,2.529634,-1.599915,45.37878,75.74557,2.430612
125.8035,-1.121448,2.529089,-1.599259,45.54974,75.43311,2.144871
125.8116,-1.1102,2.52756,-1.598694,45.12706,75.12432,1.873893
125.8209,-1.099131,2.526269,-1.598041,44.84681,75.06034,1.82503
125.841,-1.087821,2.526232,-1.597233,44.87202,75.14997,2.15208
125.8493,-1.0766,2.527362,-1.596339,45.24541,75.32908,2.522547
125.8574,-1.065712,2.529608,-1.595363,46.16507,75.50355,2.709589
125.8742,-1.054663,2.531999,-1.594359,47.02959,75.4082,2.727225
125.8823,-1.043512,2.535014,-1.593028,47.81229,75.18046,2.711173
125.8905,-1.032058,2.538155,-1.5914,48.27944,74.82435,2.767021
125.8985,-1.020559,2.541056,-1.589713,48.3178,74.45126,2.947359
125.9094,-1.009092,2.542986,-1.588096,47.8596,74.34318,3.385832
125.92,-0.997891,2.544205,-1.58652,47.10122,74.36079,3.832596
125.9318,-0.987318,2.545069,-1.584766,46.08178,74.43192,4.297872
125.945,-0.976925,2.546246,-1.582944,45.30567,74.4763,4.712342
125.9538,-0.966552,2.547492,-1.580839,44.73959,74.5225,5.153274
125.9649,-0.956363,2.548973,-1.578434,44.62967,74.47762,5.494536
125.9761,-0.946818,2.550536,-1.575894,44.75405,74.3448,5.654217
125.9871,-0.937724,2.551865,-1.573388,44.98416,74.16914,5.64398
126.008,-0.929339,2.553013,-1.570799,45.3274,73.90482,5.537126
126.0168,-0.921079,2.553924,-1.56841,45.45818,73.69764,5.523637
126.0255,-0.913525,2.554608,-1.566082,45.53072,73.56302,5.575739
126.0343,-0.905676,2.55555,-1.563797,45.63807,73.5287,5.717132
126.0436,-0.897598,2.556833,-1.561522,45.69833,73.55824,5.950521
126.0642,-0.888834,2.558402,-1.558948,45.6843,73.57131,6.150496
126.0729,-0.880466,2.560019,-1.556297,45.57152,73.51218,6.242431
126.0815,-0.871434,2.561529,-1.553302,45.33072,73.3932,6.282005
126.0904,-0.862468,2.56279,-1.55023,45.02324,73.24033,6.31356
126.1027,-0.853607,2.56356,-1.547172,44.68008,73.11857,6.336269
126.111,-0.844823,2.56393,-1.544051,44.38142,73.04002,6.373888
126.1204,-0.836088,2.564062,-1.540956,44.18539,73.03846,6.47844
126.1317,-0.827273,2.563667,-1.537788,44.04156,73.06428,6.616954
126.1524,-0.818582,2.563202,-1.534631,43.88164,73.07864,6.781
126.1612,-0.810082,2.562287,-1.531368,43.69208,73.10146,6.901964
126.1696,-0.801997,2.561279,-1.52805,43.43949,73.06232,6.973476
126.178,-0.793929,2.559935,-1.524635,43.21165,73.07533,7.077415
126.187,-0.786355,2.558537,-1.521286,43.18342,73.09309,7.120241
126.1982,-0.778728,2.557032,-1.517684,43.13948,73.1936,7.180646
126.2189,-0.77089,2.555625,-1.513925,43.35375,73.25863,7.006359
126.2301,-0.763093,2.554323,-1.509758,43.66101,73.39345,7.208314
126.2386,-0.755247,2.552994,-1.505795,43.79234,73.43349,7.14036
126.247,-0.747352,2.551377,-1.501625,44.00198,73.52991,7.212565
126.2593,-0.739309,2.549757,-1.497364,44.13591,73.55402,7.184587
126.2677,-0.731344,2.548202,-1.493015,44.09406,73.6293,7.215631
126.276,-0.723213,2.546641,-1.488565,44.02811,73.73869,7.215634
126.2864,-0.714897,2.545166,-1.484065,43.91584,73.78899,7.205693
126.2979,-0.706289,2.543952,-1.479407,43.8096,73.82591,7.228059
126.3085,-0.697249,2.543179,-1.474562,43.80414,73.85559,7.233698
126.3197,-0.687705,2.54265,-1.469588,43.79565,73.84482,7.167764
126.331,-0.678343,2.542049,-1.464719,43.61203,73.82421,7.028939
126.3516,-0.668852,2.541954,-1.45997,43.20221,73.7782,6.876199
126.36,-0.658504,2.542197,-1.454941,42.86478,73.76896,6.823801
126.3681,-0.648112,2.542684,-1.450178,42.56576,73.81127,6.743384
126.376,-0.638034,2.543004,-1.44558,42.33784,73.88439,6.560288
126.3864,-0.628778,2.543102,-1.441392,42.22505,73.85516,6.167711
126.3976,-0.619914,2.543311,-1.437428,42.34295,73.88676,5.880758
126.4093,-0.6116,2.544039,-1.433914,42.77149,73.91902,5.586881
126.4198,-0.603512,2.545555,-1.430675,43.31184,74.00098,5.364924
126.4309,-0.595292,2.547086,-1.427494,43.62735,74.09716,5.120294
126.4517,-0.58732,2.548862,-1.424746,43.60067,74.13108,4.82723
126.46,-0.578768,2.550725,-1.421929,43.30526,74.06943,4.562715
126.468,-0.569628,2.553246,-1.419233,42.78285,74.00531,4.464141
126.4758,-0.559841,2.556059,-1.416474,42.24164,74.00637,4.406156
126.496,-0.550195,2.559031,-1.413899,41.79662,73.92121,4.124517
126.5043,-0.540917,2.561732,-1.411549,41.4967,73.77942,3.665249
126.5121,-0.53182,2.564384,-1.409592,41.3944,73.68464,3.21071
126.52,-0.52313,2.56697,-1.407775,41.33574,73.57703,2.752146
126.5406,-0.51433,2.569528,-1.406074,41.26262,73.53136,2.315806
126.5488,-0.505311,2.571731,-1.404459,41.1489,73.53265,1.892548
126.5607,-0.496214,2.57384,-1.402955,40.98143,73.60255,1.524385
126.569,-0.487009,2.57563,-1.401747,40.74945,73.65987,1.16043
126.5769,-0.477747,2.577176,-1.40056,40.58985,73.74668,0.83959
126.5965,-0.468412,2.578152,-1.39959,40.48063,73.9118,0.59878
126.6055,-0.459347,2.578901,-1.398761,40.3919,74.07496,0.378845
126.614,-0.449956,2.579141,-1.398001,40.34454,74.26886,0.209304
126.6222,-0.440445,2.578959,-1.397381,40.36958,74.50848,0.108392
126.6313,-0.43105,2.578136,-1.396975,40.37557,74.74941,0.083367
126.6423,-0.421772,2.57709,-1.396627,40.40854,74.99285,0.048539
126.6535,-0.412418,2.57527,-1.396549,40.45946,75.2681,0.088911
126.6645,-0.403029,2.573333,-1.39651,40.58743,75.5391,0.085335
126.6757,-0.393528,2.571188,-1.396426,40.70215,75.84147,0.064332
126.6868,-0.384041,2.56876,-1.396277,40.78043,76.15424,359.9492
126.7077,-0.374364,2.566161,-1.396085,40.82131,76.4309,359.783
126.7203,-0.354599,2.560317,-1.396093,40.95683,76.93581,359.5673
126.7314,-0.34452,2.557455,-1.39637,41.02737,77.19757,359.5342
126.7423,-0.334561,2.554799,-1.396869,41.0663,77.50974,359.54
126.7533,-0.324543,2.552082,-1.397498,41.13004,77.91495,359.6841
126.7646,-0.31474,2.549487,-1.398256,41.24835,78.22158,359.8617
126.7755,-0.305048,2.546992,-1.399238,41.51624,78.47142,0.112772
126.7867,-0.295278,2.544603,-1.400228,41.82939,78.69339,0.329252
126.7977,-0.285487,2.542408,-1.401391,42.17341,78.88121,0.511055
126.8092,-0.275266,2.540514,-1.402566,42.46532,79.01263,0.669085
126.8194,-0.26441,2.538889,-1.403873,42.56837,79.14462,0.926899
126.8306,-0.253005,2.537359,-1.404983,42.52451,79.27595,1.239842
126.8523,-0.240787,2.536093,-1.406,42.33702,79.26936,1.512469
126.8609,-0.228578,2.534671,-1.407022,42.09446,79.07494,1.619271
126.8742,-0.216144,2.533357,-1.408102,41.81396,78.61559,1.569521
126.8826,-0.203567,2.532519,-1.408953,41.74861,78.07444,1.504193
126.8908,-0.190952,2.532137,-1.409677,41.97356,77.46065,1.442322
