time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
46.57446,-1.69145,2.608381,-1.16334,62.43219,121.2944,13.96867
46.58673,-1.689949,2.607346,-1.167897,62.55803,121.0009,13.90227
46.59745,-1.688375,2.60649,-1.172587,62.68917,120.6809,13.86286
46.6188,-1.686881,2.605819,-1.177419,62.87238,120.3741,13.93612
46.63295,-1.684047,2.604536,-1.187496,63.2412,119.582,14.10273
46.64108,-1.682517,2.604003,-1.192785,63.38409,119.0865,14.18016
46.65232,-1.680814,2.603558,-1.198181,63.54134,118.5447,14.20403
46.66343,-1.67902,2.603248,-1.203778,63.63651,117.9632,14.06622
46.67452,-1.677245,2.602705,-1.209291,63.62276,117.3626,13.8264
46.68579,-1.675812,2.601992,-1.214877,63.45753,116.6685,13.40926
46.69671,-1.67445,2.601038,-1.220174,63.23746,116.1608,13.08136
46.7078,-1.673434,2.600088,-1.225346,63.22004,115.8164,12.77779
46.71897,-1.67298,2.599411,-1.230273,63.51662,115.7578,12.63495
46.72997,-1.672963,2.598986,-1.235236,64.06599,115.8322,12.64435
46.74113,-1.673152,2.598747,-1.239994,64.77279,116.0352,12.76436
46.75224,-1.673408,2.598475,-1.244697,65.43327,116.2479,12.96306
46.76331,-1.673429,2.598178,-1.249416,65.86862,116.3807,13.19454
46.77449,-1.673115,2.597871,-1.254334,66.02325,116.3228,13.35684
46.78552,-1.672105,2.597582,-1.259257,65.85371,116.1392,13.54078
46.79662,-1.670715,2.597353,-1.264095,65.61292,115.9123,13.72839
46.80778,-1.669149,2.597162,-1.268903,65.21736,115.4769,13.82782
46.81881,-1.667562,2.596936,-1.27343,64.93817,115.0921,13.95022
46.83002,-1.666198,2.596784,-1.277648,64.80458,114.8076,14.11354
46.84107,-1.665179,2.596793,-1.281872,64.90623,114.608,14.21379
46.85223,-1.664286,2.597183,-1.28574,65.26656,114.5093,14.30752
46.86324,-1.663306,2.597698,-1.289449,65.69759,114.3111,14.2684
46.87437,-1.662304,2.59846,-1.292863,66.10548,114.0453,14.11273
46.88555,-1.661209,2.599229,-1.296111,66.32552,113.6201,13.78191
46.89653,-1.659949,2.59994,-1.299335,66.37725,113.151,13.44199
46.90769,-1.658618,2.600674,-1.30251,66.26852,112.5837,13.00212
46.91879,-1.657117,2.601555,-1.30567,66.14442,112.1096,12.68686
46.92985,-1.655831,2.602566,-1.308969,66.04638,111.7286,12.4908
46.94092,-1.654506,2.603673,-1.312266,66.0114,111.4928,12.50334
46.95205,-1.652983,2.604701,-1.315373,66.00823,111.3829,12.60308
46.9632,-1.651564,2.605804,-1.31846,65.9781,111.3454,12.73151
46.97433,-1.649856,2.606803,-1.321285,65.8996,111.2758,12.80589
46.98537,-1.64807,2.607794,-1.324194,65.76755,111.1487,12.79205
46.99656,-1.646059,2.608702,-1.326941,65.61652,110.9135,12.66798
47.00755,-1.64388,2.609568,-1.32958,65.41676,110.6036,12.47007
47.01867,-1.641653,2.610399,-1.332251,65.18184,110.2428,12.25246
47.02984,-1.639489,2.611068,-1.334848,64.96047,109.8899,12.01847
47.04093,-1.637412,2.611724,-1.337535,64.77927,109.5581,11.82446
47.05213,-1.635347,2.612243,-1.340096,64.66132,109.2562,11.64863
47.06313,-1.633426,2.612645,-1.34261,64.57895,108.997,11.5323
47.07423,-1.631443,2.612806,-1.344933,64.49873,108.8328,11.5061
47.08548,-1.629295,2.613008,-1.347037,64.34306,108.6989,11.49367
47.09676,-1.626943,2.613051,-1.349065,64.10963,108.5607,11.42748
